xpoints,ypoints
267.256,-345.058
271.256,-345.058
271.256,-344.058
274.256,-344.058
274.256,-343.058
277.256,-343.058
277.256,-342.058
280.256,-342.058
280.256,-341.058
283.256,-341.058
283.256,-340.058
285.256,-340.058
285.256,-339.058
288.256,-339.058
288.256,-338.058
291.256,-338.058
291.256,-337.058
294.256,-337.058
294.256,-336.058
296.256,-336.058
296.256,-335.058
299.256,-335.058
299.256,-334.058
302.256,-334.058
302.256,-333.058
304.256,-333.058
304.256,-332.058
307.256,-332.058
307.256,-331.058
309.256,-331.058
309.256,-330.058
311.256,-330.058
311.256,-329.058
314.256,-329.058
314.256,-328.058
316.256,-328.058
316.256,-327.058
318.256,-327.058
318.256,-326.058
321.256,-326.058
321.256,-325.058
323.256,-325.058
323.256,-324.058
325.256,-324.058
325.256,-323.058
327.256,-323.058
327.256,-322.058
330.256,-322.058
330.256,-321.058
332.256,-321.058
332.256,-320.058
334.256,-320.058
334.256,-319.058
336.256,-319.058
336.256,-318.058
338.256,-318.058
338.256,-317.058
340.256,-317.058
340.256,-316.058
342.256,-316.058
342.256,-315.058
344.256,-315.058
344.256,-314.058
346.256,-314.058
346.256,-313.058
348.256,-313.058
348.256,-312.058
350.256,-312.058
350.256,-311.058
352.256,-311.058
352.256,-310.058
354.256,-310.058
354.256,-309.058
355.256,-309.058
355.256,-308.058
357.256,-308.058
357.256,-307.058
359.256,-307.058
359.256,-306.058
361.256,-306.058
361.256,-305.058
363.256,-305.058
363.256,-304.058
364.256,-304.058
364.256,-303.058
366.256,-303.058
366.256,-302.058
368.256,-302.058
368.256,-301.058
370.256,-301.058
370.256,-300.058
371.256,-300.058
371.256,-299.058
373.256,-299.058
373.256,-298.058
375.256,-298.058
375.256,-297.058
376.256,-297.058
376.256,-296.058
378.256,-296.058
378.256,-295.058
379.256,-295.058
379.256,-294.058
381.256,-294.058
381.256,-293.058
383.256,-293.058
383.256,-292.058
384.256,-292.058
384.256,-291.058
386.256,-291.058
386.256,-290.058
387.256,-290.058
387.256,-289.058
389.256,-289.058
389.256,-288.058
390.256,-288.058
390.256,-287.058
392.256,-287.058
392.256,-286.058
393.256,-286.058
393.256,-285.058
395.256,-285.058
395.256,-284.058
396.256,-284.058
396.256,-283.058
398.256,-283.058
398.256,-282.058
399.256,-282.058
399.256,-281.058
401.256,-281.058
401.256,-280.058
402.256,-280.058
402.256,-279.058
403.256,-279.058
403.256,-278.058
405.256,-278.058
405.256,-277.058
406.256,-277.058
406.256,-276.058
407.256,-276.058
407.256,-275.058
409.256,-275.058
409.256,-274.058
410.256,-274.058
410.256,-273.058
411.256,-273.058
411.256,-272.058
413.256,-272.058
413.256,-271.058
414.256,-271.058
414.256,-270.058
415.256,-270.058
415.256,-269.058
417.256,-269.058
417.256,-268.058
418.256,-268.058
418.256,-267.058
419.256,-267.058
419.256,-266.058
421.256,-266.058
421.256,-265.058
422.256,-265.058
422.256,-264.058
423.256,-264.058
423.256,-263.058
424.256,-263.058
424.256,-262.058
426.256,-262.058
426.256,-261.058
427.256,-261.058
427.256,-260.058
428.256,-260.058
428.256,-259.058
429.256,-259.058
429.256,-258.058
430.256,-258.058
430.256,-257.058
432.256,-257.058
432.256,-256.058
433.256,-256.058
433.256,-255.058
434.256,-255.058
434.256,-254.058
435.256,-254.058
435.256,-253.058
436.256,-253.058
436.256,-252.058
437.256,-252.058
437.256,-251.058
439.256,-251.058
439.256,-250.058
440.256,-250.058
440.256,-249.058
441.256,-249.058
441.256,-248.058
442.256,-248.058
442.256,-247.058
443.256,-247.058
443.256,-246.058
444.256,-246.058
444.256,-245.058
445.256,-245.058
445.256,-244.058
446.256,-244.058
446.256,-243.058
447.256,-243.058
447.256,-242.058
448.256,-242.058
448.256,-241.058
450.256,-241.058
450.256,-240.058
451.256,-240.058
451.256,-239.058
452.256,-239.058
452.256,-238.058
453.256,-238.058
453.256,-237.058
454.256,-237.058
454.256,-236.058
455.256,-236.058
455.256,-235.058
456.256,-235.058
456.256,-234.058
457.256,-234.058
457.256,-233.058
458.256,-233.058
458.256,-232.058
459.256,-232.058
459.256,-231.058
460.256,-231.058
460.256,-230.058
461.256,-230.058
461.256,-229.058
