xpoints,ypoints
353.775,-215.246
355.775,-215.246
355.775,-214.246
357.775,-214.246
357.775,-213.246
359.775,-213.246
359.775,-212.246
360.775,-212.246
360.775,-211.246
362.775,-211.246
362.775,-210.246
364.775,-210.246
364.775,-209.246
366.775,-209.246
366.775,-208.246
368.775,-208.246
368.775,-207.246
369.775,-207.246
369.775,-206.246
371.775,-206.246
371.775,-205.246
373.775,-205.246
373.775,-204.246
375.775,-204.246
375.775,-203.246
376.775,-203.246
376.775,-202.246
378.775,-202.246
378.775,-201.246
379.775,-201.246
379.775,-200.246
381.775,-200.246
381.775,-199.246
383.775,-199.246
383.775,-198.246
384.775,-198.246
384.775,-197.246
386.775,-197.246
386.775,-196.246
388.775,-196.246
388.775,-195.246
389.775,-195.246
389.775,-194.246
391.775,-194.246
391.775,-193.246
392.775,-193.246
392.775,-192.246
394.775,-192.246
394.775,-191.246
395.775,-191.246
395.775,-190.246
397.775,-190.246
397.775,-189.246
398.775,-189.246
398.775,-188.246
400.775,-188.246
400.775,-187.246
401.775,-187.246
401.775,-186.246
403.775,-186.246
403.775,-185.246
404.775,-185.246
404.775,-184.246
405.775,-184.246
405.775,-183.246
407.775,-183.246
407.775,-182.246
408.775,-182.246
408.775,-181.246
410.775,-181.246
410.775,-180.246
411.775,-180.246
411.775,-179.246
412.775,-179.246
412.775,-178.246
414.775,-178.246
414.775,-177.246
415.775,-177.246
415.775,-176.246
416.775,-176.246
416.775,-175.246
418.775,-175.246
418.775,-174.246
419.775,-174.246
419.775,-173.246
420.775,-173.246
420.775,-172.246
422.775,-172.246
422.775,-171.246
423.775,-171.246
423.775,-170.246
424.775,-170.246
424.775,-169.246
425.775,-169.246
425.775,-168.246
427.775,-168.246
427.775,-167.246
428.775,-167.246
428.775,-166.246
429.775,-166.246
429.775,-165.246
430.775,-165.246
430.775,-164.246
432.775,-164.246
432.775,-163.246
433.775,-163.246
433.775,-162.246
434.775,-162.246
434.775,-161.246
435.775,-161.246
435.775,-160.246
436.775,-160.246
436.775,-159.246
438.775,-159.246
438.775,-158.246
439.775,-158.246
439.775,-157.246
440.775,-157.246
440.775,-156.246
441.775,-156.246
441.775,-155.246
442.775,-155.246
442.775,-154.246
443.775,-154.246
443.775,-153.246
444.775,-153.246
444.775,-152.246
446.775,-152.246
446.775,-151.246
447.775,-151.246
447.775,-150.246
448.775,-150.246
448.775,-149.246
449.775,-149.246
449.775,-148.246
450.775,-148.246
450.775,-147.246
451.775,-147.246
451.775,-146.246
452.775,-146.246
452.775,-145.246
453.775,-145.246
453.775,-144.246
454.775,-144.246
454.775,-143.246
455.775,-143.246
455.775,-142.246
456.775,-142.246
456.775,-141.246
457.775,-141.246
457.775,-140.246
458.775,-140.246
458.775,-139.246
