xpoints,ypoints
278.482,-433.196
283.482,-433.196
283.482,-432.196
287.482,-432.196
287.482,-431.196
291.482,-431.196
291.482,-430.196
296.482,-430.196
296.482,-429.196
300.482,-429.196
300.482,-428.196
304.482,-428.196
304.482,-427.196
308.482,-427.196
308.482,-426.196
312.482,-426.196
312.482,-425.196
316.482,-425.196
316.482,-424.196
319.482,-424.196
319.482,-423.196
323.482,-423.196
323.482,-422.196
327.482,-422.196
327.482,-421.196
331.482,-421.196
331.482,-420.196
334.482,-420.196
334.482,-419.196
338.482,-419.196
338.482,-418.196
341.482,-418.196
341.482,-417.196
345.482,-417.196
345.482,-416.196
348.482,-416.196
348.482,-415.196
352.482,-415.196
352.482,-414.196
355.482,-414.196
355.482,-413.196
359.482,-413.196
359.482,-412.196
362.482,-412.196
362.482,-411.196
365.482,-411.196
365.482,-410.196
369.482,-410.196
369.482,-409.196
372.482,-409.196
372.482,-408.196
375.482,-408.196
375.482,-407.196
379.482,-407.196
379.482,-406.196
382.482,-406.196
382.482,-405.196
385.482,-405.196
385.482,-404.196
388.482,-404.196
388.482,-403.196
391.482,-403.196
391.482,-402.196
395.482,-402.196
395.482,-401.196
398.482,-401.196
398.482,-400.196
401.482,-400.196
401.482,-399.196
404.482,-399.196
404.482,-398.196
407.482,-398.196
407.482,-397.196
410.482,-397.196
410.482,-396.196
413.482,-396.196
413.482,-395.196
416.482,-395.196
416.482,-394.196
419.482,-394.196
419.482,-393.196
422.482,-393.196
422.482,-392.196
424.482,-392.196
424.482,-391.196
427.482,-391.196
427.482,-390.196
430.482,-390.196
430.482,-389.196
432.482,-389.196
432.482,-388.196
435.482,-388.196
435.482,-387.196
437.482,-387.196
437.482,-386.196
440.482,-386.196
440.482,-385.196
442.482,-385.196
442.482,-384.196
444.482,-384.196
444.482,-383.196
447.482,-383.196
447.482,-382.196
449.482,-382.196
449.482,-381.196
451.482,-381.196
451.482,-380.196
454.482,-380.196
454.482,-379.196
456.482,-379.196
456.482,-378.196
458.482,-378.196
458.482,-377.196
460.482,-377.196
460.482,-376.196
462.482,-376.196
462.482,-375.196
464.482,-375.196
464.482,-374.196
466.482,-374.196
466.482,-373.196
468.482,-373.196
468.482,-372.196
471.482,-372.196
471.482,-371.196
473.482,-371.196
473.482,-370.196
474.482,-370.196
474.482,-369.196
476.482,-369.196
476.482,-368.196
478.482,-368.196
478.482,-367.196
480.482,-367.196
480.482,-366.196
482.482,-366.196
482.482,-365.196
484.482,-365.196
484.482,-364.196
486.482,-364.196
486.482,-363.196
488.482,-363.196
488.482,-362.196
489.482,-362.196
489.482,-361.196
491.482,-361.196
491.482,-360.196
493.482,-360.196
493.482,-359.196
495.482,-359.196
495.482,-358.196
496.482,-358.196
496.482,-357.196
498.482,-357.196
498.482,-356.196
500.482,-356.196
500.482,-355.196
501.482,-355.196
501.482,-354.196
503.482,-354.196
503.482,-353.196
505.482,-353.196
505.482,-352.196
506.482,-352.196
506.482,-351.196
508.482,-351.196
508.482,-350.196
509.482,-350.196
509.482,-349.196
511.482,-349.196
511.482,-348.196
513.482,-348.196
513.482,-347.196
514.482,-347.196
514.482,-346.196
516.482,-346.196
516.482,-345.196
517.482,-345.196
517.482,-344.196
519.482,-344.196
519.482,-343.196
520.482,-343.196
520.482,-342.196
521.482,-342.196
521.482,-341.196
523.482,-341.196
523.482,-340.196
524.482,-340.196
524.482,-339.196
526.482,-339.196
526.482,-338.196
527.482,-338.196
527.482,-337.196
529.482,-337.196
529.482,-336.196
530.482,-336.196
530.482,-335.196
531.482,-335.196
531.482,-334.196
533.482,-334.196
533.482,-333.196
534.482,-333.196
534.482,-332.196
535.482,-332.196
535.482,-331.196
537.482,-331.196
537.482,-330.196
538.482,-330.196
538.482,-329.196
539.482,-329.196
539.482,-328.196
540.482,-328.196
540.482,-327.196
542.482,-327.196
542.482,-326.196
543.482,-326.196
543.482,-325.196
544.482,-325.196
544.482,-324.196
545.482,-324.196
545.482,-323.196
547.482,-323.196
547.482,-322.196
548.482,-322.196
548.482,-321.196
549.482,-321.196
549.482,-320.196
550.482,-320.196
550.482,-319.196
551.482,-319.196
551.482,-318.196
553.482,-318.196
553.482,-317.196
554.482,-317.196
554.482,-316.196
555.482,-316.196
555.482,-315.196
556.482,-315.196
556.482,-314.196
557.482,-314.196
557.482,-313.196
558.482,-313.196
558.482,-312.196
559.482,-312.196
559.482,-311.196
560.482,-311.196
560.482,-310.196
562.482,-310.196
562.482,-309.196
563.482,-309.196
563.482,-308.196
564.482,-308.196
564.482,-307.196
565.482,-307.196
565.482,-306.196
566.482,-306.196
566.482,-305.196
567.482,-305.196
567.482,-304.196
568.482,-304.196
568.482,-303.196
569.482,-303.196
569.482,-302.196
570.482,-302.196
570.482,-301.196
571.482,-301.196
571.482,-300.196
572.482,-300.196
572.482,-299.196
573.482,-299.196
573.482,-298.196
574.482,-298.196
574.482,-297.196
575.482,-297.196
575.482,-296.196
576.482,-296.196
576.482,-295.196
577.482,-295.196
577.482,-294.196
578.482,-294.196
578.482,-293.196
579.482,-293.196
579.482,-292.196
580.482,-292.196
580.482,-291.196
581.482,-291.196
581.482,-290.196
582.482,-290.196
582.482,-289.196
583.482,-289.196
583.482,-287.196
584.482,-287.196
584.482,-286.196
585.482,-286.196
585.482,-285.196
586.482,-285.196
586.482,-284.196
587.482,-284.196
587.482,-283.196
588.482,-283.196
588.482,-282.196
589.482,-282.196
589.482,-281.196
590.482,-281.196
590.482,-279.196
591.482,-279.196
591.482,-278.196
592.482,-278.196
592.482,-277.196
593.482,-277.196
593.482,-276.196
594.482,-276.196
594.482,-275.196
595.482,-275.196
595.482,-273.196
596.482,-273.196
596.482,-272.196
597.482,-272.196
597.482,-271.196
598.482,-271.196
598.482,-270.196
599.482,-270.196
599.482,-269.196
600.482,-269.196
600.482,-267.196
601.482,-267.196
601.482,-266.196
602.482,-266.196
602.482,-265.196
603.482,-265.196
603.482,-263.196
604.482,-263.196
604.482,-262.196
605.482,-262.196
605.482,-261.196
606.482,-261.196
606.482,-259.196
607.482,-259.196
607.482,-258.196
608.482,-258.196
608.482,-257.196
609.482,-257.196
609.482,-255.196
610.482,-255.196
610.482,-254.196
611.482,-254.196
611.482,-252.196
612.482,-252.196
612.482,-251.196
613.482,-251.196
613.482,-249.196
614.482,-249.196
614.482,-248.196
615.482,-248.196
615.482,-246.196
616.482,-246.196
616.482,-245.196
617.482,-245.196
617.482,-243.196
618.482,-243.196
618.482,-242.196
619.482,-242.196
619.482,-240.196
620.482,-240.196
620.482,-238.196
621.482,-238.196
621.482,-237.196
622.482,-237.196
622.482,-235.196
623.482,-235.196
623.482,-233.196
624.482,-233.196
624.482,-232.196
625.482,-232.196
625.482,-230.196
626.482,-230.196
626.482,-228.196
627.482,-228.196
627.482,-227.196
628.482,-227.196
628.482,-225.196
629.482,-225.196
629.482,-223.196
630.482,-223.196
630.482,-221.196
631.482,-221.196
631.482,-219.196
632.482,-219.196
632.482,-217.196
633.482,-217.196
633.482,-215.196
634.482,-215.196
634.482,-213.196
635.482,-213.196
635.482,-211.196
636.482,-211.196
636.482,-209.196
637.482,-209.196
637.482,-207.196
638.482,-207.196
638.482,-205.196
639.482,-205.196
639.482,-203.196
640.482,-203.196
640.482,-200.196
641.482,-200.196
641.482,-198.196
642.482,-198.196
642.482,-196.196
643.482,-196.196
643.482,-193.196
644.482,-193.196
644.482,-191.196
645.482,-191.196
645.482,-188.196
646.482,-188.196
646.482,-186.196
647.482,-186.196
647.482,-183.196
648.482,-183.196
648.482,-180.196
649.482,-180.196
649.482,-177.196
650.482,-177.196
650.482,-174.196
651.482,-174.196
651.482,-171.196
652.482,-171.196
