xpoints,ypoints
338.482,-157.196
340.482,-157.196
340.482,-156.196
342.482,-156.196
342.482,-155.196
343.482,-155.196
343.482,-154.196
345.482,-154.196
345.482,-153.196
346.482,-153.196
346.482,-152.196
348.482,-152.196
348.482,-151.196
349.482,-151.196
349.482,-150.196
351.482,-150.196
351.482,-149.196
352.482,-149.196
352.482,-148.196
354.482,-148.196
354.482,-147.196
355.482,-147.196
355.482,-146.196
356.482,-146.196
356.482,-145.196
358.482,-145.196
358.482,-144.196
359.482,-144.196
359.482,-143.196
360.482,-143.196
360.482,-142.196
362.482,-142.196
362.482,-141.196
363.482,-141.196
363.482,-140.196
364.482,-140.196
364.482,-139.196
365.482,-139.196
365.482,-138.196
366.482,-138.196
366.482,-137.196
367.482,-137.196
367.482,-136.196
368.482,-136.196
368.482,-135.196
369.482,-135.196
369.482,-134.196
370.482,-134.196
370.482,-133.196
371.482,-133.196
371.482,-132.196
372.482,-132.196
372.482,-131.196
373.482,-131.196
373.482,-130.196
374.482,-130.196
374.482,-129.196
375.482,-129.196
375.482,-128.196
376.482,-128.196
376.482,-127.196
377.482,-127.196
377.482,-126.196
378.482,-126.196
378.482,-125.196
379.482,-125.196
379.482,-124.196
380.482,-124.196
380.482,-122.196
381.482,-122.196
381.482,-121.196
382.482,-121.196
382.482,-120.196
383.482,-120.196
383.482,-118.196
384.482,-118.196
384.482,-117.196
385.482,-117.196
385.482,-115.196
386.482,-115.196
386.482,-114.196
387.482,-114.196
387.482,-112.196
388.482,-112.196
388.482,-110.196
389.482,-110.196
389.482,-108.196
390.482,-108.196
390.482,-106.196
391.482,-106.196
391.482,-104.196
392.482,-104.196
392.482,-102.196
393.482,-102.196
393.482,-100.196
394.482,-100.196
394.482,-97.196
395.482,-97.196
395.482,-94.196
396.482,-94.196
396.482,-91.196
397.482,-91.196
397.482,-88.196
398.482,-88.196
398.482,-83.196
399.482,-83.196
399.482,-77.196
400.482,-77.196
400.482,-66.196
401.482,-66.196
401.482,-57.196
400.482,-57.196
400.482,-45.196
399.482,-45.196
399.482,-38.196
398.482,-38.196
398.482,-33.196
397.482,-33.196
397.482,-28.196
396.482,-28.196
396.482,-24.196
395.482,-24.196
395.482,-20.196
394.482,-20.196
394.482,-17.196
393.482,-17.196
393.482,-13.196
392.482,-13.196
392.482,-10.196
391.482,-10.196
391.482,-7.196
390.482,-7.196
390.482,-5.196
389.482,-5.196
389.482,-2.196
388.482,-2.196
388.482,0.804
387.482,0.804
387.482,3.804
386.482,3.804
386.482,5.804
385.482,5.804
385.482,7.804
384.482,7.804
384.482,10.804
383.482,10.804
383.482,12.804
382.482,12.804
382.482,15.804
381.482,15.804
381.482,17.804
380.482,17.804
380.482,19.804
379.482,19.804
379.482,21.804
378.482,21.804
378.482,23.804
377.482,23.804
377.482,25.804
376.482,25.804
376.482,28.804
375.482,28.804
375.482,30.804
374.482,30.804
374.482,31.804
373.482,31.804
373.482,33.804
372.482,33.804
372.482,35.804
371.482,35.804
371.482,37.804
370.482,37.804
370.482,39.804
369.482,39.804
369.482,41.804
368.482,41.804
368.482,43.804
366.482,43.804
366.482,44.804
365.482,44.804
365.482,45.804
364.482,45.804
364.482,46.804
362.482,46.804
362.482,47.804
360.482,47.804
360.482,48.804
358.482,48.804
358.482,49.804
356.482,49.804
356.482,50.804
353.482,50.804
353.482,51.804
350.482,51.804
350.482,52.804
347.482,52.804
347.482,53.804
344.482,53.804
344.482,54.804
340.482,54.804
340.482,55.804
336.482,55.804
336.482,56.804
333.482,56.804
333.482,57.804
328.482,57.804
328.482,58.804
323.482,58.804
323.482,59.804
318.482,59.804
318.482,60.804
312.482,60.804
312.482,61.804
306.482,61.804
306.482,62.804
300.482,62.804
300.482,63.804
292.482,63.804
292.482,64.804
284.482,64.804
284.482,65.804
274.482,65.804
274.482,66.804
258.482,66.804
258.482,67.804
242.482,67.804
242.482,66.804
234.482,66.804
234.482,65.804
231.482,65.804
231.482,64.804
230.482,64.804
230.482,58.804
229.482,58.804
229.482,54.804
228.482,54.804
228.482,51.804
227.482,51.804
227.482,48.804
226.482,48.804
226.482,46.804
225.482,46.804
225.482,44.804
224.482,44.804
224.482,41.804
223.482,41.804
223.482,39.804
222.482,39.804
222.482,37.804
221.482,37.804
221.482,35.804
220.482,35.804
220.482,33.804
219.482,33.804
219.482,31.804
218.482,31.804
218.482,30.804
217.482,30.804
217.482,28.804
216.482,28.804
216.482,26.804
215.482,26.804
215.482,25.804
214.482,25.804
214.482,23.804
213.482,23.804
213.482,21.804
212.482,21.804
212.482,20.804
211.482,20.804
211.482,18.804
210.482,18.804
210.482,17.804
209.482,17.804
209.482,15.804
208.482,15.804
208.482,14.804
207.482,14.804
207.482,13.804
206.482,13.804
206.482,11.804
205.482,11.804
205.482,10.804
204.482,10.804
204.482,9.804
203.482,9.804
203.482,8.804
202.482,8.804
202.482,7.804
201.482,7.804
201.482,5.804
200.482,5.804
200.482,4.804
199.482,4.804
199.482,3.804
198.482,3.804
198.482,2.804
197.482,2.804
197.482,1.804
196.482,1.804
196.482,0.804
195.482,0.804
195.482,-0.196
194.482,-0.196
194.482,-1.196
193.482,-1.196
193.482,-2.196
192.482,-2.196
192.482,-3.196
191.482,-3.196
191.482,-4.196
190.482,-4.196
190.482,-5.196
189.482,-5.196
189.482,-6.196
187.482,-6.196
187.482,-7.196
186.482,-7.196
186.482,-8.196
185.482,-8.196
185.482,-9.196
184.482,-9.196
184.482,-10.196
183.482,-10.196
183.482,-11.196
181.482,-11.196
181.482,-12.196
180.482,-12.196
180.482,-13.196
179.482,-13.196
179.482,-14.196
177.482,-14.196
177.482,-15.196
176.482,-15.196
176.482,-16.196
174.482,-16.196
174.482,-17.196
173.482,-17.196
173.482,-18.196
171.482,-18.196
171.482,-19.196
170.482,-19.196
170.482,-20.196
168.482,-20.196
168.482,-21.196
166.482,-21.196
166.482,-22.196
164.482,-22.196
164.482,-23.196
162.482,-23.196
162.482,-24.196
160.482,-24.196
160.482,-25.196
158.482,-25.196
158.482,-26.196
156.482,-26.196
156.482,-27.196
154.482,-27.196
154.482,-28.196
152.482,-28.196
152.482,-29.196
150.482,-29.196
150.482,-30.196
147.482,-30.196
147.482,-31.196
144.482,-31.196
144.482,-32.196
142.482,-32.196
142.482,-33.196
139.482,-33.196
139.482,-34.196
136.482,-34.196
136.482,-35.196
132.482,-35.196
132.482,-36.196
129.482,-36.196
129.482,-37.196
125.482,-37.196
125.482,-38.196
121.482,-38.196
121.482,-39.196
117.482,-39.196
117.482,-40.196
111.482,-40.196
111.482,-41.196
106.482,-41.196
106.482,-42.196
99.482,-42.196
99.482,-43.196
92.482,-43.196
92.482,-44.196
82.482,-44.196
82.482,-45.196
68.482,-45.196
68.482,-46.196
38.482,-46.196
38.482,-47.196
-23.518,-47.196
-23.518,-46.196
-32.518,-46.196
-32.518,-45.196
-38.518,-45.196
-38.518,-44.196
-43.518,-44.196
-43.518,-43.196
-48.518,-43.196
-48.518,-42.196
-52.518,-42.196
-52.518,-41.196
-55.518,-41.196
-55.518,-40.196
-59.518,-40.196
-59.518,-39.196
-62.518,-39.196
-62.518,-38.196
-65.518,-38.196
-65.518,-37.196
-68.518,-37.196
-68.518,-36.196
-71.518,-36.196
-71.518,-35.196
-73.518,-35.196
-73.518,-34.196
-76.518,-34.196
-76.518,-33.196
-79.518,-33.196
-79.518,-32.196
-81.518,-32.196
-81.518,-31.196
-83.518,-31.196
-83.518,-30.196
-86.518,-30.196
-86.518,-29.196
-88.518,-29.196
-88.518,-28.196
-90.518,-28.196
-90.518,-27.196
-92.518,-27.196
-92.518,-26.196
-94.518,-26.196
-94.518,-25.196
-96.518,-25.196
-96.518,-24.196
-98.518,-24.196
-98.518,-23.196
-100.518,-23.196
-100.518,-22.196
-102.518,-22.196
-102.518,-21.196
-104.518,-21.196
-104.518,-20.196
-106.518,-20.196
-106.518,-19.196
-108.518,-19.196
-108.518,-18.196
-110.518,-18.196
-110.518,-17.196
-111.518,-17.196
-111.518,-16.196
-113.518,-16.196
-113.518,-15.196
-115.518,-15.196
-115.518,-14.196
-117.518,-14.196
-117.518,-13.196
-118.518,-13.196
-118.518,-12.196
-120.518,-12.196
-120.518,-11.196
-122.518,-11.196
-122.518,-10.196
-123.518,-10.196
-123.518,-9.196
-125.518,-9.196
-125.518,-8.196
-127.518,-8.196
-127.518,-7.196
-128.518,-7.196
-128.518,-6.196
-130.518,-6.196
-130.518,-5.196
-131.518,-5.196
-131.518,-4.196
-133.518,-4.196
-133.518,-3.196
-135.518,-3.196
-135.518,-2.196
-136.518,-2.196
-136.518,-1.196
-138.518,-1.196
-138.518,-0.196
-139.518,-0.196
-139.518,0.804
-141.518,0.804
-141.518,1.804
-142.518,1.804
-142.518,2.804
-144.518,2.804
-144.518,3.804
-145.518,3.804
-145.518,4.804
-146.518,4.804
-146.518,5.804
-148.518,5.804
-148.518,6.804
-149.518,6.804
-149.518,7.804
-151.518,7.804
-151.518,8.804
-152.518,8.804
-152.518,9.804
-154.518,9.804
-154.518,10.804
-155.518,10.804
-155.518,11.804
-156.518,11.804
-156.518,12.804
-158.518,12.804
-158.518,13.804
-159.518,13.804
-159.518,14.804
-160.518,14.804
-160.518,15.804
-162.518,15.804
-162.518,16.804
-163.518,16.804
-163.518,17.804
-164.518,17.804
-164.518,18.804
-166.518,18.804
-166.518,19.804
-167.518,19.804
-167.518,20.804
-168.518,20.804
-168.518,21.804
-170.518,21.804
-170.518,22.804
-171.518,22.804
-171.518,23.804
-172.518,23.804
-172.518,24.804
-174.518,24.804
-174.518,25.804
-175.518,25.804
-175.518,26.804
-176.518,26.804
-176.518,27.804
-177.518,27.804
-177.518,28.804
-179.518,28.804
-179.518,29.804
-180.518,29.804
-180.518,30.804
-181.518,30.804
-181.518,31.804
-182.518,31.804
-182.518,32.804
-184.518,32.804
-184.518,33.804
-185.518,33.804
-185.518,34.804
-186.518,34.804
-186.518,35.804
-187.518,35.804
-187.518,36.804
-188.518,36.804
-188.518,37.804
-190.518,37.804
-190.518,38.804
-191.518,38.804
-191.518,39.804
-192.518,39.804
-192.518,40.804
-193.518,40.804
-193.518,41.804
-194.518,41.804
-194.518,42.804
-196.518,42.804
-196.518,43.804
-197.518,43.804
-197.518,44.804
-198.518,44.804
-198.518,45.804
-199.518,45.804
-199.518,46.804
-200.518,46.804
-200.518,47.804
-201.518,47.804
-201.518,48.804
-203.518,48.804
-203.518,49.804
-204.518,49.804
-204.518,50.804
-205.518,50.804
-205.518,51.804
-206.518,51.804
-206.518,52.804
-207.518,52.804
-207.518,53.804
-208.518,53.804
-208.518,54.804
-209.518,54.804
-209.518,55.804
-211.518,55.804
-211.518,56.804
-212.518,56.804
-212.518,57.804
-213.518,57.804
-213.518,58.804
-214.518,58.804
-214.518,59.804
-215.518,59.804
-215.518,60.804
-216.518,60.804
-216.518,61.804
-217.518,61.804
-217.518,62.804
-218.518,62.804
-218.518,63.804
-220.518,63.804
-220.518,64.804
-221.518,64.804
-221.518,65.804
-222.518,65.804
-222.518,66.804
-223.518,66.804
-223.518,67.804
-224.518,67.804
-224.518,68.804
-225.518,68.804
-225.518,69.804
-226.518,69.804
-226.518,70.804
-227.518,70.804
-227.518,71.804
-228.518,71.804
-228.518,72.804
-229.518,72.804
-229.518,73.804
-230.518,73.804
-230.518,74.804
-231.518,74.804
-231.518,75.804
-233.518,75.804
-233.518,76.804
-234.518,76.804
-234.518,77.804
-235.518,77.804
-235.518,78.804
-236.518,78.804
-236.518,79.804
-237.518,79.804
-237.518,80.804
-238.518,80.804
-238.518,81.804
-239.518,81.804
-239.518,82.804
-240.518,82.804
-240.518,83.804
-241.518,83.804
-241.518,84.804
-242.518,84.804
-242.518,85.804
-243.518,85.804
-243.518,86.804
-244.518,86.804
-244.518,87.804
-245.518,87.804
-245.518,88.804
-246.518,88.804
-246.518,89.804
-247.518,89.804
-247.518,90.804
-248.518,90.804
-248.518,91.804
-249.518,91.804
-249.518,92.804
-250.518,92.804
-250.518,93.804
-251.518,93.804
-251.518,94.804
-252.518,94.804
-252.518,95.804
-253.518,95.804
-253.518,96.804
-254.518,96.804
-254.518,97.804
-255.518,97.804
-255.518,98.804
-256.518,98.804
-256.518,99.804
-257.518,99.804
-257.518,100.804
-258.518,100.804
-258.518,101.804
-259.518,101.804
-259.518,102.804
-260.518,102.804
-260.518,103.804
-261.518,103.804
-261.518,104.804
-262.518,104.804
-262.518,105.804
-263.518,105.804
-263.518,106.804
-264.518,106.804
-264.518,107.804
-265.518,107.804
-265.518,108.804
-266.518,108.804
-266.518,109.804
-267.518,109.804
-267.518,110.804
-268.518,110.804
-268.518,111.804
-269.518,111.804
-269.518,112.804
-270.518,112.804
-270.518,113.804
-271.518,113.804
-271.518,114.804
-272.518,114.804
-272.518,115.804
-273.518,115.804
-273.518,116.804
-274.518,116.804
-274.518,117.804
-275.518,117.804
-275.518,118.804
-276.518,118.804
-276.518,119.804
-277.518,119.804
-277.518,120.804
-278.518,120.804
-278.518,121.804
-279.518,121.804
-279.518,122.804
-280.518,122.804
-280.518,123.804
-281.518,123.804
-281.518,124.804
-282.518,124.804
-282.518,125.804
-283.518,125.804
-283.518,126.804
-284.518,126.804
-284.518,127.804
-285.518,127.804
-285.518,128.804
-286.518,128.804
-286.518,129.804
-287.518,129.804
-287.518,130.804
-288.518,130.804
-288.518,131.804
-289.518,131.804
-289.518,132.804
-290.518,132.804
-290.518,133.804
-291.518,133.804
-291.518,134.804
-292.518,134.804
-292.518,135.804
-293.518,135.804
-293.518,136.804
-294.518,136.804
-294.518,137.804
-295.518,137.804
-295.518,138.804
-296.518,138.804
-296.518,139.804
-297.518,139.804
-297.518,141.804
-298.518,141.804
-298.518,142.804
-299.518,142.804
-299.518,143.804
-300.518,143.804
-300.518,144.804
-301.518,144.804
-301.518,145.804
-302.518,145.804
-302.518,146.804
-303.518,146.804
-303.518,147.804
-304.518,147.804
-304.518,148.804
-305.518,148.804
-305.518,149.804
-306.518,149.804
-306.518,150.804
-307.518,150.804
-307.518,151.804
-308.518,151.804
-308.518,152.804
-309.518,152.804
-309.518,153.804
-310.518,153.804
-310.518,154.804
-311.518,154.804
-311.518,156.804
-312.518,156.804
-312.518,157.804
-313.518,157.804
-313.518,158.804
-314.518,158.804
-314.518,159.804
-315.518,159.804
-315.518,160.804
-316.518,160.804
-316.518,161.804
-317.518,161.804
-317.518,162.804
-318.518,162.804
-318.518,163.804
-319.518,163.804
-319.518,164.804
-320.518,164.804
-320.518,165.804
-321.518,165.804
-321.518,166.804
-322.518,166.804
-322.518,167.804
-323.518,167.804
-323.518,168.804
-324.518,168.804
-324.518,170.804
-325.518,170.804
-325.518,171.804
-326.518,171.804
-326.518,172.804
-327.518,172.804
-327.518,173.804
-328.518,173.804
-328.518,174.804
-329.518,174.804
-329.518,175.804
-330.518,175.804
-330.518,176.804
-331.518,176.804
-331.518,177.804
-332.518,177.804
-332.518,178.804
-333.518,178.804
-333.518,179.804
-334.518,179.804
-334.518,180.804
-335.518,180.804
-335.518,182.804
-336.518,182.804
-336.518,183.804
-337.518,183.804
-337.518,184.804
-338.518,184.804
-338.518,185.804
-339.518,185.804
-339.518,186.804
-340.518,186.804
-340.518,187.804
-341.518,187.804
-341.518,188.804
-342.518,188.804
-342.518,189.804
-343.518,189.804
-343.518,190.804
-344.518,190.804
-344.518,192.804
-345.518,192.804
-345.518,193.804
-346.518,193.804
-346.518,194.804
-347.518,194.804
-347.518,195.804
-348.518,195.804
-348.518,196.804
-349.518,196.804
-349.518,197.804
-350.518,197.804
-350.518,198.804
-351.518,198.804
-351.518,199.804
-352.518,199.804
-352.518,200.804
-353.518,200.804
-353.518,201.804
-354.518,201.804
-354.518,203.804
-355.518,203.804
-355.518,204.804
-356.518,204.804
-356.518,205.804
-357.518,205.804
-357.518,206.804
-358.518,206.804
-358.518,207.804
-359.518,207.804
-359.518,208.804
-360.518,208.804
-360.518,209.804
-361.518,209.804
-361.518,210.804
-362.518,210.804
-362.518,212.804
-363.518,212.804
-363.518,213.804
-364.518,213.804
-364.518,214.804
-365.518,214.804
-365.518,215.804
-366.518,215.804
-366.518,216.804
-367.518,216.804
-367.518,217.804
-368.518,217.804
-368.518,218.804
-369.518,218.804
-369.518,219.804
-370.518,219.804
-370.518,221.804
-371.518,221.804
-371.518,222.804
-372.518,222.804
-372.518,223.804
-373.518,223.804
-373.518,224.804
-374.518,224.804
-374.518,225.804
-375.518,225.804
-375.518,226.804
-376.518,226.804
-376.518,227.804
-377.518,227.804
-377.518,228.804
-378.518,228.804
-378.518,230.804
-379.518,230.804
-379.518,231.804
-380.518,231.804
-380.518,232.804
-381.518,232.804
-381.518,233.804
-382.518,233.804
-382.518,234.804
-383.518,234.804
-383.518,235.804
-384.518,235.804
-384.518,236.804
-385.518,236.804
-385.518,237.804
-386.518,237.804
-386.518,239.804
-387.518,239.804
-387.518,240.804
-388.518,240.804
-388.518,241.804
-389.518,241.804
-389.518,242.804
-390.518,242.804
-390.518,243.804
-391.518,243.804
-391.518,244.804
-392.518,244.804
-392.518,245.804
-393.518,245.804
-393.518,247.804
-394.518,247.804
-394.518,248.804
-395.518,248.804
-395.518,249.804
-396.518,249.804
-396.518,250.804
-397.518,250.804
-397.518,251.804
-398.518,251.804
-398.518,252.804
-399.518,252.804
-399.518,253.804
-400.518,253.804
-400.518,254.804
-401.518,254.804
-401.518,256.804
-402.518,256.804
-402.518,257.804
-403.518,257.804
-403.518,258.804
-404.518,258.804
-404.518,259.804
-405.518,259.804
-405.518,260.804
-406.518,260.804
-406.518,261.804
-407.518,261.804
-407.518,262.804
-408.518,262.804
-408.518,263.804
-409.518,263.804
-409.518,264.804
-410.518,264.804
-410.518,265.804
-411.518,265.804
-411.518,266.804
-413.518,266.804
