xpoints,ypoints
140.449,30.135
141.449,30.135
141.449,31.135
143.449,31.135
143.449,32.135
145.449,32.135
145.449,33.135
147.449,33.135
147.449,34.135
149.449,34.135
149.449,35.135
150.449,35.135
150.449,36.135
152.449,36.135
152.449,37.135
153.449,37.135
153.449,38.135
155.449,38.135
155.449,39.135
156.449,39.135
156.449,40.135
158.449,40.135
158.449,41.135
159.449,41.135
159.449,42.135
161.449,42.135
161.449,43.135
162.449,43.135
162.449,44.135
163.449,44.135
163.449,45.135
164.449,45.135
164.449,46.135
166.449,46.135
166.449,47.135
167.449,47.135
167.449,48.135
168.449,48.135
168.449,49.135
169.449,49.135
169.449,50.135
170.449,50.135
170.449,51.135
172.449,51.135
172.449,52.135
173.449,52.135
173.449,53.135
174.449,53.135
174.449,54.135
175.449,54.135
175.449,55.135
176.449,55.135
176.449,56.135
177.449,56.135
177.449,57.135
178.449,57.135
178.449,58.135
179.449,58.135
179.449,59.135
180.449,59.135
180.449,60.135
181.449,60.135
181.449,61.135
182.449,61.135
182.449,63.135
183.449,63.135
183.449,64.135
184.449,64.135
184.449,65.135
185.449,65.135
185.449,66.135
186.449,66.135
186.449,67.135
187.449,67.135
187.449,69.135
188.449,69.135
188.449,70.135
189.449,70.135
189.449,71.135
190.449,71.135
190.449,73.135
191.449,73.135
191.449,74.135
192.449,74.135
192.449,76.135
193.449,76.135
193.449,78.135
194.449,78.135
194.449,80.135
195.449,80.135
195.449,82.135
196.449,82.135
196.449,103.135
197.449,103.135
197.449,108.135
198.449,108.135
198.449,111.135
199.449,111.135
199.449,114.135
200.449,114.135
200.449,117.135
201.449,117.135
201.449,119.135
202.449,119.135
202.449,122.135
203.449,122.135
203.449,125.135
204.449,125.135
204.449,129.135
205.449,129.135
205.449,142.135
204.449,142.135
204.449,144.135
203.449,144.135
203.449,147.135
202.449,147.135
202.449,149.135
201.449,149.135
201.449,151.135
200.449,151.135
200.449,152.135
199.449,152.135
199.449,154.135
198.449,154.135
198.449,156.135
197.449,156.135
197.449,157.135
196.449,157.135
196.449,159.135
195.449,159.135
195.449,161.135
194.449,161.135
194.449,162.135
193.449,162.135
193.449,164.135
192.449,164.135
192.449,165.135
191.449,165.135
191.449,167.135
190.449,167.135
190.449,168.135
189.449,168.135
189.449,170.135
188.449,170.135
188.449,171.135
187.449,171.135
187.449,173.135
186.449,173.135
186.449,175.135
185.449,175.135
185.449,176.135
184.449,176.135
184.449,178.135
183.449,178.135
183.449,179.135
182.449,179.135
182.449,181.135
181.449,181.135
181.449,182.135
180.449,182.135
180.449,184.135
179.449,184.135
179.449,186.135
