xpoints,ypoints
303.555,-336.251
305.555,-336.251
305.555,-335.251
308.555,-335.251
308.555,-334.251
310.555,-334.251
310.555,-333.251
312.555,-333.251
312.555,-332.251
314.555,-332.251
314.555,-331.251
316.555,-331.251
316.555,-330.251
319.555,-330.251
319.555,-329.251
321.555,-329.251
321.555,-328.251
323.555,-328.251
323.555,-327.251
325.555,-327.251
325.555,-326.251
327.555,-326.251
327.555,-325.251
329.555,-325.251
329.555,-324.251
331.555,-324.251
331.555,-323.251
333.555,-323.251
333.555,-322.251
335.555,-322.251
335.555,-321.251
337.555,-321.251
337.555,-320.251
338.555,-320.251
338.555,-319.251
340.555,-319.251
340.555,-318.251
342.555,-318.251
342.555,-317.251
344.555,-317.251
344.555,-316.251
346.555,-316.251
346.555,-315.251
348.555,-315.251
348.555,-314.251
350.555,-314.251
350.555,-313.251
351.555,-313.251
351.555,-312.251
353.555,-312.251
353.555,-311.251
355.555,-311.251
355.555,-310.251
357.555,-310.251
357.555,-309.251
358.555,-309.251
358.555,-308.251
360.555,-308.251
360.555,-307.251
362.555,-307.251
362.555,-306.251
363.555,-306.251
363.555,-305.251
365.555,-305.251
365.555,-304.251
367.555,-304.251
367.555,-303.251
368.555,-303.251
368.555,-302.251
370.555,-302.251
370.555,-301.251
372.555,-301.251
372.555,-300.251
373.555,-300.251
373.555,-299.251
375.555,-299.251
375.555,-298.251
376.555,-298.251
376.555,-297.251
378.555,-297.251
378.555,-296.251
379.555,-296.251
379.555,-295.251
381.555,-295.251
381.555,-294.251
382.555,-294.251
382.555,-293.251
384.555,-293.251
384.555,-292.251
385.555,-292.251
385.555,-291.251
387.555,-291.251
387.555,-290.251
388.555,-290.251
388.555,-289.251
390.555,-289.251
390.555,-288.251
391.555,-288.251
391.555,-287.251
393.555,-287.251
393.555,-286.251
394.555,-286.251
394.555,-285.251
396.555,-285.251
396.555,-284.251
397.555,-284.251
397.555,-283.251
398.555,-283.251
398.555,-282.251
400.555,-282.251
400.555,-281.251
401.555,-281.251
401.555,-280.251
402.555,-280.251
402.555,-279.251
404.555,-279.251
404.555,-278.251
405.555,-278.251
405.555,-277.251
406.555,-277.251
406.555,-276.251
408.555,-276.251
408.555,-275.251
409.555,-275.251
409.555,-274.251
410.555,-274.251
410.555,-273.251
412.555,-273.251
412.555,-272.251
413.555,-272.251
413.555,-271.251
414.555,-271.251
414.555,-270.251
416.555,-270.251
416.555,-269.251
417.555,-269.251
417.555,-268.251
418.555,-268.251
418.555,-267.251
419.555,-267.251
419.555,-266.251
421.555,-266.251
421.555,-265.251
422.555,-265.251
422.555,-264.251
423.555,-264.251
423.555,-263.251
424.555,-263.251
424.555,-262.251
425.555,-262.251
425.555,-261.251
426.555,-261.251
426.555,-260.251
428.555,-260.251
428.555,-259.251
429.555,-259.251
429.555,-258.251
430.555,-258.251
430.555,-257.251
431.555,-257.251
431.555,-256.251
432.555,-256.251
432.555,-255.251
433.555,-255.251
433.555,-254.251
435.555,-254.251
435.555,-253.251
436.555,-253.251
436.555,-252.251
437.555,-252.251
437.555,-251.251
438.555,-251.251
438.555,-250.251
439.555,-250.251
439.555,-249.251
440.555,-249.251
440.555,-248.251
441.555,-248.251
441.555,-247.251
442.555,-247.251
442.555,-246.251
443.555,-246.251
443.555,-245.251
444.555,-245.251
444.555,-244.251
445.555,-244.251
445.555,-243.251
446.555,-243.251
446.555,-242.251
447.555,-242.251
