xpoints,ypoints
336.604,-89.168
337.604,-89.168
337.604,-88.168
338.604,-88.168
338.604,-87.168
340.604,-87.168
340.604,-86.168
341.604,-86.168
341.604,-85.168
342.604,-85.168
342.604,-84.168
343.604,-84.168
343.604,-83.168
345.604,-83.168
345.604,-82.168
346.604,-82.168
346.604,-81.168
347.604,-81.168
347.604,-80.168
348.604,-80.168
348.604,-79.168
349.604,-79.168
349.604,-78.168
350.604,-78.168
350.604,-77.168
352.604,-77.168
352.604,-76.168
353.604,-76.168
353.604,-75.168
354.604,-75.168
354.604,-74.168
355.604,-74.168
355.604,-73.168
356.604,-73.168
356.604,-72.168
357.604,-72.168
357.604,-71.168
358.604,-71.168
358.604,-70.168
360.604,-70.168
360.604,-69.168
361.604,-69.168
361.604,-68.168
362.604,-68.168
362.604,-67.168
363.604,-67.168
363.604,-66.168
364.604,-66.168
364.604,-65.168
365.604,-65.168
365.604,-64.168
366.604,-64.168
366.604,-63.168
367.604,-63.168
367.604,-62.168
368.604,-62.168
368.604,-61.168
369.604,-61.168
369.604,-60.168
370.604,-60.168
370.604,-59.168
371.604,-59.168
371.604,-58.168
373.604,-58.168
373.604,-57.168
374.604,-57.168
374.604,-56.168
375.604,-56.168
375.604,-55.168
376.604,-55.168
376.604,-54.168
377.604,-54.168
377.604,-53.168
378.604,-53.168
378.604,-52.168
379.604,-52.168
379.604,-51.168
380.604,-51.168
380.604,-50.168
381.604,-50.168
381.604,-49.168
382.604,-49.168
382.604,-48.168
383.604,-48.168
383.604,-47.168
384.604,-47.168
384.604,-46.168
385.604,-46.168
385.604,-44.168
386.604,-44.168
386.604,-43.168
387.604,-43.168
387.604,-42.168
388.604,-42.168
388.604,-41.168
389.604,-41.168
389.604,-40.168
390.604,-40.168
390.604,-39.168
391.604,-39.168
391.604,-38.168
392.604,-38.168
392.604,-36.168
393.604,-36.168
393.604,-35.168
394.604,-35.168
394.604,-34.168
395.604,-34.168
395.604,-33.168
396.604,-33.168
396.604,-31.168
397.604,-31.168
397.604,-30.168
398.604,-30.168
398.604,-29.168
399.604,-29.168
399.604,-27.168
400.604,-27.168
400.604,-26.168
