xpoints,ypoints
263.733,-404.704
268.733,-404.704
268.733,-403.704
273.733,-403.704
273.733,-402.704
278.733,-402.704
278.733,-401.704
283.733,-401.704
283.733,-400.704
288.733,-400.704
288.733,-399.704
292.733,-399.704
292.733,-398.704
297.733,-398.704
297.733,-397.704
301.733,-397.704
301.733,-396.704
305.733,-396.704
305.733,-395.704
309.733,-395.704
309.733,-394.704
313.733,-394.704
313.733,-393.704
317.733,-393.704
317.733,-392.704
321.733,-392.704
321.733,-391.704
324.733,-391.704
324.733,-390.704
328.733,-390.704
328.733,-389.704
331.733,-389.704
331.733,-388.704
335.733,-388.704
335.733,-387.704
338.733,-387.704
338.733,-386.704
341.733,-386.704
341.733,-385.704
344.733,-385.704
344.733,-384.704
348.733,-384.704
348.733,-383.704
350.733,-383.704
350.733,-382.704
353.733,-382.704
353.733,-381.704
356.733,-381.704
356.733,-380.704
359.733,-380.704
359.733,-379.704
361.733,-379.704
361.733,-378.704
364.733,-378.704
364.733,-377.704
367.733,-377.704
367.733,-376.704
369.733,-376.704
369.733,-375.704
372.733,-375.704
372.733,-374.704
374.733,-374.704
374.733,-373.704
376.733,-373.704
376.733,-372.704
379.733,-372.704
379.733,-371.704
381.733,-371.704
381.733,-370.704
383.733,-370.704
383.733,-369.704
386.733,-369.704
386.733,-368.704
388.733,-368.704
388.733,-367.704
390.733,-367.704
390.733,-366.704
392.733,-366.704
392.733,-365.704
395.733,-365.704
395.733,-364.704
397.733,-364.704
397.733,-363.704
399.733,-363.704
399.733,-362.704
401.733,-362.704
401.733,-361.704
403.733,-361.704
403.733,-360.704
405.733,-360.704
405.733,-359.704
407.733,-359.704
407.733,-358.704
409.733,-358.704
409.733,-357.704
412.733,-357.704
412.733,-356.704
414.733,-356.704
414.733,-355.704
416.733,-355.704
416.733,-354.704
418.733,-354.704
418.733,-353.704
419.733,-353.704
419.733,-352.704
421.733,-352.704
421.733,-351.704
423.733,-351.704
423.733,-350.704
425.733,-350.704
425.733,-349.704
427.733,-349.704
427.733,-348.704
429.733,-348.704
429.733,-347.704
431.733,-347.704
431.733,-346.704
433.733,-346.704
433.733,-345.704
435.733,-345.704
435.733,-344.704
437.733,-344.704
437.733,-343.704
439.733,-343.704
439.733,-342.704
441.733,-342.704
441.733,-341.704
442.733,-341.704
442.733,-340.704
444.733,-340.704
444.733,-339.704
446.733,-339.704
446.733,-338.704
448.733,-338.704
448.733,-337.704
450.733,-337.704
450.733,-336.704
452.733,-336.704
452.733,-335.704
453.733,-335.704
453.733,-334.704
455.733,-334.704
455.733,-333.704
457.733,-333.704
457.733,-332.704
458.733,-332.704
458.733,-331.704
460.733,-331.704
460.733,-330.704
462.733,-330.704
462.733,-329.704
464.733,-329.704
464.733,-328.704
465.733,-328.704
465.733,-327.704
467.733,-327.704
467.733,-326.704
469.733,-326.704
469.733,-325.704
470.733,-325.704
470.733,-324.704
472.733,-324.704
472.733,-323.704
473.733,-323.704
473.733,-322.704
475.733,-322.704
475.733,-321.704
477.733,-321.704
477.733,-320.704
478.733,-320.704
478.733,-319.704
480.733,-319.704
480.733,-318.704
481.733,-318.704
481.733,-317.704
483.733,-317.704
483.733,-316.704
484.733,-316.704
484.733,-315.704
486.733,-315.704
486.733,-314.704
487.733,-314.704
487.733,-313.704
489.733,-313.704
489.733,-312.704
490.733,-312.704
490.733,-311.704
491.733,-311.704
491.733,-310.704
493.733,-310.704
493.733,-309.704
494.733,-309.704
494.733,-308.704
495.733,-308.704
495.733,-307.704
497.733,-307.704
497.733,-306.704
498.733,-306.704
498.733,-305.704
499.733,-305.704
499.733,-304.704
500.733,-304.704
500.733,-303.704
502.733,-303.704
502.733,-302.704
503.733,-302.704
503.733,-301.704
504.733,-301.704
504.733,-300.704
505.733,-300.704
505.733,-299.704
507.733,-299.704
507.733,-298.704
508.733,-298.704
