xpoints,ypoints
482.691,-335.911
483.691,-335.911
483.691,-334.911
485.691,-334.911
485.691,-333.911
486.691,-333.911
486.691,-332.911
488.691,-332.911
488.691,-331.911
489.691,-331.911
489.691,-330.911
491.691,-330.911
491.691,-329.911
492.691,-329.911
492.691,-328.911
493.691,-328.911
493.691,-327.911
495.691,-327.911
495.691,-326.911
496.691,-326.911
496.691,-325.911
498.691,-325.911
498.691,-324.911
499.691,-324.911
499.691,-323.911
500.691,-323.911
500.691,-322.911
502.691,-322.911
502.691,-321.911
503.691,-321.911
503.691,-320.911
504.691,-320.911
504.691,-319.911
506.691,-319.911
506.691,-318.911
507.691,-318.911
507.691,-317.911
508.691,-317.911
508.691,-316.911
509.691,-316.911
509.691,-315.911
511.691,-315.911
511.691,-314.911
512.691,-314.911
512.691,-313.911
513.691,-313.911
513.691,-312.911
514.691,-312.911
514.691,-311.911
515.691,-311.911
515.691,-310.911
517.691,-310.911
517.691,-309.911
518.691,-309.911
518.691,-308.911
519.691,-308.911
519.691,-307.911
520.691,-307.911
520.691,-306.911
521.691,-306.911
521.691,-305.911
522.691,-305.911
522.691,-304.911
523.691,-304.911
523.691,-303.911
524.691,-303.911
524.691,-302.911
525.691,-302.911
525.691,-301.911
526.691,-301.911
526.691,-300.911
527.691,-300.911
527.691,-298.911
528.691,-298.911
528.691,-297.911
529.691,-297.911
529.691,-296.911
530.691,-296.911
530.691,-294.911
531.691,-294.911
531.691,-293.911
532.691,-293.911
532.691,-292.911
533.691,-292.911
533.691,-290.911
534.691,-290.911
534.691,-289.911
535.691,-289.911
535.691,-287.911
536.691,-287.911
536.691,-286.911
537.691,-286.911
537.691,-284.911
538.691,-284.911
538.691,-282.911
539.691,-282.911
539.691,-280.911
540.691,-280.911
540.691,-278.911
541.691,-278.911
541.691,-277.911
542.691,-277.911
542.691,-275.911
543.691,-275.911
543.691,-273.911
544.691,-273.911
544.691,-270.911
545.691,-270.911
545.691,-268.911
546.691,-268.911
546.691,-266.911
547.691,-266.911
547.691,-264.911
548.691,-264.911
548.691,-261.911
549.691,-261.911
549.691,-259.911
550.691,-259.911
550.691,-256.911
551.691,-256.911
551.691,-253.911
552.691,-253.911
552.691,-250.911
553.691,-250.911
553.691,-247.911
554.691,-247.911
554.691,-244.911
555.691,-244.911
555.691,-240.911
556.691,-240.911
556.691,-236.911
557.691,-236.911
557.691,-232.911
558.691,-232.911
558.691,-228.911
559.691,-228.911
559.691,-223.911
560.691,-223.911
560.691,-217.911
561.691,-217.911
561.691,-209.911
562.691,-209.911
562.691,-200.911
563.691,-200.911
563.691,-165.911
562.691,-165.911
562.691,-153.911
561.691,-153.911
561.691,-144.911
560.691,-144.911
560.691,-136.911
559.691,-136.911
559.691,-129.911
558.691,-129.911
558.691,-122.911
557.691,-122.911
557.691,-116.911
556.691,-116.911
556.691,-111.911
555.691,-111.911
555.691,-106.911
554.691,-106.911
554.691,-101.911
553.691,-101.911
553.691,-96.911
552.691,-96.911
552.691,-91.911
551.691,-91.911
551.691,-86.911
550.691,-86.911
550.691,-82.911
549.691,-82.911
549.691,-78.911
548.691,-78.911
548.691,-74.911
547.691,-74.911
547.691,-70.911
546.691,-70.911
546.691,-66.911
545.691,-66.911
545.691,-62.911
544.691,-62.911
544.691,-58.911
543.691,-58.911
543.691,-55.911
542.691,-55.911
542.691,-51.911
541.691,-51.911
541.691,-48.911
540.691,-48.911
540.691,-45.911
539.691,-45.911
539.691,-41.911
538.691,-41.911
538.691,-38.911
537.691,-38.911
537.691,-35.911
536.691,-35.911
536.691,-32.911
535.691,-32.911
535.691,-29.911
534.691,-29.911
534.691,-27.911
533.691,-27.911
533.691,-24.911
532.691,-24.911
532.691,-21.911
531.691,-21.911
531.691,-18.911
530.691,-18.911
530.691,-16.911
529.691,-16.911
529.691,-14.911
528.691,-14.911
528.691,-11.911
527.691,-11.911
527.691,-9.911
526.691,-9.911
526.691,-6.911
525.691,-6.911
525.691,-4.911
524.691,-4.911
524.691,-2.911
523.691,-2.911
523.691,0.089
522.691,0.089
522.691,2.089
521.691,2.089
521.691,4.089
520.691,4.089
520.691,7.089
519.691,7.089
519.691,9.089
518.691,9.089
518.691,11.089
517.691,11.089
517.691,14.089
516.691,14.089
516.691,16.089
506.691,16.089
506.691,17.089
485.691,17.089
485.691,16.089
480.691,16.089
480.691,15.089
