xpoints,ypoints
238.134,-328.666
240.134,-328.666
240.134,-327.666
242.134,-327.666
242.134,-326.666
244.134,-326.666
244.134,-325.666
246.134,-325.666
246.134,-324.666
248.134,-324.666
248.134,-323.666
249.134,-323.666
249.134,-322.666
251.134,-322.666
251.134,-321.666
253.134,-321.666
253.134,-320.666
255.134,-320.666
255.134,-319.666
257.134,-319.666
257.134,-318.666
259.134,-318.666
259.134,-317.666
261.134,-317.666
261.134,-316.666
262.134,-316.666
262.134,-315.666
264.134,-315.666
264.134,-314.666
266.134,-314.666
266.134,-313.666
268.134,-313.666
268.134,-312.666
270.134,-312.666
270.134,-311.666
272.134,-311.666
272.134,-310.666
273.134,-310.666
273.134,-309.666
275.134,-309.666
275.134,-308.666
277.134,-308.666
277.134,-307.666
279.134,-307.666
279.134,-306.666
280.134,-306.666
280.134,-305.666
282.134,-305.666
282.134,-304.666
284.134,-304.666
284.134,-303.666
286.134,-303.666
286.134,-302.666
287.134,-302.666
287.134,-301.666
289.134,-301.666
289.134,-300.666
291.134,-300.666
291.134,-299.666
292.134,-299.666
292.134,-298.666
294.134,-298.666
294.134,-297.666
296.134,-297.666
296.134,-296.666
297.134,-296.666
297.134,-295.666
299.134,-295.666
299.134,-294.666
301.134,-294.666
301.134,-293.666
302.134,-293.666
302.134,-292.666
304.134,-292.666
304.134,-291.666
306.134,-291.666
306.134,-290.666
307.134,-290.666
307.134,-289.666
309.134,-289.666
309.134,-288.666
311.134,-288.666
311.134,-287.666
312.134,-287.666
312.134,-286.666
314.134,-286.666
314.134,-285.666
315.134,-285.666
315.134,-284.666
317.134,-284.666
317.134,-283.666
319.134,-283.666
319.134,-282.666
320.134,-282.666
320.134,-281.666
322.134,-281.666
322.134,-280.666
323.134,-280.666
323.134,-279.666
325.134,-279.666
325.134,-278.666
326.134,-278.666
326.134,-277.666
328.134,-277.666
328.134,-276.666
329.134,-276.666
329.134,-275.666
331.134,-275.666
331.134,-274.666
333.134,-274.666
333.134,-273.666
334.134,-273.666
334.134,-272.666
336.134,-272.666
336.134,-271.666
337.134,-271.666
337.134,-270.666
339.134,-270.666
339.134,-269.666
340.134,-269.666
340.134,-268.666
342.134,-268.666
342.134,-267.666
343.134,-267.666
343.134,-266.666
345.134,-266.666
345.134,-265.666
346.134,-265.666
346.134,-264.666
348.134,-264.666
348.134,-263.666
349.134,-263.666
349.134,-262.666
350.134,-262.666
350.134,-261.666
352.134,-261.666
352.134,-260.666
353.134,-260.666
353.134,-259.666
355.134,-259.666
355.134,-258.666
356.134,-258.666
356.134,-257.666
358.134,-257.666
358.134,-256.666
359.134,-256.666
359.134,-255.666
361.134,-255.666
361.134,-254.666
362.134,-254.666
362.134,-253.666
364.134,-253.666
364.134,-252.666
365.134,-252.666
365.134,-251.666
367.134,-251.666
367.134,-250.666
368.134,-250.666
368.134,-249.666
369.134,-249.666
369.134,-248.666
371.134,-248.666
371.134,-247.666
372.134,-247.666
372.134,-246.666
374.134,-246.666
374.134,-245.666
375.134,-245.666
375.134,-244.666
377.134,-244.666
377.134,-243.666
378.134,-243.666
378.134,-242.666
380.134,-242.666
380.134,-241.666
381.134,-241.666
381.134,-240.666
382.134,-240.666
382.134,-239.666
384.134,-239.666
384.134,-238.666
385.134,-238.666
385.134,-237.666
387.134,-237.666
387.134,-236.666
388.134,-236.666
388.134,-235.666
390.134,-235.666
390.134,-234.666
391.134,-234.666
391.134,-233.666
392.134,-233.666
392.134,-232.666
394.134,-232.666
394.134,-231.666
395.134,-231.666
395.134,-230.666
397.134,-230.666
397.134,-229.666
398.134,-229.666
398.134,-228.666
400.134,-228.666
400.134,-227.666
401.134,-227.666
401.134,-226.666
402.134,-226.666
402.134,-225.666
404.134,-225.666
404.134,-224.666
405.134,-224.666
405.134,-223.666
407.134,-223.666
407.134,-222.666
408.134,-222.666
408.134,-221.666
409.134,-221.666
409.134,-220.666
411.134,-220.666
411.134,-219.666
412.134,-219.666
412.134,-218.666
413.134,-218.666
413.134,-217.666
415.134,-217.666
415.134,-216.666
416.134,-216.666
416.134,-215.666
418.134,-215.666
418.134,-214.666
419.134,-214.666
419.134,-213.666
420.134,-213.666
420.134,-212.666
422.134,-212.666
422.134,-211.666
423.134,-211.666
423.134,-210.666
425.134,-210.666
425.134,-209.666
426.134,-209.666
426.134,-208.666
427.134,-208.666
427.134,-207.666
429.134,-207.666
429.134,-206.666
430.134,-206.666
430.134,-205.666
431.134,-205.666
431.134,-204.666
433.134,-204.666
433.134,-203.666
434.134,-203.666
434.134,-202.666
435.134,-202.666
435.134,-201.666
437.134,-201.666
437.134,-200.666
438.134,-200.666
438.134,-199.666
439.134,-199.666
439.134,-198.666
441.134,-198.666
441.134,-197.666
442.134,-197.666
442.134,-196.666
443.134,-196.666
443.134,-195.666
445.134,-195.666
445.134,-194.666
446.134,-194.666
446.134,-193.666
447.134,-193.666
447.134,-192.666
449.134,-192.666
449.134,-191.666
450.134,-191.666
450.134,-190.666
451.134,-190.666
451.134,-189.666
453.134,-189.666
453.134,-188.666
454.134,-188.666
454.134,-187.666
455.134,-187.666
455.134,-186.666
457.134,-186.666
457.134,-185.666
458.134,-185.666
458.134,-184.666
459.134,-184.666
459.134,-183.666
461.134,-183.666
461.134,-182.666
462.134,-182.666
462.134,-181.666
463.134,-181.666
463.134,-180.666
465.134,-180.666
465.134,-179.666
466.134,-179.666
466.134,-178.666
467.134,-178.666
467.134,-177.666
469.134,-177.666
469.134,-176.666
470.134,-176.666
470.134,-175.666
471.134,-175.666
471.134,-174.666
472.134,-174.666
472.134,-173.666
474.134,-173.666
474.134,-172.666
475.134,-172.666
475.134,-171.666
476.134,-171.666
476.134,-170.666
478.134,-170.666
478.134,-169.666
479.134,-169.666
479.134,-168.666
480.134,-168.666
480.134,-167.666
481.134,-167.666
481.134,-166.666
483.134,-166.666
483.134,-165.666
484.134,-165.666
484.134,-164.666
485.134,-164.666
485.134,-163.666
486.134,-163.666
486.134,-162.666
487.134,-162.666
487.134,-161.666
489.134,-161.666
489.134,-160.666
490.134,-160.666
490.134,-159.666
491.134,-159.666
491.134,-158.666
492.134,-158.666
492.134,-157.666
494.134,-157.666
494.134,-156.666
495.134,-156.666
495.134,-155.666
496.134,-155.666
496.134,-154.666
497.134,-154.666
497.134,-153.666
498.134,-153.666
498.134,-152.666
499.134,-152.666
499.134,-151.666
500.134,-151.666
500.134,-150.666
502.134,-150.666
502.134,-149.666
503.134,-149.666
503.134,-148.666
504.134,-148.666
504.134,-147.666
505.134,-147.666
505.134,-146.666
506.134,-146.666
506.134,-145.666
507.134,-145.666
507.134,-144.666
508.134,-144.666
508.134,-143.666
509.134,-143.666
509.134,-142.666
510.134,-142.666
510.134,-141.666
511.134,-141.666
511.134,-140.666
512.134,-140.666
512.134,-139.666
513.134,-139.666
513.134,-138.666
514.134,-138.666
514.134,-137.666
515.134,-137.666
515.134,-136.666
516.134,-136.666
516.134,-135.666
517.134,-135.666
517.134,-133.666
518.134,-133.666
518.134,-132.666
519.134,-132.666
519.134,-130.666
520.134,-130.666
520.134,-129.666
521.134,-129.666
521.134,-127.666
522.134,-127.666
522.134,-126.666
523.134,-126.666
523.134,-124.666
524.134,-124.666
524.134,-123.666
525.134,-123.666
525.134,-121.666
526.134,-121.666
526.134,-119.666
527.134,-119.666
527.134,-118.666
528.134,-118.666
528.134,-116.666
529.134,-116.666
529.134,-114.666
530.134,-114.666
530.134,-112.666
531.134,-112.666
531.134,-110.666
532.134,-110.666
532.134,-108.666
533.134,-108.666
533.134,-106.666
534.134,-106.666
534.134,-104.666
535.134,-104.666
535.134,-102.666
536.134,-102.666
536.134,-99.666
537.134,-99.666
537.134,-97.666
538.134,-97.666
538.134,-94.666
539.134,-94.666
539.134,-92.666
540.134,-92.666
540.134,-89.666
541.134,-89.666
541.134,-87.666
542.134,-87.666
542.134,-84.666
543.134,-84.666
543.134,-81.666
544.134,-81.666
544.134,-78.666
545.134,-78.666
545.134,-75.666
546.134,-75.666
546.134,-72.666
547.134,-72.666
547.134,-68.666
548.134,-68.666
548.134,-65.666
549.134,-65.666
549.134,-61.666
550.134,-61.666
550.134,-58.666
551.134,-58.666
551.134,-54.666
552.134,-54.666
552.134,-50.666
553.134,-50.666
553.134,-46.666
554.134,-46.666
554.134,-41.666
555.134,-41.666
555.134,-37.666
556.134,-37.666
556.134,-32.666
557.134,-32.666
557.134,-27.666
558.134,-27.666
558.134,-22.666
559.134,-22.666
559.134,-16.666
560.134,-16.666
560.134,-10.666
561.134,-10.666
561.134,-4.666
562.134,-4.666
562.134,2.334
563.134,2.334
563.134,9.334
564.134,9.334
564.134,16.334
565.134,16.334
565.134,24.334
566.134,24.334
566.134,32.334
567.134,32.334
567.134,41.334
568.134,41.334
568.134,51.334
569.134,51.334
569.134,62.334
570.134,62.334
570.134,73.334
571.134,73.334
571.134,85.334
572.134,85.334
572.134,97.334
573.134,97.334
573.134,107.334
574.134,107.334
574.134,116.334
575.134,116.334
575.134,124.334
576.134,124.334
576.134,130.334
577.134,130.334
577.134,135.334
578.134,135.334
578.134,138.334
579.134,138.334
579.134,141.334
580.134,141.334
580.134,143.334
581.134,143.334
581.134,144.334
582.134,144.334
582.134,146.334
583.134,146.334
583.134,147.334
584.134,147.334
584.134,149.334
585.134,149.334
585.134,150.334
586.134,150.334
586.134,152.334
587.134,152.334
587.134,153.334
588.134,153.334
588.134,154.334
589.134,154.334
589.134,156.334
590.134,156.334
590.134,157.334
591.134,157.334
591.134,158.334
589.134,158.334
589.134,159.334
585.134,159.334
585.134,160.334
582.134,160.334
582.134,161.334
578.134,161.334
578.134,162.334
574.134,162.334
574.134,163.334
569.134,163.334
569.134,164.334
562.134,164.334
562.134,165.334
522.134,165.334
522.134,164.334
514.134,164.334
514.134,163.334
508.134,163.334
508.134,162.334
505.134,162.334
505.134,161.334
503.134,161.334
503.134,160.334
501.134,160.334
501.134,159.334
498.134,159.334
498.134,158.334
496.134,158.334
496.134,157.334
495.134,157.334
495.134,156.334
493.134,156.334
493.134,155.334
491.134,155.334
491.134,154.334
489.134,154.334
489.134,153.334
488.134,153.334
488.134,152.334
486.134,152.334
486.134,151.334
485.134,151.334
485.134,150.334
484.134,150.334
484.134,149.334
482.134,149.334
482.134,148.334
481.134,148.334
481.134,147.334
479.134,147.334
479.134,146.334
478.134,146.334
478.134,145.334
477.134,145.334
477.134,144.334
475.134,144.334
475.134,143.334
474.134,143.334
474.134,142.334
472.134,142.334
472.134,141.334
471.134,141.334
471.134,132.334
472.134,132.334
472.134,130.334
473.134,130.334
473.134,109.334
472.134,109.334
472.134,100.334
471.134,100.334
471.134,91.334
470.134,91.334
470.134,82.334
469.134,82.334
469.134,74.334
468.134,74.334
468.134,66.334
467.134,66.334
467.134,59.334
466.134,59.334
466.134,52.334
465.134,52.334
465.134,46.334
464.134,46.334
464.134,40.334
463.134,40.334
463.134,35.334
462.134,35.334
462.134,30.334
461.134,30.334
461.134,25.334
460.134,25.334
460.134,21.334
459.134,21.334
459.134,17.334
458.134,17.334
458.134,13.334
457.134,13.334
457.134,10.334
456.134,10.334
456.134,6.334
455.134,6.334
455.134,3.334
454.134,3.334
454.134,-0.666
453.134,-0.666
453.134,-3.666
452.134,-3.666
452.134,-6.666
451.134,-6.666
451.134,-9.666
450.134,-9.666
450.134,-11.666
449.134,-11.666
449.134,-14.666
448.134,-14.666
448.134,-17.666
447.134,-17.666
447.134,-19.666
446.134,-19.666
446.134,-22.666
445.134,-22.666
445.134,-24.666
444.134,-24.666
444.134,-26.666
443.134,-26.666
443.134,-29.666
442.134,-29.666
442.134,-31.666
441.134,-31.666
441.134,-33.666
440.134,-33.666
440.134,-35.666
439.134,-35.666
439.134,-37.666
438.134,-37.666
438.134,-39.666
437.134,-39.666
437.134,-41.666
436.134,-41.666
436.134,-43.666
435.134,-43.666
435.134,-45.666
