xpoints,ypoints
255.134,41.334
256.134,41.334
256.134,42.334
257.134,42.334
257.134,43.334
259.134,43.334
259.134,44.334
260.134,44.334
260.134,45.334
261.134,45.334
261.134,46.334
262.134,46.334
262.134,47.334
263.134,47.334
263.134,48.334
264.134,48.334
264.134,49.334
266.134,49.334
266.134,50.334
267.134,50.334
267.134,51.334
268.134,51.334
268.134,52.334
269.134,52.334
269.134,53.334
270.134,53.334
270.134,54.334
271.134,54.334
271.134,55.334
272.134,55.334
272.134,56.334
274.134,56.334
274.134,57.334
275.134,57.334
275.134,58.334
276.134,58.334
276.134,59.334
277.134,59.334
277.134,60.334
278.134,60.334
278.134,61.334
279.134,61.334
279.134,62.334
280.134,62.334
280.134,63.334
281.134,63.334
281.134,64.334
282.134,64.334
282.134,65.334
283.134,65.334
283.134,66.334
284.134,66.334
284.134,67.334
285.134,67.334
285.134,68.334
286.134,68.334
286.134,69.334
287.134,69.334
287.134,70.334
288.134,70.334
288.134,71.334
289.134,71.334
289.134,72.334
290.134,72.334
290.134,73.334
291.134,73.334
291.134,74.334
292.134,74.334
292.134,75.334
293.134,75.334
293.134,76.334
294.134,76.334
294.134,77.334
295.134,77.334
295.134,78.334
296.134,78.334
296.134,79.334
297.134,79.334
297.134,81.334
298.134,81.334
298.134,82.334
299.134,82.334
299.134,83.334
300.134,83.334
300.134,84.334
301.134,84.334
301.134,85.334
302.134,85.334
302.134,86.334
303.134,86.334
303.134,88.334
304.134,88.334
304.134,89.334
305.134,89.334
305.134,90.334
306.134,90.334
306.134,91.334
307.134,91.334
307.134,93.334
308.134,93.334
308.134,94.334
309.134,94.334
309.134,95.334
310.134,95.334
310.134,97.334
311.134,97.334
311.134,98.334
312.134,98.334
312.134,99.334
313.134,99.334
313.134,101.334
314.134,101.334
314.134,102.334
315.134,102.334
315.134,104.334
316.134,104.334
316.134,105.334
317.134,105.334
317.134,107.334
318.134,107.334
318.134,108.334
319.134,108.334
319.134,110.334
320.134,110.334
320.134,112.334
321.134,112.334
321.134,113.334
322.134,113.334
322.134,115.334
323.134,115.334
323.134,117.334
324.134,117.334
324.134,119.334
325.134,119.334
325.134,121.334
326.134,121.334
326.134,123.334
327.134,123.334
327.134,125.334
328.134,125.334
328.134,127.334
329.134,127.334
329.134,130.334
330.134,130.334
330.134,132.334
331.134,132.334
331.134,134.334
332.134,134.334
332.134,136.334
333.134,136.334
333.134,138.334
334.134,138.334
334.134,140.334
335.134,140.334
335.134,142.334
336.134,142.334
336.134,143.334
337.134,143.334
337.134,144.334
338.134,144.334
338.134,145.334
339.134,145.334
339.134,146.334
342.134,146.334
342.134,147.334
344.134,147.334
344.134,148.334
346.134,148.334
346.134,149.334
347.134,149.334
347.134,150.334
348.134,150.334
348.134,152.334
349.134,152.334
349.134,154.334
350.134,154.334
350.134,156.334
351.134,156.334
351.134,161.334
352.134,161.334
352.134,177.334
351.134,177.334
351.134,185.334
350.134,185.334
350.134,191.334
349.134,191.334
349.134,197.334
348.134,197.334
348.134,202.334
347.134,202.334
347.134,206.334
346.134,206.334
346.134,211.334
345.134,211.334
345.134,215.334
344.134,215.334
344.134,219.334
343.134,219.334
343.134,223.334
342.134,223.334
342.134,227.334
341.134,227.334
341.134,231.334
340.134,231.334
340.134,235.334
339.134,235.334
339.134,239.334
338.134,239.334
338.134,244.334
337.134,244.334
337.134,250.334
336.134,250.334
336.134,258.334
335.134,258.334
335.134,288.334
336.134,288.334
336.134,297.334
337.134,297.334
337.134,304.334
338.134,304.334
338.134,309.334
339.134,309.334
339.134,314.334
340.134,314.334
340.134,318.334
341.134,318.334
341.134,323.334
342.134,323.334
342.134,327.334
343.134,327.334
343.134,330.334
344.134,330.334
344.134,334.334
345.134,334.334
345.134,338.334
346.134,338.334
346.134,341.334
347.134,341.334
347.134,344.334
348.134,344.334
348.134,347.334
349.134,347.334
349.134,350.334
350.134,350.334
350.134,354.334
351.134,354.334
351.134,357.334
352.134,357.334
352.134,360.334
353.134,360.334
353.134,363.334
354.134,363.334
354.134,366.334
355.134,366.334
355.134,369.334
356.134,369.334
356.134,372.334
357.134,372.334
357.134,375.334
358.134,375.334
358.134,378.334
359.134,378.334
359.134,382.334
360.134,382.334
360.134,385.334
361.134,385.334
361.134,388.334
362.134,388.334
362.134,391.334
363.134,391.334
363.134,394.334
364.134,394.334
364.134,397.334
365.134,397.334
365.134,401.334
366.134,401.334
366.134,404.334
367.134,404.334
367.134,407.334
368.134,407.334
368.134,410.334
369.134,410.334
369.134,413.334
370.134,413.334
370.134,417.334
371.134,417.334
371.134,420.334
372.134,420.334
372.134,423.334
373.134,423.334
373.134,426.334
374.134,426.334
374.134,429.334
375.134,429.334
375.134,432.334
376.134,432.334
376.134,436.334
377.134,436.334
377.134,439.334
378.134,439.334
378.134,442.334
379.134,442.334
379.134,445.334
380.134,445.334
380.134,448.334
381.134,448.334
381.134,451.334
382.134,451.334
382.134,454.334
383.134,454.334
383.134,457.334
384.134,457.334
384.134,460.334
385.134,460.334
385.134,463.334
386.134,463.334
386.134,466.334
387.134,466.334
387.134,470.334
388.134,470.334
388.134,477.334
389.134,477.334
389.134,496.334
363.134,496.334
363.134,497.334
339.134,497.334
339.134,498.334
321.134,498.334
321.134,499.334
305.134,499.334
305.134,500.334
