xpoints,ypoints
267.432,-393.267
269.432,-393.267
269.432,-392.267
272.432,-392.267
272.432,-391.267
274.432,-391.267
274.432,-390.267
277.432,-390.267
277.432,-389.267
279.432,-389.267
279.432,-388.267
282.432,-388.267
282.432,-387.267
284.432,-387.267
284.432,-386.267
286.432,-386.267
286.432,-385.267
289.432,-385.267
289.432,-384.267
291.432,-384.267
291.432,-383.267
293.432,-383.267
293.432,-382.267
296.432,-382.267
296.432,-381.267
298.432,-381.267
298.432,-380.267
300.432,-380.267
300.432,-379.267
302.432,-379.267
302.432,-378.267
304.432,-378.267
304.432,-377.267
307.432,-377.267
307.432,-376.267
309.432,-376.267
309.432,-375.267
311.432,-375.267
311.432,-374.267
313.432,-374.267
313.432,-373.267
315.432,-373.267
315.432,-372.267
317.432,-372.267
317.432,-371.267
319.432,-371.267
319.432,-370.267
321.432,-370.267
321.432,-369.267
323.432,-369.267
323.432,-368.267
325.432,-368.267
325.432,-367.267
327.432,-367.267
327.432,-366.267
329.432,-366.267
329.432,-365.267
331.432,-365.267
331.432,-364.267
333.432,-364.267
333.432,-363.267
335.432,-363.267
335.432,-362.267
337.432,-362.267
337.432,-361.267
338.432,-361.267
338.432,-360.267
340.432,-360.267
340.432,-359.267
342.432,-359.267
342.432,-358.267
344.432,-358.267
344.432,-357.267
346.432,-357.267
346.432,-356.267
347.432,-356.267
347.432,-355.267
349.432,-355.267
349.432,-354.267
351.432,-354.267
351.432,-353.267
353.432,-353.267
353.432,-352.267
354.432,-352.267
354.432,-351.267
356.432,-351.267
356.432,-350.267
358.432,-350.267
358.432,-349.267
359.432,-349.267
359.432,-348.267
361.432,-348.267
361.432,-347.267
363.432,-347.267
363.432,-346.267
364.432,-346.267
364.432,-345.267
366.432,-345.267
366.432,-344.267
368.432,-344.267
368.432,-343.267
369.432,-343.267
369.432,-342.267
371.432,-342.267
371.432,-341.267
373.432,-341.267
373.432,-340.267
374.432,-340.267
374.432,-339.267
376.432,-339.267
376.432,-338.267
377.432,-338.267
377.432,-337.267
379.432,-337.267
379.432,-336.267
380.432,-336.267
380.432,-335.267
382.432,-335.267
382.432,-334.267
383.432,-334.267
383.432,-333.267
385.432,-333.267
385.432,-332.267
386.432,-332.267
386.432,-331.267
388.432,-331.267
388.432,-330.267
389.432,-330.267
389.432,-329.267
391.432,-329.267
391.432,-328.267
392.432,-328.267
392.432,-327.267
394.432,-327.267
394.432,-326.267
395.432,-326.267
395.432,-325.267
396.432,-325.267
396.432,-324.267
398.432,-324.267
398.432,-323.267
399.432,-323.267
399.432,-322.267
401.432,-322.267
401.432,-321.267
402.432,-321.267
402.432,-320.267
403.432,-320.267
403.432,-319.267
405.432,-319.267
405.432,-318.267
406.432,-318.267
406.432,-317.267
407.432,-317.267
407.432,-316.267
409.432,-316.267
409.432,-315.267
410.432,-315.267
410.432,-314.267
411.432,-314.267
411.432,-313.267
413.432,-313.267
413.432,-312.267
414.432,-312.267
414.432,-311.267
415.432,-311.267
415.432,-310.267
417.432,-310.267
417.432,-309.267
418.432,-309.267
418.432,-308.267
419.432,-308.267
419.432,-307.267
420.432,-307.267
420.432,-306.267
422.432,-306.267
422.432,-305.267
423.432,-305.267
423.432,-304.267
424.432,-304.267
424.432,-303.267
425.432,-303.267
425.432,-302.267
427.432,-302.267
427.432,-301.267
428.432,-301.267
428.432,-300.267
429.432,-300.267
429.432,-299.267
430.432,-299.267
430.432,-298.267
432.432,-298.267
432.432,-297.267
433.432,-297.267
433.432,-296.267
434.432,-296.267
434.432,-295.267
435.432,-295.267
435.432,-294.267
436.432,-294.267
436.432,-293.267
437.432,-293.267
437.432,-292.267
439.432,-292.267
439.432,-291.267
440.432,-291.267
440.432,-290.267
441.432,-290.267
441.432,-289.267
442.432,-289.267
442.432,-288.267
443.432,-288.267
443.432,-287.267
444.432,-287.267
444.432,-286.267
445.432,-286.267
445.432,-285.267
446.432,-285.267
446.432,-284.267
448.432,-284.267
448.432,-283.267
449.432,-283.267
449.432,-282.267
450.432,-282.267
450.432,-281.267
451.432,-281.267
451.432,-280.267
452.432,-280.267
452.432,-279.267
453.432,-279.267
453.432,-278.267
454.432,-278.267
454.432,-277.267
455.432,-277.267
455.432,-276.267
456.432,-276.267
456.432,-275.267
457.432,-275.267
457.432,-274.267
458.432,-274.267
458.432,-273.267
459.432,-273.267
459.432,-272.267
460.432,-272.267
460.432,-271.267
461.432,-271.267
461.432,-270.267
462.432,-270.267
462.432,-269.267
463.432,-269.267
463.432,-268.267
464.432,-268.267
464.432,-267.267
465.432,-267.267
465.432,-266.267
466.432,-266.267
466.432,-265.267
467.432,-265.267
467.432,-264.267
468.432,-264.267
468.432,-263.267
469.432,-263.267
469.432,-262.267
470.432,-262.267
470.432,-261.267
471.432,-261.267
471.432,-260.267
472.432,-260.267
472.432,-259.267
473.432,-259.267
473.432,-258.267
474.432,-258.267
474.432,-257.267
475.432,-257.267
475.432,-256.267
476.432,-256.267
476.432,-255.267
477.432,-255.267
477.432,-254.267
478.432,-254.267
478.432,-253.267
479.432,-253.267
479.432,-252.267
480.432,-252.267
480.432,-251.267
481.432,-251.267
481.432,-250.267
482.432,-250.267
482.432,-249.267
483.432,-249.267
483.432,-248.267
484.432,-248.267
484.432,-247.267
485.432,-247.267
485.432,-246.267
486.432,-246.267
486.432,-245.267
487.432,-245.267
487.432,-243.267
488.432,-243.267
488.432,-242.267
489.432,-242.267
489.432,-241.267
490.432,-241.267
490.432,-240.267
491.432,-240.267
491.432,-239.267
492.432,-239.267
492.432,-238.267
493.432,-238.267
493.432,-237.267
494.432,-237.267
494.432,-236.267
495.432,-236.267
495.432,-234.267
496.432,-234.267
496.432,-233.267
497.432,-233.267
497.432,-232.267
498.432,-232.267
498.432,-231.267
499.432,-231.267
499.432,-230.267
500.432,-230.267
500.432,-229.267
501.432,-229.267
501.432,-227.267
502.432,-227.267
502.432,-226.267
503.432,-226.267
503.432,-225.267
504.432,-225.267
504.432,-224.267
505.432,-224.267
505.432,-223.267
506.432,-223.267
506.432,-221.267
507.432,-221.267
507.432,-220.267
508.432,-220.267
508.432,-219.267
509.432,-219.267
509.432,-218.267
510.432,-218.267
510.432,-217.267
511.432,-217.267
511.432,-215.267
512.432,-215.267
512.432,-214.267
513.432,-214.267
513.432,-213.267
514.432,-213.267
514.432,-212.267
515.432,-212.267
515.432,-210.267
516.432,-210.267
516.432,-209.267
517.432,-209.267
517.432,-208.267
518.432,-208.267
518.432,-206.267
519.432,-206.267
519.432,-205.267
520.432,-205.267
520.432,-204.267
521.432,-204.267
521.432,-202.267
522.432,-202.267
522.432,-201.267
523.432,-201.267
523.432,-200.267
524.432,-200.267
524.432,-199.267
525.432,-199.267
525.432,-197.267
526.432,-197.267
526.432,-196.267
527.432,-196.267
527.432,-194.267
528.432,-194.267
528.432,-193.267
529.432,-193.267
529.432,-192.267
530.432,-192.267
530.432,-190.267
531.432,-190.267
531.432,-189.267
532.432,-189.267
532.432,-188.267
533.432,-188.267
533.432,-186.267
534.432,-186.267
534.432,-185.267
535.432,-185.267
535.432,-183.267
536.432,-183.267
536.432,-182.267
537.432,-182.267
537.432,-181.267
538.432,-181.267
538.432,-179.267
539.432,-179.267
539.432,-178.267
540.432,-178.267
540.432,-176.267
541.432,-176.267
541.432,-175.267
542.432,-175.267
542.432,-173.267
543.432,-173.267
543.432,-172.267
544.432,-172.267
544.432,-170.267
545.432,-170.267
545.432,-169.267
546.432,-169.267
546.432,-167.267
547.432,-167.267
547.432,-166.267
548.432,-166.267
548.432,-164.267
549.432,-164.267
549.432,-163.267
550.432,-163.267
550.432,-161.267
551.432,-161.267
551.432,-160.267
552.432,-160.267
552.432,-158.267
553.432,-158.267
553.432,-157.267
554.432,-157.267
554.432,-155.267
555.432,-155.267
555.432,-153.267
556.432,-153.267
556.432,-152.267
557.432,-152.267
557.432,-150.267
558.432,-150.267
558.432,-149.267
559.432,-149.267
559.432,-147.267
560.432,-147.267
560.432,-145.267
561.432,-145.267
561.432,-144.267
562.432,-144.267
562.432,-142.267
563.432,-142.267
563.432,-140.267
564.432,-140.267
564.432,-139.267
565.432,-139.267
565.432,-137.267
566.432,-137.267
566.432,-135.267
567.432,-135.267
567.432,-134.267
568.432,-134.267
568.432,-132.267
569.432,-132.267
569.432,-130.267
570.432,-130.267
570.432,-128.267
571.432,-128.267
571.432,-127.267
572.432,-127.267
572.432,-125.267
573.432,-125.267
573.432,-123.267
574.432,-123.267
574.432,-121.267
575.432,-121.267
575.432,-120.267
576.432,-120.267
576.432,-118.267
577.432,-118.267
577.432,-116.267
578.432,-116.267
578.432,-114.267
579.432,-114.267
579.432,-112.267
580.432,-112.267
580.432,-110.267
581.432,-110.267
581.432,-108.267
582.432,-108.267
582.432,-107.267
583.432,-107.267
583.432,-105.267
584.432,-105.267
584.432,-103.267
585.432,-103.267
585.432,-101.267
586.432,-101.267
586.432,-99.267
587.432,-99.267
587.432,-97.267
588.432,-97.267
588.432,-95.267
589.432,-95.267
589.432,-93.267
590.432,-93.267
590.432,-91.267
591.432,-91.267
591.432,-89.267
592.432,-89.267
592.432,-86.267
593.432,-86.267
593.432,-84.267
594.432,-84.267
