xpoints,ypoints
364.461,-270.886
365.461,-270.886
365.461,-269.886
366.461,-269.886
366.461,-268.886
367.461,-268.886
367.461,-267.886
368.461,-267.886
368.461,-266.886
369.461,-266.886
369.461,-265.886
370.461,-265.886
370.461,-264.886
371.461,-264.886
371.461,-263.886
372.461,-263.886
372.461,-262.886
373.461,-262.886
373.461,-261.886
374.461,-261.886
374.461,-260.886
375.461,-260.886
375.461,-259.886
376.461,-259.886
376.461,-257.886
377.461,-257.886
377.461,-256.886
378.461,-256.886
378.461,-255.886
379.461,-255.886
379.461,-254.886
380.461,-254.886
380.461,-253.886
381.461,-253.886
381.461,-252.886
382.461,-252.886
382.461,-251.886
383.461,-251.886
383.461,-250.886
384.461,-250.886
384.461,-249.886
385.461,-249.886
385.461,-248.886
386.461,-248.886
386.461,-247.886
387.461,-247.886
387.461,-246.886
388.461,-246.886
388.461,-245.886
389.461,-245.886
389.461,-244.886
390.461,-244.886
390.461,-243.886
391.461,-243.886
391.461,-241.886
392.461,-241.886
392.461,-240.886
393.461,-240.886
393.461,-239.886
394.461,-239.886
394.461,-238.886
395.461,-238.886
395.461,-237.886
396.461,-237.886
396.461,-236.886
397.461,-236.886
397.461,-235.886
398.461,-235.886
398.461,-233.886
399.461,-233.886
399.461,-232.886
400.461,-232.886
400.461,-231.886
401.461,-231.886
401.461,-230.886
402.461,-230.886
402.461,-229.886
403.461,-229.886
403.461,-228.886
404.461,-228.886
404.461,-226.886
405.461,-226.886
405.461,-225.886
406.461,-225.886
406.461,-224.886
407.461,-224.886
407.461,-223.886
408.461,-223.886
408.461,-222.886
409.461,-222.886
409.461,-220.886
410.461,-220.886
410.461,-219.886
411.461,-219.886
411.461,-218.886
412.461,-218.886
412.461,-217.886
413.461,-217.886
413.461,-215.886
414.461,-215.886
414.461,-214.886
415.461,-214.886
415.461,-213.886
416.461,-213.886
416.461,-212.886
417.461,-212.886
417.461,-210.886
418.461,-210.886
418.461,-209.886
419.461,-209.886
419.461,-208.886
420.461,-208.886
420.461,-206.886
421.461,-206.886
421.461,-205.886
422.461,-205.886
422.461,-204.886
423.461,-204.886
423.461,-202.886
424.461,-202.886
424.461,-201.886
425.461,-201.886
425.461,-200.886
426.461,-200.886
426.461,-198.886
427.461,-198.886
427.461,-197.886
428.461,-197.886
428.461,-196.886
429.461,-196.886
429.461,-194.886
430.461,-194.886
430.461,-193.886
431.461,-193.886
431.461,-192.886
432.461,-192.886
432.461,-190.886
433.461,-190.886
433.461,-189.886
434.461,-189.886
434.461,-187.886
435.461,-187.886
435.461,-186.886
436.461,-186.886
436.461,-184.886
437.461,-184.886
437.461,-183.886
438.461,-183.886
438.461,-182.886
439.461,-182.886
439.461,-180.886
440.461,-180.886
440.461,-179.886
441.461,-179.886
441.461,-177.886
442.461,-177.886
442.461,-176.886
443.461,-176.886
443.461,-174.886
444.461,-174.886
444.461,-173.886
445.461,-173.886
445.461,-171.886
446.461,-171.886
446.461,-170.886
447.461,-170.886
447.461,-168.886
448.461,-168.886
448.461,-166.886
449.461,-166.886
449.461,-165.886
450.461,-165.886
450.461,-163.886
451.461,-163.886
451.461,-162.886
452.461,-162.886
452.461,-160.886
453.461,-160.886
453.461,-159.886
454.461,-159.886
454.461,-157.886
455.461,-157.886
455.461,-155.886
456.461,-155.886
456.461,-154.886
457.461,-154.886
457.461,-152.886
458.461,-152.886
458.461,-150.886
459.461,-150.886
459.461,-149.886
460.461,-149.886
460.461,-147.886
461.461,-147.886
461.461,-145.886
462.461,-145.886
462.461,-144.886
463.461,-144.886
463.461,-142.886
464.461,-142.886
464.461,-140.886
465.461,-140.886
465.461,-138.886
466.461,-138.886
466.461,-137.886
467.461,-137.886
467.461,-135.886
468.461,-135.886
468.461,-133.886
469.461,-133.886
469.461,-131.886
470.461,-131.886
470.461,-130.886
471.461,-130.886
471.461,-128.886
472.461,-128.886
472.461,-126.886
473.461,-126.886
473.461,-124.886
474.461,-124.886
474.461,-122.886
475.461,-122.886
475.461,-120.886
476.461,-120.886
476.461,-119.886
477.461,-119.886
477.461,-117.886
478.461,-117.886
478.461,-115.886
479.461,-115.886
479.461,-113.886
480.461,-113.886
480.461,-111.886
481.461,-111.886
481.461,-109.886
482.461,-109.886
482.461,-107.886
483.461,-107.886
483.461,-105.886
484.461,-105.886
484.461,-102.886
485.461,-102.886
485.461,-100.886
486.461,-100.886
486.461,-98.886
487.461,-98.886
487.461,-96.886
488.461,-96.886
488.461,-93.886
489.461,-93.886
489.461,-91.886
490.461,-91.886
490.461,-88.886
491.461,-88.886
491.461,-86.886
492.461,-86.886
492.461,-83.886
493.461,-83.886
493.461,-81.886
494.461,-81.886
494.461,-78.886
495.461,-78.886
495.461,-75.886
496.461,-75.886
496.461,-72.886
497.461,-72.886
497.461,-69.886
498.461,-69.886
498.461,-66.886
499.461,-66.886
499.461,-63.886
500.461,-63.886
500.461,-60.886
501.461,-60.886
501.461,-56.886
502.461,-56.886
502.461,-53.886
503.461,-53.886
503.461,-49.886
504.461,-49.886
504.461,-45.886
505.461,-45.886
505.461,-41.886
506.461,-41.886
506.461,-36.886
507.461,-36.886
507.461,-32.886
508.461,-32.886
508.461,-27.886
509.461,-27.886
509.461,-22.886
510.461,-22.886
510.461,-16.886
511.461,-16.886
511.461,-10.886
512.461,-10.886
512.461,-4.886
513.461,-4.886
513.461,2.114
514.461,2.114
514.461,10.114
515.461,10.114
515.461,19.114
516.461,19.114
516.461,29.114
517.461,29.114
517.461,41.114
518.461,41.114
518.461,56.114
519.461,56.114
519.461,80.114
520.461,80.114
520.461,150.114
519.461,150.114
519.461,180.114
518.461,180.114
518.461,201.114
517.461,201.114
517.461,218.114
516.461,218.114
516.461,233.114
515.461,233.114
515.461,248.114
514.461,248.114
514.461,250.114
473.461,250.114
473.461,249.114
458.461,249.114
458.461,248.114
448.461,248.114
448.461,247.114
439.461,247.114
439.461,246.114
432.461,246.114
432.461,245.114
426.461,245.114
426.461,244.114
420.461,244.114
420.461,243.114
414.461,243.114
414.461,242.114
409.461,242.114
409.461,241.114
405.461,241.114
405.461,240.114
400.461,240.114
400.461,239.114
396.461,239.114
396.461,238.114
391.461,238.114
391.461,237.114
387.461,237.114
387.461,236.114
382.461,236.114
382.461,235.114
377.461,235.114
377.461,234.114
372.461,234.114
372.461,233.114
364.461,233.114
364.461,232.114
355.461,232.114
355.461,229.114
356.461,229.114
356.461,226.114
357.461,226.114
357.461,222.114
358.461,222.114
358.461,219.114
359.461,219.114
359.461,214.114
360.461,214.114
360.461,209.114
361.461,209.114
361.461,204.114
362.461,204.114
362.461,197.114
363.461,197.114
363.461,187.114
364.461,187.114
364.461,172.114
365.461,172.114
365.461,139.114
364.461,139.114
364.461,120.114
363.461,120.114
363.461,108.114
362.461,108.114
362.461,98.114
361.461,98.114
361.461,89.114
360.461,89.114
360.461,82.114
359.461,82.114
359.461,74.114
358.461,74.114
358.461,68.114
357.461,68.114
357.461,62.114
356.461,62.114
356.461,56.114
355.461,56.114
355.461,50.114
354.461,50.114
354.461,45.114
353.461,45.114
353.461,40.114
352.461,40.114
352.461,35.114
351.461,35.114
351.461,30.114
350.461,30.114
350.461,26.114
349.461,26.114
349.461,21.114
348.461,21.114
348.461,17.114
347.461,17.114
347.461,13.114
346.461,13.114
346.461,9.114
345.461,9.114
345.461,5.114
344.461,5.114
344.461,1.114
343.461,1.114
343.461,-1.886
342.461,-1.886
342.461,-5.886
341.461,-5.886
341.461,-8.886
340.461,-8.886
340.461,-12.886
339.461,-12.886
339.461,-15.886
338.461,-15.886
338.461,-18.886
337.461,-18.886
337.461,-21.886
336.461,-21.886
336.461,-24.886
335.461,-24.886
335.461,-27.886
334.461,-27.886
334.461,-30.886
333.461,-30.886
333.461,-33.886
332.461,-33.886
332.461,-36.886
331.461,-36.886
331.461,-38.886
330.461,-38.886
330.461,-41.886
329.461,-41.886
329.461,-43.886
328.461,-43.886
328.461,-46.886
327.461,-46.886
327.461,-48.886
326.461,-48.886
326.461,-50.886
325.461,-50.886
325.461,-53.886
324.461,-53.886
324.461,-55.886
323.461,-55.886
323.461,-57.886
322.461,-57.886
322.461,-59.886
321.461,-59.886
321.461,-61.886
320.461,-61.886
320.461,-63.886
319.461,-63.886
319.461,-65.886
318.461,-65.886
318.461,-67.886
317.461,-67.886
317.461,-69.886
316.461,-69.886
316.461,-70.886
315.461,-70.886
315.461,-72.886
314.461,-72.886
314.461,-74.886
313.461,-74.886
313.461,-75.886
312.461,-75.886
312.461,-77.886
311.461,-77.886
311.461,-78.886
310.461,-78.886
310.461,-80.886
309.461,-80.886
309.461,-82.886
308.461,-82.886
308.461,-83.886
307.461,-83.886
307.461,-85.886
306.461,-85.886
306.461,-86.886
305.461,-86.886
305.461,-87.886
304.461,-87.886
304.461,-89.886
303.461,-89.886
303.461,-90.886
302.461,-90.886
302.461,-92.886
301.461,-92.886
301.461,-93.886
300.461,-93.886
300.461,-95.886
299.461,-95.886
299.461,-96.886
298.461,-96.886
298.461,-97.886
297.461,-97.886
297.461,-99.886
296.461,-99.886
296.461,-100.886
295.461,-100.886
295.461,-101.886
