xpoints,ypoints
225.461,189.114
226.461,189.114
226.461,191.114
227.461,191.114
227.461,193.114
228.461,193.114
228.461,194.114
229.461,194.114
229.461,196.114
230.461,196.114
230.461,198.114
231.461,198.114
231.461,200.114
232.461,200.114
232.461,201.114
233.461,201.114
233.461,203.114
234.461,203.114
234.461,205.114
235.461,205.114
235.461,207.114
236.461,207.114
236.461,208.114
237.461,208.114
237.461,210.114
238.461,210.114
238.461,212.114
239.461,212.114
239.461,213.114
240.461,213.114
240.461,215.114
241.461,215.114
241.461,217.114
242.461,217.114
242.461,218.114
243.461,218.114
243.461,220.114
244.461,220.114
244.461,221.114
245.461,221.114
245.461,223.114
246.461,223.114
246.461,224.114
247.461,224.114
247.461,226.114
248.461,226.114
248.461,227.114
249.461,227.114
249.461,229.114
250.461,229.114
250.461,230.114
251.461,230.114
251.461,231.114
252.461,231.114
252.461,233.114
253.461,233.114
253.461,234.114
254.461,234.114
254.461,235.114
255.461,235.114
255.461,236.114
256.461,236.114
256.461,237.114
257.461,237.114
257.461,238.114
258.461,238.114
258.461,239.114
259.461,239.114
259.461,240.114
260.461,240.114
260.461,241.114
261.461,241.114
261.461,242.114
262.461,242.114
262.461,243.114
263.461,243.114
263.461,244.114
264.461,244.114
264.461,245.114
266.461,245.114
266.461,246.114
267.461,246.114
267.461,247.114
268.461,247.114
268.461,248.114
270.461,248.114
270.461,249.114
272.461,249.114
272.461,250.114
273.461,250.114
273.461,251.114
275.461,251.114
275.461,252.114
277.461,252.114
277.461,253.114
280.461,253.114
280.461,254.114
282.461,254.114
282.461,255.114
285.461,255.114
285.461,256.114
288.461,256.114
288.461,257.114
291.461,257.114
291.461,258.114
295.461,258.114
295.461,259.114
296.461,259.114
296.461,260.114
297.461,260.114
297.461,262.114
298.461,262.114
298.461,264.114
299.461,264.114
299.461,265.114
300.461,265.114
300.461,267.114
301.461,267.114
301.461,268.114
302.461,268.114
302.461,270.114
303.461,270.114
303.461,272.114
304.461,272.114
304.461,273.114
305.461,273.114
305.461,275.114
306.461,275.114
306.461,277.114
307.461,277.114
307.461,279.114
308.461,279.114
308.461,280.114
309.461,280.114
309.461,282.114
