xpoints,ypoints
512.544,-357.052
513.544,-357.052
513.544,-356.052
515.544,-356.052
515.544,-355.052
516.544,-355.052
516.544,-354.052
518.544,-354.052
518.544,-353.052
519.544,-353.052
519.544,-352.052
521.544,-352.052
521.544,-351.052
522.544,-351.052
522.544,-350.052
523.544,-350.052
523.544,-349.052
525.544,-349.052
525.544,-348.052
526.544,-348.052
526.544,-347.052
527.544,-347.052
527.544,-346.052
529.544,-346.052
529.544,-345.052
530.544,-345.052
530.544,-344.052
531.544,-344.052
531.544,-343.052
533.544,-343.052
533.544,-342.052
534.544,-342.052
534.544,-341.052
535.544,-341.052
535.544,-340.052
536.544,-340.052
536.544,-339.052
538.544,-339.052
538.544,-338.052
539.544,-338.052
539.544,-337.052
540.544,-337.052
540.544,-336.052
541.544,-336.052
541.544,-335.052
543.544,-335.052
543.544,-334.052
544.544,-334.052
544.544,-333.052
545.544,-333.052
545.544,-332.052
546.544,-332.052
546.544,-331.052
547.544,-331.052
547.544,-330.052
548.544,-330.052
548.544,-329.052
549.544,-329.052
549.544,-328.052
550.544,-328.052
550.544,-327.052
551.544,-327.052
551.544,-326.052
553.544,-326.052
553.544,-325.052
554.544,-325.052
554.544,-324.052
555.544,-324.052
555.544,-323.052
556.544,-323.052
556.544,-322.052
557.544,-322.052
557.544,-321.052
558.544,-321.052
558.544,-320.052
559.544,-320.052
559.544,-319.052
560.544,-319.052
560.544,-318.052
561.544,-318.052
561.544,-316.052
562.544,-316.052
562.544,-315.052
563.544,-315.052
563.544,-314.052
564.544,-314.052
564.544,-313.052
565.544,-313.052
565.544,-312.052
566.544,-312.052
566.544,-311.052
567.544,-311.052
567.544,-310.052
568.544,-310.052
568.544,-309.052
569.544,-309.052
569.544,-307.052
570.544,-307.052
570.544,-306.052
571.544,-306.052
571.544,-305.052
572.544,-305.052
572.544,-304.052
573.544,-304.052
573.544,-303.052
574.544,-303.052
574.544,-301.052
575.544,-301.052
575.544,-300.052
576.544,-300.052
576.544,-299.052
577.544,-299.052
577.544,-297.052
578.544,-297.052
578.544,-296.052
579.544,-296.052
579.544,-294.052
580.544,-294.052
580.544,-293.052
581.544,-293.052
581.544,-291.052
582.544,-291.052
582.544,-290.052
583.544,-290.052
583.544,-288.052
584.544,-288.052
584.544,-287.052
585.544,-287.052
585.544,-285.052
586.544,-285.052
586.544,-283.052
587.544,-283.052
587.544,-281.052
588.544,-281.052
588.544,-280.052
589.544,-280.052
589.544,-278.052
590.544,-278.052
590.544,-276.052
591.544,-276.052
591.544,-274.052
592.544,-274.052
592.544,-271.052
593.544,-271.052
593.544,-269.052
594.544,-269.052
594.544,-267.052
595.544,-267.052
595.544,-264.052
596.544,-264.052
596.544,-262.052
597.544,-262.052
597.544,-259.052
598.544,-259.052
598.544,-256.052
599.544,-256.052
599.544,-253.052
600.544,-253.052
600.544,-250.052
601.544,-250.052
601.544,-247.052
602.544,-247.052
602.544,-244.052
603.544,-244.052
603.544,-241.052
604.544,-241.052
604.544,-238.052
605.544,-238.052
605.544,-234.052
606.544,-234.052
606.544,-230.052
607.544,-230.052
607.544,-226.052
608.544,-226.052
608.544,-222.052
609.544,-222.052
609.544,-218.052
610.544,-218.052
610.544,-213.052
611.544,-213.052
611.544,-208.052
612.544,-208.052
612.544,-201.052
613.544,-201.052
613.544,-193.052
614.544,-193.052
614.544,-182.052
615.544,-182.052
615.544,-156.052
614.544,-156.052
614.544,-146.052
613.544,-146.052
613.544,-139.052
612.544,-139.052
612.544,-133.052
611.544,-133.052
611.544,-129.052
610.544,-129.052
610.544,-125.052
609.544,-125.052
609.544,-121.052
608.544,-121.052
608.544,-118.052
607.544,-118.052
607.544,-115.052
606.544,-115.052
606.544,-112.052
605.544,-112.052
605.544,-110.052
604.544,-110.052
604.544,-107.052
