xpoints,ypoints
230.544,114.948
229.544,114.948
229.544,122.948
228.544,122.948
228.544,135.948
227.544,135.948
227.544,183.948
228.544,183.948
228.544,208.948
229.544,208.948
229.544,232.948
230.544,232.948
230.544,287.948
229.544,287.948
229.544,300.948
228.544,300.948
228.544,309.948
227.544,309.948
227.544,316.948
226.544,316.948
226.544,321.948
225.544,321.948
225.544,326.948
224.544,326.948
224.544,331.948
223.544,331.948
223.544,334.948
222.544,334.948
222.544,338.948
221.544,338.948
221.544,341.948
220.544,341.948
220.544,344.948
219.544,344.948
219.544,347.948
218.544,347.948
218.544,349.948
217.544,349.948
217.544,352.948
216.544,352.948
216.544,354.948
215.544,354.948
215.544,356.948
214.544,356.948
214.544,358.948
213.544,358.948
213.544,360.948
212.544,360.948
212.544,362.948
211.544,362.948
211.544,364.948
210.544,364.948
210.544,365.948
209.544,365.948
209.544,367.948
208.544,367.948
208.544,368.948
207.544,368.948
207.544,370.948
206.544,370.948
206.544,371.948
205.544,371.948
205.544,373.948
204.544,373.948
204.544,374.948
203.544,374.948
203.544,375.948
202.544,375.948
202.544,376.948
201.544,376.948
201.544,378.948
200.544,378.948
200.544,379.948
199.544,379.948
199.544,380.948
198.544,380.948
198.544,381.948
197.544,381.948
197.544,382.948
196.544,382.948
196.544,383.948
195.544,383.948
195.544,384.948
194.544,384.948
194.544,385.948
192.544,385.948
192.544,386.948
191.544,386.948
191.544,387.948
190.544,387.948
190.544,388.948
188.544,388.948
188.544,389.948
187.544,389.948
187.544,390.948
185.544,390.948
185.544,391.948
183.544,391.948
183.544,392.948
181.544,392.948
181.544,393.948
179.544,393.948
179.544,394.948
177.544,394.948
177.544,395.948
174.544,395.948
174.544,396.948
171.544,396.948
171.544,397.948
167.544,397.948
167.544,398.948
162.544,398.948
162.544,399.948
155.544,399.948
155.544,400.948
134.544,400.948
134.544,399.948
124.544,399.948
124.544,398.948
117.544,398.948
117.544,397.948
111.544,397.948
111.544,396.948
106.544,396.948
106.544,395.948
100.544,395.948
100.544,394.948
95.544,394.948
95.544,393.948
91.544,393.948
91.544,392.948
86.544,392.948
86.544,391.948
82.544,391.948
82.544,390.948
78.544,390.948
78.544,389.948
73.544,389.948
73.544,388.948
69.544,388.948
69.544,387.948
64.544,387.948
64.544,386.948
60.544,386.948
60.544,385.948
56.544,385.948
56.544,384.948
51.544,384.948
51.544,383.948
46.544,383.948
46.544,382.948
41.544,382.948
41.544,381.948
35.544,381.948
35.544,380.948
29.544,380.948
29.544,379.948
21.544,379.948
21.544,378.948
9.544,378.948
9.544,377.948
-1.456,377.948
-1.456,378.948
-11.456,378.948
-11.456,379.948
-18.456,379.948
-18.456,380.948
-24.456,380.948
-24.456,381.948
-29.456,381.948
-29.456,382.948
-33.456,382.948
-33.456,383.948
-38.456,383.948
-38.456,384.948
-42.456,384.948
-42.456,385.948
-46.456,385.948
-46.456,386.948
-49.456,386.948
-49.456,387.948
-53.456,387.948
-53.456,388.948
-57.456,388.948
-57.456,389.948
-60.456,389.948
-60.456,390.948
-64.456,390.948
-64.456,391.948
-67.456,391.948
-67.456,392.948
-70.456,392.948
-70.456,393.948
-74.456,393.948
-74.456,394.948
-77.456,394.948
-77.456,395.948
-80.456,395.948
-80.456,396.948
-83.456,396.948
-83.456,397.948
-86.456,397.948
-86.456,398.948
-89.456,398.948
-89.456,399.948
-92.456,399.948
-92.456,400.948
-95.456,400.948
-95.456,401.948
-98.456,401.948
-98.456,402.948
-101.456,402.948
-101.456,403.948
-104.456,403.948
-104.456,404.948
-107.456,404.948
-107.456,405.948
-110.456,405.948
-110.456,406.948
-112.456,406.948
-112.456,407.948
-115.456,407.948
-115.456,408.948
-118.456,408.948
-118.456,409.948
-121.456,409.948
-121.456,410.948
-124.456,410.948
-124.456,411.948
-126.456,411.948
-126.456,412.948
-129.456,412.948
-129.456,413.948
-132.456,413.948
-132.456,414.948
-135.456,414.948
-135.456,415.948
-137.456,415.948
-137.456,416.948
-140.456,416.948
-140.456,417.948
-143.456,417.948
-143.456,418.948
-145.456,418.948
-145.456,419.948
-148.456,419.948
-148.456,420.948
-151.456,420.948
-151.456,421.948
-153.456,421.948
-153.456,422.948
-156.456,422.948
-156.456,423.948
-159.456,423.948
-159.456,424.948
-161.456,424.948
-161.456,425.948
-164.456,425.948
-164.456,426.948
-167.456,426.948
-167.456,427.948
-169.456,427.948
-169.456,428.948
-172.456,428.948
-172.456,429.948
-175.456,429.948
-175.456,430.948
-177.456,430.948
-177.456,431.948
-180.456,431.948
-180.456,432.948
-182.456,432.948
-182.456,433.948
-185.456,433.948
-185.456,434.948
-188.456,434.948
-188.456,435.948
-190.456,435.948
-190.456,436.948
-193.456,436.948
-193.456,437.948
-196.456,437.948
-196.456,438.948
-198.456,438.948
-198.456,439.948
-201.456,439.948
-201.456,440.948
-203.456,440.948
-203.456,441.948
-206.456,441.948
-206.456,442.948
-209.456,442.948
-209.456,443.948
-211.456,443.948
-211.456,444.948
-214.456,444.948
-214.456,445.948
-216.456,445.948
-216.456,446.948
-219.456,446.948
-219.456,447.948
-222.456,447.948
-222.456,448.948
-224.456,448.948
-224.456,449.948
-227.456,449.948
-227.456,450.948
-230.456,450.948
-230.456,451.948
-232.456,451.948
-232.456,452.948
-235.456,452.948
-235.456,453.948
-237.456,453.948
-237.456,454.948
-240.456,454.948
-240.456,455.948
-243.456,455.948
-243.456,456.948
-245.456,456.948
-245.456,457.948
-248.456,457.948
-248.456,458.948
-251.456,458.948
-251.456,459.948
-253.456,459.948
-253.456,460.948
-256.456,460.948
-256.456,461.948
-259.456,461.948
-259.456,462.948
-261.456,462.948
-261.456,463.948
-264.456,463.948
-264.456,464.948
-266.456,464.948
-266.456,465.948
-269.456,465.948
-269.456,466.948
-272.456,466.948
-272.456,467.948
-274.456,467.948
-274.456,468.948
-277.456,468.948
-277.456,469.948
-280.456,469.948
-280.456,470.948
-282.456,470.948
-282.456,471.948
-285.456,471.948
-285.456,472.948
-287.456,472.948
-287.456,473.948
-290.456,473.948
-290.456,474.948
-293.456,474.948
-293.456,475.948
-295.456,475.948
-295.456,476.948
-297.456,476.948
-297.456,477.948
-300.456,477.948
-300.456,478.948
-302.456,478.948
-302.456,479.948
-305.456,479.948
-305.456,480.948
-307.456,480.948
-307.456,481.948
-309.456,481.948
-309.456,482.948
-312.456,482.948
-312.456,483.948
-314.456,483.948
-314.456,484.948
-316.456,484.948
-316.456,485.948
-319.456,485.948
