xpoints,ypoints
338.555,-333.788
341.555,-333.788
341.555,-332.788
344.555,-332.788
344.555,-331.788
347.555,-331.788
347.555,-330.788
350.555,-330.788
350.555,-329.788
353.555,-329.788
353.555,-328.788
356.555,-328.788
356.555,-327.788
359.555,-327.788
359.555,-326.788
362.555,-326.788
362.555,-325.788
365.555,-325.788
365.555,-324.788
367.555,-324.788
367.555,-323.788
370.555,-323.788
370.555,-322.788
373.555,-322.788
373.555,-321.788
375.555,-321.788
375.555,-320.788
378.555,-320.788
378.555,-319.788
381.555,-319.788
381.555,-318.788
383.555,-318.788
383.555,-317.788
385.555,-317.788
385.555,-316.788
388.555,-316.788
388.555,-315.788
390.555,-315.788
390.555,-314.788
393.555,-314.788
393.555,-313.788
395.555,-313.788
395.555,-312.788
397.555,-312.788
397.555,-311.788
399.555,-311.788
399.555,-310.788
402.555,-310.788
402.555,-309.788
404.555,-309.788
404.555,-308.788
406.555,-308.788
406.555,-307.788
408.555,-307.788
408.555,-306.788
410.555,-306.788
410.555,-305.788
412.555,-305.788
412.555,-304.788
414.555,-304.788
414.555,-303.788
416.555,-303.788
416.555,-302.788
418.555,-302.788
418.555,-301.788
420.555,-301.788
420.555,-300.788
422.555,-300.788
422.555,-299.788
424.555,-299.788
424.555,-298.788
426.555,-298.788
426.555,-297.788
428.555,-297.788
428.555,-296.788
430.555,-296.788
430.555,-295.788
432.555,-295.788
432.555,-294.788
434.555,-294.788
434.555,-293.788
436.555,-293.788
436.555,-292.788
437.555,-292.788
437.555,-291.788
439.555,-291.788
439.555,-290.788
441.555,-290.788
441.555,-289.788
443.555,-289.788
443.555,-288.788
444.555,-288.788
444.555,-287.788
446.555,-287.788
446.555,-286.788
448.555,-286.788
448.555,-285.788
449.555,-285.788
449.555,-284.788
451.555,-284.788
451.555,-283.788
453.555,-283.788
453.555,-282.788
454.555,-282.788
454.555,-281.788
456.555,-281.788
456.555,-280.788
457.555,-280.788
457.555,-279.788
459.555,-279.788
459.555,-278.788
461.555,-278.788
461.555,-277.788
462.555,-277.788
462.555,-276.788
464.555,-276.788
464.555,-275.788
465.555,-275.788
465.555,-274.788
467.555,-274.788
467.555,-273.788
468.555,-273.788
468.555,-272.788
469.555,-272.788
469.555,-271.788
471.555,-271.788
471.555,-270.788
472.555,-270.788
472.555,-269.788
474.555,-269.788
474.555,-268.788
475.555,-268.788
475.555,-267.788
477.555,-267.788
477.555,-266.788
478.555,-266.788
478.555,-265.788
479.555,-265.788
479.555,-264.788
481.555,-264.788
481.555,-263.788
482.555,-263.788
482.555,-262.788
483.555,-262.788
483.555,-261.788
485.555,-261.788
485.555,-260.788
486.555,-260.788
486.555,-259.788
487.555,-259.788
487.555,-258.788
489.555,-258.788
489.555,-257.788
490.555,-257.788
490.555,-256.788
491.555,-256.788
491.555,-255.788
492.555,-255.788
492.555,-254.788
494.555,-254.788
494.555,-253.788
495.555,-253.788
495.555,-252.788
496.555,-252.788
496.555,-251.788
497.555,-251.788
497.555,-250.788
498.555,-250.788
498.555,-249.788
500.555,-249.788
500.555,-248.788
501.555,-248.788
501.555,-247.788
502.555,-247.788
502.555,-246.788
503.555,-246.788
503.555,-245.788
504.555,-245.788
504.555,-244.788
505.555,-244.788
505.555,-243.788
507.555,-243.788
507.555,-242.788
508.555,-242.788
508.555,-241.788
509.555,-241.788
509.555,-240.788
510.555,-240.788
510.555,-239.788
511.555,-239.788
511.555,-238.788
512.555,-238.788
512.555,-237.788
513.555,-237.788
513.555,-236.788
514.555,-236.788
514.555,-235.788
515.555,-235.788
515.555,-234.788
516.555,-234.788
516.555,-233.788
517.555,-233.788
517.555,-232.788
519.555,-232.788
519.555,-231.788
520.555,-231.788
520.555,-230.788
521.555,-230.788
521.555,-229.788
522.555,-229.788
522.555,-228.788
523.555,-228.788
523.555,-227.788
524.555,-227.788
524.555,-226.788
525.555,-226.788
525.555,-225.788
526.555,-225.788
526.555,-223.788
527.555,-223.788
527.555,-222.788
528.555,-222.788
528.555,-221.788
529.555,-221.788
529.555,-220.788
530.555,-220.788
530.555,-219.788
531.555,-219.788
531.555,-218.788
532.555,-218.788
532.555,-217.788
533.555,-217.788
533.555,-216.788
534.555,-216.788
534.555,-215.788
535.555,-215.788
535.555,-214.788
536.555,-214.788
536.555,-213.788
537.555,-213.788
537.555,-212.788
538.555,-212.788
538.555,-210.788
539.555,-210.788
539.555,-209.788
540.555,-209.788
540.555,-208.788
541.555,-208.788
541.555,-207.788
542.555,-207.788
542.555,-206.788
543.555,-206.788
543.555,-205.788
544.555,-205.788
544.555,-203.788
545.555,-203.788
545.555,-202.788
546.555,-202.788
546.555,-201.788
547.555,-201.788
547.555,-200.788
548.555,-200.788
548.555,-199.788
549.555,-199.788
549.555,-197.788
550.555,-197.788
550.555,-196.788
551.555,-196.788
551.555,-195.788
552.555,-195.788
552.555,-194.788
553.555,-194.788
553.555,-192.788
554.555,-192.788
554.555,-191.788
555.555,-191.788
555.555,-190.788
556.555,-190.788
556.555,-188.788
557.555,-188.788
557.555,-187.788
558.555,-187.788
558.555,-186.788
559.555,-186.788
559.555,-184.788
560.555,-184.788
560.555,-183.788
561.555,-183.788
561.555,-181.788
562.555,-181.788
562.555,-180.788
563.555,-180.788
563.555,-178.788
564.555,-178.788
564.555,-177.788
565.555,-177.788
565.555,-176.788
566.555,-176.788
566.555,-174.788
567.555,-174.788
567.555,-173.788
568.555,-173.788
568.555,-171.788
569.555,-171.788
569.555,-169.788
570.555,-169.788
570.555,-168.788
571.555,-168.788
571.555,-166.788
572.555,-166.788
572.555,-165.788
573.555,-165.788
573.555,-163.788
574.555,-163.788
574.555,-162.788
575.555,-162.788
575.555,-160.788
576.555,-160.788
576.555,-158.788
577.555,-158.788
577.555,-157.788
578.555,-157.788
578.555,-155.788
579.555,-155.788
579.555,-153.788
580.555,-153.788
580.555,-151.788
581.555,-151.788
581.555,-149.788
582.555,-149.788
582.555,-147.788
583.555,-147.788
583.555,-145.788
584.555,-145.788
584.555,-143.788
585.555,-143.788
585.555,-140.788
586.555,-140.788
586.555,-137.788
587.555,-137.788
587.555,-134.788
588.555,-134.788
588.555,-131.788
589.555,-131.788
589.555,-127.788
590.555,-127.788
590.555,-123.788
591.555,-123.788
591.555,-120.788
592.555,-120.788
592.555,-115.788
593.555,-115.788
593.555,-111.788
594.555,-111.788
594.555,-106.788
595.555,-106.788
595.555,-101.788
596.555,-101.788
596.555,-96.788
597.555,-96.788
597.555,-90.788
598.555,-90.788
598.555,-84.788
599.555,-84.788
599.555,-77.788
600.555,-77.788
600.555,-68.788
601.555,-68.788
601.555,-55.788
602.555,-55.788
602.555,-33.788
601.555,-33.788
601.555,-23.788
600.555,-23.788
600.555,-18.788
599.555,-18.788
599.555,-14.788
598.555,-14.788
598.555,-11.788
597.555,-11.788
597.555,-9.788
596.555,-9.788
596.555,-7.788
595.555,-7.788
595.555,-5.788
594.555,-5.788
594.555,-3.788
593.555,-3.788
593.555,-2.788
592.555,-2.788
592.555,-1.788
591.555,-1.788
591.555,0.212
590.555,0.212
590.555,1.212
589.555,1.212
589.555,2.212
588.555,2.212
588.555,3.212
587.555,3.212
587.555,4.212
586.555,4.212
586.555,5.212
585.555,5.212
585.555,6.212
584.555,6.212
584.555,7.212
583.555,7.212
583.555,8.212
582.555,8.212
582.555,9.212
581.555,9.212
581.555,10.212
580.555,10.212
580.555,11.212
579.555,11.212
579.555,12.212
578.555,12.212
578.555,13.212
576.555,13.212
576.555,14.212
575.555,14.212
575.555,15.212
574.555,15.212
574.555,16.212
572.555,16.212
572.555,17.212
571.555,17.212
571.555,18.212
570.555,18.212
570.555,19.212
568.555,19.212
568.555,20.212
566.555,20.212
566.555,21.212
565.555,21.212
565.555,22.212
563.555,22.212
563.555,23.212
561.555,23.212
561.555,24.212
559.555,24.212
559.555,25.212
556.555,25.212
556.555,26.212
554.555,26.212
554.555,27.212
550.555,27.212
550.555,28.212
546.555,28.212
546.555,29.212
536.555,29.212
536.555,28.212
537.555,28.212
537.555,27.212
538.555,27.212
538.555,26.212
539.555,26.212
539.555,25.212
540.555,25.212
540.555,24.212
541.555,24.212
541.555,22.212
542.555,22.212
542.555,21.212
543.555,21.212
543.555,20.212
544.555,20.212
544.555,19.212
545.555,19.212
545.555,17.212
546.555,17.212
546.555,16.212
547.555,16.212
547.555,15.212
548.555,15.212
548.555,13.212
549.555,13.212
549.555,12.212
550.555,12.212
550.555,10.212
551.555,10.212
551.555,9.212
552.555,9.212
552.555,7.212
553.555,7.212
553.555,6.212
554.555,6.212
554.555,4.212
555.555,4.212
555.555,2.212
556.555,2.212
556.555,0.212
557.555,0.212
557.555,-2.788
558.555,-2.788
558.555,-4.788
559.555,-4.788
559.555,-7.788
560.555,-7.788
560.555,-11.788
561.555,-11.788
561.555,-16.788
562.555,-16.788
562.555,-24.788
563.555,-24.788
563.555,-37.788
562.555,-37.788
562.555,-46.788
561.555,-46.788
561.555,-52.788
560.555,-52.788
560.555,-57.788
559.555,-57.788
559.555,-61.788
558.555,-61.788
558.555,-65.788
557.555,-65.788
557.555,-68.788
556.555,-68.788
556.555,-71.788
555.555,-71.788
555.555,-74.788
554.555,-74.788
554.555,-77.788
553.555,-77.788
553.555,-80.788
552.555,-80.788
552.555,-82.788
551.555,-82.788
551.555,-85.788
550.555,-85.788
550.555,-87.788
549.555,-87.788
549.555,-89.788
548.555,-89.788
548.555,-91.788
547.555,-91.788
