xpoints,ypoints
427.924,-295.404
429.924,-295.404
429.924,-294.404
431.924,-294.404
431.924,-293.404
432.924,-293.404
432.924,-292.404
434.924,-292.404
434.924,-291.404
436.924,-291.404
436.924,-290.404
437.924,-290.404
437.924,-289.404
439.924,-289.404
439.924,-288.404
440.924,-288.404
440.924,-287.404
441.924,-287.404
441.924,-286.404
443.924,-286.404
443.924,-285.404
444.924,-285.404
444.924,-284.404
446.924,-284.404
446.924,-283.404
447.924,-283.404
447.924,-282.404
448.924,-282.404
448.924,-281.404
449.924,-281.404
449.924,-280.404
451.924,-280.404
451.924,-279.404
452.924,-279.404
452.924,-278.404
453.924,-278.404
453.924,-277.404
454.924,-277.404
454.924,-276.404
456.924,-276.404
456.924,-275.404
457.924,-275.404
457.924,-274.404
458.924,-274.404
458.924,-273.404
459.924,-273.404
459.924,-272.404
460.924,-272.404
460.924,-271.404
461.924,-271.404
461.924,-270.404
462.924,-270.404
462.924,-269.404
463.924,-269.404
463.924,-268.404
464.924,-268.404
464.924,-267.404
465.924,-267.404
465.924,-266.404
466.924,-266.404
466.924,-265.404
467.924,-265.404
467.924,-264.404
468.924,-264.404
468.924,-263.404
469.924,-263.404
469.924,-262.404
470.924,-262.404
470.924,-261.404
471.924,-261.404
471.924,-260.404
472.924,-260.404
472.924,-258.404
473.924,-258.404
473.924,-257.404
474.924,-257.404
474.924,-256.404
475.924,-256.404
475.924,-255.404
476.924,-255.404
476.924,-253.404
477.924,-253.404
477.924,-252.404
478.924,-252.404
478.924,-251.404
479.924,-251.404
479.924,-249.404
480.924,-249.404
480.924,-248.404
481.924,-248.404
481.924,-246.404
482.924,-246.404
482.924,-245.404
483.924,-245.404
483.924,-243.404
484.924,-243.404
484.924,-241.404
485.924,-241.404
485.924,-240.404
486.924,-240.404
486.924,-238.404
487.924,-238.404
487.924,-236.404
488.924,-236.404
488.924,-234.404
489.924,-234.404
489.924,-232.404
490.924,-232.404
490.924,-230.404
491.924,-230.404
491.924,-228.404
492.924,-228.404
492.924,-226.404
493.924,-226.404
493.924,-224.404
494.924,-224.404
494.924,-221.404
495.924,-221.404
495.924,-218.404
496.924,-218.404
496.924,-216.404
497.924,-216.404
497.924,-213.404
498.924,-213.404
498.924,-210.404
499.924,-210.404
499.924,-206.404
500.924,-206.404
500.924,-202.404
501.924,-202.404
501.924,-198.404
502.924,-198.404
502.924,-193.404
503.924,-193.404
503.924,-188.404
504.924,-188.404
504.924,-182.404
505.924,-182.404
505.924,-173.404
506.924,-173.404
506.924,-162.404
507.924,-162.404
507.924,-141.404
508.924,-141.404
508.924,-103.404
507.924,-103.404
507.924,-88.404
506.924,-88.404
506.924,-79.404
505.924,-79.404
505.924,-72.404
504.924,-72.404
504.924,-66.404
503.924,-66.404
503.924,-61.404
502.924,-61.404
502.924,-57.404
501.924,-57.404
501.924,-53.404
500.924,-53.404
500.924,-50.404
499.924,-50.404
499.924,-46.404
498.924,-46.404
498.924,-43.404
497.924,-43.404
497.924,-40.404
496.924,-40.404
496.924,-38.404
495.924,-38.404
495.924,-35.404
494.924,-35.404
494.924,-33.404
493.924,-33.404
493.924,-31.404
492.924,-31.404
492.924,-28.404
491.924,-28.404
491.924,-26.404
490.924,-26.404
490.924,-24.404
489.924,-24.404
489.924,-22.404
488.924,-22.404
488.924,-20.404
487.924,-20.404
487.924,-19.404
486.924,-19.404
486.924,-17.404
485.924,-17.404
485.924,-15.404
484.924,-15.404
484.924,-13.404
483.924,-13.404
483.924,-12.404
482.924,-12.404
482.924,-10.404
481.924,-10.404
481.924,-9.404
480.924,-9.404
480.924,-7.404
479.924,-7.404
479.924,-6.404
478.924,-6.404
478.924,-4.404
477.924,-4.404
477.924,-3.404
476.924,-3.404
476.924,-2.404
475.924,-2.404
475.924,-0.404
474.924,-0.404
474.924,0.596
473.924,0.596
473.924,1.596
472.924,1.596
472.924,3.596
471.924,3.596
471.924,4.596
470.924,4.596
470.924,5.596
469.924,5.596
469.924,7.596
468.924,7.596
468.924,8.596
467.924,8.596
467.924,9.596
466.924,9.596
466.924,10.596
465.924,10.596
465.924,12.596
464.924,12.596
464.924,13.596
463.924,13.596
463.924,14.596
462.924,14.596
462.924,16.596
461.924,16.596
461.924,17.596
460.924,17.596
460.924,18.596
459.924,18.596
459.924,20.596
458.924,20.596
458.924,21.596
457.924,21.596
457.924,23.596
456.924,23.596
456.924,24.596
455.924,24.596
455.924,26.596
454.924,26.596
454.924,27.596
453.924,27.596
453.924,29.596
452.924,29.596
452.924,31.596
451.924,31.596
451.924,33.596
450.924,33.596
450.924,35.596
449.924,35.596
449.924,37.596
448.924,37.596
448.924,40.596
447.924,40.596
447.924,44.596
446.924,44.596
446.924,47.596
