xpoints,ypoints
409.924,-146.404
410.924,-146.404
410.924,-144.404
411.924,-144.404
411.924,-141.404
412.924,-141.404
412.924,-138.404
413.924,-138.404
413.924,-135.404
414.924,-135.404
414.924,-132.404
415.924,-132.404
415.924,-129.404
416.924,-129.404
416.924,-124.404
417.924,-124.404
417.924,-120.404
418.924,-120.404
418.924,-115.404
419.924,-115.404
419.924,-107.404
420.924,-107.404
420.924,-91.404
421.924,-91.404
421.924,-89.404
420.924,-89.404
420.924,-76.404
419.924,-76.404
419.924,-70.404
418.924,-70.404
418.924,-65.404
417.924,-65.404
417.924,-61.404
416.924,-61.404
416.924,-58.404
415.924,-58.404
415.924,-54.404
414.924,-54.404
414.924,-51.404
413.924,-51.404
413.924,-48.404
412.924,-48.404
412.924,-45.404
411.924,-45.404
411.924,-42.404
410.924,-42.404
410.924,-39.404
409.924,-39.404
409.924,-37.404
408.924,-37.404
408.924,-34.404
407.924,-34.404
407.924,-32.404
406.924,-32.404
406.924,-29.404
405.924,-29.404
405.924,-27.404
404.924,-27.404
404.924,-25.404
403.924,-25.404
403.924,-22.404
402.924,-22.404
402.924,-20.404
401.924,-20.404
401.924,-18.404
400.924,-18.404
400.924,-16.404
399.924,-16.404
399.924,-14.404
398.924,-14.404
398.924,-12.404
397.924,-12.404
397.924,-10.404
396.924,-10.404
396.924,-8.404
395.924,-8.404
395.924,-6.404
394.924,-6.404
394.924,-4.404
393.924,-4.404
393.924,-3.404
392.924,-3.404
392.924,-1.404
391.924,-1.404
391.924,0.596
390.924,0.596
390.924,2.596
389.924,2.596
389.924,4.596
388.924,4.596
388.924,5.596
387.924,5.596
387.924,7.596
386.924,7.596
386.924,9.596
385.924,9.596
385.924,10.596
384.924,10.596
384.924,12.596
383.924,12.596
383.924,13.596
382.924,13.596
382.924,15.596
381.924,15.596
381.924,17.596
380.924,17.596
380.924,18.596
379.924,18.596
379.924,20.596
378.924,20.596
378.924,21.596
377.924,21.596
377.924,23.596
376.924,23.596
376.924,24.596
375.924,24.596
