xpoints,ypoints
380.566,-257.446
382.566,-257.446
382.566,-256.446
383.566,-256.446
383.566,-255.446
384.566,-255.446
384.566,-254.446
386.566,-254.446
386.566,-253.446
387.566,-253.446
387.566,-252.446
388.566,-252.446
388.566,-251.446
390.566,-251.446
390.566,-250.446
391.566,-250.446
391.566,-249.446
392.566,-249.446
392.566,-248.446
394.566,-248.446
394.566,-247.446
395.566,-247.446
395.566,-246.446
396.566,-246.446
396.566,-245.446
398.566,-245.446
398.566,-244.446
399.566,-244.446
399.566,-243.446
400.566,-243.446
400.566,-242.446
402.566,-242.446
402.566,-241.446
403.566,-241.446
403.566,-240.446
404.566,-240.446
404.566,-239.446
405.566,-239.446
405.566,-238.446
407.566,-238.446
407.566,-237.446
408.566,-237.446
408.566,-236.446
409.566,-236.446
409.566,-235.446
411.566,-235.446
411.566,-234.446
412.566,-234.446
412.566,-233.446
413.566,-233.446
413.566,-232.446
414.566,-232.446
414.566,-231.446
415.566,-231.446
415.566,-230.446
417.566,-230.446
417.566,-229.446
418.566,-229.446
418.566,-228.446
419.566,-228.446
419.566,-227.446
420.566,-227.446
420.566,-226.446
421.566,-226.446
421.566,-225.446
423.566,-225.446
423.566,-224.446
424.566,-224.446
424.566,-223.446
425.566,-223.446
425.566,-222.446
426.566,-222.446
426.566,-221.446
427.566,-221.446
427.566,-220.446
428.566,-220.446
428.566,-219.446
430.566,-219.446
430.566,-218.446
431.566,-218.446
431.566,-217.446
432.566,-217.446
432.566,-216.446
433.566,-216.446
433.566,-215.446
434.566,-215.446
434.566,-214.446
435.566,-214.446
435.566,-213.446
436.566,-213.446
436.566,-212.446
438.566,-212.446
438.566,-211.446
439.566,-211.446
439.566,-210.446
440.566,-210.446
440.566,-209.446
441.566,-209.446
441.566,-208.446
442.566,-208.446
442.566,-207.446
443.566,-207.446
443.566,-206.446
444.566,-206.446
444.566,-205.446
445.566,-205.446
445.566,-204.446
446.566,-204.446
446.566,-203.446
447.566,-203.446
447.566,-202.446
449.566,-202.446
449.566,-201.446
450.566,-201.446
450.566,-200.446
451.566,-200.446
451.566,-199.446
452.566,-199.446
452.566,-198.446
453.566,-198.446
453.566,-197.446
454.566,-197.446
454.566,-196.446
455.566,-196.446
455.566,-195.446
456.566,-195.446
456.566,-194.446
457.566,-194.446
457.566,-193.446
458.566,-193.446
458.566,-192.446
459.566,-192.446
459.566,-191.446
460.566,-191.446
460.566,-190.446
461.566,-190.446
461.566,-189.446
462.566,-189.446
462.566,-188.446
464.566,-188.446
464.566,-187.446
465.566,-187.446
465.566,-186.446
466.566,-186.446
466.566,-185.446
467.566,-185.446
467.566,-184.446
468.566,-184.446
468.566,-183.446
469.566,-183.446
469.566,-182.446
470.566,-182.446
470.566,-181.446
471.566,-181.446
471.566,-180.446
472.566,-180.446
472.566,-179.446
473.566,-179.446
473.566,-178.446
474.566,-178.446
474.566,-177.446
475.566,-177.446
475.566,-176.446
476.566,-176.446
476.566,-175.446
477.566,-175.446
477.566,-174.446
478.566,-174.446
478.566,-173.446
479.566,-173.446
479.566,-172.446
480.566,-172.446
480.566,-171.446
481.566,-171.446
481.566,-170.446
483.566,-170.446
483.566,-169.446
484.566,-169.446
484.566,-168.446
485.566,-168.446
485.566,-167.446
486.566,-167.446
486.566,-166.446
487.566,-166.446
487.566,-165.446
488.566,-165.446
488.566,-164.446
489.566,-164.446
489.566,-163.446
490.566,-163.446
490.566,-162.446
491.566,-162.446
491.566,-161.446
492.566,-161.446
492.566,-160.446
493.566,-160.446
493.566,-159.446
494.566,-159.446
494.566,-158.446
495.566,-158.446
495.566,-157.446
496.566,-157.446
496.566,-156.446
497.566,-156.446
497.566,-155.446
498.566,-155.446
498.566,-154.446
499.566,-154.446
499.566,-153.446
500.566,-153.446
500.566,-152.446
501.566,-152.446
501.566,-151.446
502.566,-151.446
502.566,-150.446
503.566,-150.446
503.566,-149.446
504.566,-149.446
504.566,-148.446
505.566,-148.446
505.566,-147.446
506.566,-147.446
506.566,-146.446
507.566,-146.446
507.566,-145.446
508.566,-145.446
508.566,-144.446
509.566,-144.446
509.566,-143.446
510.566,-143.446
510.566,-142.446
511.566,-142.446
511.566,-141.446
512.566,-141.446
512.566,-140.446
513.566,-140.446
513.566,-139.446
514.566,-139.446
514.566,-138.446
515.566,-138.446
515.566,-137.446
516.566,-137.446
516.566,-136.446
517.566,-136.446
517.566,-135.446
518.566,-135.446
518.566,-134.446
519.566,-134.446
519.566,-133.446
520.566,-133.446
520.566,-132.446
521.566,-132.446
521.566,-131.446
522.566,-131.446
522.566,-130.446
523.566,-130.446
523.566,-129.446
524.566,-129.446
524.566,-128.446
525.566,-128.446
525.566,-127.446
526.566,-127.446
526.566,-126.446
527.566,-126.446
527.566,-125.446
528.566,-125.446
528.566,-124.446
529.566,-124.446
529.566,-123.446
530.566,-123.446
530.566,-122.446
531.566,-122.446
531.566,-120.446
532.566,-120.446
532.566,-119.446
533.566,-119.446
533.566,-118.446
534.566,-118.446
534.566,-117.446
535.566,-117.446
535.566,-116.446
536.566,-116.446
536.566,-115.446
537.566,-115.446
537.566,-114.446
538.566,-114.446
538.566,-113.446
539.566,-113.446
539.566,-112.446
540.566,-112.446
540.566,-111.446
541.566,-111.446
541.566,-110.446
542.566,-110.446
542.566,-108.446
543.566,-108.446
543.566,-107.446
544.566,-107.446
544.566,-106.446
545.566,-106.446
545.566,-105.446
546.566,-105.446
546.566,-104.446
547.566,-104.446
547.566,-103.446
548.566,-103.446
548.566,-102.446
549.566,-102.446
549.566,-101.446
550.566,-101.446
550.566,-99.446
551.566,-99.446
551.566,-98.446
552.566,-98.446
552.566,-97.446
553.566,-97.446
553.566,-96.446
554.566,-96.446
554.566,-95.446
555.566,-95.446
555.566,-94.446
556.566,-94.446
556.566,-92.446
557.566,-92.446
557.566,-91.446
558.566,-91.446
558.566,-90.446
559.566,-90.446
559.566,-89.446
560.566,-89.446
560.566,-87.446
561.566,-87.446
561.566,-86.446
562.566,-86.446
562.566,-85.446
563.566,-85.446
563.566,-84.446
564.566,-84.446
564.566,-82.446
565.566,-82.446
565.566,-81.446
566.566,-81.446
566.566,-80.446
567.566,-80.446
567.566,-78.446
568.566,-78.446
568.566,-77.446
569.566,-77.446
569.566,-76.446
570.566,-76.446
570.566,-74.446
571.566,-74.446
571.566,-73.446
572.566,-73.446
572.566,-71.446
573.566,-71.446
573.566,-70.446
574.566,-70.446
574.566,-68.446
575.566,-68.446
575.566,-67.446
576.566,-67.446
576.566,-65.446
577.566,-65.446
577.566,-64.446
578.566,-64.446
578.566,-62.446
579.566,-62.446
