xpoints,ypoints
326.482,-347.196
329.482,-347.196
329.482,-346.196
332.482,-346.196
332.482,-345.196
335.482,-345.196
335.482,-344.196
338.482,-344.196
338.482,-343.196
340.482,-343.196
340.482,-342.196
343.482,-342.196
343.482,-341.196
346.482,-341.196
346.482,-340.196
348.482,-340.196
348.482,-339.196
351.482,-339.196
351.482,-338.196
353.482,-338.196
353.482,-337.196
356.482,-337.196
356.482,-336.196
358.482,-336.196
358.482,-335.196
361.482,-335.196
361.482,-334.196
363.482,-334.196
363.482,-333.196
366.482,-333.196
366.482,-332.196
368.482,-332.196
368.482,-331.196
370.482,-331.196
370.482,-330.196
372.482,-330.196
372.482,-329.196
375.482,-329.196
375.482,-328.196
377.482,-328.196
377.482,-327.196
379.482,-327.196
379.482,-326.196
381.482,-326.196
381.482,-325.196
383.482,-325.196
383.482,-324.196
385.482,-324.196
385.482,-323.196
388.482,-323.196
388.482,-322.196
390.482,-322.196
390.482,-321.196
392.482,-321.196
392.482,-320.196
394.482,-320.196
394.482,-319.196
396.482,-319.196
396.482,-318.196
398.482,-318.196
398.482,-317.196
400.482,-317.196
400.482,-316.196
401.482,-316.196
401.482,-315.196
403.482,-315.196
403.482,-314.196
405.482,-314.196
405.482,-313.196
407.482,-313.196
407.482,-312.196
409.482,-312.196
409.482,-311.196
411.482,-311.196
411.482,-310.196
413.482,-310.196
413.482,-309.196
415.482,-309.196
415.482,-308.196
416.482,-308.196
416.482,-307.196
418.482,-307.196
418.482,-306.196
420.482,-306.196
420.482,-305.196
422.482,-305.196
422.482,-304.196
424.482,-304.196
424.482,-303.196
425.482,-303.196
425.482,-302.196
427.482,-302.196
427.482,-301.196
429.482,-301.196
429.482,-300.196
431.482,-300.196
431.482,-299.196
432.482,-299.196
432.482,-298.196
434.482,-298.196
434.482,-297.196
436.482,-297.196
436.482,-296.196
437.482,-296.196
437.482,-295.196
439.482,-295.196
439.482,-294.196
441.482,-294.196
441.482,-293.196
442.482,-293.196
442.482,-292.196
444.482,-292.196
444.482,-291.196
446.482,-291.196
446.482,-290.196
447.482,-290.196
447.482,-289.196
449.482,-289.196
449.482,-288.196
451.482,-288.196
451.482,-287.196
452.482,-287.196
452.482,-286.196
454.482,-286.196
454.482,-285.196
455.482,-285.196
455.482,-284.196
457.482,-284.196
457.482,-283.196
458.482,-283.196
458.482,-282.196
460.482,-282.196
460.482,-281.196
461.482,-281.196
461.482,-280.196
463.482,-280.196
463.482,-279.196
464.482,-279.196
464.482,-278.196
466.482,-278.196
466.482,-277.196
467.482,-277.196
467.482,-276.196
469.482,-276.196
469.482,-275.196
470.482,-275.196
470.482,-274.196
472.482,-274.196
472.482,-273.196
473.482,-273.196
473.482,-272.196
475.482,-272.196
475.482,-271.196
476.482,-271.196
476.482,-270.196
477.482,-270.196
477.482,-269.196
479.482,-269.196
479.482,-268.196
480.482,-268.196
480.482,-267.196
481.482,-267.196
481.482,-266.196
483.482,-266.196
483.482,-265.196
484.482,-265.196
484.482,-264.196
485.482,-264.196
485.482,-263.196
487.482,-263.196
487.482,-262.196
488.482,-262.196
488.482,-261.196
489.482,-261.196
489.482,-260.196
490.482,-260.196
490.482,-259.196
492.482,-259.196
492.482,-258.196
493.482,-258.196
493.482,-257.196
494.482,-257.196
494.482,-256.196
495.482,-256.196
495.482,-255.196
497.482,-255.196
497.482,-254.196
498.482,-254.196
498.482,-253.196
499.482,-253.196
499.482,-252.196
500.482,-252.196
500.482,-251.196
501.482,-251.196
501.482,-250.196
502.482,-250.196
502.482,-249.196
504.482,-249.196
504.482,-248.196
505.482,-248.196
505.482,-247.196
506.482,-247.196
506.482,-246.196
507.482,-246.196
507.482,-245.196
508.482,-245.196
508.482,-244.196
509.482,-244.196
509.482,-243.196
510.482,-243.196
510.482,-242.196
511.482,-242.196
511.482,-241.196
512.482,-241.196
512.482,-240.196
513.482,-240.196
513.482,-239.196
514.482,-239.196
514.482,-238.196
515.482,-238.196
515.482,-237.196
517.482,-237.196
517.482,-236.196
518.482,-236.196
518.482,-234.196
519.482,-234.196
519.482,-233.196
520.482,-233.196
520.482,-232.196
521.482,-232.196
521.482,-231.196
522.482,-231.196
522.482,-230.196
523.482,-230.196
523.482,-229.196
524.482,-229.196
524.482,-228.196
525.482,-228.196
525.482,-227.196
526.482,-227.196
526.482,-226.196
527.482,-226.196
527.482,-225.196
528.482,-225.196
528.482,-224.196
529.482,-224.196
529.482,-223.196
530.482,-223.196
530.482,-222.196
531.482,-222.196
531.482,-220.196
532.482,-220.196
532.482,-219.196
533.482,-219.196
533.482,-218.196
534.482,-218.196
534.482,-217.196
535.482,-217.196
535.482,-216.196
536.482,-216.196
536.482,-214.196
537.482,-214.196
537.482,-213.196
538.482,-213.196
538.482,-212.196
539.482,-212.196
539.482,-211.196
540.482,-211.196
540.482,-209.196
