xpoints,ypoints
336.482,-289.196
339.482,-289.196
339.482,-288.196
341.482,-288.196
341.482,-287.196
344.482,-287.196
344.482,-286.196
346.482,-286.196
346.482,-285.196
349.482,-285.196
349.482,-284.196
351.482,-284.196
351.482,-283.196
353.482,-283.196
353.482,-282.196
356.482,-282.196
356.482,-281.196
358.482,-281.196
358.482,-280.196
360.482,-280.196
360.482,-279.196
363.482,-279.196
363.482,-278.196
365.482,-278.196
365.482,-277.196
367.482,-277.196
367.482,-276.196
369.482,-276.196
369.482,-275.196
371.482,-275.196
371.482,-274.196
373.482,-274.196
373.482,-273.196
375.482,-273.196
375.482,-272.196
377.482,-272.196
377.482,-271.196
379.482,-271.196
379.482,-270.196
381.482,-270.196
381.482,-269.196
383.482,-269.196
383.482,-268.196
385.482,-268.196
385.482,-267.196
387.482,-267.196
387.482,-266.196
389.482,-266.196
389.482,-265.196
391.482,-265.196
391.482,-264.196
393.482,-264.196
393.482,-263.196
395.482,-263.196
395.482,-262.196
397.482,-262.196
397.482,-261.196
398.482,-261.196
398.482,-260.196
400.482,-260.196
400.482,-259.196
402.482,-259.196
402.482,-258.196
404.482,-258.196
404.482,-257.196
405.482,-257.196
405.482,-256.196
407.482,-256.196
407.482,-255.196
409.482,-255.196
409.482,-254.196
410.482,-254.196
410.482,-253.196
412.482,-253.196
412.482,-252.196
414.482,-252.196
414.482,-251.196
415.482,-251.196
415.482,-250.196
417.482,-250.196
417.482,-249.196
418.482,-249.196
418.482,-248.196
420.482,-248.196
420.482,-247.196
422.482,-247.196
422.482,-246.196
423.482,-246.196
423.482,-245.196
425.482,-245.196
425.482,-244.196
426.482,-244.196
426.482,-243.196
428.482,-243.196
428.482,-242.196
429.482,-242.196
429.482,-241.196
430.482,-241.196
430.482,-240.196
432.482,-240.196
432.482,-239.196
433.482,-239.196
433.482,-238.196
435.482,-238.196
435.482,-237.196
436.482,-237.196
436.482,-236.196
438.482,-236.196
438.482,-235.196
439.482,-235.196
439.482,-234.196
440.482,-234.196
440.482,-233.196
442.482,-233.196
442.482,-232.196
443.482,-232.196
443.482,-231.196
444.482,-231.196
444.482,-230.196
446.482,-230.196
446.482,-229.196
447.482,-229.196
447.482,-228.196
448.482,-228.196
448.482,-227.196
449.482,-227.196
449.482,-226.196
451.482,-226.196
451.482,-225.196
452.482,-225.196
452.482,-224.196
453.482,-224.196
453.482,-223.196
454.482,-223.196
454.482,-222.196
456.482,-222.196
456.482,-221.196
457.482,-221.196
457.482,-220.196
458.482,-220.196
458.482,-219.196
459.482,-219.196
459.482,-218.196
460.482,-218.196
460.482,-217.196
461.482,-217.196
