xpoints,ypoints
348.836,-400.337
352.836,-400.337
352.836,-399.337
355.836,-399.337
355.836,-398.337
358.836,-398.337
358.836,-397.337
362.836,-397.337
362.836,-396.337
365.836,-396.337
365.836,-395.337
368.836,-395.337
368.836,-394.337
372.836,-394.337
372.836,-393.337
375.836,-393.337
375.836,-392.337
378.836,-392.337
378.836,-391.337
382.836,-391.337
382.836,-390.337
385.836,-390.337
385.836,-389.337
388.836,-389.337
388.836,-388.337
391.836,-388.337
391.836,-387.337
394.836,-387.337
394.836,-386.337
397.836,-386.337
397.836,-385.337
400.836,-385.337
400.836,-384.337
403.836,-384.337
403.836,-383.337
406.836,-383.337
406.836,-382.337
409.836,-382.337
409.836,-381.337
412.836,-381.337
412.836,-380.337
414.836,-380.337
414.836,-379.337
417.836,-379.337
417.836,-378.337
420.836,-378.337
420.836,-377.337
422.836,-377.337
422.836,-376.337
425.836,-376.337
425.836,-375.337
427.836,-375.337
427.836,-374.337
430.836,-374.337
430.836,-373.337
432.836,-373.337
432.836,-372.337
434.836,-372.337
434.836,-371.337
437.836,-371.337
437.836,-370.337
439.836,-370.337
439.836,-369.337
441.836,-369.337
441.836,-368.337
443.836,-368.337
443.836,-367.337
445.836,-367.337
445.836,-366.337
447.836,-366.337
447.836,-365.337
449.836,-365.337
449.836,-364.337
451.836,-364.337
451.836,-363.337
453.836,-363.337
453.836,-362.337
455.836,-362.337
455.836,-361.337
457.836,-361.337
457.836,-360.337
459.836,-360.337
459.836,-359.337
460.836,-359.337
460.836,-358.337
462.836,-358.337
462.836,-357.337
464.836,-357.337
464.836,-356.337
465.836,-356.337
465.836,-355.337
467.836,-355.337
467.836,-354.337
469.836,-354.337
469.836,-353.337
470.836,-353.337
470.836,-352.337
472.836,-352.337
472.836,-351.337
473.836,-351.337
473.836,-350.337
475.836,-350.337
475.836,-349.337
476.836,-349.337
476.836,-348.337
478.836,-348.337
478.836,-347.337
479.836,-347.337
479.836,-346.337
481.836,-346.337
481.836,-345.337
482.836,-345.337
482.836,-344.337
483.836,-344.337
483.836,-343.337
485.836,-343.337
485.836,-342.337
486.836,-342.337
486.836,-341.337
487.836,-341.337
487.836,-340.337
489.836,-340.337
489.836,-339.337
490.836,-339.337
490.836,-338.337
491.836,-338.337
491.836,-337.337
492.836,-337.337
492.836,-336.337
494.836,-336.337
494.836,-335.337
495.836,-335.337
495.836,-334.337
496.836,-334.337
496.836,-333.337
497.836,-333.337
497.836,-332.337
498.836,-332.337
498.836,-331.337
500.836,-331.337
500.836,-330.337
501.836,-330.337
501.836,-329.337
502.836,-329.337
502.836,-328.337
503.836,-328.337
503.836,-327.337
504.836,-327.337
504.836,-326.337
505.836,-326.337
505.836,-325.337
506.836,-325.337
506.836,-324.337
507.836,-324.337
507.836,-323.337
509.836,-323.337
509.836,-322.337
510.836,-322.337
510.836,-321.337
511.836,-321.337
511.836,-320.337
512.836,-320.337
512.836,-319.337
513.836,-319.337
513.836,-318.337
514.836,-318.337
514.836,-317.337
515.836,-317.337
515.836,-316.337
516.836,-316.337
516.836,-315.337
517.836,-315.337
517.836,-314.337
518.836,-314.337
518.836,-313.337
519.836,-313.337
519.836,-312.337
520.836,-312.337
520.836,-311.337
521.836,-311.337
521.836,-310.337
522.836,-310.337
522.836,-309.337
523.836,-309.337
523.836,-308.337
524.836,-308.337
524.836,-307.337
525.836,-307.337
525.836,-306.337
526.836,-306.337
526.836,-305.337
527.836,-305.337
527.836,-303.337
528.836,-303.337
528.836,-302.337
529.836,-302.337
529.836,-301.337
530.836,-301.337
530.836,-300.337
531.836,-300.337
531.836,-299.337
532.836,-299.337
532.836,-298.337
533.836,-298.337
533.836,-297.337
534.836,-297.337
534.836,-296.337
535.836,-296.337
535.836,-295.337
536.836,-295.337
536.836,-294.337
537.836,-294.337
537.836,-293.337
538.836,-293.337
538.836,-292.337
539.836,-292.337
539.836,-291.337
540.836,-291.337
540.836,-290.337
541.836,-290.337
541.836,-289.337
542.836,-289.337
542.836,-287.337
543.836,-287.337
543.836,-286.337
544.836,-286.337
544.836,-285.337
545.836,-285.337
545.836,-284.337
546.836,-284.337
546.836,-283.337
547.836,-283.337
547.836,-282.337
548.836,-282.337
548.836,-281.337
549.836,-281.337
549.836,-280.337
550.836,-280.337
550.836,-279.337
551.836,-279.337
551.836,-277.337
552.836,-277.337
552.836,-276.337
553.836,-276.337
553.836,-275.337
554.836,-275.337
554.836,-274.337
555.836,-274.337
555.836,-273.337
556.836,-273.337
556.836,-272.337
557.836,-272.337
557.836,-270.337
558.836,-270.337
558.836,-269.337
559.836,-269.337
559.836,-268.337
560.836,-268.337
560.836,-267.337
561.836,-267.337
561.836,-266.337
562.836,-266.337
562.836,-264.337
563.836,-264.337
563.836,-263.337
564.836,-263.337
564.836,-262.337
565.836,-262.337
565.836,-261.337
566.836,-261.337
566.836,-259.337
567.836,-259.337
567.836,-258.337
568.836,-258.337
568.836,-257.337
569.836,-257.337
569.836,-255.337
570.836,-255.337
570.836,-254.337
571.836,-254.337
571.836,-253.337
572.836,-253.337
572.836,-251.337
573.836,-251.337
573.836,-250.337
574.836,-250.337
574.836,-249.337
575.836,-249.337
575.836,-247.337
576.836,-247.337
576.836,-246.337
577.836,-246.337
577.836,-245.337
578.836,-245.337
578.836,-243.337
579.836,-243.337
579.836,-242.337
580.836,-242.337
580.836,-240.337
581.836,-240.337
581.836,-239.337
582.836,-239.337
582.836,-237.337
583.836,-237.337
583.836,-236.337
584.836,-236.337
584.836,-235.337
585.836,-235.337
585.836,-233.337
586.836,-233.337
586.836,-231.337
587.836,-231.337
587.836,-230.337
588.836,-230.337
588.836,-228.337
589.836,-228.337
589.836,-227.337
590.836,-227.337
590.836,-225.337
591.836,-225.337
591.836,-224.337
592.836,-224.337
592.836,-222.337
593.836,-222.337
593.836,-220.337
594.836,-220.337
594.836,-219.337
595.836,-219.337
595.836,-217.337
596.836,-217.337
596.836,-215.337
597.836,-215.337
597.836,-213.337
598.836,-213.337
598.836,-212.337
599.836,-212.337
599.836,-210.337
600.836,-210.337
600.836,-208.337
601.836,-208.337
601.836,-206.337
602.836,-206.337
602.836,-204.337
603.836,-204.337
603.836,-202.337
604.836,-202.337
604.836,-200.337
605.836,-200.337
605.836,-198.337
606.836,-198.337
606.836,-196.337
607.836,-196.337
607.836,-194.337
608.836,-194.337
608.836,-192.337
609.836,-192.337
609.836,-190.337
610.836,-190.337
610.836,-187.337
611.836,-187.337
611.836,-185.337
612.836,-185.337
612.836,-183.337
613.836,-183.337
613.836,-180.337
614.836,-180.337
614.836,-177.337
615.836,-177.337
615.836,-175.337
616.836,-175.337
616.836,-172.337
617.836,-172.337
617.836,-169.337
618.836,-169.337
618.836,-166.337
619.836,-166.337
619.836,-163.337
620.836,-163.337
620.836,-160.337
621.836,-160.337
621.836,-157.337
622.836,-157.337
622.836,-153.337
623.836,-153.337
623.836,-149.337
624.836,-149.337
624.836,-144.337
625.836,-144.337
625.836,-140.337
626.836,-140.337
626.836,-134.337
627.836,-134.337
627.836,-127.337
628.836,-127.337
628.836,-117.337
629.836,-117.337
629.836,-92.337
628.836,-92.337
628.836,-82.337
627.836,-82.337
627.836,-74.337
626.836,-74.337
626.836,-68.337
625.836,-68.337
625.836,-63.337
624.836,-63.337
624.836,-58.337
623.836,-58.337
623.836,-53.337
622.836,-53.337
622.836,-48.337
621.836,-48.337
621.836,-44.337
620.836,-44.337
620.836,-40.337
619.836,-40.337
619.836,-37.337
618.836,-37.337
618.836,-33.337
617.836,-33.337
617.836,-30.337
616.836,-30.337
616.836,-27.337
615.836,-27.337
615.836,-23.337
614.836,-23.337
614.836,-20.337
613.836,-20.337
613.836,-18.337
612.836,-18.337
612.836,-15.337
611.836,-15.337
611.836,-12.337
610.836,-12.337
610.836,-10.337
609.836,-10.337
609.836,-7.337
608.836,-7.337
608.836,-5.337
607.836,-5.337
607.836,-3.337
606.836,-3.337
606.836,-0.337
605.836,-0.337
605.836,1.663
604.836,1.663
604.836,3.663
603.836,3.663
603.836,4.663
602.836,4.663
602.836,6.663
601.836,6.663
601.836,8.663
600.836,8.663
600.836,10.663
599.836,10.663
599.836,11.663
598.836,11.663
598.836,13.663
597.836,13.663
597.836,14.663
596.836,14.663
596.836,16.663
595.836,16.663
595.836,17.663
594.836,17.663
594.836,18.663
593.836,18.663
593.836,19.663
592.836,19.663
592.836,20.663
591.836,20.663
591.836,22.663
590.836,22.663
590.836,23.663
589.836,23.663
589.836,24.663
588.836,24.663
588.836,25.663
587.836,25.663
587.836,26.663
586.836,26.663
586.836,27.663
585.836,27.663
585.836,28.663
584.836,28.663
584.836,29.663
583.836,29.663
583.836,30.663
582.836,30.663
582.836,31.663
581.836,31.663
581.836,32.663
580.836,32.663
580.836,33.663
578.836,33.663
578.836,34.663
577.836,34.663
577.836,35.663
576.836,35.663
576.836,36.663
575.836,36.663
575.836,37.663
573.836,37.663
573.836,38.663
572.836,38.663
572.836,39.663
571.836,39.663
571.836,40.663
569.836,40.663
569.836,41.663
568.836,41.663
568.836,42.663
566.836,42.663
566.836,43.663
564.836,43.663
564.836,44.663
562.836,44.663
562.836,45.663
560.836,45.663
560.836,46.663
557.836,46.663
557.836,47.663
554.836,47.663
554.836,48.663
551.836,48.663
551.836,49.663
545.836,49.663
545.836,50.663
535.836,50.663
535.836,49.663
536.836,49.663
536.836,48.663
537.836,48.663
537.836,46.663
538.836,46.663
538.836,45.663
539.836,45.663
539.836,44.663
540.836,44.663
540.836,42.663
541.836,42.663
541.836,41.663
542.836,41.663
542.836,39.663
543.836,39.663
543.836,38.663
544.836,38.663
544.836,36.663
545.836,36.663
545.836,35.663
546.836,35.663
546.836,33.663
547.836,33.663
547.836,31.663
548.836,31.663
548.836,30.663
549.836,30.663
549.836,28.663
550.836,28.663
550.836,26.663
551.836,26.663
551.836,25.663
552.836,25.663
552.836,23.663
553.836,23.663
553.836,21.663
554.836,21.663
554.836,19.663
555.836,19.663
555.836,17.663
556.836,17.663
556.836,15.663
557.836,15.663
557.836,13.663
558.836,13.663
558.836,11.663
559.836,11.663
559.836,9.663
560.836,9.663
560.836,7.663
561.836,7.663
561.836,5.663
562.836,5.663
562.836,2.663
563.836,2.663
563.836,0.663
564.836,0.663
564.836,-1.337
565.836,-1.337
565.836,-4.337
566.836,-4.337
566.836,-6.337
567.836,-6.337
567.836,-9.337
568.836,-9.337
568.836,-11.337
569.836,-11.337
569.836,-14.337
570.836,-14.337
570.836,-17.337
571.836,-17.337
571.836,-20.337
572.836,-20.337
572.836,-23.337
573.836,-23.337
573.836,-26.337
574.836,-26.337
574.836,-30.337
575.836,-30.337
575.836,-33.337
576.836,-33.337
576.836,-37.337
577.836,-37.337
577.836,-41.337
578.836,-41.337
578.836,-46.337
579.836,-46.337
579.836,-51.337
580.836,-51.337
580.836,-58.337
581.836,-58.337
581.836,-66.337
582.836,-66.337
582.836,-97.337
581.836,-97.337
581.836,-110.337
580.836,-110.337
580.836,-118.337
579.836,-118.337
579.836,-125.337
578.836,-125.337
578.836,-130.337
577.836,-130.337
577.836,-135.337
576.836,-135.337
576.836,-140.337
575.836,-140.337
575.836,-144.337
574.836,-144.337
574.836,-148.337
573.836,-148.337
573.836,-151.337
572.836,-151.337
572.836,-154.337
571.836,-154.337
571.836,-158.337
570.836,-158.337
570.836,-161.337
569.836,-161.337
569.836,-163.337
568.836,-163.337
568.836,-166.337
567.836,-166.337
567.836,-169.337
566.836,-169.337
566.836,-171.337
565.836,-171.337
565.836,-174.337
564.836,-174.337
564.836,-176.337
563.836,-176.337
563.836,-178.337
562.836,-178.337
