xpoints,ypoints
361.836,-356.337
364.836,-356.337
364.836,-355.337
368.836,-355.337
368.836,-354.337
371.836,-354.337
371.836,-353.337
374.836,-353.337
374.836,-352.337
377.836,-352.337
377.836,-351.337
380.836,-351.337
380.836,-350.337
383.836,-350.337
383.836,-349.337
386.836,-349.337
386.836,-348.337
389.836,-348.337
389.836,-347.337
392.836,-347.337
392.836,-346.337
395.836,-346.337
395.836,-345.337
399.836,-345.337
399.836,-344.337
402.836,-344.337
402.836,-343.337
405.836,-343.337
405.836,-342.337
408.836,-342.337
408.836,-341.337
411.836,-341.337
411.836,-340.337
414.836,-340.337
414.836,-339.337
417.836,-339.337
417.836,-338.337
419.836,-338.337
419.836,-337.337
422.836,-337.337
422.836,-336.337
424.836,-336.337
424.836,-335.337
427.836,-335.337
427.836,-334.337
429.836,-334.337
429.836,-333.337
431.836,-333.337
431.836,-332.337
433.836,-332.337
433.836,-331.337
435.836,-331.337
435.836,-330.337
437.836,-330.337
437.836,-329.337
439.836,-329.337
439.836,-328.337
441.836,-328.337
441.836,-327.337
443.836,-327.337
443.836,-326.337
445.836,-326.337
445.836,-325.337
447.836,-325.337
447.836,-324.337
449.836,-324.337
449.836,-323.337
450.836,-323.337
450.836,-322.337
452.836,-322.337
452.836,-321.337
454.836,-321.337
454.836,-320.337
455.836,-320.337
455.836,-319.337
457.836,-319.337
457.836,-318.337
458.836,-318.337
458.836,-317.337
460.836,-317.337
460.836,-316.337
461.836,-316.337
461.836,-315.337
463.836,-315.337
463.836,-314.337
464.836,-314.337
464.836,-313.337
466.836,-313.337
466.836,-312.337
467.836,-312.337
467.836,-311.337
468.836,-311.337
468.836,-310.337
470.836,-310.337
470.836,-309.337
471.836,-309.337
471.836,-308.337
472.836,-308.337
472.836,-307.337
473.836,-307.337
473.836,-306.337
474.836,-306.337
474.836,-305.337
476.836,-305.337
476.836,-304.337
477.836,-304.337
477.836,-303.337
478.836,-303.337
478.836,-302.337
479.836,-302.337
479.836,-301.337
480.836,-301.337
480.836,-300.337
481.836,-300.337
481.836,-299.337
482.836,-299.337
482.836,-298.337
483.836,-298.337
483.836,-297.337
484.836,-297.337
484.836,-296.337
485.836,-296.337
485.836,-295.337
486.836,-295.337
486.836,-294.337
487.836,-294.337
487.836,-293.337
488.836,-293.337
488.836,-292.337
489.836,-292.337
489.836,-291.337
490.836,-291.337
490.836,-289.337
491.836,-289.337
491.836,-288.337
492.836,-288.337
492.836,-287.337
493.836,-287.337
493.836,-286.337
494.836,-286.337
494.836,-285.337
495.836,-285.337
495.836,-283.337
496.836,-283.337
496.836,-282.337
497.836,-282.337
497.836,-280.337
498.836,-280.337
498.836,-279.337
499.836,-279.337
499.836,-278.337
500.836,-278.337
500.836,-276.337
501.836,-276.337
501.836,-274.337
502.836,-274.337
502.836,-273.337
503.836,-273.337
503.836,-271.337
504.836,-271.337
504.836,-269.337
505.836,-269.337
505.836,-268.337
506.836,-268.337
506.836,-267.337
507.836,-267.337
507.836,-265.337
508.836,-265.337
508.836,-264.337
509.836,-264.337
509.836,-262.337
510.836,-262.337
510.836,-261.337
511.836,-261.337
511.836,-260.337
512.836,-260.337
512.836,-258.337
513.836,-258.337
513.836,-257.337
514.836,-257.337
514.836,-256.337
515.836,-256.337
515.836,-254.337
516.836,-254.337
516.836,-253.337
517.836,-253.337
517.836,-251.337
518.836,-251.337
518.836,-250.337
519.836,-250.337
519.836,-249.337
520.836,-249.337
520.836,-247.337
521.836,-247.337
521.836,-246.337
522.836,-246.337
522.836,-244.337
523.836,-244.337
523.836,-243.337
524.836,-243.337
524.836,-242.337
525.836,-242.337
525.836,-240.337
526.836,-240.337
526.836,-239.337
527.836,-239.337
527.836,-237.337
528.836,-237.337
528.836,-236.337
529.836,-236.337
529.836,-234.337
530.836,-234.337
530.836,-233.337
531.836,-233.337
531.836,-232.337
532.836,-232.337
532.836,-230.337
533.836,-230.337
533.836,-229.337
534.836,-229.337
534.836,-227.337
535.836,-227.337
535.836,-226.337
536.836,-226.337
536.836,-224.337
537.836,-224.337
537.836,-223.337
538.836,-223.337
538.836,-221.337
539.836,-221.337
539.836,-220.337
540.836,-220.337
540.836,-218.337
541.836,-218.337
541.836,-217.337
542.836,-217.337
542.836,-215.337
543.836,-215.337
543.836,-213.337
544.836,-213.337
544.836,-212.337
545.836,-212.337
545.836,-210.337
546.836,-210.337
546.836,-209.337
547.836,-209.337
547.836,-207.337
548.836,-207.337
548.836,-205.337
549.836,-205.337
549.836,-203.337
550.836,-203.337
550.836,-202.337
551.836,-202.337
551.836,-200.337
552.836,-200.337
552.836,-198.337
553.836,-198.337
553.836,-196.337
554.836,-196.337
554.836,-195.337
555.836,-195.337
555.836,-193.337
556.836,-193.337
556.836,-191.337
557.836,-191.337
557.836,-189.337
558.836,-189.337
558.836,-187.337
559.836,-187.337
559.836,-185.337
560.836,-185.337
560.836,-183.337
561.836,-183.337
561.836,-181.337
562.836,-181.337
562.836,-178.337
563.836,-178.337
563.836,-176.337
564.836,-176.337
564.836,-174.337
565.836,-174.337
565.836,-171.337
566.836,-171.337
566.836,-169.337
567.836,-169.337
567.836,-166.337
568.836,-166.337
568.836,-163.337
569.836,-163.337
569.836,-161.337
570.836,-161.337
570.836,-158.337
571.836,-158.337
571.836,-154.337
572.836,-154.337
572.836,-151.337
573.836,-151.337
573.836,-148.337
574.836,-148.337
574.836,-144.337
575.836,-144.337
575.836,-140.337
576.836,-140.337
576.836,-135.337
577.836,-135.337
577.836,-130.337
578.836,-130.337
578.836,-125.337
579.836,-125.337
579.836,-118.337
580.836,-118.337
580.836,-110.337
581.836,-110.337
581.836,-97.337
582.836,-97.337
582.836,-66.337
581.836,-66.337
