xpoints,ypoints
271.836,121.663
272.836,121.663
272.836,122.663
273.836,122.663
273.836,123.663
274.836,123.663
274.836,124.663
275.836,124.663
275.836,125.663
276.836,125.663
276.836,126.663
277.836,126.663
277.836,127.663
278.836,127.663
278.836,129.663
279.836,129.663
279.836,131.663
280.836,131.663
280.836,137.663
279.836,137.663
279.836,140.663
278.836,140.663
278.836,142.663
277.836,142.663
277.836,144.663
276.836,144.663
276.836,145.663
275.836,145.663
275.836,146.663
274.836,146.663
274.836,147.663
273.836,147.663
273.836,148.663
272.836,148.663
272.836,149.663
271.836,149.663
271.836,150.663
269.836,150.663
269.836,151.663
268.836,151.663
268.836,152.663
267.836,152.663
267.836,153.663
265.836,153.663
265.836,154.663
264.836,154.663
264.836,155.663
262.836,155.663
262.836,156.663
261.836,156.663
261.836,157.663
260.836,157.663
260.836,158.663
259.836,158.663
259.836,159.663
258.836,159.663
258.836,160.663
257.836,160.663
257.836,166.663
258.836,166.663
258.836,168.663
259.836,168.663
259.836,170.663
260.836,170.663
260.836,171.663
261.836,171.663
261.836,172.663
262.836,172.663
262.836,173.663
263.836,173.663
263.836,174.663
265.836,174.663
265.836,175.663
266.836,175.663
266.836,176.663
268.836,176.663
268.836,177.663
270.836,177.663
270.836,178.663
272.836,178.663
272.836,179.663
274.836,179.663
274.836,180.663
277.836,180.663
277.836,181.663
280.836,181.663
280.836,182.663
282.836,182.663
282.836,183.663
285.836,183.663
285.836,184.663
288.836,184.663
288.836,185.663
290.836,185.663
290.836,186.663
292.836,186.663
292.836,187.663
294.836,187.663
294.836,188.663
297.836,188.663
297.836,189.663
298.836,189.663
298.836,190.663
300.836,190.663
300.836,191.663
301.836,191.663
301.836,192.663
303.836,192.663
303.836,193.663
304.836,193.663
304.836,194.663
305.836,194.663
305.836,196.663
306.836,196.663
306.836,197.663
307.836,197.663
307.836,199.663
308.836,199.663
308.836,209.663
307.836,209.663
307.836,211.663
306.836,211.663
306.836,212.663
305.836,212.663
305.836,214.663
304.836,214.663
304.836,215.663
303.836,215.663
303.836,216.663
302.836,216.663
302.836,217.663
301.836,217.663
301.836,218.663
300.836,218.663
300.836,219.663
299.836,219.663
299.836,220.663
298.836,220.663
298.836,221.663
296.836,221.663
296.836,222.663
295.836,222.663
295.836,223.663
294.836,223.663
294.836,224.663
292.836,224.663
292.836,225.663
291.836,225.663
291.836,226.663
289.836,226.663
289.836,227.663
288.836,227.663
288.836,228.663
286.836,228.663
286.836,229.663
285.836,229.663
285.836,230.663
284.836,230.663
284.836,231.663
282.836,231.663
282.836,232.663
281.836,232.663
281.836,233.663
279.836,233.663
279.836,234.663
278.836,234.663
278.836,235.663
277.836,235.663
277.836,236.663
276.836,236.663
276.836,237.663
275.836,237.663
275.836,238.663
274.836,238.663
274.836,239.663
273.836,239.663
273.836,240.663
272.836,240.663
272.836,242.663
271.836,242.663
271.836,243.663
270.836,243.663
270.836,247.663
269.836,247.663
269.836,249.663
270.836,249.663
270.836,252.663
271.836,252.663
271.836,254.663
272.836,254.663
272.836,256.663
273.836,256.663
273.836,257.663
274.836,257.663
274.836,258.663
275.836,258.663
275.836,259.663
276.836,259.663
276.836,260.663
277.836,260.663
277.836,261.663
278.836,261.663
278.836,262.663
280.836,262.663
280.836,263.663
281.836,263.663
281.836,264.663
282.836,264.663
282.836,265.663
284.836,265.663
284.836,266.663
285.836,266.663
285.836,267.663
287.836,267.663
287.836,268.663
288.836,268.663
288.836,269.663
290.836,269.663
290.836,270.663
291.836,270.663
291.836,271.663
292.836,271.663
292.836,272.663
293.836,272.663
293.836,273.663
294.836,273.663
294.836,275.663
295.836,275.663
295.836,277.663
296.836,277.663
296.836,280.663
297.836,280.663
297.836,304.663
296.836,304.663
296.836,305.663
290.836,305.663
290.836,306.663
277.836,306.663
277.836,307.663
259.836,307.663
259.836,308.663
232.836,308.663
232.836,309.663
190.836,309.663
190.836,310.663
149.836,310.663
149.836,311.663
123.836,311.663
123.836,312.663
106.836,312.663
106.836,313.663
92.836,313.663
92.836,314.663
82.836,314.663
82.836,315.663
73.836,315.663
73.836,316.663
65.836,316.663
65.836,317.663
58.836,317.663
58.836,318.663
52.836,318.663
52.836,319.663
46.836,319.663
46.836,320.663
40.836,320.663
40.836,321.663
35.836,321.663
35.836,322.663
30.836,322.663
30.836,323.663
25.836,323.663
25.836,324.663
20.836,324.663
20.836,325.663
15.836,325.663
15.836,326.663
11.836,326.663
11.836,327.663
6.836,327.663
6.836,328.663
2.836,328.663
2.836,329.663
-1.164,329.663
-1.164,330.663
-6.164,330.663
-6.164,331.663
-10.164,331.663
-10.164,332.663
-14.164,332.663
-14.164,333.663
-18.164,333.663
-18.164,334.663
-22.164,334.663
-22.164,335.663
-26.164,335.663
-26.164,336.663
-30.164,336.663
-30.164,337.663
-34.164,337.663
-34.164,338.663
-38.164,338.663
-38.164,339.663
-42.164,339.663
-42.164,340.663
