xpoints,ypoints
342.763,-438.687
345.763,-438.687
345.763,-437.687
348.763,-437.687
348.763,-436.687
351.763,-436.687
351.763,-435.687
354.763,-435.687
354.763,-434.687
356.763,-434.687
356.763,-433.687
359.763,-433.687
359.763,-432.687
361.763,-432.687
361.763,-431.687
364.763,-431.687
364.763,-430.687
366.763,-430.687
366.763,-429.687
369.763,-429.687
369.763,-428.687
371.763,-428.687
371.763,-427.687
374.763,-427.687
374.763,-426.687
376.763,-426.687
376.763,-425.687
379.763,-425.687
379.763,-424.687
381.763,-424.687
381.763,-423.687
383.763,-423.687
383.763,-422.687
385.763,-422.687
385.763,-421.687
388.763,-421.687
388.763,-420.687
390.763,-420.687
390.763,-419.687
392.763,-419.687
392.763,-418.687
394.763,-418.687
394.763,-417.687
396.763,-417.687
396.763,-416.687
399.763,-416.687
399.763,-415.687
401.763,-415.687
401.763,-414.687
403.763,-414.687
403.763,-413.687
405.763,-413.687
405.763,-412.687
407.763,-412.687
407.763,-411.687
409.763,-411.687
409.763,-410.687
410.763,-410.687
410.763,-409.687
412.763,-409.687
412.763,-408.687
414.763,-408.687
414.763,-407.687
416.763,-407.687
416.763,-406.687
418.763,-406.687
418.763,-405.687
420.763,-405.687
420.763,-404.687
421.763,-404.687
421.763,-403.687
423.763,-403.687
423.763,-402.687
425.763,-402.687
425.763,-401.687
426.763,-401.687
426.763,-400.687
428.763,-400.687
428.763,-399.687
430.763,-399.687
430.763,-398.687
431.763,-398.687
431.763,-397.687
433.763,-397.687
433.763,-396.687
434.763,-396.687
434.763,-395.687
436.763,-395.687
436.763,-394.687
438.763,-394.687
438.763,-393.687
439.763,-393.687
439.763,-392.687
441.763,-392.687
441.763,-391.687
442.763,-391.687
442.763,-390.687
444.763,-390.687
444.763,-389.687
445.763,-389.687
445.763,-388.687
447.763,-388.687
447.763,-387.687
448.763,-387.687
448.763,-386.687
450.763,-386.687
450.763,-385.687
451.763,-385.687
451.763,-384.687
452.763,-384.687
452.763,-383.687
454.763,-383.687
454.763,-382.687
455.763,-382.687
455.763,-381.687
457.763,-381.687
457.763,-380.687
458.763,-380.687
458.763,-379.687
459.763,-379.687
459.763,-378.687
461.763,-378.687
461.763,-377.687
462.763,-377.687
462.763,-376.687
464.763,-376.687
464.763,-375.687
465.763,-375.687
465.763,-374.687
466.763,-374.687
466.763,-373.687
468.763,-373.687
468.763,-372.687
469.763,-372.687
469.763,-371.687
470.763,-371.687
470.763,-370.687
472.763,-370.687
472.763,-369.687
473.763,-369.687
473.763,-368.687
474.763,-368.687
474.763,-367.687
476.763,-367.687
476.763,-366.687
477.763,-366.687
477.763,-365.687
479.763,-365.687
479.763,-364.687
480.763,-364.687
480.763,-363.687
481.763,-363.687
481.763,-362.687
482.763,-362.687
482.763,-361.687
484.763,-361.687
484.763,-360.687
485.763,-360.687
485.763,-359.687
486.763,-359.687
486.763,-358.687
488.763,-358.687
488.763,-357.687
489.763,-357.687
489.763,-356.687
490.763,-356.687
490.763,-355.687
492.763,-355.687
492.763,-354.687
493.763,-354.687
493.763,-353.687
494.763,-353.687
494.763,-352.687
496.763,-352.687
496.763,-351.687
497.763,-351.687
497.763,-350.687
498.763,-350.687
498.763,-349.687
499.763,-349.687
499.763,-348.687
501.763,-348.687
501.763,-347.687
502.763,-347.687
502.763,-346.687
503.763,-346.687
503.763,-345.687
505.763,-345.687
505.763,-344.687
506.763,-344.687
506.763,-343.687
507.763,-343.687
507.763,-342.687
508.763,-342.687
508.763,-341.687
510.763,-341.687
510.763,-340.687
511.763,-340.687
511.763,-339.687
512.763,-339.687
512.763,-338.687
514.763,-338.687
514.763,-337.687
515.763,-337.687
515.763,-336.687
516.763,-336.687
516.763,-335.687
517.763,-335.687
517.763,-334.687
519.763,-334.687
519.763,-333.687
520.763,-333.687
520.763,-332.687
521.763,-332.687
521.763,-331.687
523.763,-331.687
523.763,-330.687
524.763,-330.687
524.763,-329.687
525.763,-329.687
525.763,-328.687
526.763,-328.687
526.763,-327.687
528.763,-327.687
528.763,-326.687
529.763,-326.687
529.763,-325.687
530.763,-325.687
530.763,-324.687
532.763,-324.687
532.763,-323.687
533.763,-323.687
533.763,-322.687
534.763,-322.687
534.763,-321.687
535.763,-321.687
535.763,-320.687
537.763,-320.687
537.763,-319.687
538.763,-319.687
538.763,-318.687
539.763,-318.687
539.763,-317.687
540.763,-317.687
540.763,-316.687
541.763,-316.687
541.763,-315.687
543.763,-315.687
543.763,-314.687
544.763,-314.687
544.763,-313.687
545.763,-313.687
545.763,-312.687
546.763,-312.687
546.763,-311.687
547.763,-311.687
547.763,-310.687
548.763,-310.687
548.763,-309.687
549.763,-309.687
549.763,-308.687
550.763,-308.687
550.763,-307.687
552.763,-307.687
552.763,-306.687
553.763,-306.687
553.763,-305.687
554.763,-305.687
554.763,-304.687
555.763,-304.687
555.763,-303.687
556.763,-303.687
556.763,-302.687
557.763,-302.687
557.763,-301.687
558.763,-301.687
558.763,-300.687
559.763,-300.687
559.763,-299.687
560.763,-299.687
560.763,-298.687
561.763,-298.687
561.763,-297.687
562.763,-297.687
562.763,-296.687
563.763,-296.687
563.763,-295.687
564.763,-295.687
564.763,-294.687
565.763,-294.687
565.763,-293.687
566.763,-293.687
566.763,-292.687
567.763,-292.687
567.763,-291.687
568.763,-291.687
568.763,-290.687
569.763,-290.687
569.763,-289.687
570.763,-289.687
570.763,-288.687
571.763,-288.687
571.763,-287.687
572.763,-287.687
572.763,-286.687
573.763,-286.687
573.763,-285.687
574.763,-285.687
574.763,-284.687
575.763,-284.687
575.763,-283.687
576.763,-283.687
576.763,-281.687
577.763,-281.687
577.763,-280.687
578.763,-280.687
578.763,-279.687
579.763,-279.687
579.763,-278.687
580.763,-278.687
580.763,-277.687
581.763,-277.687
581.763,-276.687
582.763,-276.687
582.763,-275.687
583.763,-275.687
583.763,-274.687
584.763,-274.687
584.763,-272.687
585.763,-272.687
585.763,-271.687
586.763,-271.687
586.763,-270.687
587.763,-270.687
587.763,-269.687
588.763,-269.687
588.763,-268.687
589.763,-268.687
589.763,-266.687
