xpoints,ypoints
338.763,-338.687
340.763,-338.687
340.763,-337.687
342.763,-337.687
342.763,-336.687
345.763,-336.687
345.763,-335.687
347.763,-335.687
347.763,-334.687
350.763,-334.687
350.763,-333.687
352.763,-333.687
352.763,-332.687
354.763,-332.687
354.763,-331.687
357.763,-331.687
357.763,-330.687
359.763,-330.687
359.763,-329.687
361.763,-329.687
361.763,-328.687
364.763,-328.687
364.763,-327.687
366.763,-327.687
366.763,-326.687
368.763,-326.687
368.763,-325.687
370.763,-325.687
370.763,-324.687
372.763,-324.687
372.763,-323.687
374.763,-323.687
374.763,-322.687
377.763,-322.687
377.763,-321.687
379.763,-321.687
379.763,-320.687
381.763,-320.687
381.763,-319.687
383.763,-319.687
383.763,-318.687
385.763,-318.687
385.763,-317.687
387.763,-317.687
387.763,-316.687
389.763,-316.687
389.763,-315.687
391.763,-315.687
391.763,-314.687
393.763,-314.687
393.763,-313.687
395.763,-313.687
395.763,-312.687
397.763,-312.687
397.763,-311.687
399.763,-311.687
399.763,-310.687
400.763,-310.687
400.763,-309.687
402.763,-309.687
402.763,-308.687
404.763,-308.687
404.763,-307.687
406.763,-307.687
406.763,-306.687
408.763,-306.687
408.763,-305.687
410.763,-305.687
410.763,-304.687
412.763,-304.687
412.763,-303.687
413.763,-303.687
413.763,-302.687
415.763,-302.687
415.763,-301.687
417.763,-301.687
417.763,-300.687
419.763,-300.687
419.763,-299.687
421.763,-299.687
421.763,-298.687
423.763,-298.687
423.763,-297.687
424.763,-297.687
424.763,-296.687
426.763,-296.687
426.763,-295.687
428.763,-295.687
428.763,-294.687
430.763,-294.687
430.763,-293.687
431.763,-293.687
431.763,-292.687
433.763,-292.687
433.763,-291.687
435.763,-291.687
435.763,-290.687
436.763,-290.687
436.763,-289.687
438.763,-289.687
438.763,-288.687
440.763,-288.687
440.763,-287.687
441.763,-287.687
441.763,-286.687
443.763,-286.687
443.763,-285.687
445.763,-285.687
445.763,-284.687
446.763,-284.687
446.763,-283.687
448.763,-283.687
448.763,-282.687
449.763,-282.687
449.763,-281.687
451.763,-281.687
451.763,-280.687
452.763,-280.687
452.763,-279.687
454.763,-279.687
454.763,-278.687
456.763,-278.687
456.763,-277.687
457.763,-277.687
457.763,-276.687
459.763,-276.687
459.763,-275.687
460.763,-275.687
460.763,-274.687
462.763,-274.687
462.763,-273.687
463.763,-273.687
463.763,-272.687
464.763,-272.687
464.763,-271.687
466.763,-271.687
466.763,-270.687
467.763,-270.687
467.763,-269.687
469.763,-269.687
469.763,-268.687
470.763,-268.687
470.763,-267.687
472.763,-267.687
472.763,-266.687
473.763,-266.687
473.763,-265.687
474.763,-265.687
474.763,-264.687
476.763,-264.687
476.763,-263.687
477.763,-263.687
477.763,-262.687
478.763,-262.687
478.763,-261.687
480.763,-261.687
480.763,-260.687
481.763,-260.687
481.763,-259.687
482.763,-259.687
482.763,-258.687
483.763,-258.687
483.763,-257.687
485.763,-257.687
485.763,-256.687
486.763,-256.687
486.763,-255.687
487.763,-255.687
487.763,-254.687
488.763,-254.687
488.763,-253.687
490.763,-253.687
490.763,-252.687
491.763,-252.687
491.763,-251.687
492.763,-251.687
492.763,-250.687
493.763,-250.687
493.763,-249.687
494.763,-249.687
494.763,-248.687
495.763,-248.687
495.763,-247.687
496.763,-247.687
496.763,-246.687
497.763,-246.687
497.763,-245.687
498.763,-245.687
498.763,-244.687
499.763,-244.687
499.763,-243.687
500.763,-243.687
500.763,-242.687
501.763,-242.687
501.763,-241.687
502.763,-241.687
502.763,-240.687
503.763,-240.687
503.763,-239.687
504.763,-239.687
504.763,-238.687
505.763,-238.687
505.763,-237.687
506.763,-237.687
506.763,-236.687
507.763,-236.687
507.763,-235.687
508.763,-235.687
508.763,-234.687
509.763,-234.687
509.763,-233.687
510.763,-233.687
510.763,-231.687
511.763,-231.687
511.763,-230.687
512.763,-230.687
512.763,-229.687
513.763,-229.687
513.763,-227.687
514.763,-227.687
514.763,-226.687
515.763,-226.687
515.763,-224.687
516.763,-224.687
516.763,-223.687
517.763,-223.687
517.763,-221.687
518.763,-221.687
518.763,-220.687
519.763,-220.687
519.763,-218.687
520.763,-218.687
520.763,-217.687
521.763,-217.687
521.763,-215.687
522.763,-215.687
522.763,-214.687
523.763,-214.687
523.763,-212.687
524.763,-212.687
524.763,-210.687
525.763,-210.687
525.763,-209.687
526.763,-209.687
526.763,-207.687
527.763,-207.687
527.763,-205.687
528.763,-205.687
528.763,-204.687
529.763,-204.687
529.763,-202.687
530.763,-202.687
530.763,-200.687
531.763,-200.687
531.763,-198.687
532.763,-198.687
532.763,-196.687
533.763,-196.687
533.763,-195.687
534.763,-195.687
534.763,-193.687
535.763,-193.687
535.763,-191.687
536.763,-191.687
536.763,-189.687
537.763,-189.687
537.763,-187.687
538.763,-187.687
538.763,-185.687
539.763,-185.687
539.763,-183.687
540.763,-183.687
540.763,-181.687
541.763,-181.687
541.763,-179.687
542.763,-179.687
542.763,-177.687
543.763,-177.687
543.763,-175.687
544.763,-175.687
544.763,-172.687
545.763,-172.687
545.763,-170.687
546.763,-170.687
546.763,-168.687
547.763,-168.687
547.763,-166.687
548.763,-166.687
548.763,-163.687
549.763,-163.687
549.763,-161.687
550.763,-161.687
550.763,-158.687
551.763,-158.687
551.763,-156.687
552.763,-156.687
552.763,-153.687
553.763,-153.687
553.763,-150.687
554.763,-150.687
554.763,-147.687
555.763,-147.687
555.763,-144.687
556.763,-144.687
556.763,-141.687
557.763,-141.687
557.763,-137.687
558.763,-137.687
558.763,-133.687
559.763,-133.687
559.763,-128.687
560.763,-128.687
560.763,-122.687
561.763,-122.687
561.763,-112.687
562.763,-112.687
562.763,-68.687
561.763,-68.687
561.763,-58.687
560.763,-58.687
560.763,-51.687
559.763,-51.687
559.763,-45.687
558.763,-45.687
558.763,-40.687
557.763,-40.687
557.763,-36.687
556.763,-36.687
556.763,-32.687
555.763,-32.687
555.763,-29.687
554.763,-29.687
554.763,-26.687
553.763,-26.687
553.763,-23.687
552.763,-23.687
552.763,-20.687
551.763,-20.687
551.763,-17.687
550.763,-17.687
550.763,-14.687
549.763,-14.687
549.763,-12.687
548.763,-12.687
548.763,-9.687
547.763,-9.687
547.763,-7.687
546.763,-7.687
546.763,-4.687
545.763,-4.687
545.763,-2.687
544.763,-2.687
544.763,-0.687
543.763,-0.687
543.763,1.313
542.763,1.313
542.763,4.313
541.763,4.313
541.763,6.313
540.763,6.313
540.763,8.313
539.763,8.313
539.763,10.313
538.763,10.313
538.763,12.313
537.763,12.313
537.763,14.313
536.763,14.313
536.763,16.313
535.763,16.313
535.763,18.313
534.763,18.313
534.763,20.313
533.763,20.313
533.763,22.313
532.763,22.313
532.763,24.313
531.763,24.313
531.763,26.313
530.763,26.313
530.763,28.313
529.763,28.313
529.763,30.313
528.763,30.313
528.763,32.313
527.763,32.313
527.763,34.313
526.763,34.313
526.763,35.313
525.763,35.313
525.763,37.313
524.763,37.313
524.763,39.313
523.763,39.313
523.763,41.313
