xpoints,ypoints
379.763,-268.687
381.763,-268.687
381.763,-267.687
383.763,-267.687
383.763,-266.687
384.763,-266.687
384.763,-265.687
386.763,-265.687
386.763,-264.687
388.763,-264.687
388.763,-263.687
390.763,-263.687
390.763,-262.687
391.763,-262.687
391.763,-261.687
393.763,-261.687
393.763,-260.687
395.763,-260.687
395.763,-259.687
396.763,-259.687
396.763,-258.687
398.763,-258.687
398.763,-257.687
400.763,-257.687
400.763,-256.687
401.763,-256.687
401.763,-255.687
403.763,-255.687
403.763,-254.687
404.763,-254.687
404.763,-253.687
406.763,-253.687
406.763,-252.687
407.763,-252.687
407.763,-251.687
409.763,-251.687
409.763,-250.687
411.763,-250.687
411.763,-249.687
412.763,-249.687
412.763,-248.687
413.763,-248.687
413.763,-247.687
415.763,-247.687
415.763,-246.687
416.763,-246.687
416.763,-245.687
418.763,-245.687
418.763,-244.687
419.763,-244.687
419.763,-243.687
421.763,-243.687
421.763,-242.687
422.763,-242.687
422.763,-241.687
424.763,-241.687
424.763,-240.687
425.763,-240.687
425.763,-239.687
426.763,-239.687
426.763,-238.687
428.763,-238.687
428.763,-237.687
429.763,-237.687
429.763,-236.687
431.763,-236.687
431.763,-235.687
432.763,-235.687
432.763,-234.687
433.763,-234.687
433.763,-233.687
434.763,-233.687
434.763,-232.687
436.763,-232.687
436.763,-231.687
437.763,-231.687
437.763,-230.687
438.763,-230.687
438.763,-229.687
440.763,-229.687
440.763,-228.687
441.763,-228.687
441.763,-227.687
442.763,-227.687
442.763,-226.687
443.763,-226.687
443.763,-225.687
445.763,-225.687
445.763,-224.687
446.763,-224.687
446.763,-223.687
447.763,-223.687
447.763,-222.687
448.763,-222.687
448.763,-221.687
450.763,-221.687
450.763,-220.687
451.763,-220.687
451.763,-219.687
452.763,-219.687
452.763,-218.687
453.763,-218.687
453.763,-217.687
454.763,-217.687
454.763,-216.687
456.763,-216.687
456.763,-215.687
457.763,-215.687
457.763,-214.687
458.763,-214.687
458.763,-213.687
459.763,-213.687
459.763,-212.687
460.763,-212.687
460.763,-211.687
461.763,-211.687
461.763,-210.687
462.763,-210.687
462.763,-209.687
463.763,-209.687
463.763,-208.687
465.763,-208.687
465.763,-207.687
466.763,-207.687
466.763,-206.687
467.763,-206.687
467.763,-205.687
468.763,-205.687
468.763,-204.687
469.763,-204.687
469.763,-203.687
470.763,-203.687
470.763,-202.687
471.763,-202.687
471.763,-201.687
472.763,-201.687
472.763,-200.687
473.763,-200.687
473.763,-199.687
474.763,-199.687
474.763,-198.687
475.763,-198.687
475.763,-197.687
476.763,-197.687
476.763,-196.687
477.763,-196.687
477.763,-195.687
478.763,-195.687
478.763,-194.687
479.763,-194.687
479.763,-193.687
480.763,-193.687
480.763,-192.687
481.763,-192.687
481.763,-191.687
482.763,-191.687
482.763,-190.687
483.763,-190.687
483.763,-189.687
484.763,-189.687
484.763,-188.687
485.763,-188.687
485.763,-186.687
486.763,-186.687
486.763,-185.687
487.763,-185.687
487.763,-184.687
488.763,-184.687
488.763,-183.687
489.763,-183.687
489.763,-182.687
490.763,-182.687
490.763,-181.687
491.763,-181.687
491.763,-180.687
492.763,-180.687
492.763,-178.687
493.763,-178.687
493.763,-177.687
494.763,-177.687
494.763,-176.687
495.763,-176.687
495.763,-175.687
496.763,-175.687
496.763,-173.687
497.763,-173.687
497.763,-172.687
498.763,-172.687
498.763,-171.687
499.763,-171.687
499.763,-169.687
500.763,-169.687
500.763,-168.687
501.763,-168.687
501.763,-167.687
502.763,-167.687
502.763,-165.687
503.763,-165.687
503.763,-164.687
504.763,-164.687
504.763,-162.687
505.763,-162.687
505.763,-161.687
506.763,-161.687
506.763,-159.687
507.763,-159.687
507.763,-157.687
508.763,-157.687
508.763,-156.687
509.763,-156.687
509.763,-154.687
510.763,-154.687
510.763,-152.687
511.763,-152.687
511.763,-150.687
512.763,-150.687
512.763,-148.687
513.763,-148.687
513.763,-146.687
514.763,-146.687
514.763,-143.687
515.763,-143.687
515.763,-141.687
516.763,-141.687
516.763,-138.687
517.763,-138.687
517.763,-135.687
518.763,-135.687
518.763,-132.687
519.763,-132.687
519.763,-128.687
520.763,-128.687
