xpoints,ypoints
267.763,47.313
268.763,47.313
268.763,49.313
269.763,49.313
269.763,50.313
270.763,50.313
270.763,51.313
271.763,51.313
271.763,52.313
272.763,52.313
272.763,53.313
273.763,53.313
273.763,54.313
274.763,54.313
274.763,56.313
275.763,56.313
275.763,57.313
276.763,57.313
276.763,58.313
277.763,58.313
277.763,60.313
278.763,60.313
278.763,61.313
279.763,61.313
279.763,62.313
280.763,62.313
280.763,63.313
281.763,63.313
281.763,65.313
282.763,65.313
282.763,66.313
283.763,66.313
283.763,67.313
284.763,67.313
284.763,69.313
285.763,69.313
285.763,70.313
286.763,70.313
286.763,71.313
287.763,71.313
287.763,72.313
288.763,72.313
288.763,73.313
289.763,73.313
289.763,75.313
290.763,75.313
290.763,76.313
291.763,76.313
291.763,77.313
292.763,77.313
292.763,78.313
293.763,78.313
293.763,79.313
294.763,79.313
294.763,80.313
295.763,80.313
295.763,81.313
296.763,81.313
296.763,82.313
299.763,82.313
299.763,83.313
300.763,83.313
300.763,84.313
301.763,84.313
301.763,85.313
302.763,85.313
302.763,92.313
301.763,92.313
301.763,96.313
300.763,96.313
300.763,100.313
299.763,100.313
299.763,103.313
298.763,103.313
298.763,106.313
297.763,106.313
297.763,110.313
296.763,110.313
296.763,113.313
295.763,113.313
295.763,116.313
294.763,116.313
294.763,119.313
293.763,119.313
293.763,122.313
292.763,122.313
292.763,125.313
291.763,125.313
291.763,128.313
290.763,128.313
290.763,131.313
289.763,131.313
289.763,134.313
288.763,134.313
288.763,136.313
287.763,136.313
287.763,139.313
286.763,139.313
286.763,142.313
285.763,142.313
285.763,145.313
284.763,145.313
284.763,148.313
283.763,148.313
283.763,151.313
282.763,151.313
282.763,154.313
281.763,154.313
281.763,157.313
280.763,157.313
280.763,160.313
279.763,160.313
279.763,163.313
278.763,163.313
278.763,165.313
277.763,165.313
277.763,168.313
276.763,168.313
276.763,171.313
275.763,171.313
275.763,174.313
274.763,174.313
274.763,177.313
273.763,177.313
273.763,180.313
272.763,180.313
272.763,183.313
271.763,183.313
271.763,186.313
270.763,186.313
270.763,189.313
269.763,189.313
269.763,192.313
268.763,192.313
268.763,194.313
267.763,194.313
267.763,197.313
266.763,197.313
266.763,200.313
265.763,200.313
265.763,203.313
264.763,203.313
264.763,206.313
263.763,206.313
263.763,209.313
262.763,209.313
262.763,212.313
261.763,212.313
261.763,215.313
260.763,215.313
260.763,218.313
259.763,218.313
259.763,221.313
258.763,221.313
258.763,224.313
257.763,224.313
257.763,227.313
256.763,227.313
256.763,231.313
255.763,231.313
255.763,234.313
254.763,234.313
254.763,237.313
253.763,237.313
253.763,240.313
252.763,240.313
252.763,244.313
251.763,244.313
251.763,247.313
250.763,247.313
250.763,252.313
249.763,252.313
249.763,256.313
248.763,256.313
248.763,261.313
247.763,261.313
247.763,267.313
246.763,267.313
246.763,276.313
245.763,276.313
245.763,290.313
244.763,290.313
244.763,311.313
245.763,311.313
245.763,317.313
246.763,317.313
246.763,321.313
247.763,321.313
247.763,324.313
248.763,324.313
248.763,327.313
249.763,327.313
249.763,330.313
250.763,330.313
250.763,332.313
251.763,332.313
251.763,335.313
252.763,335.313
252.763,337.313
253.763,337.313
253.763,339.313
254.763,339.313
254.763,341.313
255.763,341.313
255.763,343.313
256.763,343.313
256.763,345.313
257.763,345.313
257.763,347.313
258.763,347.313
258.763,349.313
259.763,349.313
259.763,351.313
260.763,351.313
260.763,353.313
261.763,353.313
261.763,355.313
262.763,355.313
262.763,357.313
263.763,357.313
263.763,359.313
264.763,359.313
264.763,361.313
265.763,361.313
265.763,363.313
266.763,363.313
266.763,364.313
267.763,364.313
267.763,366.313
268.763,366.313
268.763,368.313
269.763,368.313
269.763,370.313
270.763,370.313
270.763,372.313
271.763,372.313
271.763,374.313
272.763,374.313
272.763,376.313
273.763,376.313
273.763,378.313
274.763,378.313
274.763,380.313
275.763,380.313
275.763,382.313
276.763,382.313
276.763,384.313
277.763,384.313
277.763,386.313
278.763,386.313
278.763,388.313
279.763,388.313
279.763,390.313
280.763,390.313
280.763,392.313
281.763,392.313
281.763,394.313
282.763,394.313
282.763,396.313
283.763,396.313
283.763,398.313
284.763,398.313
284.763,400.313
285.763,400.313
285.763,403.313
286.763,403.313
286.763,405.313
287.763,405.313
287.763,408.313
288.763,408.313
288.763,416.313
287.763,416.313
287.763,418.313
286.763,418.313
286.763,419.313
285.763,419.313
285.763,421.313
284.763,421.313
284.763,422.313
282.763,422.313
282.763,423.313
281.763,423.313
281.763,424.313
277.763,424.313
277.763,425.313
268.763,425.313
268.763,426.313
255.763,426.313
255.763,427.313
240.763,427.313
240.763,428.313
225.763,428.313
225.763,429.313
210.763,429.313
210.763,430.313
194.763,430.313
194.763,431.313
178.763,431.313
178.763,432.313
162.763,432.313
162.763,433.313
145.763,433.313
145.763,434.313
128.763,434.313
128.763,435.313
111.763,435.313
111.763,436.313
94.763,436.313
94.763,437.313
76.763,437.313
76.763,438.313
59.763,438.313
59.763,439.313
41.763,439.313
41.763,440.313
23.763,440.313
23.763,441.313
5.763,441.313
5.763,442.313
-12.237,442.313
-12.237,443.313
-29.237,443.313
-29.237,444.313
-48.237,444.313
-48.237,445.313
-66.237,445.313
-66.237,446.313
-85.237,446.313
-85.237,447.313
-104.237,447.313
-104.237,448.313
-123.237,448.313
-123.237,449.313
-143.237,449.313
-143.237,450.313
-163.237,450.313
-163.237,451.313
-183.237,451.313
-183.237,452.313
-203.237,452.313
-203.237,453.313
-225.237,453.313
-225.237,454.313
-245.237,454.313
-245.237,455.313
-264.237,455.313
-264.237,456.313
-281.237,456.313
-281.237,457.313
-297.237,457.313
-297.237,458.313
-309.237,458.313
-309.237,459.313
-321.237,459.313
