xpoints,ypoints
411.203,-157.153
412.203,-157.153
412.203,-156.153
413.203,-156.153
413.203,-154.153
414.203,-154.153
414.203,-153.153
415.203,-153.153
415.203,-152.153
416.203,-152.153
416.203,-150.153
417.203,-150.153
417.203,-149.153
418.203,-149.153
418.203,-147.153
419.203,-147.153
419.203,-145.153
420.203,-145.153
420.203,-143.153
421.203,-143.153
421.203,-141.153
422.203,-141.153
422.203,-139.153
423.203,-139.153
423.203,-137.153
424.203,-137.153
424.203,-134.153
425.203,-134.153
425.203,-130.153
426.203,-130.153
426.203,-124.153
427.203,-124.153
427.203,-108.153
426.203,-108.153
426.203,-100.153
425.203,-100.153
425.203,-95.153
424.203,-95.153
424.203,-91.153
423.203,-91.153
423.203,-87.153
422.203,-87.153
422.203,-82.153
421.203,-82.153
421.203,-78.153
420.203,-78.153
420.203,-74.153
419.203,-74.153
419.203,-69.153
418.203,-69.153
418.203,-64.153
417.203,-64.153
417.203,-58.153
416.203,-58.153
416.203,-53.153
415.203,-53.153
415.203,-47.153
414.203,-47.153
414.203,-46.153
402.203,-46.153
402.203,-45.153
388.203,-45.153
388.203,-44.153
377.203,-44.153
377.203,-43.153
371.203,-43.153
371.203,-42.153
367.203,-42.153
367.203,-41.153
364.203,-41.153
364.203,-40.153
361.203,-40.153
361.203,-39.153
358.203,-39.153
358.203,-38.153
356.203,-38.153
356.203,-37.153
354.203,-37.153
354.203,-36.153
352.203,-36.153
352.203,-35.153
349.203,-35.153
349.203,-34.153
347.203,-34.153
347.203,-33.153
345.203,-33.153
345.203,-32.153
343.203,-32.153
343.203,-31.153
341.203,-31.153
341.203,-30.153
339.203,-30.153
339.203,-29.153
337.203,-29.153
337.203,-28.153
335.203,-28.153
335.203,-27.153
333.203,-27.153
333.203,-26.153
331.203,-26.153
331.203,-25.153
329.203,-25.153
329.203,-24.153
327.203,-24.153
327.203,-23.153
325.203,-23.153
325.203,-22.153
323.203,-22.153
323.203,-21.153
321.203,-21.153
321.203,-20.153
319.203,-20.153
319.203,-19.153
317.203,-19.153
317.203,-18.153
315.203,-18.153
315.203,-17.153
313.203,-17.153
313.203,-16.153
311.203,-16.153
311.203,-15.153
309.203,-15.153
309.203,-14.153
307.203,-14.153
307.203,-13.153
305.203,-13.153
305.203,-12.153
303.203,-12.153
303.203,-11.153
301.203,-11.153
301.203,-10.153
299.203,-10.153
299.203,-9.153
297.203,-9.153
297.203,-8.153
295.203,-8.153
295.203,-7.153
293.203,-7.153
293.203,-6.153
290.203,-6.153
290.203,-5.153
288.203,-5.153
288.203,-4.153
286.203,-4.153
286.203,-3.153
285.203,-3.153
285.203,-4.153
283.203,-4.153
283.203,-5.153
281.203,-5.153
281.203,-6.153
279.203,-6.153
279.203,-7.153
276.203,-7.153
276.203,-8.153
274.203,-8.153
274.203,-9.153
272.203,-9.153
272.203,-10.153
270.203,-10.153
270.203,-11.153
268.203,-11.153
268.203,-12.153
265.203,-12.153
265.203,-13.153
263.203,-13.153
263.203,-14.153
261.203,-14.153
261.203,-15.153
259.203,-15.153
259.203,-16.153
257.203,-16.153
257.203,-17.153
254.203,-17.153
254.203,-18.153
252.203,-18.153
252.203,-19.153
250.203,-19.153
250.203,-20.153
248.203,-20.153
248.203,-21.153
246.203,-21.153
246.203,-22.153
243.203,-22.153
243.203,-23.153
241.203,-23.153
241.203,-24.153
239.203,-24.153
239.203,-25.153
237.203,-25.153
237.203,-26.153
235.203,-26.153
235.203,-27.153
232.203,-27.153
232.203,-28.153
230.203,-28.153
230.203,-29.153
228.203,-29.153
228.203,-30.153
226.203,-30.153
226.203,-31.153
224.203,-31.153
224.203,-32.153
221.203,-32.153
221.203,-33.153
219.203,-33.153
219.203,-34.153
217.203,-34.153
217.203,-35.153
215.203,-35.153
215.203,-36.153
212.203,-36.153
212.203,-37.153
210.203,-37.153
210.203,-38.153
208.203,-38.153
208.203,-39.153
205.203,-39.153
205.203,-40.153
203.203,-40.153
203.203,-41.153
201.203,-41.153
201.203,-42.153
198.203,-42.153
198.203,-43.153
196.203,-43.153
196.203,-44.153
194.203,-44.153
194.203,-45.153
192.203,-45.153
192.203,-46.153
189.203,-46.153
189.203,-47.153
187.203,-47.153
187.203,-48.153
184.203,-48.153
184.203,-49.153
182.203,-49.153
182.203,-50.153
180.203,-50.153
180.203,-51.153
177.203,-51.153
177.203,-52.153
175.203,-52.153
175.203,-53.153
172.203,-53.153
172.203,-54.153
170.203,-54.153
170.203,-55.153
167.203,-55.153
167.203,-56.153
165.203,-56.153
165.203,-57.153
162.203,-57.153
162.203,-58.153
160.203,-58.153
160.203,-59.153
157.203,-59.153
157.203,-60.153
154.203,-60.153
154.203,-61.153
151.203,-61.153
151.203,-62.153
148.203,-62.153
148.203,-63.153
144.203,-63.153
144.203,-64.153
141.203,-64.153
141.203,-65.153
136.203,-65.153
136.203,-66.153
132.203,-66.153
132.203,-67.153
127.203,-67.153
127.203,-68.153
121.203,-68.153
121.203,-69.153
114.203,-69.153
114.203,-70.153
105.203,-70.153
105.203,-71.153
90.203,-71.153
90.203,-72.153
62.203,-72.153
62.203,-71.153
43.203,-71.153
43.203,-70.153
31.203,-70.153
31.203,-69.153
21.203,-69.153
21.203,-68.153
13.203,-68.153
13.203,-67.153
5.203,-67.153
5.203,-66.153
-1.797,-66.153
-1.797,-65.153
-8.797,-65.153
-8.797,-64.153
-15.797,-64.153
-15.797,-63.153
-21.797,-63.153
-21.797,-62.153
-27.797,-62.153
-27.797,-61.153
-33.797,-61.153
-33.797,-60.153
-39.797,-60.153
-39.797,-59.153
-45.797,-59.153
-45.797,-58.153
-50.797,-58.153
-50.797,-57.153
-56.797,-57.153
-56.797,-56.153
-61.797,-56.153
-61.797,-55.153
-66.797,-55.153
-66.797,-54.153
-71.797,-54.153
-71.797,-53.153
-76.797,-53.153
-76.797,-52.153
-80.797,-52.153
-80.797,-51.153
-85.797,-51.153
-85.797,-50.153
-89.797,-50.153
-89.797,-49.153
-94.797,-49.153
-94.797,-48.153
-98.797,-48.153
-98.797,-47.153
-102.797,-47.153
-102.797,-46.153
-106.797,-46.153
-106.797,-45.153
-109.797,-45.153
-109.797,-44.153
-113.797,-44.153
-113.797,-43.153
-116.797,-43.153
-116.797,-42.153
-120.797,-42.153
-120.797,-41.153
-123.797,-41.153
-123.797,-40.153
-126.797,-40.153
-126.797,-39.153
-130.797,-39.153
-130.797,-38.153
-133.797,-38.153
-133.797,-37.153
-136.797,-37.153
-136.797,-36.153
-138.797,-36.153
-138.797,-35.153
-141.797,-35.153
-141.797,-34.153
-144.797,-34.153
-144.797,-33.153
-147.797,-33.153
-147.797,-32.153
-149.797,-32.153
-149.797,-31.153
-152.797,-31.153
-152.797,-30.153
-154.797,-30.153
-154.797,-29.153
-156.797,-29.153
-156.797,-28.153
-159.797,-28.153
-159.797,-27.153
-161.797,-27.153
-161.797,-26.153
-163.797,-26.153
-163.797,-25.153
-165.797,-25.153
-165.797,-24.153
-167.797,-24.153
-167.797,-23.153
-170.797,-23.153
-170.797,-22.153
-172.797,-22.153
-172.797,-21.153
-174.797,-21.153
-174.797,-20.153
-176.797,-20.153
-176.797,-19.153
-177.797,-19.153
-177.797,-18.153
-179.797,-18.153
-179.797,-17.153
-181.797,-17.153
-181.797,-16.153
-183.797,-16.153
-183.797,-15.153
-185.797,-15.153
-185.797,-14.153
-187.797,-14.153
-187.797,-13.153
-188.797,-13.153
-188.797,-12.153
-190.797,-12.153
-190.797,-11.153
-192.797,-11.153
-192.797,-10.153
-193.797,-10.153
-193.797,-9.153
-195.797,-9.153
-195.797,-8.153
-197.797,-8.153
-197.797,-7.153
-198.797,-7.153
-198.797,-6.153
-200.797,-6.153
-200.797,-5.153
