xpoints,ypoints
184.134,-454.666
187.134,-454.666
187.134,-453.666
189.134,-453.666
189.134,-452.666
192.134,-452.666
192.134,-451.666
195.134,-451.666
195.134,-450.666
198.134,-450.666
198.134,-449.666
201.134,-449.666
201.134,-448.666
204.134,-448.666
204.134,-447.666
207.134,-447.666
207.134,-446.666
210.134,-446.666
210.134,-445.666
212.134,-445.666
212.134,-444.666
215.134,-444.666
215.134,-443.666
218.134,-443.666
218.134,-442.666
221.134,-442.666
221.134,-441.666
223.134,-441.666
223.134,-440.666
226.134,-440.666
226.134,-439.666
229.134,-439.666
229.134,-438.666
231.134,-438.666
231.134,-437.666
234.134,-437.666
234.134,-436.666
236.134,-436.666
236.134,-435.666
239.134,-435.666
239.134,-434.666
242.134,-434.666
242.134,-433.666
244.134,-433.666
244.134,-432.666
247.134,-432.666
247.134,-431.666
249.134,-431.666
249.134,-430.666
252.134,-430.666
252.134,-429.666
254.134,-429.666
254.134,-428.666
257.134,-428.666
257.134,-427.666
259.134,-427.666
259.134,-426.666
261.134,-426.666
261.134,-425.666
264.134,-425.666
264.134,-424.666
266.134,-424.666
266.134,-423.666
269.134,-423.666
269.134,-422.666
271.134,-422.666
271.134,-421.666
274.134,-421.666
274.134,-420.666
276.134,-420.666
276.134,-419.666
278.134,-419.666
278.134,-418.666
280.134,-418.666
280.134,-417.666
283.134,-417.666
283.134,-416.666
285.134,-416.666
285.134,-415.666
287.134,-415.666
287.134,-414.666
290.134,-414.666
290.134,-413.666
292.134,-413.666
292.134,-412.666
294.134,-412.666
294.134,-411.666
297.134,-411.666
297.134,-410.666
299.134,-410.666
299.134,-409.666
301.134,-409.666
301.134,-408.666
303.134,-408.666
303.134,-407.666
305.134,-407.666
305.134,-406.666
308.134,-406.666
308.134,-405.666
310.134,-405.666
310.134,-404.666
312.134,-404.666
312.134,-403.666
314.134,-403.666
314.134,-402.666
316.134,-402.666
316.134,-401.666
318.134,-401.666
318.134,-400.666
321.134,-400.666
321.134,-399.666
323.134,-399.666
323.134,-398.666
325.134,-398.666
325.134,-397.666
327.134,-397.666
327.134,-396.666
329.134,-396.666
329.134,-395.666
331.134,-395.666
331.134,-394.666
333.134,-394.666
333.134,-393.666
335.134,-393.666
335.134,-392.666
337.134,-392.666
337.134,-391.666
339.134,-391.666
339.134,-390.666
341.134,-390.666
341.134,-389.666
343.134,-389.666
343.134,-388.666
345.134,-388.666
345.134,-387.666
347.134,-387.666
347.134,-386.666
349.134,-386.666
349.134,-385.666
351.134,-385.666
351.134,-384.666
354.134,-384.666
354.134,-383.666
355.134,-383.666
355.134,-382.666
357.134,-382.666
357.134,-381.666
359.134,-381.666
359.134,-380.666
361.134,-380.666
361.134,-379.666
363.134,-379.666
363.134,-378.666
365.134,-378.666
365.134,-377.666
367.134,-377.666
367.134,-376.666
369.134,-376.666
369.134,-375.666
371.134,-375.666
371.134,-374.666
373.134,-374.666
373.134,-373.666
375.134,-373.666
375.134,-372.666
377.134,-372.666
377.134,-371.666
379.134,-371.666
379.134,-370.666
381.134,-370.666
381.134,-369.666
382.134,-369.666
382.134,-368.666
384.134,-368.666
384.134,-367.666
386.134,-367.666
386.134,-366.666
388.134,-366.666
388.134,-365.666
390.134,-365.666
390.134,-364.666
392.134,-364.666
392.134,-363.666
394.134,-363.666
394.134,-362.666
395.134,-362.666
395.134,-361.666
397.134,-361.666
397.134,-360.666
399.134,-360.666
399.134,-359.666
401.134,-359.666
401.134,-358.666
403.134,-358.666
403.134,-357.666
404.134,-357.666
404.134,-356.666
406.134,-356.666
406.134,-355.666
408.134,-355.666
408.134,-354.666
410.134,-354.666
410.134,-353.666
412.134,-353.666
412.134,-352.666
413.134,-352.666
413.134,-351.666
415.134,-351.666
415.134,-350.666
417.134,-350.666
417.134,-349.666
418.134,-349.666
418.134,-348.666
420.134,-348.666
420.134,-347.666
422.134,-347.666
422.134,-346.666
424.134,-346.666
424.134,-345.666
425.134,-345.666
425.134,-344.666
427.134,-344.666
427.134,-343.666
429.134,-343.666
429.134,-342.666
430.134,-342.666
430.134,-341.666
432.134,-341.666
432.134,-340.666
433.134,-340.666
433.134,-339.666
435.134,-339.666
435.134,-338.666
437.134,-338.666
437.134,-337.666
438.134,-337.666
438.134,-336.666
440.134,-336.666
440.134,-335.666
442.134,-335.666
442.134,-334.666
443.134,-334.666
443.134,-333.666
445.134,-333.666
445.134,-332.666
446.134,-332.666
446.134,-331.666
448.134,-331.666
448.134,-330.666
449.134,-330.666
449.134,-329.666
451.134,-329.666
451.134,-328.666
453.134,-328.666
453.134,-327.666
454.134,-327.666
454.134,-326.666
456.134,-326.666
456.134,-325.666
457.134,-325.666
457.134,-324.666
459.134,-324.666
459.134,-323.666
460.134,-323.666
460.134,-322.666
462.134,-322.666
462.134,-321.666
463.134,-321.666
463.134,-320.666
465.134,-320.666
465.134,-319.666
466.134,-319.666
466.134,-318.666
468.134,-318.666
468.134,-317.666
469.134,-317.666
469.134,-316.666
470.134,-316.666
470.134,-315.666
472.134,-315.666
472.134,-314.666
473.134,-314.666
473.134,-313.666
475.134,-313.666
475.134,-312.666
476.134,-312.666
476.134,-311.666
478.134,-311.666
478.134,-310.666
479.134,-310.666
479.134,-309.666
481.134,-309.666
481.134,-308.666
482.134,-308.666
482.134,-307.666
483.134,-307.666
483.134,-306.666
485.134,-306.666
485.134,-305.666
486.134,-305.666
486.134,-304.666
487.134,-304.666
487.134,-303.666
489.134,-303.666
489.134,-302.666
490.134,-302.666
490.134,-301.666
492.134,-301.666
492.134,-300.666
493.134,-300.666
493.134,-299.666
494.134,-299.666
494.134,-298.666
495.134,-298.666
495.134,-297.666
497.134,-297.666
497.134,-296.666
498.134,-296.666
498.134,-295.666
499.134,-295.666
499.134,-294.666
501.134,-294.666
501.134,-293.666
502.134,-293.666
502.134,-292.666
503.134,-292.666
503.134,-291.666
505.134,-291.666
505.134,-290.666
506.134,-290.666
506.134,-289.666
507.134,-289.666
507.134,-288.666
508.134,-288.666
508.134,-287.666
510.134,-287.666
510.134,-286.666
511.134,-286.666
511.134,-285.666
512.134,-285.666
512.134,-284.666
513.134,-284.666
513.134,-283.666
515.134,-283.666
515.134,-282.666
516.134,-282.666
516.134,-281.666
517.134,-281.666
517.134,-280.666
518.134,-280.666
518.134,-279.666
520.134,-279.666
520.134,-278.666
521.134,-278.666
521.134,-277.666
522.134,-277.666
522.134,-276.666
523.134,-276.666
523.134,-275.666
524.134,-275.666
524.134,-274.666
526.134,-274.666
526.134,-273.666
527.134,-273.666
527.134,-272.666
528.134,-272.666
528.134,-271.666
529.134,-271.666
529.134,-270.666
530.134,-270.666
530.134,-269.666
531.134,-269.666
531.134,-268.666
533.134,-268.666
533.134,-267.666
534.134,-267.666
534.134,-266.666
535.134,-266.666
535.134,-265.666
536.134,-265.666
536.134,-264.666
537.134,-264.666
537.134,-263.666
538.134,-263.666
538.134,-262.666
539.134,-262.666
539.134,-261.666
541.134,-261.666
541.134,-260.666
542.134,-260.666
542.134,-259.666
543.134,-259.666
543.134,-258.666
544.134,-258.666
544.134,-257.666
545.134,-257.666
545.134,-256.666
546.134,-256.666
546.134,-255.666
547.134,-255.666
547.134,-254.666
548.134,-254.666
548.134,-253.666
550.134,-253.666
550.134,-252.666
551.134,-252.666
551.134,-251.666
552.134,-251.666
552.134,-250.666
553.134,-250.666
553.134,-249.666
554.134,-249.666
554.134,-248.666
555.134,-248.666
555.134,-247.666
556.134,-247.666
556.134,-246.666
557.134,-246.666
557.134,-245.666
558.134,-245.666
558.134,-244.666
559.134,-244.666
559.134,-243.666
560.134,-243.666
560.134,-242.666
561.134,-242.666
561.134,-241.666
562.134,-241.666
562.134,-240.666
563.134,-240.666
563.134,-239.666
565.134,-239.666
565.134,-238.666
566.134,-238.666
566.134,-237.666
567.134,-237.666
567.134,-236.666
568.134,-236.666
568.134,-235.666
569.134,-235.666
569.134,-234.666
570.134,-234.666
570.134,-233.666
571.134,-233.666
571.134,-232.666
572.134,-232.666
572.134,-231.666
573.134,-231.666
573.134,-230.666
574.134,-230.666
574.134,-229.666
575.134,-229.666
575.134,-228.666
576.134,-228.666
576.134,-227.666
577.134,-227.666
577.134,-226.666
578.134,-226.666
578.134,-225.666
579.134,-225.666
579.134,-224.666
580.134,-224.666
580.134,-223.666
581.134,-223.666
581.134,-222.666
582.134,-222.666
582.134,-221.666
583.134,-221.666
583.134,-220.666
584.134,-220.666
584.134,-219.666
585.134,-219.666
585.134,-218.666
586.134,-218.666
586.134,-217.666
587.134,-217.666
587.134,-216.666
588.134,-216.666
588.134,-215.666
589.134,-215.666
589.134,-214.666
590.134,-214.666
590.134,-213.666
591.134,-213.666
591.134,-212.666
592.134,-212.666
592.134,-211.666
593.134,-211.666
593.134,-210.666
594.134,-210.666
594.134,-209.666
