xpoints,ypoints
191.432,-463.267
195.432,-463.267
195.432,-462.267
199.432,-462.267
199.432,-461.267
203.432,-461.267
203.432,-460.267
206.432,-460.267
206.432,-459.267
210.432,-459.267
210.432,-458.267
213.432,-458.267
213.432,-457.267
217.432,-457.267
217.432,-456.267
220.432,-456.267
220.432,-455.267
223.432,-455.267
223.432,-454.267
227.432,-454.267
227.432,-453.267
230.432,-453.267
230.432,-452.267
233.432,-452.267
233.432,-451.267
236.432,-451.267
236.432,-450.267
239.432,-450.267
239.432,-449.267
242.432,-449.267
242.432,-448.267
245.432,-448.267
245.432,-447.267
248.432,-447.267
248.432,-446.267
250.432,-446.267
250.432,-445.267
253.432,-445.267
253.432,-444.267
256.432,-444.267
256.432,-443.267
259.432,-443.267
259.432,-442.267
261.432,-442.267
261.432,-441.267
264.432,-441.267
264.432,-440.267
266.432,-440.267
266.432,-439.267
269.432,-439.267
269.432,-438.267
271.432,-438.267
271.432,-437.267
274.432,-437.267
274.432,-436.267
276.432,-436.267
276.432,-435.267
279.432,-435.267
279.432,-434.267
281.432,-434.267
281.432,-433.267
284.432,-433.267
284.432,-432.267
286.432,-432.267
286.432,-431.267
288.432,-431.267
288.432,-430.267
291.432,-430.267
291.432,-429.267
293.432,-429.267
293.432,-428.267
295.432,-428.267
295.432,-427.267
297.432,-427.267
297.432,-426.267
300.432,-426.267
300.432,-425.267
302.432,-425.267
302.432,-424.267
304.432,-424.267
304.432,-423.267
306.432,-423.267
306.432,-422.267
308.432,-422.267
308.432,-421.267
310.432,-421.267
310.432,-420.267
312.432,-420.267
312.432,-419.267
314.432,-419.267
314.432,-418.267
316.432,-418.267
316.432,-417.267
318.432,-417.267
318.432,-416.267
320.432,-416.267
320.432,-415.267
322.432,-415.267
322.432,-414.267
324.432,-414.267
324.432,-413.267
326.432,-413.267
326.432,-412.267
328.432,-412.267
328.432,-411.267
330.432,-411.267
330.432,-410.267
332.432,-410.267
332.432,-409.267
334.432,-409.267
334.432,-408.267
336.432,-408.267
336.432,-407.267
338.432,-407.267
338.432,-406.267
340.432,-406.267
340.432,-405.267
342.432,-405.267
342.432,-404.267
343.432,-404.267
343.432,-403.267
345.432,-403.267
345.432,-402.267
347.432,-402.267
347.432,-401.267
349.432,-401.267
349.432,-400.267
350.432,-400.267
350.432,-399.267
352.432,-399.267
352.432,-398.267
354.432,-398.267
354.432,-397.267
356.432,-397.267
356.432,-396.267
358.432,-396.267
358.432,-395.267
359.432,-395.267
359.432,-394.267
361.432,-394.267
361.432,-393.267
363.432,-393.267
363.432,-392.267
365.432,-392.267
365.432,-391.267
366.432,-391.267
366.432,-390.267
368.432,-390.267
368.432,-389.267
370.432,-389.267
370.432,-388.267
371.432,-388.267
371.432,-387.267
373.432,-387.267
373.432,-386.267
375.432,-386.267
375.432,-385.267
376.432,-385.267
376.432,-384.267
378.432,-384.267
378.432,-383.267
380.432,-383.267
380.432,-382.267
381.432,-382.267
381.432,-381.267
383.432,-381.267
383.432,-380.267
384.432,-380.267
384.432,-379.267
386.432,-379.267
386.432,-378.267
388.432,-378.267
388.432,-377.267
389.432,-377.267
389.432,-376.267
391.432,-376.267
391.432,-375.267
392.432,-375.267
392.432,-374.267
394.432,-374.267
394.432,-373.267
395.432,-373.267
395.432,-372.267
397.432,-372.267
397.432,-371.267
399.432,-371.267
399.432,-370.267
400.432,-370.267
400.432,-369.267
402.432,-369.267
402.432,-368.267
403.432,-368.267
403.432,-367.267
405.432,-367.267
