xpoints,ypoints
312.432,-221.267
314.432,-221.267
314.432,-220.267
315.432,-220.267
315.432,-219.267
316.432,-219.267
316.432,-218.267
318.432,-218.267
318.432,-217.267
319.432,-217.267
319.432,-216.267
320.432,-216.267
320.432,-215.267
322.432,-215.267
322.432,-214.267
323.432,-214.267
323.432,-213.267
324.432,-213.267
324.432,-212.267
325.432,-212.267
325.432,-211.267
327.432,-211.267
327.432,-210.267
328.432,-210.267
328.432,-209.267
329.432,-209.267
329.432,-208.267
330.432,-208.267
330.432,-207.267
331.432,-207.267
331.432,-206.267
333.432,-206.267
333.432,-205.267
334.432,-205.267
334.432,-204.267
335.432,-204.267
335.432,-203.267
336.432,-203.267
336.432,-202.267
337.432,-202.267
337.432,-201.267
339.432,-201.267
339.432,-200.267
340.432,-200.267
340.432,-199.267
341.432,-199.267
341.432,-198.267
342.432,-198.267
342.432,-197.267
343.432,-197.267
343.432,-196.267
344.432,-196.267
344.432,-195.267
346.432,-195.267
346.432,-194.267
347.432,-194.267
347.432,-193.267
348.432,-193.267
348.432,-192.267
349.432,-192.267
349.432,-191.267
350.432,-191.267
350.432,-190.267
351.432,-190.267
351.432,-189.267
352.432,-189.267
352.432,-188.267
353.432,-188.267
353.432,-187.267
354.432,-187.267
354.432,-186.267
355.432,-186.267
355.432,-185.267
357.432,-185.267
357.432,-184.267
358.432,-184.267
358.432,-183.267
359.432,-183.267
359.432,-182.267
360.432,-182.267
360.432,-181.267
361.432,-181.267
361.432,-180.267
362.432,-180.267
362.432,-179.267
363.432,-179.267
363.432,-178.267
364.432,-178.267
364.432,-177.267
365.432,-177.267
365.432,-176.267
366.432,-176.267
366.432,-175.267
367.432,-175.267
367.432,-174.267
368.432,-174.267
368.432,-173.267
369.432,-173.267
369.432,-172.267
370.432,-172.267
370.432,-171.267
371.432,-171.267
371.432,-170.267
372.432,-170.267
372.432,-169.267
373.432,-169.267
373.432,-168.267
374.432,-168.267
374.432,-167.267
375.432,-167.267
375.432,-166.267
376.432,-166.267
376.432,-165.267
377.432,-165.267
377.432,-164.267
378.432,-164.267
378.432,-163.267
379.432,-163.267
379.432,-162.267
380.432,-162.267
380.432,-161.267
381.432,-161.267
381.432,-160.267
382.432,-160.267
382.432,-159.267
383.432,-159.267
383.432,-157.267
384.432,-157.267
384.432,-156.267
385.432,-156.267
385.432,-155.267
386.432,-155.267
386.432,-154.267
387.432,-154.267
387.432,-153.267
388.432,-153.267
388.432,-152.267
389.432,-152.267
389.432,-151.267
390.432,-151.267
390.432,-150.267
391.432,-150.267
391.432,-149.267
392.432,-149.267
392.432,-148.267
393.432,-148.267
393.432,-146.267
394.432,-146.267
394.432,-145.267
395.432,-145.267
395.432,-144.267
396.432,-144.267
396.432,-143.267
397.432,-143.267
397.432,-142.267
398.432,-142.267
398.432,-141.267
399.432,-141.267
399.432,-140.267
400.432,-140.267
400.432,-138.267
401.432,-138.267
401.432,-137.267
402.432,-137.267
402.432,-136.267
403.432,-136.267
403.432,-135.267
404.432,-135.267
404.432,-134.267
405.432,-134.267
405.432,-132.267
406.432,-132.267
406.432,-131.267
407.432,-131.267
407.432,-130.267
408.432,-130.267
408.432,-129.267
409.432,-129.267
409.432,-127.267
410.432,-127.267
410.432,-126.267
411.432,-126.267
411.432,-125.267
412.432,-125.267
412.432,-124.267
413.432,-124.267
413.432,-122.267
414.432,-122.267
414.432,-121.267
415.432,-121.267
415.432,-120.267
416.432,-120.267
416.432,-119.267
417.432,-119.267
417.432,-117.267
418.432,-117.267
418.432,-116.267
419.432,-116.267
419.432,-115.267
420.432,-115.267
420.432,-113.267
421.432,-113.267
421.432,-112.267
422.432,-112.267
422.432,-111.267
423.432,-111.267
423.432,-109.267
424.432,-109.267
424.432,-108.267
425.432,-108.267
425.432,-107.267
426.432,-107.267
426.432,-105.267
427.432,-105.267
427.432,-104.267
428.432,-104.267
428.432,-102.267
429.432,-102.267
429.432,-101.267
430.432,-101.267
430.432,-100.267
431.432,-100.267
431.432,-98.267
432.432,-98.267
432.432,-97.267
433.432,-97.267
433.432,-95.267
434.432,-95.267
434.432,-94.267
435.432,-94.267
435.432,-92.267
436.432,-92.267
436.432,-91.267
437.432,-91.267
437.432,-89.267
438.432,-89.267
438.432,-88.267
439.432,-88.267
439.432,-86.267
440.432,-86.267
440.432,-85.267
441.432,-85.267
441.432,-83.267
442.432,-83.267
442.432,-82.267
443.432,-82.267
443.432,-80.267
444.432,-80.267
444.432,-79.267
445.432,-79.267
445.432,-77.267
446.432,-77.267
446.432,-76.267
447.432,-76.267
447.432,-74.267
448.432,-74.267
448.432,-72.267
449.432,-72.267
449.432,-71.267
450.432,-71.267
450.432,-69.267
451.432,-69.267
451.432,-67.267
452.432,-67.267
452.432,-66.267
453.432,-66.267
453.432,-64.267
454.432,-64.267
454.432,-62.267
455.432,-62.267
455.432,-61.267
456.432,-61.267
456.432,-59.267
457.432,-59.267
457.432,-57.267
458.432,-57.267
458.432,-55.267
459.432,-55.267
459.432,-54.267
460.432,-54.267
460.432,-52.267
461.432,-52.267
461.432,-50.267
462.432,-50.267
462.432,-48.267
463.432,-48.267
463.432,-46.267
464.432,-46.267
464.432,-45.267
465.432,-45.267
465.432,-43.267
466.432,-43.267
466.432,-41.267
467.432,-41.267
467.432,-39.267
468.432,-39.267
468.432,-37.267
469.432,-37.267
469.432,-35.267
470.432,-35.267
470.432,-33.267
471.432,-33.267
471.432,-31.267
472.432,-31.267
472.432,-29.267
473.432,-29.267
473.432,-27.267
474.432,-27.267
474.432,-25.267
475.432,-25.267
475.432,-23.267
476.432,-23.267
476.432,-21.267
477.432,-21.267
477.432,-18.267
478.432,-18.267
478.432,-16.267
479.432,-16.267
479.432,-14.267
480.432,-14.267
480.432,-12.267
481.432,-12.267
481.432,-9.267
482.432,-9.267
482.432,-7.267
483.432,-7.267
483.432,-5.267
484.432,-5.267
484.432,-2.267
485.432,-2.267
485.432,-0.267
486.432,-0.267
486.432,2.733
487.432,2.733
487.432,4.733
488.432,4.733
488.432,6.733
489.432,6.733
489.432,9.733
490.432,9.733
490.432,12.733
491.432,12.733
491.432,14.733
492.432,14.733
492.432,17.733
493.432,17.733
493.432,20.733
494.432,20.733
494.432,23.733
495.432,23.733
495.432,26.733
496.432,26.733
496.432,29.733
497.432,29.733
497.432,32.733
498.432,32.733
498.432,35.733
499.432,35.733
499.432,38.733
500.432,38.733
500.432,41.733
501.432,41.733
501.432,44.733
502.432,44.733
502.432,48.733
503.432,48.733
503.432,51.733
504.432,51.733
504.432,55.733
505.432,55.733
505.432,59.733
506.432,59.733
506.432,63.733
507.432,63.733
507.432,67.733
508.432,67.733
508.432,71.733
509.432,71.733
509.432,76.733
510.432,76.733
510.432,80.733
511.432,80.733
511.432,85.733
512.432,85.733
512.432,91.733
513.432,91.733
513.432,96.733
514.432,96.733
514.432,102.733
515.432,102.733
515.432,109.733
516.432,109.733
516.432,117.733
517.432,117.733
517.432,126.733
518.432,126.733
518.432,138.733
519.432,138.733
519.432,156.733
520.432,156.733
520.432,197.733
519.432,197.733
519.432,214.733
518.432,214.733
518.432,230.733
517.432,230.733
517.432,250.733
516.432,250.733
516.432,298.733
517.432,298.733
517.432,305.733
506.432,305.733
506.432,306.733
484.432,306.733
484.432,305.733
464.432,305.733
464.432,304.733
450.432,304.733
450.432,303.733
433.432,303.733
433.432,302.733
411.432,302.733
411.432,303.733
398.432,303.733
398.432,304.733
390.432,304.733
390.432,288.733
391.432,288.733
391.432,279.733
392.432,279.733
392.432,268.733
393.432,268.733
393.432,254.733
394.432,254.733
394.432,203.733
393.432,203.733
393.432,190.733
392.432,190.733
392.432,181.733
391.432,181.733
391.432,174.733
390.432,174.733
390.432,167.733
389.432,167.733
389.432,161.733
388.432,161.733
388.432,156.733
387.432,156.733
387.432,151.733
386.432,151.733
386.432,147.733
385.432,147.733
385.432,142.733
384.432,142.733
384.432,139.733
383.432,139.733
383.432,135.733
382.432,135.733
382.432,131.733
381.432,131.733
381.432,128.733
380.432,128.733
380.432,124.733
379.432,124.733
379.432,121.733
378.432,121.733
378.432,118.733
377.432,118.733
377.432,115.733
376.432,115.733
376.432,112.733
375.432,112.733
375.432,109.733
374.432,109.733
374.432,107.733
373.432,107.733
373.432,104.733
372.432,104.733
372.432,102.733
371.432,102.733
371.432,99.733
370.432,99.733
370.432,97.733
369.432,97.733
369.432,94.733
368.432,94.733
368.432,92.733
367.432,92.733
367.432,89.733
366.432,89.733
366.432,87.733
365.432,87.733
365.432,85.733
364.432,85.733
364.432,83.733
363.432,83.733
363.432,81.733
362.432,81.733
362.432,79.733
361.432,79.733
361.432,77.733
360.432,77.733
360.432,75.733
359.432,75.733
359.432,73.733
358.432,73.733
358.432,71.733
357.432,71.733
357.432,69.733
356.432,69.733
356.432,67.733
355.432,67.733
355.432,65.733
354.432,65.733
354.432,63.733
353.432,63.733
353.432,61.733
352.432,61.733
352.432,59.733
351.432,59.733
351.432,58.733
350.432,58.733
350.432,56.733
349.432,56.733
349.432,54.733
348.432,54.733
348.432,52.733
347.432,52.733
347.432,51.733
346.432,51.733
346.432,49.733
345.432,49.733
345.432,47.733
344.432,47.733
344.432,46.733
343.432,46.733
343.432,44.733
342.432,44.733
342.432,43.733
341.432,43.733
341.432,41.733
340.432,41.733
340.432,39.733
339.432,39.733
339.432,38.733
338.432,38.733
338.432,36.733
337.432,36.733
337.432,35.733
336.432,35.733
336.432,33.733
335.432,33.733
335.432,32.733
334.432,32.733
334.432,30.733
333.432,30.733
333.432,29.733
332.432,29.733
332.432,27.733
331.432,27.733
331.432,26.733
330.432,26.733
330.432,24.733
329.432,24.733
329.432,23.733
328.432,23.733
328.432,21.733
327.432,21.733
327.432,20.733
326.432,20.733
326.432,19.733
325.432,19.733
325.432,17.733
324.432,17.733
324.432,16.733
323.432,16.733
323.432,14.733
322.432,14.733
322.432,13.733
321.432,13.733
321.432,12.733
320.432,12.733
320.432,10.733
319.432,10.733
319.432,9.733
318.432,9.733
318.432,8.733
317.432,8.733
317.432,6.733
316.432,6.733
316.432,5.733
315.432,5.733
315.432,4.733
314.432,4.733
314.432,2.733
313.432,2.733
313.432,1.733
312.432,1.733
312.432,0.733
311.432,0.733
311.432,-1.267
310.432,-1.267
310.432,-2.267
309.432,-2.267
309.432,-3.267
308.432,-3.267
308.432,-5.267
307.432,-5.267
307.432,-6.267
306.432,-6.267
306.432,-7.267
305.432,-7.267
305.432,-8.267
304.432,-8.267
304.432,-10.267
303.432,-10.267
303.432,-11.267
302.432,-11.267
302.432,-12.267
301.432,-12.267
301.432,-13.267
300.432,-13.267
300.432,-15.267
299.432,-15.267
299.432,-16.267
298.432,-16.267
298.432,-17.267
297.432,-17.267
297.432,-18.267
296.432,-18.267
296.432,-20.267
295.432,-20.267
295.432,-21.267
294.432,-21.267
294.432,-22.267
293.432,-22.267
293.432,-23.267
292.432,-23.267
292.432,-24.267
291.432,-24.267
291.432,-26.267
290.432,-26.267
290.432,-27.267
289.432,-27.267
289.432,-28.267
288.432,-28.267
288.432,-29.267
287.432,-29.267
287.432,-31.267
286.432,-31.267
286.432,-32.267
285.432,-32.267
285.432,-33.267
284.432,-33.267
284.432,-34.267
283.432,-34.267
283.432,-35.267
282.432,-35.267
282.432,-36.267
281.432,-36.267
281.432,-38.267
280.432,-38.267
280.432,-39.267
279.432,-39.267
279.432,-40.267
278.432,-40.267
278.432,-41.267
277.432,-41.267
277.432,-42.267
276.432,-42.267
276.432,-44.267
275.432,-44.267
275.432,-45.267
274.432,-45.267
274.432,-46.267
273.432,-46.267
273.432,-47.267
272.432,-47.267
272.432,-48.267
271.432,-48.267
271.432,-49.267
270.432,-49.267
270.432,-51.267
269.432,-51.267
269.432,-52.267
268.432,-52.267
268.432,-53.267
267.432,-53.267
267.432,-54.267
266.432,-54.267
266.432,-55.267
265.432,-55.267
265.432,-56.267
264.432,-56.267
264.432,-57.267
263.432,-57.267
263.432,-58.267
262.432,-58.267
262.432,-60.267
261.432,-60.267
261.432,-61.267
260.432,-61.267
260.432,-62.267
259.432,-62.267
259.432,-63.267
258.432,-63.267
258.432,-64.267
257.432,-64.267
257.432,-65.267
256.432,-65.267
256.432,-66.267
255.432,-66.267
255.432,-67.267
254.432,-67.267
254.432,-68.267
253.432,-68.267
253.432,-69.267
252.432,-69.267
252.432,-70.267
251.432,-70.267
251.432,-71.267
250.432,-71.267
250.432,-72.267
249.432,-72.267
249.432,-73.267
248.432,-73.267
248.432,-74.267
247.432,-74.267
247.432,-75.267
246.432,-75.267
246.432,-76.267
245.432,-76.267
245.432,-77.267
244.432,-77.267
244.432,-78.267
243.432,-78.267
243.432,-79.267
242.432,-79.267
242.432,-80.267
241.432,-80.267
241.432,-81.267
240.432,-81.267
240.432,-82.267
239.432,-82.267
239.432,-83.267
238.432,-83.267
238.432,-84.267
237.432,-84.267
237.432,-85.267
236.432,-85.267
236.432,-86.267
235.432,-86.267
235.432,-87.267
234.432,-87.267
234.432,-88.267
233.432,-88.267
233.432,-89.267
231.432,-89.267
231.432,-90.267
230.432,-90.267
230.432,-91.267
229.432,-91.267
229.432,-92.267
228.432,-92.267
228.432,-93.267
227.432,-93.267
227.432,-94.267
226.432,-94.267
226.432,-95.267
225.432,-95.267
225.432,-96.267
224.432,-96.267
224.432,-97.267
222.432,-97.267
222.432,-98.267
221.432,-98.267
221.432,-99.267
220.432,-99.267
220.432,-100.267
219.432,-100.267
219.432,-101.267
218.432,-101.267
218.432,-102.267
216.432,-102.267
216.432,-103.267
215.432,-103.267
215.432,-104.267
214.432,-104.267
214.432,-105.267
213.432,-105.267
213.432,-106.267
211.432,-106.267
211.432,-107.267
210.432,-107.267
210.432,-108.267
209.432,-108.267
209.432,-109.267
208.432,-109.267
208.432,-110.267
206.432,-110.267
206.432,-111.267
205.432,-111.267
205.432,-112.267
204.432,-112.267
204.432,-113.267
202.432,-113.267
202.432,-114.267
201.432,-114.267
201.432,-115.267
200.432,-115.267
200.432,-116.267
198.432,-116.267
198.432,-117.267
197.432,-117.267
197.432,-118.267
195.432,-118.267
195.432,-119.267
194.432,-119.267
194.432,-120.267
192.432,-120.267
192.432,-121.267
191.432,-121.267
191.432,-122.267
190.432,-122.267
190.432,-123.267
188.432,-123.267
188.432,-124.267
187.432,-124.267
187.432,-125.267
185.432,-125.267
185.432,-126.267
183.432,-126.267
183.432,-127.267
182.432,-127.267
182.432,-128.267
180.432,-128.267
180.432,-129.267
179.432,-129.267
179.432,-130.267
177.432,-130.267
