xpoints,ypoints
202.786,-357.890
204.786,-357.890
204.786,-356.890
206.786,-356.890
206.786,-355.890
209.786,-355.890
209.786,-354.890
211.786,-354.890
211.786,-353.890
213.786,-353.890
213.786,-352.890
215.786,-352.890
215.786,-351.890
217.786,-351.890
217.786,-350.890
220.786,-350.890
220.786,-349.890
222.786,-349.890
222.786,-348.890
224.786,-348.890
224.786,-347.890
225.786,-347.890
225.786,-346.890
227.786,-346.890
227.786,-345.890
229.786,-345.890
229.786,-344.890
231.786,-344.890
231.786,-343.890
233.786,-343.890
233.786,-342.890
234.786,-342.890
234.786,-341.890
236.786,-341.890
236.786,-340.890
238.786,-340.890
238.786,-339.890
239.786,-339.890
239.786,-338.890
241.786,-338.890
241.786,-337.890
243.786,-337.890
243.786,-336.890
244.786,-336.890
244.786,-335.890
246.786,-335.890
246.786,-334.890
247.786,-334.890
247.786,-333.890
249.786,-333.890
249.786,-332.890
250.786,-332.890
250.786,-331.890
252.786,-331.890
252.786,-330.890
253.786,-330.890
253.786,-329.890
255.786,-329.890
255.786,-328.890
256.786,-328.890
256.786,-327.890
258.786,-327.890
258.786,-326.890
259.786,-326.890
259.786,-325.890
260.786,-325.890
260.786,-324.890
262.786,-324.890
262.786,-323.890
263.786,-323.890
263.786,-322.890
264.786,-322.890
264.786,-321.890
266.786,-321.890
266.786,-320.890
267.786,-320.890
267.786,-319.890
268.786,-319.890
268.786,-318.890
270.786,-318.890
270.786,-317.890
271.786,-317.890
271.786,-316.890
272.786,-316.890
272.786,-315.890
273.786,-315.890
273.786,-314.890
275.786,-314.890
275.786,-313.890
276.786,-313.890
276.786,-312.890
277.786,-312.890
277.786,-311.890
278.786,-311.890
278.786,-310.890
279.786,-310.890
279.786,-309.890
281.786,-309.890
281.786,-308.890
282.786,-308.890
282.786,-307.890
283.786,-307.890
283.786,-306.890
284.786,-306.890
284.786,-305.890
285.786,-305.890
285.786,-304.890
286.786,-304.890
286.786,-303.890
288.786,-303.890
288.786,-302.890
289.786,-302.890
289.786,-301.890
290.786,-301.890
290.786,-300.890
291.786,-300.890
291.786,-299.890
292.786,-299.890
292.786,-298.890
293.786,-298.890
293.786,-297.890
294.786,-297.890
294.786,-296.890
295.786,-296.890
295.786,-295.890
296.786,-295.890
296.786,-294.890
297.786,-294.890
297.786,-293.890
