xpoints,ypoints
234.786,-393.890
236.786,-393.890
236.786,-392.890
238.786,-392.890
238.786,-391.890
240.786,-391.890
240.786,-390.890
242.786,-390.890
242.786,-389.890
244.786,-389.890
244.786,-388.890
246.786,-388.890
246.786,-387.890
247.786,-387.890
247.786,-386.890
249.786,-386.890
249.786,-385.890
251.786,-385.890
251.786,-384.890
253.786,-384.890
253.786,-383.890
255.786,-383.890
255.786,-382.890
256.786,-382.890
256.786,-381.890
258.786,-381.890
258.786,-380.890
260.786,-380.890
260.786,-379.890
261.786,-379.890
261.786,-378.890
263.786,-378.890
263.786,-377.890
265.786,-377.890
265.786,-376.890
266.786,-376.890
266.786,-375.890
268.786,-375.890
268.786,-374.890
270.786,-374.890
270.786,-373.890
271.786,-373.890
271.786,-372.890
273.786,-372.890
273.786,-371.890
274.786,-371.890
274.786,-370.890
276.786,-370.890
276.786,-369.890
277.786,-369.890
277.786,-368.890
279.786,-368.890
279.786,-367.890
280.786,-367.890
280.786,-366.890
282.786,-366.890
282.786,-365.890
283.786,-365.890
283.786,-364.890
285.786,-364.890
285.786,-363.890
286.786,-363.890
286.786,-362.890
287.786,-362.890
287.786,-361.890
289.786,-361.890
289.786,-360.890
290.786,-360.890
290.786,-359.890
292.786,-359.890
292.786,-358.890
293.786,-358.890
293.786,-357.890
294.786,-357.890
294.786,-356.890
296.786,-356.890
296.786,-355.890
297.786,-355.890
297.786,-354.890
298.786,-354.890
298.786,-353.890
300.786,-353.890
300.786,-352.890
301.786,-352.890
301.786,-351.890
302.786,-351.890
302.786,-350.890
304.786,-350.890
304.786,-349.890
305.786,-349.890
305.786,-348.890
306.786,-348.890
306.786,-347.890
307.786,-347.890
307.786,-346.890
309.786,-346.890
309.786,-345.890
310.786,-345.890
310.786,-344.890
311.786,-344.890
311.786,-343.890
312.786,-343.890
312.786,-342.890
314.786,-342.890
314.786,-341.890
315.786,-341.890
315.786,-340.890
316.786,-340.890
316.786,-339.890
317.786,-339.890
317.786,-338.890
318.786,-338.890
318.786,-337.890
320.786,-337.890
320.786,-336.890
321.786,-336.890
321.786,-335.890
322.786,-335.890
322.786,-334.890
323.786,-334.890
323.786,-333.890
324.786,-333.890
324.786,-332.890
326.786,-332.890
326.786,-331.890
327.786,-331.890
327.786,-330.890
328.786,-330.890
328.786,-329.890
329.786,-329.890
329.786,-328.890
330.786,-328.890
330.786,-327.890
331.786,-327.890
331.786,-326.890
332.786,-326.890
332.786,-325.890
333.786,-325.890
333.786,-324.890
335.786,-324.890
335.786,-323.890
336.786,-323.890
336.786,-322.890
337.786,-322.890
337.786,-321.890
338.786,-321.890
338.786,-320.890
339.786,-320.890
339.786,-319.890
340.786,-319.890
340.786,-318.890
341.786,-318.890
341.786,-317.890
342.786,-317.890
342.786,-316.890
343.786,-316.890
343.786,-315.890
344.786,-315.890
344.786,-314.890
345.786,-314.890
345.786,-313.890
346.786,-313.890
346.786,-312.890
347.786,-312.890
347.786,-311.890
349.786,-311.890
349.786,-310.890
350.786,-310.890
350.786,-309.890
351.786,-309.890
351.786,-308.890
352.786,-308.890
352.786,-307.890
353.786,-307.890
353.786,-306.890
354.786,-306.890
354.786,-305.890
355.786,-305.890
355.786,-304.890
356.786,-304.890
356.786,-303.890
357.786,-303.890
357.786,-302.890
358.786,-302.890
358.786,-301.890
359.786,-301.890
359.786,-300.890
360.786,-300.890
360.786,-299.890
361.786,-299.890
361.786,-298.890
362.786,-298.890
362.786,-297.890
363.786,-297.890
363.786,-296.890
364.786,-296.890
364.786,-295.890
365.786,-295.890
365.786,-294.890
366.786,-294.890
366.786,-293.890
367.786,-293.890
367.786,-292.890
368.786,-292.890
368.786,-291.890
369.786,-291.890
369.786,-290.890
370.786,-290.890
370.786,-289.890
371.786,-289.890
371.786,-288.890
372.786,-288.890
372.786,-287.890
373.786,-287.890
373.786,-286.890
374.786,-286.890
374.786,-285.890
375.786,-285.890
375.786,-284.890
376.786,-284.890
376.786,-283.890
377.786,-283.890
377.786,-282.890
378.786,-282.890
378.786,-281.890
379.786,-281.890
379.786,-280.890
380.786,-280.890
380.786,-279.890
381.786,-279.890
381.786,-278.890
382.786,-278.890
382.786,-277.890
383.786,-277.890
383.786,-276.890
384.786,-276.890
384.786,-275.890
385.786,-275.890
385.786,-274.890
386.786,-274.890
386.786,-273.890
387.786,-273.890
387.786,-272.890
388.786,-272.890
388.786,-271.890
389.786,-271.890
389.786,-270.890
390.786,-270.890
390.786,-269.890
391.786,-269.890
391.786,-268.890
392.786,-268.890
392.786,-267.890
393.786,-267.890
393.786,-266.890
394.786,-266.890
394.786,-265.890
395.786,-265.890
395.786,-263.890
396.786,-263.890
396.786,-262.890
397.786,-262.890
397.786,-261.890
398.786,-261.890
398.786,-260.890
399.786,-260.890
399.786,-259.890
400.786,-259.890
400.786,-258.890
401.786,-258.890
401.786,-257.890
402.786,-257.890
402.786,-256.890
403.786,-256.890
403.786,-255.890
404.786,-255.890
404.786,-254.890
405.786,-254.890
405.786,-253.890
406.786,-253.890
406.786,-252.890
407.786,-252.890
407.786,-251.890
408.786,-251.890
408.786,-249.890
409.786,-249.890
409.786,-248.890
410.786,-248.890
410.786,-247.890
411.786,-247.890
411.786,-246.890
412.786,-246.890
412.786,-245.890
413.786,-245.890
413.786,-244.890
414.786,-244.890
414.786,-243.890
415.786,-243.890
415.786,-242.890
416.786,-242.890
416.786,-240.890
417.786,-240.890
417.786,-239.890
418.786,-239.890
418.786,-238.890
419.786,-238.890
419.786,-237.890
420.786,-237.890
420.786,-236.890
421.786,-236.890
421.786,-235.890
422.786,-235.890
422.786,-234.890
423.786,-234.890
423.786,-232.890
424.786,-232.890
424.786,-231.890
425.786,-231.890
425.786,-230.890
426.786,-230.890
426.786,-229.890
427.786,-229.890
427.786,-227.890
428.786,-227.890
428.786,-226.890
429.786,-226.890
429.786,-225.890
430.786,-225.890
430.786,-224.890
431.786,-224.890
431.786,-223.890
432.786,-223.890
432.786,-221.890
433.786,-221.890
433.786,-220.890
434.786,-220.890
434.786,-219.890
435.786,-219.890
435.786,-217.890
436.786,-217.890
436.786,-216.890
437.786,-216.890
437.786,-215.890
438.786,-215.890
438.786,-214.890
439.786,-214.890
439.786,-212.890
440.786,-212.890
440.786,-211.890
441.786,-211.890
441.786,-210.890
442.786,-210.890
442.786,-208.890
443.786,-208.890
443.786,-207.890
444.786,-207.890
444.786,-205.890
445.786,-205.890
445.786,-204.890
446.786,-204.890
446.786,-203.890
447.786,-203.890
447.786,-201.890
448.786,-201.890
448.786,-200.890
449.786,-200.890
449.786,-198.890
450.786,-198.890
450.786,-197.890
451.786,-197.890
451.786,-195.890
452.786,-195.890
452.786,-194.890
453.786,-194.890
453.786,-192.890
454.786,-192.890
454.786,-191.890
455.786,-191.890
455.786,-189.890
456.786,-189.890
456.786,-188.890
457.786,-188.890
457.786,-186.890
458.786,-186.890
458.786,-184.890
459.786,-184.890
459.786,-183.890
460.786,-183.890
460.786,-181.890
461.786,-181.890
461.786,-179.890
462.786,-179.890
462.786,-178.890
463.786,-178.890
463.786,-176.890
464.786,-176.890
464.786,-174.890
465.786,-174.890
465.786,-172.890
466.786,-172.890
466.786,-171.890
467.786,-171.890
467.786,-169.890
468.786,-169.890
468.786,-167.890
469.786,-167.890
469.786,-165.890
470.786,-165.890
470.786,-163.890
471.786,-163.890
471.786,-161.890
472.786,-161.890
472.786,-159.890
473.786,-159.890
473.786,-157.890
474.786,-157.890
474.786,-155.890
475.786,-155.890
475.786,-153.890
476.786,-153.890
476.786,-150.890
477.786,-150.890
477.786,-148.890
478.786,-148.890
478.786,-146.890
479.786,-146.890
479.786,-143.890
480.786,-143.890
480.786,-141.890
481.786,-141.890
481.786,-138.890
482.786,-138.890
482.786,-136.890
483.786,-136.890
483.786,-133.890
484.786,-133.890
484.786,-130.890
485.786,-130.890
485.786,-127.890
486.786,-127.890
486.786,-124.890
487.786,-124.890
487.786,-121.890
488.786,-121.890
488.786,-117.890
489.786,-117.890
489.786,-114.890
490.786,-114.890
490.786,-110.890
491.786,-110.890
491.786,-106.890
492.786,-106.890
492.786,-101.890
493.786,-101.890
493.786,-96.890
494.786,-96.890
494.786,-90.890
495.786,-90.890
495.786,-84.890
496.786,-84.890
496.786,-75.890
497.786,-75.890
497.786,-55.890
498.786,-55.890
498.786,-51.890
497.786,-51.890
497.786,-38.890
496.786,-38.890
496.786,-32.890
495.786,-32.890
495.786,-28.890
494.786,-28.890
494.786,-24.890
493.786,-24.890
493.786,-20.890
492.786,-20.890
492.786,-17.890
491.786,-17.890
491.786,-14.890
490.786,-14.890
490.786,-12.890
489.786,-12.890
489.786,-9.890
488.786,-9.890
488.786,-7.890
487.786,-7.890
487.786,-4.890
