xpoints,ypoints
110.786,126.110
108.786,126.110
108.786,127.110
106.786,127.110
106.786,128.110
104.786,128.110
104.786,129.110
103.786,129.110
103.786,130.110
101.786,130.110
101.786,131.110
99.786,131.110
99.786,132.110
98.786,132.110
98.786,133.110
96.786,133.110
96.786,134.110
94.786,134.110
94.786,135.110
93.786,135.110
93.786,136.110
91.786,136.110
91.786,137.110
89.786,137.110
89.786,138.110
88.786,138.110
88.786,139.110
86.786,139.110
86.786,140.110
85.786,140.110
85.786,141.110
83.786,141.110
83.786,142.110
82.786,142.110
82.786,143.110
80.786,143.110
80.786,144.110
79.786,144.110
79.786,145.110
77.786,145.110
77.786,146.110
76.786,146.110
76.786,147.110
74.786,147.110
74.786,148.110
73.786,148.110
73.786,149.110
71.786,149.110
71.786,150.110
70.786,150.110
70.786,151.110
69.786,151.110
69.786,152.110
67.786,152.110
67.786,153.110
66.786,153.110
66.786,154.110
65.786,154.110
65.786,155.110
63.786,155.110
63.786,156.110
62.786,156.110
62.786,157.110
61.786,157.110
61.786,158.110
60.786,158.110
60.786,159.110
59.786,159.110
59.786,160.110
58.786,160.110
58.786,161.110
56.786,161.110
56.786,162.110
55.786,162.110
55.786,163.110
54.786,163.110
54.786,164.110
53.786,164.110
53.786,165.110
52.786,165.110
52.786,166.110
51.786,166.110
51.786,167.110
50.786,167.110
50.786,168.110
49.786,168.110
49.786,170.110
48.786,170.110
48.786,171.110
47.786,171.110
47.786,172.110
46.786,172.110
46.786,173.110
45.786,173.110
45.786,175.110
44.786,175.110
44.786,176.110
43.786,176.110
43.786,177.110
42.786,177.110
42.786,179.110
41.786,179.110
41.786,181.110
40.786,181.110
40.786,183.110
39.786,183.110
39.786,185.110
38.786,185.110
38.786,187.110
37.786,187.110
37.786,189.110
36.786,189.110
36.786,193.110
35.786,193.110
35.786,197.110
34.786,197.110
34.786,218.110
35.786,218.110
35.786,223.110
36.786,223.110
36.786,227.110
37.786,227.110
37.786,230.110
38.786,230.110
38.786,233.110
39.786,233.110
39.786,236.110
40.786,236.110
40.786,238.110
41.786,238.110
41.786,240.110
42.786,240.110
42.786,243.110
43.786,243.110
43.786,245.110
44.786,245.110
44.786,247.110
45.786,247.110
45.786,249.110
46.786,249.110
46.786,251.110
47.786,251.110
47.786,253.110
48.786,253.110
48.786,255.110
49.786,255.110
49.786,257.110
50.786,257.110
50.786,258.110
51.786,258.110
51.786,260.110
52.786,260.110
52.786,262.110
53.786,262.110
53.786,264.110
54.786,264.110
54.786,265.110
55.786,265.110
55.786,267.110
56.786,267.110
56.786,268.110
57.786,268.110
57.786,270.110
58.786,270.110
58.786,272.110
59.786,272.110
59.786,273.110
60.786,273.110
60.786,275.110
61.786,275.110
61.786,276.110
62.786,276.110
62.786,278.110
63.786,278.110
63.786,279.110
64.786,279.110
64.786,280.110
65.786,280.110
65.786,282.110
66.786,282.110
66.786,283.110
67.786,283.110
67.786,285.110
68.786,285.110
68.786,286.110
69.786,286.110
69.786,288.110
70.786,288.110
70.786,289.110
71.786,289.110
71.786,290.110
72.786,290.110
72.786,292.110
73.786,292.110
73.786,293.110
74.786,293.110
74.786,294.110
75.786,294.110
75.786,296.110
76.786,296.110
76.786,297.110
77.786,297.110
77.786,298.110
