xpoints,ypoints
211.735,-393.366
216.735,-393.366
216.735,-392.366
220.735,-392.366
220.735,-391.366
225.735,-391.366
225.735,-390.366
229.735,-390.366
229.735,-389.366
234.735,-389.366
234.735,-388.366
238.735,-388.366
238.735,-387.366
242.735,-387.366
242.735,-386.366
246.735,-386.366
246.735,-385.366
250.735,-385.366
250.735,-384.366
253.735,-384.366
253.735,-383.366
257.735,-383.366
257.735,-382.366
261.735,-382.366
261.735,-381.366
264.735,-381.366
264.735,-380.366
268.735,-380.366
268.735,-379.366
271.735,-379.366
271.735,-378.366
274.735,-378.366
274.735,-377.366
278.735,-377.366
278.735,-376.366
281.735,-376.366
281.735,-375.366
284.735,-375.366
284.735,-374.366
287.735,-374.366
287.735,-373.366
290.735,-373.366
290.735,-372.366
293.735,-372.366
293.735,-371.366
296.735,-371.366
296.735,-370.366
299.735,-370.366
299.735,-369.366
302.735,-369.366
302.735,-368.366
304.735,-368.366
304.735,-367.366
307.735,-367.366
307.735,-366.366
310.735,-366.366
310.735,-365.366
313.735,-365.366
313.735,-364.366
315.735,-364.366
315.735,-363.366
318.735,-363.366
318.735,-362.366
320.735,-362.366
320.735,-361.366
323.735,-361.366
323.735,-360.366
325.735,-360.366
325.735,-359.366
328.735,-359.366
328.735,-358.366
330.735,-358.366
330.735,-357.366
333.735,-357.366
333.735,-356.366
335.735,-356.366
335.735,-355.366
337.735,-355.366
337.735,-354.366
340.735,-354.366
340.735,-353.366
342.735,-353.366
342.735,-352.366
344.735,-352.366
344.735,-351.366
346.735,-351.366
346.735,-350.366
349.735,-350.366
349.735,-349.366
351.735,-349.366
351.735,-348.366
353.735,-348.366
353.735,-347.366
355.735,-347.366
355.735,-346.366
357.735,-346.366
357.735,-345.366
359.735,-345.366
359.735,-344.366
361.735,-344.366
361.735,-343.366
363.735,-343.366
363.735,-342.366
365.735,-342.366
365.735,-341.366
367.735,-341.366
367.735,-340.366
369.735,-340.366
369.735,-339.366
371.735,-339.366
371.735,-338.366
373.735,-338.366
373.735,-337.366
375.735,-337.366
375.735,-336.366
377.735,-336.366
377.735,-335.366
379.735,-335.366
379.735,-334.366
381.735,-334.366
381.735,-333.366
383.735,-333.366
383.735,-332.366
384.735,-332.366
384.735,-331.366
386.735,-331.366
386.735,-330.366
388.735,-330.366
388.735,-329.366
390.735,-329.366
390.735,-328.366
392.735,-328.366
392.735,-327.366
393.735,-327.366
393.735,-326.366
395.735,-326.366
395.735,-325.366
397.735,-325.366
397.735,-324.366
398.735,-324.366
398.735,-323.366
400.735,-323.366
400.735,-322.366
402.735,-322.366
402.735,-321.366
403.735,-321.366
403.735,-320.366
405.735,-320.366
405.735,-319.366
406.735,-319.366
406.735,-318.366
408.735,-318.366
408.735,-317.366
410.735,-317.366
410.735,-316.366
411.735,-316.366
411.735,-315.366
413.735,-315.366
413.735,-314.366
414.735,-314.366
414.735,-313.366
416.735,-313.366
416.735,-312.366
417.735,-312.366
417.735,-311.366
419.735,-311.366
419.735,-310.366
420.735,-310.366
420.735,-309.366
422.735,-309.366
422.735,-308.366
423.735,-308.366
423.735,-307.366
425.735,-307.366
425.735,-306.366
426.735,-306.366
426.735,-305.366
427.735,-305.366
427.735,-304.366
429.735,-304.366
429.735,-303.366
430.735,-303.366
430.735,-302.366
432.735,-302.366
432.735,-301.366
433.735,-301.366
433.735,-300.366
434.735,-300.366
434.735,-299.366
436.735,-299.366
436.735,-298.366
437.735,-298.366
437.735,-297.366
438.735,-297.366
438.735,-296.366
440.735,-296.366
440.735,-295.366
441.735,-295.366
441.735,-294.366
442.735,-294.366
442.735,-293.366
443.735,-293.366
443.735,-292.366
445.735,-292.366
445.735,-291.366
446.735,-291.366
446.735,-290.366
447.735,-290.366
447.735,-289.366
448.735,-289.366
448.735,-288.366
450.735,-288.366
450.735,-287.366
451.735,-287.366
451.735,-286.366
452.735,-286.366
452.735,-285.366
453.735,-285.366
453.735,-284.366
454.735,-284.366
454.735,-283.366
456.735,-283.366
456.735,-282.366
457.735,-282.366
457.735,-281.366
458.735,-281.366
458.735,-280.366
459.735,-280.366
459.735,-279.366
460.735,-279.366
460.735,-278.366
461.735,-278.366
461.735,-277.366
462.735,-277.366
462.735,-276.366
463.735,-276.366
463.735,-275.366
465.735,-275.366
465.735,-274.366
466.735,-274.366
466.735,-273.366
467.735,-273.366
467.735,-272.366
468.735,-272.366
468.735,-271.366
469.735,-271.366
469.735,-270.366
470.735,-270.366
470.735,-269.366
471.735,-269.366
471.735,-268.366
472.735,-268.366
472.735,-267.366
473.735,-267.366
473.735,-266.366
474.735,-266.366
474.735,-265.366
475.735,-265.366
475.735,-264.366
476.735,-264.366
476.735,-263.366
477.735,-263.366
477.735,-262.366
478.735,-262.366
478.735,-261.366
479.735,-261.366
479.735,-260.366
480.735,-260.366
480.735,-259.366
481.735,-259.366
481.735,-258.366
482.735,-258.366
482.735,-257.366
483.735,-257.366
483.735,-256.366
484.735,-256.366
484.735,-255.366
485.735,-255.366
485.735,-254.366
486.735,-254.366
486.735,-253.366
487.735,-253.366
487.735,-251.366
488.735,-251.366
488.735,-250.366
489.735,-250.366
489.735,-249.366
490.735,-249.366
490.735,-248.366
491.735,-248.366
491.735,-247.366
492.735,-247.366
492.735,-246.366
493.735,-246.366
493.735,-245.366
494.735,-245.366
494.735,-243.366
495.735,-243.366
495.735,-242.366
496.735,-242.366
496.735,-241.366
