xpoints,ypoints
396.712,-189.048
398.712,-189.048
398.712,-188.048
400.712,-188.048
400.712,-187.048
402.712,-187.048
402.712,-186.048
404.712,-186.048
404.712,-185.048
406.712,-185.048
406.712,-184.048
408.712,-184.048
408.712,-183.048
410.712,-183.048
410.712,-182.048
412.712,-182.048
412.712,-181.048
414.712,-181.048
414.712,-180.048
416.712,-180.048
416.712,-179.048
418.712,-179.048
418.712,-178.048
420.712,-178.048
420.712,-177.048
422.712,-177.048
422.712,-176.048
424.712,-176.048
424.712,-175.048
426.712,-175.048
426.712,-174.048
427.712,-174.048
427.712,-173.048
429.712,-173.048
429.712,-172.048
431.712,-172.048
431.712,-171.048
432.712,-171.048
432.712,-170.048
434.712,-170.048
434.712,-169.048
436.712,-169.048
436.712,-168.048
437.712,-168.048
437.712,-167.048
439.712,-167.048
439.712,-166.048
441.712,-166.048
441.712,-165.048
442.712,-165.048
442.712,-164.048
444.712,-164.048
444.712,-163.048
445.712,-163.048
445.712,-162.048
447.712,-162.048
447.712,-161.048
448.712,-161.048
448.712,-160.048
449.712,-160.048
449.712,-159.048
451.712,-159.048
451.712,-158.048
452.712,-158.048
452.712,-157.048
454.712,-157.048
454.712,-156.048
455.712,-156.048
455.712,-155.048
456.712,-155.048
456.712,-154.048
458.712,-154.048
458.712,-153.048
459.712,-153.048
459.712,-152.048
460.712,-152.048
460.712,-151.048
462.712,-151.048
462.712,-150.048
463.712,-150.048
463.712,-149.048
464.712,-149.048
464.712,-148.048
465.712,-148.048
465.712,-147.048
466.712,-147.048
466.712,-146.048
468.712,-146.048
468.712,-145.048
469.712,-145.048
469.712,-144.048
470.712,-144.048
470.712,-143.048
471.712,-143.048
471.712,-142.048
472.712,-142.048
472.712,-141.048
473.712,-141.048
473.712,-140.048
474.712,-140.048
474.712,-139.048
475.712,-139.048
475.712,-138.048
476.712,-138.048
476.712,-137.048
478.712,-137.048
478.712,-136.048
479.712,-136.048
479.712,-135.048
480.712,-135.048
480.712,-134.048
481.712,-134.048
481.712,-133.048
482.712,-133.048
482.712,-131.048
483.712,-131.048
483.712,-130.048
484.712,-130.048
484.712,-129.048
485.712,-129.048
485.712,-128.048
486.712,-128.048
486.712,-127.048
487.712,-127.048
487.712,-126.048
488.712,-126.048
488.712,-125.048
489.712,-125.048
489.712,-124.048
490.712,-124.048
490.712,-123.048
491.712,-123.048
491.712,-121.048
492.712,-121.048
492.712,-120.048
493.712,-120.048
493.712,-119.048
494.712,-119.048
494.712,-118.048
495.712,-118.048
495.712,-116.048
496.712,-116.048
496.712,-115.048
497.712,-115.048
497.712,-114.048
498.712,-114.048
498.712,-112.048
499.712,-112.048
499.712,-111.048
500.712,-111.048
500.712,-109.048
501.712,-109.048
501.712,-108.048
502.712,-108.048
502.712,-106.048
503.712,-106.048
503.712,-105.048
504.712,-105.048
504.712,-103.048
505.712,-103.048
505.712,-102.048
506.712,-102.048
506.712,-100.048
507.712,-100.048
507.712,-98.048
508.712,-98.048
508.712,-96.048
509.712,-96.048
509.712,-95.048
510.712,-95.048
510.712,-93.048
511.712,-93.048
511.712,-91.048
512.713,-91.048
512.713,-89.048
513.713,-89.048
513.713,-86.048
514.713,-86.048
514.713,-84.048
515.713,-84.048
515.713,-82.048
516.713,-82.048
516.713,-79.048
517.713,-79.048
517.713,-77.048
518.713,-77.048
518.713,-74.048
519.713,-74.048
519.713,-71.048
520.713,-71.048
520.713,-67.048
521.713,-67.048
521.713,-64.048
522.713,-64.048
522.713,-59.048
523.713,-59.048
523.713,-54.048
524.713,-54.048
524.713,-48.048
525.713,-48.048
525.713,-38.048
526.713,-38.048
526.713,-18.048
525.713,-18.048
525.713,-9.048
524.713,-9.048
524.713,-3.048
523.713,-3.048
523.713,1.952
522.713,1.952
522.713,5.952
521.713,5.952
521.713,8.952
520.713,8.952
520.713,11.952
519.713,11.952
519.713,13.952
518.713,13.952
518.713,16.952
517.713,16.952
517.713,18.952
516.713,18.952
516.713,20.952
515.713,20.952
515.713,22.952
514.713,22.952
514.713,24.952
513.713,24.952
513.713,26.952
512.713,26.952
512.713,28.952
511.712,28.952
511.712,29.952
510.712,29.952
510.712,31.952
509.712,31.952
509.712,32.952
508.712,32.952
508.712,34.952
507.712,34.952
507.712,35.952
506.712,35.952
506.712,37.952
505.712,37.952
505.712,38.952
504.712,38.952
504.712,39.952
503.712,39.952
503.712,41.952
502.712,41.952
502.712,42.952
501.712,42.952
501.712,43.952
500.712,43.952
500.712,44.952
499.712,44.952
499.712,45.952
498.712,45.952
498.712,46.952
497.712,46.952
497.712,48.952
496.712,48.952
496.712,49.952
495.712,49.952
495.712,50.952
494.712,50.952
494.712,51.952
493.712,51.952
493.712,52.952
492.712,52.952
492.712,53.952
491.712,53.952
491.712,54.952
490.712,54.952
490.712,55.952
489.712,55.952
489.712,56.952
488.712,56.952
488.712,57.952
487.712,57.952
487.712,58.952
486.712,58.952
486.712,59.952
485.712,59.952
485.712,60.952
484.712,60.952
484.712,61.952
483.712,61.952
483.712,62.952
482.712,62.952
482.712,63.952
481.712,63.952
481.712,64.952
480.712,64.952
480.712,65.952
479.712,65.952
479.712,66.952
478.712,66.952
478.712,67.952
477.712,67.952
477.712,68.952
476.712,68.952
476.712,69.952
475.712,69.952
475.712,70.952
466.712,70.952
466.712,71.952
456.712,71.952
456.712,70.952
425.712,70.952
425.712,69.952
390.712,69.952
390.712,68.952
378.712,68.952
378.712,69.952
371.712,69.952
371.712,68.952
372.712,68.952
372.712,67.952
373.712,67.952
373.712,66.952
374.712,66.952
374.712,65.952
375.712,65.952
375.712,64.952
376.712,64.952
376.712,63.952
377.712,63.952
377.712,62.952
378.712,62.952
378.712,61.952
379.712,61.952
379.712,60.952
380.712,60.952
380.712,59.952
381.712,59.952
381.712,58.952
382.712,58.952
382.712,57.952
383.712,57.952
383.712,56.952
384.712,56.952
384.712,55.952
385.712,55.952
385.712,54.952
386.712,54.952
386.712,53.952
387.712,53.952
387.712,52.952
388.712,52.952
388.712,51.952
389.712,51.952
389.712,50.952
390.712,50.952
390.712,49.952
391.712,49.952
391.712,48.952
392.712,48.952
392.712,46.952
393.712,46.952
393.712,45.952
394.712,45.952
394.712,44.952
395.712,44.952
395.712,43.952
396.712,43.952
396.712,42.952
397.712,42.952
397.712,41.952
398.712,41.952
398.712,40.952
399.712,40.952
399.712,39.952
400.712,39.952
400.712,37.952
401.712,37.952
401.712,36.952
402.712,36.952
402.712,35.952
403.712,35.952
403.712,34.952
404.712,34.952
404.712,32.952
405.712,32.952
405.712,31.952
406.712,31.952
406.712,29.952
407.712,29.952
407.712,28.952
408.712,28.952
408.712,26.952
409.712,26.952
409.712,24.952
410.712,24.952
410.712,22.952
411.712,22.952
411.712,20.952
412.712,20.952
412.712,18.952
413.712,18.952
413.712,14.952
414.712,14.952
414.712,-3.048
413.712,-3.048
413.712,-11.048
412.712,-11.048
412.712,-17.048
411.712,-17.048
411.712,-21.048
410.712,-21.048
410.712,-25.048
409.712,-25.048
409.712,-28.048
408.712,-28.048
408.712,-31.048
407.712,-31.048
407.712,-34.048
406.712,-34.048
406.712,-37.048
405.712,-37.048
405.712,-39.048
404.712,-39.048
404.712,-41.048
403.712,-41.048
403.712,-43.048
402.712,-43.048
402.712,-45.048
401.712,-45.048
401.712,-47.048
400.712,-47.048
400.712,-49.048
399.712,-49.048
399.712,-51.048
398.712,-51.048
398.712,-53.048
397.712,-53.048
397.712,-54.048
396.712,-54.048
396.712,-56.048
395.712,-56.048
395.712,-57.048
394.712,-57.048
394.712,-59.048
393.712,-59.048
393.712,-60.048
392.712,-60.048
392.712,-62.048
391.712,-62.048
391.712,-63.048
390.712,-63.048
390.712,-64.048
389.712,-64.048
389.712,-65.048
388.712,-65.048
388.712,-67.048
387.712,-67.048
387.712,-68.048
386.712,-68.048
386.712,-69.048
385.712,-69.048
385.712,-70.048
384.712,-70.048
384.712,-71.048
383.712,-71.048
383.712,-72.048
382.712,-72.048
382.712,-73.048
381.712,-73.048
381.712,-74.048
380.712,-74.048
380.712,-75.048
379.712,-75.048
379.712,-76.048
378.712,-76.048
378.712,-77.048
377.712,-77.048
377.712,-78.048
376.712,-78.048
376.712,-79.048
375.712,-79.048
375.712,-80.048
374.712,-80.048
374.712,-81.048
373.712,-81.048
373.712,-82.048
372.712,-82.048
372.712,-83.048
371.712,-83.048
371.712,-84.048
369.712,-84.048
369.712,-85.048
368.712,-85.048
368.712,-86.048
367.712,-86.048
367.712,-87.048
366.712,-87.048
366.712,-88.048
364.712,-88.048
364.712,-89.048
363.712,-89.048
363.712,-90.048
362.712,-90.048
362.712,-91.048
360.712,-91.048
360.712,-92.048
359.712,-92.048
359.712,-93.048
357.712,-93.048
357.712,-94.048
356.712,-94.048
356.712,-95.048
354.712,-95.048
354.712,-96.048
353.712,-96.048
353.712,-97.048
351.712,-97.048
351.712,-98.048
349.712,-98.048
349.712,-99.048
348.712,-99.048
348.712,-100.048
346.712,-100.048
346.712,-101.048
344.712,-101.048
344.712,-102.048
343.712,-102.048
343.712,-103.048
341.712,-103.048
341.712,-104.048
339.712,-104.048
339.712,-105.048
337.712,-105.048
337.712,-106.048
335.712,-106.048
335.712,-107.048
333.712,-107.048
333.712,-108.048
331.712,-108.048
331.712,-109.048
329.712,-109.048
329.712,-110.048
326.712,-110.048
326.712,-111.048
324.712,-111.048
324.712,-112.048
322.712,-112.048
322.712,-113.048
319.712,-113.048
319.712,-114.048
317.712,-114.048
317.712,-115.048
314.712,-115.048
314.712,-116.048
312.712,-116.048
312.712,-117.048
309.712,-117.048
309.712,-118.048
306.712,-118.048
306.712,-119.048
303.712,-119.048
303.712,-120.048
300.712,-120.048
300.712,-121.048
297.712,-121.048
297.712,-122.048
294.712,-122.048
294.712,-123.048
291.712,-123.048
291.712,-124.048
287.712,-124.048
287.712,-125.048
283.712,-125.048
283.712,-126.048
280.712,-126.048
280.712,-127.048
276.712,-127.048
276.712,-128.048
271.712,-128.048
271.712,-129.048
267.712,-129.048
267.712,-130.048
262.712,-130.048
262.712,-131.048
257.712,-131.048
257.712,-132.048
252.712,-132.048
252.712,-133.048
246.712,-133.048
246.712,-134.048
240.712,-134.048
240.712,-135.048
233.712,-135.048
233.712,-136.048
226.712,-136.048
226.712,-137.048
217.712,-137.048
217.712,-138.048
207.712,-138.048
207.712,-139.048
193.712,-139.048
193.712,-140.048
134.712,-140.048
134.712,-139.048
120.712,-139.048
120.712,-138.048
109.712,-138.048
109.712,-137.048
100.712,-137.048
100.712,-136.048
91.712,-136.048
91.712,-135.048
84.712,-135.048
84.712,-134.048
77.712,-134.048
77.712,-133.048
70.712,-133.048
70.712,-132.048
65.712,-132.048
65.712,-131.048
59.712,-131.048
59.712,-130.048
53.712,-130.048
53.712,-129.048
48.712,-129.048
48.712,-128.048
42.712,-128.048
42.712,-127.048
37.712,-127.048
37.712,-126.048
32.712,-126.048
32.712,-125.048
27.712,-125.048
27.712,-124.048
23.712,-124.048
23.712,-123.048
18.712,-123.048
18.712,-122.048
14.712,-122.048
14.712,-121.048
9.712,-121.048
9.712,-120.048
5.712,-120.048
5.712,-119.048
1.712,-119.048
1.712,-118.048
-3.288,-118.048
-3.288,-117.048
-6.288,-117.048
-6.288,-116.048
-10.288,-116.048
-10.288,-115.048
-14.288,-115.048
-14.288,-114.048
-18.288,-114.048
-18.288,-113.048
-22.288,-113.048
-22.288,-112.048
-26.288,-112.048
-26.288,-111.048
-30.288,-111.048
-30.288,-110.048
-33.288,-110.048
-33.288,-109.048
-37.288,-109.048
-37.288,-108.048
-41.288,-108.048
-41.288,-107.048
-44.288,-107.048
-44.288,-106.048
-48.288,-106.048
-48.288,-105.048
-51.288,-105.048
-51.288,-104.048
-55.288,-104.048
-55.288,-103.048
