xpoints,ypoints
368.713,-85.048
369.713,-85.048
369.713,-84.048
371.713,-84.048
371.713,-83.048
372.713,-83.048
372.713,-82.048
373.713,-82.048
373.713,-81.048
374.713,-81.048
374.713,-80.048
375.713,-80.048
375.713,-79.048
376.713,-79.048
376.713,-78.048
377.713,-78.048
377.713,-77.048
378.713,-77.048
378.713,-76.048
379.713,-76.048
379.713,-75.048
380.713,-75.048
380.713,-74.048
381.713,-74.048
381.713,-73.048
382.713,-73.048
382.713,-72.048
383.713,-72.048
383.713,-71.048
384.713,-71.048
384.713,-70.048
385.713,-70.048
385.713,-69.048
386.713,-69.048
386.713,-68.048
387.713,-68.048
387.713,-67.048
388.713,-67.048
388.713,-65.048
389.713,-65.048
389.713,-64.048
390.713,-64.048
390.713,-63.048
391.713,-63.048
391.713,-62.048
392.713,-62.048
392.713,-60.048
393.713,-60.048
393.713,-59.048
394.713,-59.048
394.713,-57.048
395.713,-57.048
395.713,-56.048
396.713,-56.048
396.713,-54.048
397.713,-54.048
397.713,-53.048
398.713,-53.048
398.713,-51.048
399.713,-51.048
399.713,-49.048
400.713,-49.048
400.713,-47.048
401.713,-47.048
401.713,-45.048
402.713,-45.048
402.713,-43.048
403.713,-43.048
403.713,-41.048
404.713,-41.048
404.713,-39.048
405.713,-39.048
405.713,-37.048
406.713,-37.048
406.713,-34.048
407.713,-34.048
407.713,-31.048
408.713,-31.048
408.713,-28.048
409.713,-28.048
409.713,-25.048
410.713,-25.048
410.713,-21.048
411.713,-21.048
411.713,-17.048
412.713,-17.048
412.713,-11.048
413.713,-11.048
413.713,-3.048
414.713,-3.048
414.713,14.952
413.713,14.952
413.713,18.952
412.713,18.952
412.713,20.952
411.713,20.952
411.713,22.952
410.713,22.952
410.713,24.952
409.713,24.952
409.713,26.952
408.713,26.952
408.713,28.952
407.713,28.952
407.713,29.952
406.713,29.952
406.713,31.952
405.713,31.952
405.713,32.952
404.713,32.952
404.713,34.952
403.713,34.952
403.713,35.952
402.713,35.952
402.713,36.952
401.713,36.952
401.713,37.952
400.713,37.952
400.713,39.952
399.713,39.952
399.713,40.952
398.713,40.952
398.713,41.952
397.713,41.952
397.713,42.952
396.713,42.952
396.713,43.952
395.713,43.952
395.713,44.952
394.713,44.952
394.713,45.952
393.713,45.952
393.713,46.952
392.713,46.952
392.713,48.952
391.713,48.952
391.713,49.952
390.713,49.952
390.713,50.952
389.713,50.952
389.713,51.952
388.713,51.952
388.713,52.952
387.713,52.952
387.713,53.952
386.713,53.952
386.713,54.952
385.713,54.952
385.713,55.952
384.713,55.952
384.713,56.952
383.713,56.952
383.713,57.952
382.713,57.952
382.713,58.952
381.713,58.952
381.713,59.952
380.713,59.952
380.713,60.952
379.713,60.952
379.713,61.952
378.713,61.952
378.713,62.952
377.713,62.952
377.713,63.952
376.713,63.952
376.713,64.952
375.713,64.952
375.713,65.952
374.713,65.952
374.713,66.952
373.713,66.952
373.713,67.952
372.713,67.952
372.713,68.952
371.713,68.952
371.713,69.952
369.713,69.952
369.713,70.952
363.713,70.952
363.713,71.952
352.713,71.952
352.713,70.952
340.713,70.952
340.713,69.952
332.713,69.952
332.713,68.952
325.713,68.952
325.713,67.952
319.713,67.952
319.713,66.952
313.713,66.952
313.713,65.952
308.713,65.952
308.713,64.952
303.713,64.952
303.713,63.952
298.713,63.952
298.713,62.952
294.713,62.952
294.713,61.952
289.713,61.952
289.713,60.952
285.713,60.952
285.713,59.952
281.713,59.952
281.713,58.952
277.713,58.952
277.713,57.952
274.713,57.952
274.713,56.952
270.713,56.952
270.713,55.952
267.713,55.952
267.713,54.952
264.713,54.952
264.713,53.952
261.713,53.952
261.713,52.952
258.713,52.952
258.713,51.952
255.713,51.952
255.713,50.952
252.713,50.952
252.713,49.952
249.713,49.952
249.713,48.952
247.713,48.952
247.713,47.952
245.713,47.952
245.713,46.952
243.713,46.952
243.713,45.952
241.713,45.952
241.713,44.952
239.713,44.952
239.713,43.952
238.713,43.952
238.713,42.952
237.713,42.952
237.713,41.952
236.713,41.952
236.713,32.952
235.713,32.952
235.713,30.952
234.713,30.952
234.713,28.952
233.713,28.952
233.713,27.952
232.713,27.952
232.713,25.952
231.713,25.952
231.713,24.952
230.713,24.952
230.713,23.952
229.713,23.952
229.713,22.952
227.713,22.952
227.713,21.952
226.713,21.952
226.713,20.952
225.713,20.952
225.713,19.952
223.713,19.952
223.713,18.952
222.713,18.952
222.713,17.952
220.713,17.952
220.713,16.952
219.713,16.952
219.713,15.952
217.713,15.952
217.713,14.952
215.713,14.952
215.713,13.952
213.713,13.952
213.713,12.952
