xpoints,ypoints
185.713,80.952
184.713,80.952
184.713,81.952
183.713,81.952
183.713,82.952
182.713,82.952
182.713,83.952
181.713,83.952
181.713,84.952
180.713,84.952
180.713,85.952
179.713,85.952
179.713,86.952
178.713,86.952
178.713,87.952
177.713,87.952
177.713,88.952
176.713,88.952
176.713,89.952
175.713,89.952
175.713,90.952
174.713,90.952
174.713,91.952
173.713,91.952
173.713,92.952
172.713,92.952
172.713,93.952
171.713,93.952
171.713,95.952
170.713,95.952
170.713,96.952
169.713,96.952
169.713,97.952
168.713,97.952
168.713,98.952
167.713,98.952
167.713,100.952
166.713,100.952
166.713,101.952
165.713,101.952
165.713,103.952
164.713,103.952
164.713,104.952
163.713,104.952
163.713,106.952
162.713,106.952
162.713,107.952
161.713,107.952
161.713,109.952
160.713,109.952
160.713,111.952
159.713,111.952
159.713,112.952
158.713,112.952
158.713,114.952
157.713,114.952
157.713,116.952
156.713,116.952
156.713,118.952
155.713,118.952
155.713,121.952
154.713,121.952
154.713,123.952
153.713,123.952
153.713,126.952
152.713,126.952
152.713,129.952
151.713,129.952
151.713,133.952
150.713,133.952
150.713,137.952
149.713,137.952
149.713,143.952
148.713,143.952
148.713,166.952
149.713,166.952
149.713,176.952
150.713,176.952
150.713,185.952
151.713,185.952
151.713,194.952
152.713,194.952
152.713,203.952
153.713,203.952
153.713,216.952
154.713,216.952
154.713,239.952
153.713,239.952
153.713,246.952
152.713,246.952
152.713,249.952
151.713,249.952
151.713,252.952
150.713,252.952
150.713,254.952
149.713,254.952
149.713,255.952
148.713,255.952
148.713,257.952
147.713,257.952
147.713,258.952
145.713,258.952
145.713,259.952
143.713,259.952
143.713,260.952
122.713,260.952
122.713,261.952
106.713,261.952
106.713,262.952
94.713,262.952
94.713,263.952
83.713,263.952
83.713,264.952
74.713,264.952
74.713,265.952
64.713,265.952
64.713,266.952
56.713,266.952
56.713,267.952
48.713,267.952
48.713,268.952
40.713,268.952
40.713,269.952
33.713,269.952
33.713,270.952
25.713,270.952
25.713,271.952
18.713,271.952
18.713,272.952
11.713,272.952
11.713,273.952
4.713,273.952
4.713,274.952
-2.287,274.952
