xpoints,ypoints
435.284,-525.334
438.284,-525.334
438.284,-524.334
441.284,-524.334
441.284,-523.334
443.284,-523.334
443.284,-522.334
446.284,-522.334
446.284,-521.334
448.284,-521.334
448.284,-520.334
451.284,-520.334
451.284,-519.334
453.284,-519.334
453.284,-518.334
456.284,-518.334
456.284,-517.334
458.284,-517.334
458.284,-516.334
460.284,-516.334
460.284,-515.334
463.284,-515.334
463.284,-514.334
465.284,-514.334
465.284,-513.334
467.284,-513.334
467.284,-512.334
469.284,-512.334
469.284,-511.334
472.284,-511.334
472.284,-510.334
474.284,-510.334
474.284,-509.334
476.284,-509.334
476.284,-508.334
478.284,-508.334
478.284,-507.334
480.284,-507.334
480.284,-506.334
482.284,-506.334
482.284,-505.334
485.284,-505.334
485.284,-504.334
487.284,-504.334
487.284,-503.334
489.284,-503.334
489.284,-502.334
491.284,-502.334
491.284,-501.334
493.284,-501.334
493.284,-500.334
495.284,-500.334
495.284,-499.334
497.284,-499.334
497.284,-498.334
499.284,-498.334
499.284,-497.334
500.284,-497.334
500.284,-496.334
502.284,-496.334
502.284,-495.334
504.284,-495.334
504.284,-494.334
506.284,-494.334
506.284,-493.334
508.284,-493.334
508.284,-492.334
510.284,-492.334
510.284,-491.334
512.284,-491.334
512.284,-490.334
513.284,-490.334
513.284,-489.334
515.284,-489.334
515.284,-488.334
517.284,-488.334
517.284,-487.334
519.284,-487.334
519.284,-486.334
521.284,-486.334
521.284,-485.334
522.284,-485.334
522.284,-484.334
524.284,-484.334
524.284,-483.334
526.284,-483.334
526.284,-482.334
527.284,-482.334
527.284,-481.334
529.284,-481.334
529.284,-480.334
531.284,-480.334
531.284,-479.334
532.284,-479.334
532.284,-478.334
534.284,-478.334
534.284,-477.334
536.284,-477.334
536.284,-476.334
537.284,-476.334
537.284,-475.334
539.284,-475.334
539.284,-474.334
541.284,-474.334
541.284,-473.334
542.284,-473.334
542.284,-472.334
544.284,-472.334
544.284,-471.334
545.284,-471.334
545.284,-470.334
547.284,-470.334
547.284,-469.334
548.284,-469.334
548.284,-468.334
550.284,-468.334
550.284,-467.334
551.284,-467.334
551.284,-466.334
553.284,-466.334
553.284,-465.334
554.284,-465.334
554.284,-464.334
556.284,-464.334
556.284,-463.334
557.284,-463.334
557.284,-462.334
559.284,-462.334
559.284,-461.334
560.284,-461.334
560.284,-460.334
562.284,-460.334
562.284,-459.334
563.284,-459.334
563.284,-458.334
565.284,-458.334
565.284,-457.334
566.284,-457.334
566.284,-456.334
568.284,-456.334
568.284,-455.334
569.284,-455.334
569.284,-454.334
570.284,-454.334
570.284,-453.334
572.284,-453.334
572.284,-452.334
573.284,-452.334
573.284,-451.334
574.284,-451.334
574.284,-450.334
576.284,-450.334
576.284,-449.334
577.284,-449.334
577.284,-448.334
578.284,-448.334
578.284,-447.334
580.284,-447.334
580.284,-446.334
581.284,-446.334
581.284,-445.334
582.284,-445.334
582.284,-444.334
584.284,-444.334
584.284,-443.334
585.284,-443.334
585.284,-442.334
586.284,-442.334
586.284,-441.334
588.284,-441.334
588.284,-440.334
589.284,-440.334
589.284,-439.334
590.284,-439.334
590.284,-438.334
591.284,-438.334
591.284,-437.334
593.284,-437.334
593.284,-436.334
594.284,-436.334
594.284,-435.334
595.284,-435.334
595.284,-434.334
596.284,-434.334
596.284,-433.334
598.284,-433.334
598.284,-432.334
599.284,-432.334
599.284,-431.334
600.284,-431.334
600.284,-430.334
601.284,-430.334
601.284,-429.334
602.284,-429.334
602.284,-428.334
604.284,-428.334
604.284,-427.334
605.284,-427.334
605.284,-426.334
606.284,-426.334
606.284,-425.334
607.284,-425.334
607.284,-424.334
608.284,-424.334
608.284,-423.334
609.284,-423.334
609.284,-422.334
610.284,-422.334
610.284,-421.334
612.284,-421.334
612.284,-420.334
613.284,-420.334
613.284,-419.334
614.284,-419.334
614.284,-418.334
615.284,-418.334
615.284,-417.334
616.284,-417.334
616.284,-416.334
617.284,-416.334
617.284,-415.334
618.284,-415.334
618.284,-414.334
619.284,-414.334
619.284,-413.334
620.284,-413.334
620.284,-412.334
622.284,-412.334
622.284,-411.334
