xpoints,ypoints
349.924,-379.404
354.924,-379.404
354.924,-378.404
359.924,-378.404
359.924,-377.404
363.924,-377.404
363.924,-376.404
368.924,-376.404
368.924,-375.404
371.924,-375.404
371.924,-374.404
375.924,-374.404
375.924,-373.404
379.924,-373.404
379.924,-372.404
382.924,-372.404
382.924,-371.404
385.924,-371.404
385.924,-370.404
388.924,-370.404
388.924,-369.404
391.924,-369.404
391.924,-368.404
393.924,-368.404
393.924,-367.404
396.924,-367.404
396.924,-366.404
398.924,-366.404
398.924,-365.404
401.924,-365.404
401.924,-364.404
403.924,-364.404
403.924,-363.404
405.924,-363.404
405.924,-362.404
408.924,-362.404
408.924,-361.404
410.924,-361.404
410.924,-360.404
412.924,-360.404
412.924,-359.404
414.924,-359.404
414.924,-358.404
416.924,-358.404
416.924,-357.404
418.924,-357.404
418.924,-356.404
419.924,-356.404
419.924,-355.404
421.924,-355.404
421.924,-354.404
423.924,-354.404
423.924,-353.404
425.924,-353.404
425.924,-352.404
426.924,-352.404
426.924,-351.404
428.924,-351.404
428.924,-350.404
430.924,-350.404
430.924,-349.404
431.924,-349.404
431.924,-348.404
433.924,-348.404
433.924,-347.404
434.924,-347.404
434.924,-346.404
436.924,-346.404
436.924,-345.404
437.924,-345.404
437.924,-344.404
439.924,-344.404
439.924,-343.404
440.924,-343.404
440.924,-342.404
441.924,-342.404
441.924,-341.404
443.924,-341.404
443.924,-340.404
444.924,-340.404
444.924,-339.404
445.924,-339.404
445.924,-338.404
447.924,-338.404
447.924,-337.404
448.924,-337.404
448.924,-336.404
450.924,-336.404
450.924,-335.404
451.924,-335.404
451.924,-334.404
452.924,-334.404
452.924,-333.404
453.924,-333.404
453.924,-332.404
455.924,-332.404
455.924,-331.404
456.924,-331.404
456.924,-330.404
457.924,-330.404
457.924,-329.404
458.924,-329.404
458.924,-328.404
460.924,-328.404
460.924,-327.404
461.924,-327.404
461.924,-326.404
462.924,-326.404
462.924,-325.404
463.924,-325.404
463.924,-324.404
464.924,-324.404
464.924,-323.404
465.924,-323.404
465.924,-322.404
467.924,-322.404
467.924,-321.404
468.924,-321.404
468.924,-320.404
469.924,-320.404
469.924,-319.404
470.924,-319.404
470.924,-318.404
471.924,-318.404
471.924,-317.404
472.924,-317.404
472.924,-316.404
473.924,-316.404
473.924,-315.404
474.924,-315.404
474.924,-314.404
475.924,-314.404
475.924,-313.404
476.924,-313.404
476.924,-312.404
