xpoints,ypoints
182.798,-286.724
184.798,-286.724
184.798,-285.724
186.798,-285.724
186.798,-284.724
189.798,-284.724
189.798,-283.724
191.798,-283.724
191.798,-282.724
193.798,-282.724
193.798,-281.724
195.798,-281.724
195.798,-280.724
198.798,-280.724
198.798,-279.724
200.798,-279.724
200.798,-278.724
202.798,-278.724
202.798,-277.724
204.798,-277.724
204.798,-276.724
206.798,-276.724
206.798,-275.724
209.798,-275.724
209.798,-274.724
211.798,-274.724
211.798,-273.724
213.798,-273.724
213.798,-272.724
215.798,-272.724
215.798,-271.724
217.798,-271.724
217.798,-270.724
219.798,-270.724
219.798,-269.724
221.798,-269.724
221.798,-268.724
223.798,-268.724
223.798,-267.724
225.798,-267.724
225.798,-266.724
227.798,-266.724
227.798,-265.724
229.798,-265.724
229.798,-264.724
231.798,-264.724
231.798,-263.724
233.798,-263.724
233.798,-262.724
235.798,-262.724
235.798,-261.724
237.798,-261.724
237.798,-260.724
239.798,-260.724
239.798,-259.724
241.798,-259.724
241.798,-258.724
243.798,-258.724
243.798,-257.724
245.798,-257.724
245.798,-256.724
247.798,-256.724
247.798,-255.724
249.798,-255.724
249.798,-254.724
251.798,-254.724
251.798,-253.724
253.798,-253.724
253.798,-252.724
255.798,-252.724
255.798,-251.724
257.798,-251.724
257.798,-250.724
259.798,-250.724
259.798,-249.724
261.798,-249.724
261.798,-248.724
262.798,-248.724
262.798,-247.724
264.798,-247.724
264.798,-246.724
266.798,-246.724
266.798,-245.724
268.798,-245.724
268.798,-244.724
270.798,-244.724
270.798,-243.724
272.798,-243.724
272.798,-242.724
273.798,-242.724
273.798,-241.724
275.798,-241.724
275.798,-240.724
277.798,-240.724
277.798,-239.724
279.798,-239.724
279.798,-238.724
281.798,-238.724
281.798,-237.724
282.798,-237.724
282.798,-236.724
284.798,-236.724
284.798,-235.724
286.798,-235.724
286.798,-234.724
288.798,-234.724
288.798,-233.724
289.798,-233.724
289.798,-232.724
291.798,-232.724
291.798,-231.724
293.798,-231.724
293.798,-230.724
294.798,-230.724
294.798,-229.724
296.798,-229.724
296.798,-228.724
298.798,-228.724
298.798,-227.724
299.798,-227.724
299.798,-226.724
301.798,-226.724
301.798,-225.724
303.798,-225.724
303.798,-224.724
304.798,-224.724
304.798,-223.724
306.798,-223.724
306.798,-222.724
308.798,-222.724
308.798,-221.724
309.798,-221.724
309.798,-220.724
311.798,-220.724
311.798,-219.724
312.798,-219.724
312.798,-218.724
314.798,-218.724
314.798,-217.724
316.798,-217.724
316.798,-216.724
317.798,-216.724
317.798,-215.724
319.798,-215.724
319.798,-214.724
320.798,-214.724
320.798,-213.724
322.798,-213.724
322.798,-212.724
323.798,-212.724
323.798,-211.724
325.798,-211.724
325.798,-210.724
326.798,-210.724
326.798,-209.724
328.798,-209.724
328.798,-208.724
329.798,-208.724
329.798,-207.724
331.798,-207.724
331.798,-206.724
332.798,-206.724
332.798,-205.724
334.798,-205.724
334.798,-204.724
335.798,-204.724
335.798,-203.724
337.798,-203.724
337.798,-202.724
338.798,-202.724
338.798,-201.724
340.798,-201.724
340.798,-200.724
341.798,-200.724
341.798,-199.724
342.798,-199.724
342.798,-198.724
344.798,-198.724
344.798,-197.724
345.798,-197.724
345.798,-196.724
347.798,-196.724
347.798,-195.724
348.798,-195.724
348.798,-194.724
349.798,-194.724
349.798,-193.724
351.798,-193.724
351.798,-192.724
352.798,-192.724
352.798,-191.724
354.798,-191.724
354.798,-190.724
355.798,-190.724
355.798,-189.724
356.798,-189.724
356.798,-188.724
358.798,-188.724
358.798,-187.724
359.798,-187.724
359.798,-186.724
360.798,-186.724
360.798,-185.724
362.798,-185.724
362.798,-184.724
363.798,-184.724
363.798,-183.724
364.798,-183.724
364.798,-182.724
365.798,-182.724
365.798,-181.724
367.798,-181.724
367.798,-180.724
368.798,-180.724
368.798,-179.724
369.798,-179.724
369.798,-178.724
371.798,-178.724
371.798,-177.724
372.798,-177.724
372.798,-176.724
373.798,-176.724
373.798,-175.724
374.798,-175.724
374.798,-174.724
376.798,-174.724
376.798,-173.724
377.798,-173.724
377.798,-172.724
378.798,-172.724
378.798,-171.724
379.798,-171.724
379.798,-170.724
381.798,-170.724
381.798,-169.724
382.798,-169.724
382.798,-168.724
383.798,-168.724
383.798,-167.724
384.798,-167.724
384.798,-166.724
385.798,-166.724
385.798,-165.724
387.798,-165.724
387.798,-164.724
388.798,-164.724
388.798,-163.724
389.798,-163.724
389.798,-162.724
390.798,-162.724
390.798,-161.724
391.798,-161.724
391.798,-160.724
392.798,-160.724
392.798,-159.724
394.798,-159.724
394.798,-158.724
395.798,-158.724
395.798,-157.724
396.798,-157.724
396.798,-156.724
397.798,-156.724
397.798,-155.724
398.798,-155.724
398.798,-154.724
399.798,-154.724
399.798,-153.724
400.798,-153.724
400.798,-152.724
401.798,-152.724
401.798,-151.724
403.798,-151.724
403.798,-150.724
404.798,-150.724
404.798,-149.724
405.798,-149.724
405.798,-148.724
406.798,-148.724
406.798,-147.724
407.798,-147.724
407.798,-146.724
408.798,-146.724
408.798,-145.724
409.798,-145.724
409.798,-144.724
410.798,-144.724
410.798,-143.724
411.798,-143.724
411.798,-142.724
412.798,-142.724
412.798,-141.724
413.798,-141.724
413.798,-140.724
414.798,-140.724
414.798,-139.724
415.798,-139.724
415.798,-138.724
416.798,-138.724
416.798,-137.724
418.798,-137.724
418.798,-136.724
419.798,-136.724
419.798,-135.724
420.798,-135.724
420.798,-134.724
421.798,-134.724
421.798,-133.724
422.798,-133.724
422.798,-132.724
423.798,-132.724
423.798,-131.724
424.798,-131.724
424.798,-130.724
425.798,-130.724
425.798,-129.724
426.798,-129.724
426.798,-128.724
427.798,-128.724
427.798,-127.724
428.798,-127.724
428.798,-126.724
429.798,-126.724
429.798,-124.724
430.798,-124.724
430.798,-123.724
431.798,-123.724
431.798,-122.724
432.798,-122.724
432.798,-121.724
433.798,-121.724
