xpoints,ypoints
303.449,-299.865
306.449,-299.865
306.449,-298.865
309.449,-298.865
309.449,-297.865
312.449,-297.865
312.449,-296.865
315.449,-296.865
315.449,-295.865
318.449,-295.865
318.449,-294.865
321.449,-294.865
321.449,-293.865
323.449,-293.865
323.449,-292.865
326.449,-292.865
326.449,-291.865
329.449,-291.865
329.449,-290.865
331.449,-290.865
331.449,-289.865
334.449,-289.865
334.449,-288.865
336.449,-288.865
336.449,-287.865
339.449,-287.865
339.449,-286.865
341.449,-286.865
341.449,-285.865
343.449,-285.865
343.449,-284.865
346.449,-284.865
346.449,-283.865
348.449,-283.865
348.449,-282.865
350.449,-282.865
350.449,-281.865
353.449,-281.865
353.449,-280.865
355.449,-280.865
355.449,-279.865
357.449,-279.865
357.449,-278.865
359.449,-278.865
359.449,-277.865
361.449,-277.865
361.449,-276.865
363.449,-276.865
363.449,-275.865
365.449,-275.865
365.449,-274.865
367.449,-274.865
367.449,-273.865
370.449,-273.865
370.449,-272.865
372.449,-272.865
372.449,-271.865
373.449,-271.865
373.449,-270.865
375.449,-270.865
375.449,-269.865
377.449,-269.865
377.449,-268.865
379.449,-268.865
379.449,-267.865
381.449,-267.865
381.449,-266.865
383.449,-266.865
383.449,-265.865
385.449,-265.865
385.449,-264.865
387.449,-264.865
387.449,-263.865
389.449,-263.865
389.449,-262.865
390.449,-262.865
390.449,-261.865
392.449,-261.865
392.449,-260.865
394.449,-260.865
394.449,-259.865
396.449,-259.865
396.449,-258.865
397.449,-258.865
397.449,-257.865
399.449,-257.865
399.449,-256.865
401.449,-256.865
401.449,-255.865
402.449,-255.865
402.449,-254.865
404.449,-254.865
404.449,-253.865
406.449,-253.865
406.449,-252.865
407.449,-252.865
407.449,-251.865
409.449,-251.865
409.449,-250.865
411.449,-250.865
411.449,-249.865
412.449,-249.865
412.449,-248.865
414.449,-248.865
414.449,-247.865
415.449,-247.865
415.449,-246.865
417.449,-246.865
417.449,-245.865
418.449,-245.865
418.449,-244.865
420.449,-244.865
420.449,-243.865
421.449,-243.865
421.449,-242.865
423.449,-242.865
423.449,-241.865
424.449,-241.865
424.449,-240.865
426.449,-240.865
426.449,-239.865
427.449,-239.865
427.449,-238.865
429.449,-238.865
429.449,-237.865
430.449,-237.865
430.449,-236.865
432.449,-236.865
432.449,-235.865
433.449,-235.865
433.449,-234.865
434.449,-234.865
434.449,-233.865
436.449,-233.865
436.449,-232.865
437.449,-232.865
437.449,-231.865
439.449,-231.865
439.449,-230.865
440.449,-230.865
440.449,-229.865
441.449,-229.865
441.449,-228.865
443.449,-228.865
443.449,-227.865
444.449,-227.865
444.449,-226.865
445.449,-226.865
445.449,-225.865
446.449,-225.865
446.449,-224.865
448.449,-224.865
448.449,-223.865
449.449,-223.865
449.449,-222.865
450.449,-222.865
450.449,-221.865
452.449,-221.865
452.449,-220.865
453.449,-220.865
453.449,-219.865
454.449,-219.865
454.449,-218.865
455.449,-218.865
455.449,-217.865
457.449,-217.865
457.449,-216.865
458.449,-216.865
458.449,-215.865
459.449,-215.865
459.449,-214.865
