xpoints,ypoints
358.555,-69.251
359.555,-69.251
359.555,-67.251
360.555,-67.251
360.555,-65.251
361.555,-65.251
361.555,-62.251
362.555,-62.251
362.555,-60.251
363.555,-60.251
363.555,-57.251
364.555,-57.251
364.555,-54.251
365.555,-54.251
365.555,-52.251
366.555,-52.251
366.555,-49.251
367.555,-49.251
367.555,-46.251
368.555,-46.251
368.555,-43.251
369.555,-43.251
369.555,-39.251
370.555,-39.251
370.555,-36.251
371.555,-36.251
371.555,-32.251
372.555,-32.251
372.555,-28.251
373.555,-28.251
373.555,-24.251
374.555,-24.251
374.555,-19.251
375.555,-19.251
375.555,-13.251
376.555,-13.251
376.555,-7.251
377.555,-7.251
377.555,-0.251
378.555,-0.251
378.555,9.749
379.555,9.749
379.555,49.749
378.555,49.749
378.555,57.749
377.555,57.749
377.555,62.749
376.555,62.749
376.555,67.749
375.555,67.749
375.555,71.749
374.555,71.749
374.555,75.749
373.555,75.749
373.555,78.749
372.555,78.749
372.555,82.749
371.555,82.749
371.555,85.749
370.555,85.749
370.555,88.749
369.555,88.749
369.555,90.749
368.555,90.749
368.555,93.749
367.555,93.749
367.555,96.749
366.555,96.749
366.555,98.749
365.555,98.749
365.555,101.749
364.555,101.749
364.555,103.749
363.555,103.749
363.555,105.749
362.555,105.749
362.555,108.749
361.555,108.749
361.555,110.749
360.555,110.749
360.555,112.749
345.555,112.749
345.555,113.749
334.555,113.749
334.555,114.749
325.555,114.749
325.555,115.749
318.555,115.749
318.555,116.749
311.555,116.749
311.555,117.749
306.555,117.749
306.555,118.749
300.555,118.749
300.555,119.749
296.555,119.749
296.555,120.749
292.555,120.749
292.555,121.749
288.555,121.749
288.555,122.749
284.555,122.749
284.555,123.749
281.555,123.749
281.555,124.749
279.555,124.749
279.555,114.749
278.555,114.749
278.555,111.749
277.555,111.749
277.555,107.749
276.555,107.749
276.555,105.749
275.555,105.749
275.555,102.749
274.555,102.749
274.555,99.749
273.555,99.749
273.555,97.749
272.555,97.749
272.555,95.749
271.555,95.749
271.555,93.749
270.555,93.749
270.555,91.749
269.555,91.749
269.555,89.749
268.555,89.749
268.555,87.749
267.555,87.749
267.555,85.749
266.555,85.749
266.555,83.749
265.555,83.749
265.555,81.749
264.555,81.749
264.555,80.749
263.555,80.749
263.555,78.749
262.555,78.749
262.555,76.749
261.555,76.749
261.555,75.749
260.555,75.749
260.555,73.749
259.555,73.749
259.555,71.749
258.555,71.749
258.555,70.749
257.555,70.749
257.555,68.749
256.555,68.749
256.555,67.749
255.555,67.749
255.555,65.749
254.555,65.749
254.555,64.749
253.555,64.749
253.555,63.749
252.555,63.749
252.555,61.749
251.555,61.749
251.555,60.749
250.555,60.749
250.555,58.749
249.555,58.749
249.555,57.749
248.555,57.749
248.555,56.749
247.555,56.749
247.555,54.749
246.555,54.749
246.555,53.749
245.555,53.749
245.555,52.749
244.555,52.749
244.555,50.749
243.555,50.749
243.555,49.749
242.555,49.749
242.555,48.749
241.555,48.749
241.555,47.749
240.555,47.749
240.555,46.749
239.555,46.749
239.555,44.749
238.555,44.749
238.555,43.749
237.555,43.749
237.555,42.749
236.555,42.749
236.555,41.749
235.555,41.749
235.555,40.749
234.555,40.749
234.555,39.749
233.555,39.749
233.555,37.749
232.555,37.749
232.555,36.749
231.555,36.749
231.555,35.749
230.555,35.749
230.555,34.749
229.555,34.749
229.555,33.749
228.555,33.749
228.555,32.749
227.555,32.749
227.555,31.749
226.555,31.749
226.555,30.749
225.555,30.749
225.555,29.749
224.555,29.749
224.555,28.749
223.555,28.749
223.555,27.749
222.555,27.749
222.555,26.749
221.555,26.749
221.555,25.749
220.555,25.749
220.555,24.749
219.555,24.749
219.555,23.749
218.555,23.749
218.555,22.749
217.555,22.749
217.555,21.749
216.555,21.749
216.555,20.749
215.555,20.749
215.555,19.749
214.555,19.749
214.555,18.749
213.555,18.749
213.555,17.749
212.555,17.749
212.555,16.749
211.555,16.749
211.555,15.749
210.555,15.749
210.555,14.749
208.555,14.749
208.555,13.749
207.555,13.749
207.555,12.749
206.555,12.749
206.555,11.749
205.555,11.749
205.555,10.749
204.555,10.749
204.555,9.749
203.555,9.749
203.555,8.749
201.555,8.749
201.555,7.749
200.555,7.749
200.555,6.749
199.555,6.749
199.555,5.749
198.555,5.749
198.555,4.749
196.555,4.749
196.555,3.749
195.555,3.749
195.555,2.749
194.555,2.749
194.555,1.749
193.555,1.749
193.555,0.749
191.555,0.749
191.555,-0.251
190.555,-0.251
190.555,-1.251
188.555,-1.251
188.555,-2.251
187.555,-2.251
187.555,-3.251
186.555,-3.251
186.555,-4.251
184.555,-4.251
184.555,-5.251
183.555,-5.251
183.555,-6.251
181.555,-6.251
181.555,-7.251
180.555,-7.251
180.555,-8.251
178.555,-8.251
178.555,-9.251
177.555,-9.251
177.555,-10.251
175.555,-10.251
175.555,-11.251
174.555,-11.251
174.555,-12.251
172.555,-12.251
172.555,-13.251
170.555,-13.251
170.555,-14.251
169.555,-14.251
169.555,-15.251
167.555,-15.251
167.555,-16.251
165.555,-16.251
165.555,-17.251
163.555,-17.251
163.555,-18.251
162.555,-18.251
162.555,-19.251
160.555,-19.251
160.555,-20.251
158.555,-20.251
158.555,-21.251
156.555,-21.251
156.555,-22.251
154.555,-22.251
154.555,-23.251
152.555,-23.251
152.555,-24.251
150.555,-24.251
150.555,-25.251
148.555,-25.251
148.555,-26.251
146.555,-26.251
146.555,-27.251
144.555,-27.251
144.555,-28.251
141.555,-28.251
141.555,-29.251
139.555,-29.251
139.555,-30.251
136.555,-30.251
136.555,-31.251
134.555,-31.251
134.555,-32.251
131.555,-32.251
131.555,-33.251
129.555,-33.251
129.555,-34.251
126.555,-34.251
126.555,-35.251
123.555,-35.251
123.555,-36.251
120.555,-36.251
120.555,-37.251
116.555,-37.251
116.555,-38.251
113.555,-38.251
113.555,-39.251
109.555,-39.251
109.555,-40.251
105.555,-40.251
105.555,-41.251
101.555,-41.251
101.555,-42.251
96.555,-42.251
96.555,-43.251
91.555,-43.251
91.555,-44.251
84.555,-44.251
84.555,-45.251
76.555,-45.251
76.555,-46.251
63.555,-46.251
63.555,-47.251
42.555,-47.251
42.555,-46.251
26.555,-46.251
26.555,-45.251
16.555,-45.251
16.555,-44.251
9.555,-44.251
9.555,-43.251
3.555,-43.251
3.555,-42.251
-2.445,-42.251
-2.445,-41.251
-7.445,-41.251
-7.445,-40.251
-12.445,-40.251
-12.445,-39.251
-17.445,-39.251
-17.445,-38.251
-21.445,-38.251
-21.445,-37.251
-25.445,-37.251
-25.445,-36.251
-29.445,-36.251
-29.445,-35.251
-33.445,-35.251
-33.445,-34.251
-36.445,-34.251
-36.445,-33.251
-40.445,-33.251
-40.445,-32.251
-43.445,-32.251
-43.445,-31.251
-46.445,-31.251
-46.445,-30.251
-49.445,-30.251
-49.445,-29.251
-52.445,-29.251
-52.445,-28.251
-55.445,-28.251
-55.445,-27.251
-58.445,-27.251
-58.445,-26.251
-61.445,-26.251
-61.445,-25.251
-64.445,-25.251
-64.445,-24.251
-66.445,-24.251
-66.445,-23.251
-69.445,-23.251
-69.445,-22.251
-71.445,-22.251
-71.445,-21.251
-74.445,-21.251
-74.445,-20.251
-76.445,-20.251
-76.445,-19.251
-79.445,-19.251
-79.445,-18.251
-81.445,-18.251
-81.445,-17.251
-84.445,-17.251
-84.445,-16.251
-86.445,-16.251
-86.445,-15.251
-88.445,-15.251
-88.445,-14.251
-91.445,-14.251
-91.445,-13.251
-93.445,-13.251
-93.445,-12.251
-95.445,-12.251
-95.445,-11.251
-97.445,-11.251
-97.445,-10.251
-99.445,-10.251
-99.445,-9.251
-101.445,-9.251
-101.445,-8.251
-103.445,-8.251
-103.445,-7.251
-106.445,-7.251
-106.445,-6.251
-108.445,-6.251
-108.445,-5.251
-110.445,-5.251
-110.445,-4.251
-112.445,-4.251
-112.445,-3.251
-114.445,-3.251
-114.445,-2.251
-116.445,-2.251
-116.445,-1.251
-118.445,-1.251
-118.445,-0.251
-119.445,-0.251
-119.445,0.749
-121.445,0.749
-121.445,1.749
-123.445,1.749
-123.445,2.749
-125.445,2.749
-125.445,3.749
-127.445,3.749
-127.445,4.749
-129.445,4.749
-129.445,5.749
