xpoints,ypoints
304.015,149.315
302.015,149.315
302.015,150.315
301.015,150.315
301.015,151.315
300.015,151.315
300.015,152.315
299.015,152.315
299.015,153.315
298.015,153.315
298.015,154.315
297.015,154.315
297.015,156.315
296.015,156.315
296.015,162.315
297.015,162.315
297.015,165.315
298.015,165.315
298.015,167.315
299.015,167.315
299.015,168.315
300.015,168.315
300.015,170.315
301.015,170.315
301.015,172.315
302.015,172.315
302.015,173.315
303.015,173.315
303.015,175.315
304.015,175.315
304.015,176.315
305.015,176.315
305.015,178.315
306.015,178.315
306.015,179.315
307.015,179.315
307.015,181.315
308.015,181.315
308.015,182.315
309.015,182.315
309.015,184.315
310.015,184.315
310.015,186.315
311.015,186.315
311.015,188.315
312.015,188.315
312.015,190.315
313.015,190.315
313.015,199.315
312.015,199.315
312.015,201.315
311.015,201.315
311.015,203.315
310.015,203.315
310.015,204.315
309.015,204.315
309.015,205.315
308.015,205.315
308.015,206.315
306.015,206.315
306.015,207.315
303.015,207.315
303.015,208.315
297.015,208.315
297.015,209.315
289.015,209.315
289.015,210.315
285.015,210.315
285.015,211.315
283.015,211.315
283.015,212.315
281.015,212.315
281.015,213.315
280.015,213.315
280.015,214.315
279.015,214.315
279.015,217.315
278.015,217.315
278.015,224.315
279.015,224.315
279.015,229.315
280.015,229.315
280.015,231.315
281.015,231.315
281.015,233.315
282.015,233.315
282.015,235.315
283.015,235.315
283.015,236.315
284.015,236.315
284.015,237.315
285.015,237.315
285.015,238.315
287.015,238.315
287.015,239.315
289.015,239.315
289.015,240.315
293.015,240.315
293.015,241.315
303.015,241.315
303.015,242.315
317.015,242.315
317.015,243.315
322.015,243.315
322.015,244.315
325.015,244.315
325.015,245.315
328.015,245.315
328.015,246.315
330.015,246.315
330.015,247.315
331.015,247.315
331.015,248.315
333.015,248.315
333.015,249.315
334.015,249.315
334.015,250.315
335.015,250.315
335.015,251.315
336.015,251.315
336.015,252.315
337.015,252.315
337.015,253.315
338.015,253.315
338.015,254.315
339.015,254.315
339.015,256.315
340.015,256.315
340.015,257.315
341.015,257.315
341.015,259.315
342.015,259.315
342.015,261.315
343.015,261.315
343.015,263.315
344.015,263.315
344.015,265.315
345.015,265.315
345.015,267.315
346.015,267.315
346.015,270.315
347.015,270.315
347.015,272.315
348.015,272.315
348.015,275.315
349.015,275.315
349.015,279.315
350.015,279.315
350.015,283.315
351.015,283.315
351.015,287.315
352.015,287.315
352.015,292.315
353.015,292.315
353.015,298.315
354.015,298.315
354.015,304.315
355.015,304.315
355.015,313.315
356.015,313.315
356.015,324.315
357.015,324.315
357.015,345.315
358.015,345.315
358.015,361.315
356.015,361.315
356.015,360.315
351.015,360.315
351.015,359.315
346.015,359.315
346.015,358.315
341.015,358.315
341.015,357.315
334.015,357.315
334.015,356.315
326.015,356.315
326.015,355.315
313.015,355.315
313.015,354.315
291.015,354.315
291.015,353.315
260.015,353.315
260.015,354.315
226.015,354.315
226.015,355.315
200.015,355.315
200.015,356.315
175.015,356.315
175.015,357.315
149.015,357.315
149.015,358.315
113.015,358.315
113.015,359.315
42.015,359.315
42.015,360.315
24.015,360.315
24.015,361.315
11.015,361.315
11.015,362.315
0.015,362.315
0.015,363.315
-8.985,363.315
-8.985,364.315
-16.985,364.315
-16.985,365.315
-23.985,365.315
-23.985,366.315
-30.985,366.315
-30.985,367.315
-36.985,367.315
-36.985,368.315
-42.985,368.315
-42.985,369.315
-48.985,369.315
-48.985,370.315
-53.985,370.315
-53.985,371.315
-58.985,371.315
-58.985,372.315
-64.985,372.315
-64.985,373.315
-68.985,373.315
-68.985,374.315
-73.985,374.315
-73.985,375.315
-77.985,375.315
-77.985,376.315
-82.985,376.315
-82.985,377.315
-86.985,377.315
-86.985,378.315
-90.985,378.315
-90.985,379.315
-94.985,379.315
-94.985,380.315
-98.985,380.315
-98.985,381.315
-102.985,381.315
-102.985,382.315
-106.985,382.315
-106.985,383.315
-110.985,383.315
-110.985,384.315
-114.985,384.315
-114.985,385.315
-117.985,385.315
-117.985,386.315
-121.985,386.315
-121.985,387.315
-124.985,387.315
-124.985,388.315
-128.985,388.315
-128.985,389.315
-131.985,389.315
-131.985,390.315
-135.985,390.315
-135.985,391.315
-138.985,391.315
-138.985,392.315
-141.985,392.315
-141.985,393.315
-145.985,393.315
-145.985,394.315
-148.985,394.315
-148.985,395.315
-151.985,395.315
-151.985,396.315
-154.985,396.315
-154.985,397.315
-157.985,397.315
-157.985,398.315
-161.985,398.315
-161.985,399.315
-164.985,399.315
-164.985,400.315
-167.985,400.315
-167.985,401.315
-170.985,401.315
-170.985,402.315
-173.985,402.315
-173.985,403.315
-176.985,403.315
-176.985,404.315
-179.985,404.315
-179.985,405.315
-182.985,405.315
-182.985,406.315
-185.985,406.315
-185.985,407.315
-188.985,407.315
-188.985,408.315
-190.985,408.315
-190.985,409.315
-193.985,409.315
-193.985,410.315
-196.985,410.315
-196.985,411.315
-199.985,411.315
-199.985,412.315
-202.985,412.315
-202.985,413.315
-205.985,413.315
-205.985,414.315
-208.985,414.315
-208.985,415.315
-210.985,415.315
-210.985,416.315
-213.985,416.315
-213.985,417.315
-216.985,417.315
-216.985,418.315
-219.985,418.315
-219.985,419.315
-222.985,419.315
-222.985,420.315
-224.985,420.315
-224.985,421.315
-227.985,421.315
-227.985,422.315
-230.985,422.315
-230.985,423.315
-233.985,423.315
-233.985,424.315
-235.985,424.315
-235.985,425.315
-238.985,425.315
-238.985,426.315
-241.985,426.315
-241.985,427.315
-244.985,427.315
-244.985,428.315
-246.985,428.315
-246.985,429.315
-249.985,429.315
-249.985,430.315
-252.985,430.315
-252.985,431.315
-254.985,431.315
-254.985,432.315
-257.985,432.315
-257.985,433.315
-260.985,433.315
-260.985,434.315
-263.985,434.315
-263.985,435.315
-265.985,435.315
-265.985,436.315
-268.985,436.315
-268.985,437.315
-271.985,437.315
-271.985,438.315
-274.985,438.315
-274.985,439.315
-276.985,439.315
-276.985,440.315
-279.985,440.315
-279.985,441.315
-282.985,441.315
-282.985,442.315
-285.985,442.315
-285.985,443.315
-287.985,443.315
-287.985,444.315
-290.985,444.315
-290.985,445.315
-293.985,445.315
-293.985,446.315
-296.985,446.315
-296.985,447.315
-299.985,447.315
-299.985,448.315
-301.985,448.315
-301.985,449.315
-304.985,449.315
-304.985,450.315
-307.985,450.315
-307.985,451.315
-310.985,451.315
-310.985,452.315
-313.985,452.315
-313.985,453.315
-315.985,453.315
-315.985,454.315
-318.985,454.315
-318.985,455.315
-321.985,455.315
-321.985,456.315
-324.985,456.315
-324.985,457.315
-327.985,457.315
-327.985,458.315
-329.985,458.315
-329.985,459.315
-332.985,459.315
-332.985,460.315
-335.985,460.315
-335.985,461.315
-338.985,461.315
-338.985,462.315
-341.985,462.315
-341.985,463.315
-344.985,463.315
-344.985,464.315
-347.985,464.315
-347.985,465.315
-350.985,465.315
-350.985,466.315
-352.985,466.315
-352.985,467.315
-355.985,467.315
-355.985,468.315
-358.985,468.315
-358.985,469.315
-361.985,469.315
-361.985,470.315
-364.985,470.315
-364.985,471.315
-367.985,471.315
-367.985,472.315
-370.985,472.315
-370.985,473.315
-373.985,473.315
-373.985,474.315
-376.985,474.315
-376.985,475.315
-379.985,475.315
-379.985,476.315
-382.985,476.315
-382.985,477.315
-385.985,477.315
-385.985,478.315
-388.985,478.315
-388.985,479.315
-391.985,479.315
-391.985,480.315
-394.985,480.315
-394.985,481.315
-397.985,481.315
-397.985,482.315
-400.985,482.315
-400.985,483.315
-403.985,483.315
-403.985,484.315
-406.985,484.315
-406.985,485.315
-409.985,485.315
-409.985,486.315
-412.985,486.315
-412.985,487.315
-415.985,487.315
-415.985,488.315
-418.985,488.315
-418.985,489.315
-421.985,489.315
-421.985,490.315
-424.985,490.315
-424.985,491.315
-427.985,491.315
-427.985,492.315
-430.985,492.315
-430.985,493.315
-434.985,493.315
-434.985,494.315
-437.985,494.315
-437.985,495.315
-440.985,495.315
-440.985,496.315
-443.985,496.315
-443.985,497.315
-446.985,497.315
-446.985,498.315
-449.985,498.315
-449.985,499.315
-452.985,499.315
-452.985,500.315
-455.985,500.315
-455.985,501.315
-459.985,501.315
-459.985,502.315
-462.985,502.315
-462.985,503.315
-465.985,503.315
-465.985,504.315
-468.985,504.315
-468.985,505.315
-471.985,505.315
-471.985,506.315
-474.985,506.315
-474.985,507.315
-477.985,507.315
-477.985,508.315
-481.985,508.315
-481.985,509.315
-484.985,509.315
-484.985,510.315
-487.985,510.315
-487.985,511.315
-490.985,511.315
-490.985,512.315
-493.985,512.315
-493.985,513.315
-496.985,513.315
-496.985,514.315
-499.985,514.315
-499.985,515.315
-503.985,515.315
-503.985,516.315
-506.985,516.315
-506.985,517.315
-509.985,517.315
