xpoints,ypoints
344.733,-292.704
346.733,-292.704
346.733,-291.704
349.733,-291.704
349.733,-290.704
351.733,-290.704
351.733,-289.704
353.733,-289.704
353.733,-288.704
356.733,-288.704
356.733,-287.704
358.733,-287.704
358.733,-286.704
360.733,-286.704
360.733,-285.704
362.733,-285.704
362.733,-284.704
364.733,-284.704
364.733,-283.704
367.733,-283.704
367.733,-282.704
369.733,-282.704
369.733,-281.704
371.733,-281.704
371.733,-280.704
373.733,-280.704
373.733,-279.704
375.733,-279.704
375.733,-278.704
377.733,-278.704
377.733,-277.704
379.733,-277.704
379.733,-276.704
381.733,-276.704
381.733,-275.704
383.733,-275.704
383.733,-274.704
385.733,-274.704
385.733,-273.704
387.733,-273.704
387.733,-272.704
389.733,-272.704
389.733,-271.704
391.733,-271.704
391.733,-270.704
392.733,-270.704
392.733,-269.704
394.733,-269.704
394.733,-268.704
396.733,-268.704
396.733,-267.704
398.733,-267.704
398.733,-266.704
400.733,-266.704
400.733,-265.704
402.733,-265.704
402.733,-264.704
403.733,-264.704
403.733,-263.704
405.733,-263.704
405.733,-262.704
407.733,-262.704
407.733,-261.704
409.733,-261.704
409.733,-260.704
410.733,-260.704
410.733,-259.704
412.733,-259.704
412.733,-258.704
414.733,-258.704
414.733,-257.704
416.733,-257.704
416.733,-256.704
417.733,-256.704
417.733,-255.704
419.733,-255.704
419.733,-254.704
420.733,-254.704
420.733,-253.704
422.733,-253.704
422.733,-252.704
424.733,-252.704
424.733,-251.704
425.733,-251.704
425.733,-250.704
427.733,-250.704
427.733,-249.704
428.733,-249.704
428.733,-248.704
430.733,-248.704
430.733,-247.704
432.733,-247.704
432.733,-246.704
433.733,-246.704
433.733,-245.704
435.733,-245.704
435.733,-244.704
436.733,-244.704
436.733,-243.704
438.733,-243.704
438.733,-242.704
439.733,-242.704
439.733,-241.704
441.733,-241.704
441.733,-240.704
442.733,-240.704
442.733,-239.704
444.733,-239.704
444.733,-238.704
445.733,-238.704
445.733,-237.704
447.733,-237.704
447.733,-236.704
448.733,-236.704
448.733,-235.704
449.733,-235.704
449.733,-234.704
451.733,-234.704
451.733,-233.704
452.733,-233.704
452.733,-232.704
454.733,-232.704
454.733,-231.704
455.733,-231.704
455.733,-230.704
456.733,-230.704
456.733,-229.704
458.733,-229.704
458.733,-228.704
459.733,-228.704
459.733,-227.704
460.733,-227.704
460.733,-226.704
462.733,-226.704
462.733,-225.704
463.733,-225.704
463.733,-224.704
464.733,-224.704
464.733,-223.704
466.733,-223.704
466.733,-222.704
467.733,-222.704
467.733,-221.704
468.733,-221.704
468.733,-220.704
470.733,-220.704
470.733,-219.704
471.733,-219.704
471.733,-218.704
472.733,-218.704
472.733,-217.704
473.733,-217.704
473.733,-216.704
475.733,-216.704
475.733,-215.704
476.733,-215.704
476.733,-214.704
477.733,-214.704
477.733,-213.704
478.733,-213.704
478.733,-212.704
480.733,-212.704
480.733,-211.704
481.733,-211.704
481.733,-210.704
482.733,-210.704
482.733,-209.704
483.733,-209.704
483.733,-208.704
484.733,-208.704
484.733,-207.704
486.733,-207.704
486.733,-206.704
487.733,-206.704
487.733,-205.704
488.733,-205.704
488.733,-204.704
489.733,-204.704
489.733,-203.704
490.733,-203.704
490.733,-202.704
491.733,-202.704
491.733,-201.704
492.733,-201.704
492.733,-200.704
493.733,-200.704
493.733,-199.704
495.733,-199.704
495.733,-198.704
496.733,-198.704
496.733,-197.704
497.733,-197.704
497.733,-196.704
498.733,-196.704
498.733,-195.704
499.733,-195.704
499.733,-194.704
500.733,-194.704
500.733,-193.704
501.733,-193.704
501.733,-192.704
502.733,-192.704
502.733,-191.704
503.733,-191.704
503.733,-190.704
504.733,-190.704
504.733,-189.704
505.733,-189.704
505.733,-188.704
506.733,-188.704
506.733,-187.704
507.733,-187.704
507.733,-186.704
508.733,-186.704
508.733,-185.704
509.733,-185.704
509.733,-184.704
510.733,-184.704
510.733,-183.704
