xpoints,ypoints
553.203,-387.153
554.203,-387.153
554.203,-386.153
556.203,-386.153
556.203,-385.153
557.203,-385.153
557.203,-384.153
559.203,-384.153
559.203,-383.153
560.203,-383.153
560.203,-382.153
562.203,-382.153
562.203,-381.153
563.203,-381.153
563.203,-380.153
565.203,-380.153
565.203,-379.153
566.203,-379.153
566.203,-378.153
568.203,-378.153
568.203,-377.153
569.203,-377.153
569.203,-376.153
571.203,-376.153
571.203,-375.153
572.203,-375.153
572.203,-374.153
573.203,-374.153
573.203,-373.153
575.203,-373.153
575.203,-372.153
576.203,-372.153
576.203,-371.153
577.203,-371.153
577.203,-370.153
579.203,-370.153
579.203,-369.153
580.203,-369.153
580.203,-368.153
582.203,-368.153
582.203,-367.153
583.203,-367.153
583.203,-366.153
584.203,-366.153
584.203,-365.153
586.203,-365.153
586.203,-364.153
587.203,-364.153
587.203,-363.153
588.203,-363.153
588.203,-362.153
589.203,-362.153
589.203,-361.153
591.203,-361.153
591.203,-360.153
592.203,-360.153
592.203,-359.153
593.203,-359.153
593.203,-358.153
595.203,-358.153
595.203,-357.153
596.203,-357.153
596.203,-356.153
597.203,-356.153
597.203,-355.153
598.203,-355.153
598.203,-354.153
599.203,-354.153
599.203,-353.153
601.203,-353.153
601.203,-352.153
602.203,-352.153
602.203,-351.153
603.203,-351.153
603.203,-350.153
604.203,-350.153
604.203,-349.153
605.203,-349.153
605.203,-348.153
607.203,-348.153
607.203,-347.153
608.203,-347.153
608.203,-346.153
609.203,-346.153
609.203,-345.153
610.203,-345.153
610.203,-344.153
611.203,-344.153
611.203,-343.153
612.203,-343.153
612.203,-342.153
614.203,-342.153
614.203,-341.153
615.203,-341.153
615.203,-340.153
616.203,-340.153
616.203,-339.153
617.203,-339.153
617.203,-338.153
618.203,-338.153
618.203,-337.153
619.203,-337.153
619.203,-336.153
620.203,-336.153
620.203,-335.153
621.203,-335.153
621.203,-334.153
622.203,-334.153
622.203,-333.153
623.203,-333.153
623.203,-332.153
624.203,-332.153
624.203,-331.153
625.203,-331.153
625.203,-330.153
626.203,-330.153
626.203,-329.153
627.203,-329.153
627.203,-328.153
628.203,-328.153
628.203,-327.153
629.203,-327.153
629.203,-326.153
630.203,-326.153
630.203,-325.153
631.203,-325.153
631.203,-324.153
632.203,-324.153
632.203,-323.153
633.203,-323.153
633.203,-322.153
634.203,-322.153
634.203,-321.153
635.203,-321.153
635.203,-320.153
636.203,-320.153
636.203,-319.153
637.203,-319.153
637.203,-318.153
638.203,-318.153
638.203,-317.153
639.203,-317.153
639.203,-316.153
640.203,-316.153
640.203,-315.153
641.203,-315.153
641.203,-314.153
642.203,-314.153
642.203,-313.153
643.203,-313.153
643.203,-311.153
644.203,-311.153
644.203,-310.153
645.203,-310.153
645.203,-309.153
646.203,-309.153
646.203,-308.153
647.203,-308.153
647.203,-307.153
648.203,-307.153
648.203,-306.153
649.203,-306.153
649.203,-304.153
650.203,-304.153
650.203,-303.153
651.203,-303.153
651.203,-302.153
652.203,-302.153
652.203,-301.153
653.203,-301.153
653.203,-300.153
654.203,-300.153
654.203,-298.153
655.203,-298.153
655.203,-297.153
656.203,-297.153
656.203,-296.153
657.203,-296.153
657.203,-294.153
658.203,-294.153
658.203,-293.153
659.203,-293.153
659.203,-292.153
660.203,-292.153
660.203,-290.153
661.203,-290.153
661.203,-289.153
662.203,-289.153
662.203,-288.153
663.203,-288.153
663.203,-286.153
664.203,-286.153
664.203,-285.153
665.203,-285.153
665.203,-283.153
666.203,-283.153
666.203,-282.153
667.203,-282.153
667.203,-280.153
668.203,-280.153
668.203,-279.153
669.203,-279.153
669.203,-277.153
670.203,-277.153
670.203,-276.153
671.203,-276.153
671.203,-274.153
672.203,-274.153
672.203,-273.153
673.203,-273.153
673.203,-271.153
674.203,-271.153
674.203,-269.153
675.203,-269.153
675.203,-268.153
676.203,-268.153
676.203,-266.153
677.203,-266.153
677.203,-264.153
678.203,-264.153
678.203,-262.153
679.203,-262.153
679.203,-261.153
680.203,-261.153
680.203,-259.153
681.203,-259.153
681.203,-257.153
682.203,-257.153
682.203,-255.153
683.203,-255.153
683.203,-253.153
684.203,-253.153
684.203,-251.153
685.203,-251.153
685.203,-249.153
686.203,-249.153
686.203,-247.153
687.203,-247.153
687.203,-244.153
688.203,-244.153
688.203,-242.153
689.203,-242.153
689.203,-240.153
690.203,-240.153
690.203,-237.153
691.203,-237.153
691.203,-235.153
692.203,-235.153
692.203,-232.153
693.203,-232.153
693.203,-230.153
694.203,-230.153
694.203,-227.153
695.203,-227.153
695.203,-224.153
696.203,-224.153
696.203,-221.153
697.203,-221.153
697.203,-218.153
698.203,-218.153
698.203,-215.153
699.203,-215.153
699.203,-211.153
700.203,-211.153
700.203,-207.153
701.203,-207.153
701.203,-201.153
702.203,-201.153
702.203,-193.153
703.203,-193.153
703.203,-169.153
702.203,-169.153
702.203,-159.153
701.203,-159.153
701.203,-150.153
700.203,-150.153
700.203,-143.153
699.203,-143.153
699.203,-136.153
698.203,-136.153
698.203,-129.153
697.203,-129.153
697.203,-123.153
696.203,-123.153
696.203,-117.153
695.203,-117.153
695.203,-111.153
694.203,-111.153
694.203,-105.153
693.203,-105.153
693.203,-100.153
692.203,-100.153
692.203,-94.153
691.203,-94.153
691.203,-89.153
690.203,-89.153
690.203,-85.153
689.203,-85.153
689.203,-81.153
688.203,-81.153
688.203,-77.153
687.203,-77.153
687.203,-74.153
686.203,-74.153
686.203,-71.153
685.203,-71.153
685.203,-68.153
684.203,-68.153
684.203,-66.153
683.203,-66.153
683.203,-63.153
682.203,-63.153
682.203,-61.153
681.203,-61.153
681.203,-58.153
680.203,-58.153
680.203,-56.153
679.203,-56.153
679.203,-54.153
678.203,-54.153
678.203,-52.153
677.203,-52.153
677.203,-50.153
676.203,-50.153
676.203,-48.153
675.203,-48.153
675.203,-47.153
674.203,-47.153
674.203,-45.153
673.203,-45.153
673.203,-43.153
672.203,-43.153
672.203,-42.153
671.203,-42.153
671.203,-40.153
670.203,-40.153
670.203,-39.153
669.203,-39.153
669.203,-37.153
668.203,-37.153
668.203,-36.153
667.203,-36.153
667.203,-34.153
666.203,-34.153
666.203,-33.153
665.203,-33.153
665.203,-32.153
664.203,-32.153
664.203,-31.153
663.203,-31.153
663.203,-30.153
662.203,-30.153
662.203,-28.153
661.203,-28.153
661.203,-27.153
660.203,-27.153
660.203,-26.153
659.203,-26.153
659.203,-25.153
658.203,-25.153
658.203,-24.153
657.203,-24.153
657.203,-23.153
656.203,-23.153
656.203,-22.153
654.203,-22.153
654.203,-21.153
653.203,-21.153
653.203,-20.153
652.203,-20.153
652.203,-19.153
651.203,-19.153
651.203,-18.153
649.203,-18.153
649.203,-17.153
648.203,-17.153
648.203,-16.153
647.203,-16.153
647.203,-15.153
645.203,-15.153
645.203,-14.153
643.203,-14.153
643.203,-13.153
641.203,-13.153
641.203,-12.153
640.203,-12.153
640.203,-11.153
637.203,-11.153
637.203,-10.153
635.203,-10.153
635.203,-9.153
633.203,-9.153
633.203,-8.153
630.203,-8.153
630.203,-7.153
626.203,-7.153
626.203,-6.153
618.203,-6.153
618.203,-7.153
617.203,-7.153
617.203,-8.153
616.203,-8.153
616.203,-9.153
615.203,-9.153
615.203,-10.153
616.203,-10.153
616.203,-12.153
617.203,-12.153
617.203,-14.153
618.203,-14.153
618.203,-17.153
619.203,-17.153
619.203,-21.153
620.203,-21.153
620.203,-26.153
621.203,-26.153
621.203,-31.153
622.203,-31.153
622.203,-38.153
623.203,-38.153
623.203,-45.153
624.203,-45.153
624.203,-52.153
625.203,-52.153
625.203,-59.153
626.203,-59.153
626.203,-65.153
627.203,-65.153
627.203,-71.153
628.203,-71.153
628.203,-77.153
629.203,-77.153
629.203,-82.153
630.203,-82.153
630.203,-88.153
631.203,-88.153
631.203,-93.153
632.203,-93.153
632.203,-98.153
633.203,-98.153
633.203,-103.153
634.203,-103.153
634.203,-108.153
635.203,-108.153
635.203,-113.153
636.203,-113.153
636.203,-118.153
637.203,-118.153
637.203,-125.153
638.203,-125.153
638.203,-132.153
639.203,-132.153
639.203,-139.153
640.203,-139.153
640.203,-149.153
641.203,-149.153
641.203,-161.153
642.203,-161.153
642.203,-203.153
641.203,-203.153
641.203,-211.153
640.203,-211.153
640.203,-216.153
639.203,-216.153
639.203,-220.153
638.203,-220.153
638.203,-223.153
637.203,-223.153
637.203,-227.153
636.203,-227.153
636.203,-230.153
635.203,-230.153
635.203,-232.153
634.203,-232.153
634.203,-235.153
633.203,-235.153
633.203,-237.153
632.203,-237.153
632.203,-240.153
631.203,-240.153
631.203,-242.153
630.203,-242.153
630.203,-244.153
629.203,-244.153
629.203,-246.153
628.203,-246.153
628.203,-248.153
627.203,-248.153
627.203,-249.153
626.203,-249.153
626.203,-251.153
625.203,-251.153
625.203,-253.153
624.203,-253.153
