xpoints,ypoints
468.203,-383.153
469.203,-383.153
469.203,-382.153
471.203,-382.153
471.203,-381.153
473.203,-381.153
473.203,-380.153
474.203,-380.153
474.203,-379.153
476.203,-379.153
476.203,-378.153
477.203,-378.153
477.203,-377.153
479.203,-377.153
479.203,-376.153
480.203,-376.153
480.203,-375.153
482.203,-375.153
482.203,-374.153
483.203,-374.153
483.203,-373.153
485.203,-373.153
485.203,-372.153
486.203,-372.153
486.203,-371.153
488.203,-371.153
488.203,-370.153
489.203,-370.153
489.203,-369.153
491.203,-369.153
491.203,-368.153
492.203,-368.153
492.203,-367.153
494.203,-367.153
494.203,-366.153
495.203,-366.153
495.203,-365.153
497.203,-365.153
497.203,-364.153
498.203,-364.153
498.203,-363.153
500.203,-363.153
500.203,-362.153
501.203,-362.153
501.203,-361.153
503.203,-361.153
503.203,-360.153
504.203,-360.153
504.203,-359.153
506.203,-359.153
506.203,-358.153
507.203,-358.153
507.203,-357.153
508.203,-357.153
508.203,-356.153
510.203,-356.153
510.203,-355.153
511.203,-355.153
511.203,-354.153
513.203,-354.153
513.203,-353.153
514.203,-353.153
514.203,-352.153
516.203,-352.153
516.203,-351.153
517.203,-351.153
517.203,-350.153
518.203,-350.153
518.203,-349.153
520.203,-349.153
520.203,-348.153
521.203,-348.153
521.203,-347.153
523.203,-347.153
523.203,-346.153
524.203,-346.153
524.203,-345.153
525.203,-345.153
525.203,-344.153
527.203,-344.153
527.203,-343.153
528.203,-343.153
528.203,-342.153
529.203,-342.153
529.203,-341.153
531.203,-341.153
531.203,-340.153
532.203,-340.153
532.203,-339.153
533.203,-339.153
533.203,-338.153
535.203,-338.153
535.203,-337.153
536.203,-337.153
536.203,-336.153
537.203,-336.153
537.203,-335.153
539.203,-335.153
539.203,-334.153
540.203,-334.153
540.203,-333.153
541.203,-333.153
541.203,-332.153
543.203,-332.153
543.203,-331.153
544.203,-331.153
544.203,-330.153
545.203,-330.153
545.203,-329.153
547.203,-329.153
547.203,-328.153
548.203,-328.153
548.203,-327.153
549.203,-327.153
549.203,-326.153
551.203,-326.153
551.203,-325.153
552.203,-325.153
552.203,-324.153
553.203,-324.153
553.203,-323.153
554.203,-323.153
554.203,-322.153
556.203,-322.153
556.203,-321.153
557.203,-321.153
557.203,-320.153
558.203,-320.153
558.203,-319.153
559.203,-319.153
559.203,-318.153
561.203,-318.153
561.203,-317.153
562.203,-317.153
562.203,-316.153
563.203,-316.153
563.203,-315.153
564.203,-315.153
564.203,-314.153
566.203,-314.153
566.203,-313.153
567.203,-313.153
567.203,-312.153
568.203,-312.153
568.203,-311.153
569.203,-311.153
569.203,-310.153
571.203,-310.153
571.203,-309.153
572.203,-309.153
572.203,-308.153
573.203,-308.153
573.203,-307.153
574.203,-307.153
574.203,-306.153
575.203,-306.153
575.203,-305.153
577.203,-305.153
577.203,-304.153
578.203,-304.153
578.203,-303.153
579.203,-303.153
579.203,-302.153
580.203,-302.153
580.203,-301.153
581.203,-301.153
581.203,-300.153
582.203,-300.153
582.203,-299.153
583.203,-299.153
583.203,-298.153
585.203,-298.153
585.203,-297.153
586.203,-297.153
586.203,-296.153
587.203,-296.153
587.203,-295.153
588.203,-295.153
588.203,-294.153
589.203,-294.153
589.203,-293.153
590.203,-293.153
590.203,-292.153
591.203,-292.153
591.203,-291.153
592.203,-291.153
592.203,-290.153
593.203,-290.153
593.203,-289.153
594.203,-289.153
594.203,-288.153
595.203,-288.153
595.203,-287.153
597.203,-287.153
597.203,-286.153
598.203,-286.153
598.203,-285.153
599.203,-285.153
599.203,-283.153
600.203,-283.153
600.203,-282.153
601.203,-282.153
601.203,-281.153
602.203,-281.153
602.203,-280.153
603.203,-280.153
603.203,-279.153
604.203,-279.153
604.203,-278.153
605.203,-278.153
605.203,-277.153
606.203,-277.153
606.203,-276.153
607.203,-276.153
607.203,-275.153
608.203,-275.153
608.203,-274.153
609.203,-274.153
609.203,-273.153
610.203,-273.153
610.203,-272.153
611.203,-272.153
