xpoints,ypoints
279.134,-168.666
281.134,-168.666
281.134,-167.666
283.134,-167.666
283.134,-166.666
285.134,-166.666
285.134,-165.666
287.134,-165.666
287.134,-164.666
288.134,-164.666
288.134,-163.666
290.134,-163.666
290.134,-162.666
292.134,-162.666
292.134,-161.666
294.134,-161.666
294.134,-160.666
296.134,-160.666
296.134,-159.666
298.134,-159.666
298.134,-158.666
300.134,-158.666
300.134,-157.666
302.134,-157.666
302.134,-156.666
303.134,-156.666
303.134,-155.666
305.134,-155.666
305.134,-154.666
307.134,-154.666
307.134,-153.666
309.134,-153.666
309.134,-152.666
311.134,-152.666
311.134,-151.666
313.134,-151.666
313.134,-150.666
315.134,-150.666
315.134,-149.666
316.134,-149.666
316.134,-148.666
318.134,-148.666
318.134,-147.666
320.134,-147.666
320.134,-146.666
322.134,-146.666
322.134,-145.666
324.134,-145.666
324.134,-144.666
326.134,-144.666
326.134,-143.666
327.134,-143.666
327.134,-142.666
329.134,-142.666
329.134,-141.666
331.134,-141.666
331.134,-140.666
333.134,-140.666
333.134,-139.666
334.134,-139.666
334.134,-138.666
336.134,-138.666
336.134,-137.666
338.134,-137.666
338.134,-136.666
340.134,-136.666
340.134,-135.666
342.134,-135.666
342.134,-134.666
343.134,-134.666
343.134,-133.666
345.134,-133.666
345.134,-132.666
347.134,-132.666
347.134,-131.666
348.134,-131.666
348.134,-130.666
350.134,-130.666
350.134,-129.666
352.134,-129.666
352.134,-128.666
353.134,-128.666
353.134,-127.666
355.134,-127.666
355.134,-126.666
357.134,-126.666
357.134,-125.666
358.134,-125.666
358.134,-124.666
360.134,-124.666
360.134,-123.666
361.134,-123.666
361.134,-122.666
363.134,-122.666
363.134,-121.666
365.134,-121.666
365.134,-120.666
366.134,-120.666
366.134,-119.666
368.134,-119.666
368.134,-118.666
369.134,-118.666
369.134,-117.666
371.134,-117.666
371.134,-116.666
372.134,-116.666
372.134,-115.666
373.134,-115.666
373.134,-114.666
375.134,-114.666
375.134,-113.666
376.134,-113.666
376.134,-112.666
378.134,-112.666
378.134,-111.666
379.134,-111.666
379.134,-110.666
380.134,-110.666
380.134,-109.666
382.134,-109.666
382.134,-108.666
383.134,-108.666
383.134,-107.666
384.134,-107.666
384.134,-106.666
385.134,-106.666
385.134,-105.666
387.134,-105.666
387.134,-104.666
388.134,-104.666
388.134,-103.666
389.134,-103.666
389.134,-102.666
390.134,-102.666
390.134,-101.666
391.134,-101.666
391.134,-100.666
392.134,-100.666
392.134,-99.666
393.134,-99.666
393.134,-98.666
395.134,-98.666
395.134,-97.666
396.134,-97.666
396.134,-96.666
397.134,-96.666
397.134,-95.666
398.134,-95.666
398.134,-94.666
399.134,-94.666
399.134,-93.666
