xpoints,ypoints
244.432,-333.267
246.432,-333.267
246.432,-332.267
248.432,-332.267
248.432,-331.267
250.432,-331.267
250.432,-330.267
252.432,-330.267
252.432,-329.267
253.432,-329.267
253.432,-328.267
255.432,-328.267
255.432,-327.267
257.432,-327.267
257.432,-326.267
259.432,-326.267
259.432,-325.267
261.432,-325.267
261.432,-324.267
263.432,-324.267
263.432,-323.267
265.432,-323.267
265.432,-322.267
266.432,-322.267
266.432,-321.267
268.432,-321.267
268.432,-320.267
270.432,-320.267
270.432,-319.267
272.432,-319.267
272.432,-318.267
273.432,-318.267
273.432,-317.267
275.432,-317.267
275.432,-316.267
277.432,-316.267
277.432,-315.267
279.432,-315.267
279.432,-314.267
280.432,-314.267
280.432,-313.267
282.432,-313.267
282.432,-312.267
284.432,-312.267
284.432,-311.267
285.432,-311.267
285.432,-310.267
287.432,-310.267
287.432,-309.267
289.432,-309.267
289.432,-308.267
290.432,-308.267
290.432,-307.267
292.432,-307.267
292.432,-306.267
294.432,-306.267
294.432,-305.267
295.432,-305.267
295.432,-304.267
297.432,-304.267
297.432,-303.267
299.432,-303.267
299.432,-302.267
300.432,-302.267
300.432,-301.267
302.432,-301.267
302.432,-300.267
303.432,-300.267
303.432,-299.267
305.432,-299.267
305.432,-298.267
306.432,-298.267
306.432,-297.267
308.432,-297.267
308.432,-296.267
309.432,-296.267
309.432,-295.267
311.432,-295.267
311.432,-294.267
312.432,-294.267
312.432,-293.267
314.432,-293.267
314.432,-292.267
315.432,-292.267
315.432,-291.267
317.432,-291.267
317.432,-290.267
318.432,-290.267
318.432,-289.267
320.432,-289.267
320.432,-288.267
321.432,-288.267
321.432,-287.267
323.432,-287.267
323.432,-286.267
324.432,-286.267
324.432,-285.267
326.432,-285.267
326.432,-284.267
327.432,-284.267
327.432,-283.267
329.432,-283.267
329.432,-282.267
330.432,-282.267
330.432,-281.267
331.432,-281.267
331.432,-280.267
333.432,-280.267
333.432,-279.267
334.432,-279.267
334.432,-278.267
336.432,-278.267
