xpoints,ypoints
358.461,-436.886
360.461,-436.886
360.461,-435.886
362.461,-435.886
362.461,-434.886
363.461,-434.886
363.461,-433.886
365.461,-433.886
365.461,-432.886
366.461,-432.886
366.461,-431.886
368.461,-431.886
368.461,-430.886
370.461,-430.886
370.461,-429.886
371.461,-429.886
371.461,-428.886
373.461,-428.886
373.461,-427.886
374.461,-427.886
374.461,-426.886
376.461,-426.886
376.461,-425.886
377.461,-425.886
377.461,-424.886
379.461,-424.886
379.461,-423.886
380.461,-423.886
380.461,-422.886
382.461,-422.886
382.461,-421.886
383.461,-421.886
383.461,-420.886
385.461,-420.886
385.461,-419.886
386.461,-419.886
386.461,-418.886
388.461,-418.886
388.461,-417.886
389.461,-417.886
389.461,-416.886
391.461,-416.886
391.461,-415.886
392.461,-415.886
392.461,-414.886
394.461,-414.886
394.461,-413.886
395.461,-413.886
395.461,-412.886
396.461,-412.886
396.461,-411.886
398.461,-411.886
398.461,-410.886
399.461,-410.886
399.461,-409.886
401.461,-409.886
401.461,-408.886
402.461,-408.886
402.461,-407.886
403.461,-407.886
403.461,-406.886
405.461,-406.886
405.461,-405.886
406.461,-405.886
406.461,-404.886
408.461,-404.886
408.461,-403.886
409.461,-403.886
409.461,-402.886
410.461,-402.886
410.461,-401.886
412.461,-401.886
412.461,-400.886
413.461,-400.886
413.461,-399.886
414.461,-399.886
414.461,-398.886
415.461,-398.886
415.461,-397.886
417.461,-397.886
417.461,-396.886
418.461,-396.886
418.461,-395.886
419.461,-395.886
419.461,-394.886
421.461,-394.886
421.461,-393.886
422.461,-393.886
422.461,-392.886
423.461,-392.886
423.461,-391.886
424.461,-391.886
424.461,-390.886
426.461,-390.886
426.461,-389.886
427.461,-389.886
427.461,-388.886
428.461,-388.886
428.461,-387.886
429.461,-387.886
429.461,-386.886
431.461,-386.886
431.461,-385.886
432.461,-385.886
432.461,-384.886
433.461,-384.886
433.461,-383.886
434.461,-383.886
434.461,-382.886
435.461,-382.886
435.461,-381.886
437.461,-381.886
437.461,-380.886
438.461,-380.886
438.461,-379.886
439.461,-379.886
439.461,-378.886
440.461,-378.886
440.461,-377.886
441.461,-377.886
441.461,-376.886
442.461,-376.886
442.461,-375.886
444.461,-375.886
444.461,-374.886
445.461,-374.886
445.461,-373.886
446.461,-373.886
446.461,-372.886
447.461,-372.886
447.461,-371.886
448.461,-371.886
448.461,-370.886
449.461,-370.886
449.461,-369.886
450.461,-369.886
450.461,-368.886
451.461,-368.886
451.461,-367.886
453.461,-367.886
453.461,-366.886
454.461,-366.886
454.461,-365.886
455.461,-365.886
455.461,-364.886
456.461,-364.886
456.461,-363.886
457.461,-363.886
457.461,-362.886
458.461,-362.886
458.461,-361.886
459.461,-361.886
459.461,-360.886
460.461,-360.886
460.461,-359.886
461.461,-359.886
461.461,-358.886
462.461,-358.886
462.461,-357.886
463.461,-357.886
463.461,-356.886
465.461,-356.886
465.461,-355.886
466.461,-355.886
466.461,-354.886
467.461,-354.886
467.461,-353.886
468.461,-353.886
468.461,-352.886
469.461,-352.886
469.461,-351.886
470.461,-351.886
470.461,-350.886
471.461,-350.886
471.461,-349.886
472.461,-349.886
472.461,-348.886
473.461,-348.886
473.461,-347.886
474.461,-347.886
474.461,-346.886
475.461,-346.886
475.461,-345.886
476.461,-345.886
476.461,-344.886
477.461,-344.886
477.461,-343.886
478.461,-343.886
478.461,-342.886
479.461,-342.886
479.461,-341.886
480.461,-341.886
480.461,-340.886
481.461,-340.886
481.461,-339.886
482.461,-339.886
482.461,-338.886
483.461,-338.886
483.461,-337.886
484.461,-337.886
484.461,-336.886
485.461,-336.886
485.461,-335.886
486.461,-335.886
486.461,-334.886
487.461,-334.886
487.461,-333.886
488.461,-333.886
488.461,-332.886
489.461,-332.886
489.461,-331.886
490.461,-331.886
490.461,-330.886
491.461,-330.886
491.461,-329.886
492.461,-329.886
492.461,-328.886
493.461,-328.886
493.461,-326.886
494.461,-326.886
494.461,-325.886
495.461,-325.886
495.461,-324.886
496.461,-324.886
496.461,-323.886
497.461,-323.886
497.461,-322.886
498.461,-322.886
498.461,-321.886
499.461,-321.886
499.461,-320.886
500.461,-320.886
500.461,-319.886
501.461,-319.886
501.461,-318.886
502.461,-318.886
502.461,-317.886
503.461,-317.886
503.461,-316.886
504.461,-316.886
504.461,-314.886
505.461,-314.886
505.461,-313.886
506.461,-313.886
506.461,-312.886
507.461,-312.886
507.461,-311.886
508.461,-311.886
508.461,-310.886
509.461,-310.886
509.461,-309.886
510.461,-309.886
510.461,-308.886
511.461,-308.886
511.461,-306.886
512.461,-306.886
512.461,-305.886
513.461,-305.886
513.461,-304.886
514.461,-304.886
514.461,-303.886
515.461,-303.886
515.461,-302.886
516.461,-302.886
516.461,-301.886
517.461,-301.886
517.461,-299.886
518.461,-299.886
518.461,-298.886
519.461,-298.886
519.461,-297.886
520.461,-297.886
520.461,-296.886
521.461,-296.886
521.461,-295.886
522.461,-295.886
522.461,-293.886
523.461,-293.886
523.461,-292.886
524.461,-292.886
524.461,-291.886
525.461,-291.886
525.461,-290.886
526.461,-290.886
526.461,-288.886
527.461,-288.886
527.461,-287.886
528.461,-287.886
528.461,-286.886
529.461,-286.886
529.461,-285.886
530.461,-285.886
530.461,-283.886
531.461,-283.886
531.461,-282.886
532.461,-282.886
532.461,-281.886
533.461,-281.886
533.461,-280.886
534.461,-280.886
534.461,-278.886
535.461,-278.886
535.461,-277.886
536.461,-277.886
536.461,-276.886
537.461,-276.886
537.461,-274.886
538.461,-274.886
538.461,-273.886
539.461,-273.886
539.461,-272.886
540.461,-272.886
540.461,-270.886
541.461,-270.886
541.461,-269.886
542.461,-269.886
542.461,-267.886
543.461,-267.886
543.461,-266.886
544.461,-266.886
544.461,-265.886
545.461,-265.886
545.461,-263.886
546.461,-263.886
546.461,-262.886
547.461,-262.886
547.461,-261.886
548.461,-261.886
548.461,-259.886
549.461,-259.886
549.461,-258.886
550.461,-258.886
550.461,-256.886
551.461,-256.886
551.461,-255.886
552.461,-255.886
552.461,-253.886
553.461,-253.886
553.461,-252.886
554.461,-252.886
554.461,-250.886
555.461,-250.886
555.461,-249.886
556.461,-249.886
556.461,-248.886
557.461,-248.886
