xpoints,ypoints
244.786,-127.890
245.786,-127.890
245.786,-124.890
246.786,-124.890
246.786,-121.890
247.786,-121.890
247.786,-118.890
248.786,-118.890
248.786,-114.890
249.786,-114.890
249.786,-110.890
250.786,-110.890
250.786,-106.890
251.786,-106.890
251.786,-102.890
252.786,-102.890
252.786,-96.890
253.786,-96.890
253.786,-91.890
254.786,-91.890
254.786,-83.890
255.786,-83.890
255.786,-75.890
256.786,-75.890
256.786,-62.890
257.786,-62.890
257.786,-16.890
256.786,-16.890
256.786,-7.890
255.786,-7.890
255.786,-1.890
254.786,-1.890
254.786,3.110
253.786,3.110
253.786,7.110
252.786,7.110
252.786,11.110
251.786,11.110
251.786,14.110
250.786,14.110
250.786,17.110
249.786,17.110
249.786,20.110
248.786,20.110
248.786,23.110
247.786,23.110
247.786,25.110
246.786,25.110
246.786,28.110
245.786,28.110
245.786,30.110
244.786,30.110
244.786,32.110
243.786,32.110
243.786,34.110
242.786,34.110
242.786,36.110
241.786,36.110
241.786,38.110
240.786,38.110
240.786,39.110
239.786,39.110
239.786,41.110
238.786,41.110
238.786,43.110
237.786,43.110
237.786,44.110
236.786,44.110
236.786,46.110
235.786,46.110
235.786,48.110
234.786,48.110
234.786,49.110
233.786,49.110
233.786,50.110
232.786,50.110
232.786,52.110
231.786,52.110
231.786,53.110
230.786,53.110
230.786,55.110
229.786,55.110
229.786,56.110
228.786,56.110
228.786,57.110
227.786,57.110
227.786,58.110
226.786,58.110
226.786,60.110
225.786,60.110
225.786,61.110
224.786,61.110
224.786,62.110
223.786,62.110
223.786,63.110
222.786,63.110
222.786,64.110
221.786,64.110
221.786,65.110
220.786,65.110
220.786,67.110
219.786,67.110
219.786,68.110
218.786,68.110
218.786,69.110
217.786,69.110
217.786,70.110
216.786,70.110
216.786,71.110
215.786,71.110
215.786,72.110
214.786,72.110
214.786,73.110
213.786,73.110
213.786,74.110
212.786,74.110
212.786,75.110
211.786,75.110
211.786,76.110
210.786,76.110
210.786,77.110
209.786,77.110
209.786,78.110
208.786,78.110
208.786,79.110
206.786,79.110
206.786,80.110
205.786,80.110
205.786,81.110
204.786,81.110
204.786,82.110
203.786,82.110
203.786,83.110
202.786,83.110
202.786,84.110
201.786,84.110
201.786,85.110
199.786,85.110
199.786,86.110
198.786,86.110
198.786,87.110
197.786,87.110
197.786,88.110
196.786,88.110
196.786,89.110
194.786,89.110
194.786,90.110
189.786,90.110
189.786,89.110
184.786,89.110
184.786,90.110
178.786,90.110
178.786,91.110
174.786,91.110
174.786,92.110
171.786,92.110
171.786,93.110
168.786,93.110
168.786,94.110
166.786,94.110
166.786,95.110
164.786,95.110
164.786,96.110
161.786,96.110
161.786,97.110
159.786,97.110
159.786,98.110
157.786,98.110
157.786,99.110
156.786,99.110
156.786,100.110
154.786,100.110
154.786,101.110
152.786,101.110
152.786,102.110
150.786,102.110
150.786,103.110
148.786,103.110
148.786,104.110
147.786,104.110
147.786,105.110
145.786,105.110
145.786,106.110
143.786,106.110
143.786,107.110
142.786,107.110
142.786,108.110
140.786,108.110
140.786,109.110
138.786,109.110
138.786,110.110
137.786,110.110
137.786,111.110
135.786,111.110
135.786,112.110
133.786,112.110
133.786,113.110
131.786,113.110
131.786,114.110
129.786,114.110
129.786,115.110
127.786,115.110
127.786,116.110
126.786,116.110
126.786,82.110
125.786,82.110
125.786,68.110
124.786,68.110
124.786,59.110
123.786,59.110
123.786,51.110
122.786,51.110
122.786,45.110
121.786,45.110
121.786,39.110
120.786,39.110
120.786,35.110
119.786,35.110
119.786,31.110
118.786,31.110
118.786,27.110
117.786,27.110
117.786,24.110
116.786,24.110
