xpoints,ypoints
345.113,-337.045
346.113,-337.045
346.113,-336.045
347.113,-336.045
347.113,-335.045
348.113,-335.045
348.113,-333.045
349.113,-333.045
349.113,-332.045
350.113,-332.045
350.113,-331.045
351.113,-331.045
351.113,-330.045
352.113,-330.045
352.113,-329.045
353.113,-329.045
353.113,-328.045
354.113,-328.045
354.113,-327.045
355.113,-327.045
355.113,-326.045
356.113,-326.045
356.113,-325.045
357.113,-325.045
357.113,-323.045
358.113,-323.045
358.113,-322.045
359.113,-322.045
359.113,-321.045
360.113,-321.045
360.113,-320.045
361.113,-320.045
361.113,-319.045
362.113,-319.045
362.113,-318.045
363.113,-318.045
363.113,-316.045
364.113,-316.045
364.113,-315.045
365.113,-315.045
365.113,-314.045
366.113,-314.045
366.113,-313.045
367.113,-313.045
367.113,-312.045
368.113,-312.045
368.113,-310.045
369.113,-310.045
369.113,-309.045
370.113,-309.045
370.113,-308.045
371.113,-308.045
371.113,-307.045
372.113,-307.045
372.113,-306.045
373.113,-306.045
373.113,-304.045
374.113,-304.045
374.113,-303.045
375.113,-303.045
375.113,-302.045
376.113,-302.045
376.113,-300.045
377.113,-300.045
377.113,-299.045
378.113,-299.045
378.113,-298.045
379.113,-298.045
379.113,-297.045
380.113,-297.045
380.113,-295.045
381.113,-295.045
381.113,-294.045
382.113,-294.045
382.113,-293.045
383.113,-293.045
383.113,-291.045
384.113,-291.045
384.113,-290.045
385.113,-290.045
385.113,-289.045
386.113,-289.045
386.113,-287.045
387.113,-287.045
387.113,-286.045
388.113,-286.045
388.113,-285.045
389.113,-285.045
389.113,-283.045
390.113,-283.045
390.113,-282.045
391.113,-282.045
391.113,-280.045
392.113,-280.045
392.113,-279.045
393.113,-279.045
393.113,-278.045
394.113,-278.045
394.113,-276.045
395.113,-276.045
395.113,-275.045
396.113,-275.045
396.113,-273.045
397.113,-273.045
397.113,-272.045
398.113,-272.045
398.113,-270.045
399.113,-270.045
399.113,-269.045
400.113,-269.045
400.113,-268.045
401.113,-268.045
401.113,-266.045
402.113,-266.045
402.113,-265.045
403.113,-265.045
403.113,-263.045
404.113,-263.045
404.113,-262.045
405.113,-262.045
405.113,-260.045
406.113,-260.045
406.113,-258.045
407.113,-258.045
407.113,-257.045
408.113,-257.045
408.113,-255.045
409.113,-255.045
409.113,-254.045
410.113,-254.045
410.113,-252.045
411.113,-252.045
411.113,-251.045
412.113,-251.045
412.113,-249.045
413.113,-249.045
413.113,-247.045
414.113,-247.045
414.113,-246.045
415.113,-246.045
415.113,-244.045
416.113,-244.045
416.113,-242.045
417.113,-242.045
417.113,-241.045
418.113,-241.045
418.113,-239.045
419.113,-239.045
419.113,-237.045
420.113,-237.045
420.113,-236.045
421.113,-236.045
421.113,-234.045
422.113,-234.045
422.113,-232.045
423.113,-232.045
423.113,-230.045
424.113,-230.045
424.113,-229.045
425.113,-229.045
425.113,-227.045
426.113,-227.045
426.113,-225.045
427.113,-225.045
427.113,-223.045
428.113,-223.045
428.113,-221.045
429.113,-221.045
429.113,-220.045
430.113,-220.045
430.113,-218.045
431.113,-218.045
431.113,-216.045
432.113,-216.045
432.113,-214.045
433.113,-214.045
433.113,-212.045
434.113,-212.045
434.113,-210.045
435.113,-210.045
435.113,-208.045
436.113,-208.045
436.113,-206.045
437.113,-206.045
437.113,-204.045
438.113,-204.045
438.113,-202.045
439.113,-202.045
439.113,-200.045
440.113,-200.045
440.113,-197.045
441.113,-197.045
441.113,-195.045
442.113,-195.045
442.113,-193.045
443.113,-193.045
443.113,-191.045
444.113,-191.045
444.113,-188.045
445.113,-188.045
445.113,-186.045
446.113,-186.045
446.113,-184.045
447.113,-184.045
447.113,-181.045
448.113,-181.045
448.113,-179.045
449.113,-179.045
449.113,-177.045
450.113,-177.045
450.113,-174.045
451.113,-174.045
451.113,-172.045
452.113,-172.045
452.113,-169.045
453.113,-169.045
453.113,-166.045
454.113,-166.045
454.113,-164.045
455.113,-164.045
455.113,-161.045
456.113,-161.045
456.113,-158.045
457.113,-158.045
457.113,-155.045
458.113,-155.045
458.113,-152.045
459.113,-152.045
459.113,-150.045
460.113,-150.045
460.113,-147.045
461.113,-147.045
461.113,-144.045
462.113,-144.045
462.113,-141.045
463.113,-141.045
