xpoints,ypoints
388.712,-293.048
391.712,-293.048
391.712,-292.048
394.712,-292.048
394.712,-291.048
397.712,-291.048
397.712,-290.048
399.712,-290.048
399.712,-289.048
402.712,-289.048
402.712,-288.048
405.712,-288.048
405.712,-287.048
408.712,-287.048
408.712,-286.048
411.712,-286.048
411.712,-285.048
413.712,-285.048
413.712,-284.048
416.712,-284.048
416.712,-283.048
418.712,-283.048
418.712,-282.048
421.712,-282.048
421.712,-281.048
424.712,-281.048
424.712,-280.048
426.712,-280.048
426.712,-279.048
429.712,-279.048
429.712,-278.048
431.712,-278.048
431.712,-277.048
433.712,-277.048
433.712,-276.048
436.712,-276.048
436.712,-275.048
438.712,-275.048
438.712,-274.048
440.712,-274.048
440.712,-273.048
443.712,-273.048
443.712,-272.048
445.712,-272.048
445.712,-271.048
447.712,-271.048
447.712,-270.048
449.712,-270.048
449.712,-269.048
452.712,-269.048
452.712,-268.048
454.712,-268.048
454.712,-267.048
456.712,-267.048
456.712,-266.048
458.712,-266.048
458.712,-265.048
460.712,-265.048
460.712,-264.048
462.712,-264.048
462.712,-263.048
464.712,-263.048
464.712,-262.048
466.712,-262.048
466.712,-261.048
468.712,-261.048
468.712,-260.048
470.712,-260.048
470.712,-259.048
472.712,-259.048
472.712,-258.048
474.712,-258.048
474.712,-257.048
476.712,-257.048
476.712,-256.048
478.712,-256.048
478.712,-255.048
480.712,-255.048
480.712,-254.048
482.712,-254.048
482.712,-253.048
484.712,-253.048
484.712,-252.048
486.712,-252.048
486.712,-251.048
487.712,-251.048
487.712,-250.048
489.712,-250.048
489.712,-249.048
491.712,-249.048
491.712,-248.048
493.712,-248.048
493.712,-247.048
495.712,-247.048
495.712,-246.048
496.712,-246.048
496.712,-245.048
498.712,-245.048
498.712,-244.048
500.712,-244.048
500.712,-243.048
501.712,-243.048
501.712,-242.048
503.712,-242.048
503.712,-241.048
505.712,-241.048
505.712,-240.048
506.712,-240.048
506.712,-239.048
508.712,-239.048
508.712,-238.048
509.712,-238.048
509.712,-237.048
511.712,-237.048
511.712,-236.048
513.713,-236.048
513.713,-235.048
514.713,-235.048
514.713,-234.048
516.713,-234.048
516.713,-233.048
517.713,-233.048
517.713,-232.048
519.713,-232.048
519.713,-231.048
520.713,-231.048
520.713,-230.048
522.713,-230.048
522.713,-229.048
523.713,-229.048
523.713,-228.048
524.713,-228.048
524.713,-227.048
526.713,-227.048
526.713,-226.048
527.713,-226.048
527.713,-225.048
529.713,-225.048
529.713,-224.048
530.713,-224.048
530.713,-223.048
531.713,-223.048
531.713,-222.048
533.713,-222.048
533.713,-221.048
534.713,-221.048
534.713,-220.048
535.713,-220.048
535.713,-219.048
537.713,-219.048
537.713,-218.048
538.713,-218.048
538.713,-217.048
539.713,-217.048
539.713,-216.048
541.713,-216.048
541.713,-215.048
542.713,-215.048
542.713,-214.048
543.713,-214.048
543.713,-213.048
544.713,-213.048
544.713,-212.048
546.713,-212.048
546.713,-211.048
547.713,-211.048
547.713,-210.048
548.713,-210.048
548.713,-209.048
549.713,-209.048
549.713,-208.048
550.713,-208.048
550.713,-207.048
552.713,-207.048
552.713,-206.048
553.713,-206.048
553.713,-205.048
554.713,-205.048
554.713,-204.048
555.713,-204.048
555.713,-203.048
556.713,-203.048
556.713,-202.048
557.713,-202.048
557.713,-201.048
558.713,-201.048
558.713,-200.048
559.713,-200.048
559.713,-199.048
560.713,-199.048
560.713,-198.048
561.713,-198.048
561.713,-197.048
563.713,-197.048
563.713,-196.048
564.713,-196.048
564.713,-195.048
565.713,-195.048
565.713,-194.048
566.713,-194.048
566.713,-193.048
567.713,-193.048
567.713,-192.048
568.713,-192.048
568.713,-191.048
569.713,-191.048
569.713,-190.048
570.713,-190.048
570.713,-188.048
571.713,-188.048
571.713,-187.048
572.713,-187.048
572.713,-186.048
573.713,-186.048
573.713,-185.048
574.713,-185.048
574.713,-184.048
575.713,-184.048
575.713,-183.048
576.713,-183.048
576.713,-182.048
577.713,-182.048
577.713,-181.048
578.713,-181.048
578.713,-180.048
579.713,-180.048
579.713,-178.048
580.713,-178.048
580.713,-177.048
581.713,-177.048
581.713,-176.048
582.713,-176.048
582.713,-175.048
583.713,-175.048
583.713,-174.048
584.713,-174.048
584.713,-172.048
585.713,-172.048
585.713,-171.048
586.713,-171.048
586.713,-170.048
587.713,-170.048
587.713,-168.048
588.713,-168.048
588.713,-167.048
589.713,-167.048
589.713,-166.048
590.713,-166.048
590.713,-164.048
591.713,-164.048
591.713,-163.048
592.713,-163.048
592.713,-161.048
593.713,-161.048
593.713,-160.048
