xpoints,ypoints
258.823,-309.570
263.823,-309.570
263.823,-308.570
267.823,-308.570
267.823,-307.570
272.823,-307.570
272.823,-306.570
276.823,-306.570
276.823,-305.570
281.823,-305.570
281.823,-304.570
285.823,-304.570
285.823,-303.570
289.823,-303.570
289.823,-302.570
293.823,-302.570
293.823,-301.570
297.823,-301.570
297.823,-300.570
301.823,-300.570
301.823,-299.570
304.823,-299.570
304.823,-298.570
308.823,-298.570
308.823,-297.570
312.823,-297.570
312.823,-296.570
315.823,-296.570
315.823,-295.570
319.823,-295.570
319.823,-294.570
322.823,-294.570
322.823,-293.570
326.823,-293.570
326.823,-292.570
329.823,-292.570
329.823,-291.570
332.823,-291.570
332.823,-290.570
335.823,-290.570
335.823,-289.570
339.823,-289.570
339.823,-288.570
342.823,-288.570
342.823,-287.570
345.823,-287.570
345.823,-286.570
348.823,-286.570
348.823,-285.570
351.823,-285.570
351.823,-284.570
353.823,-284.570
353.823,-283.570
356.823,-283.570
356.823,-282.570
359.823,-282.570
359.823,-281.570
362.823,-281.570
362.823,-280.570
365.823,-280.570
365.823,-279.570
367.823,-279.570
367.823,-278.570
370.823,-278.570
370.823,-277.570
372.823,-277.570
372.823,-276.570
375.823,-276.570
375.823,-275.570
377.823,-275.570
377.823,-274.570
380.823,-274.570
380.823,-273.570
382.823,-273.570
382.823,-272.570
385.823,-272.570
385.823,-271.570
387.823,-271.570
387.823,-270.570
389.823,-270.570
389.823,-269.570
392.823,-269.570
392.823,-268.570
394.823,-268.570
394.823,-267.570
396.823,-267.570
396.823,-266.570
398.823,-266.570
398.823,-265.570
400.823,-265.570
400.823,-264.570
403.823,-264.570
403.823,-263.570
405.823,-263.570
405.823,-262.570
407.823,-262.570
407.823,-261.570
409.823,-261.570
409.823,-260.570
411.823,-260.570
411.823,-259.570
413.823,-259.570
413.823,-258.570
415.823,-258.570
415.823,-257.570
417.823,-257.570
417.823,-256.570
419.823,-256.570
419.823,-255.570
421.823,-255.570
421.823,-254.570
423.823,-254.570
423.823,-253.570
424.823,-253.570
424.823,-252.570
426.823,-252.570
426.823,-251.570
428.823,-251.570
428.823,-250.570
430.823,-250.570
430.823,-249.570
432.823,-249.570
432.823,-248.570
433.823,-248.570
433.823,-247.570
435.823,-247.570
435.823,-246.570
437.823,-246.570
437.823,-245.570
438.823,-245.570
438.823,-244.570
440.823,-244.570
440.823,-243.570
442.823,-243.570
442.823,-242.570
444.823,-242.570
444.823,-241.570
445.823,-241.570
445.823,-240.570
447.823,-240.570
447.823,-239.570
448.823,-239.570
448.823,-238.570
450.823,-238.570
450.823,-237.570
451.823,-237.570
451.823,-236.570
453.823,-236.570
453.823,-235.570
454.823,-235.570
454.823,-234.570
456.823,-234.570
456.823,-233.570
457.823,-233.570
457.823,-232.570
459.823,-232.570
459.823,-231.570
460.823,-231.570
460.823,-230.570
462.823,-230.570
462.823,-229.570
463.823,-229.570
463.823,-228.570
465.823,-228.570
465.823,-227.570
466.823,-227.570
466.823,-226.570
468.823,-226.570
468.823,-225.570
469.823,-225.570
469.823,-224.570
470.823,-224.570
470.823,-223.570
472.823,-223.570
472.823,-222.570
473.823,-222.570
473.823,-221.570
474.823,-221.570
474.823,-220.570
476.823,-220.570
476.823,-219.570
477.823,-219.570
477.823,-218.570
478.823,-218.570
478.823,-217.570
479.823,-217.570
479.823,-216.570
481.823,-216.570
481.823,-215.570
482.823,-215.570
482.823,-214.570
483.823,-214.570
483.823,-213.570
484.823,-213.570
484.823,-212.570
485.823,-212.570
485.823,-211.570
487.823,-211.570
487.823,-210.570
488.823,-210.570
488.823,-209.570
489.823,-209.570
489.823,-208.570
490.823,-208.570
490.823,-207.570
491.823,-207.570
491.823,-206.570
492.823,-206.570
492.823,-205.570
494.823,-205.570
494.823,-204.570
495.823,-204.570
495.823,-203.570
496.823,-203.570
496.823,-202.570
497.823,-202.570
497.823,-201.570
498.823,-201.570
498.823,-200.570
499.823,-200.570
499.823,-199.570
500.823,-199.570
500.823,-198.570
501.823,-198.570
501.823,-197.570
502.823,-197.570
502.823,-196.570
503.823,-196.570
503.823,-195.570
504.823,-195.570
504.823,-194.570
505.823,-194.570
505.823,-193.570
506.823,-193.570
506.823,-192.570
507.823,-192.570
507.823,-191.570
508.823,-191.570
508.823,-190.570
509.823,-190.570
509.823,-189.570
510.823,-189.570
510.823,-188.570
511.823,-188.570
511.823,-187.570
512.823,-187.570
512.823,-186.570
513.823,-186.570
513.823,-185.570
514.823,-185.570
514.823,-184.570
515.823,-184.570
515.823,-183.570
516.823,-183.570
516.823,-181.570
517.823,-181.570
517.823,-180.570
518.823,-180.570
518.823,-179.570
519.823,-179.570
519.823,-178.570
520.823,-178.570
520.823,-177.570
521.823,-177.570
521.823,-176.570
522.823,-176.570
522.823,-174.570
523.823,-174.570
523.823,-173.570
524.823,-173.570
524.823,-172.570
525.823,-172.570
525.823,-171.570
526.823,-171.570
526.823,-169.570
527.823,-169.570
527.823,-168.570
528.823,-168.570
528.823,-167.570
529.823,-167.570
529.823,-165.570
530.823,-165.570
530.823,-164.570
531.823,-164.570
531.823,-162.570
532.823,-162.570
532.823,-161.570
533.823,-161.570
533.823,-160.570
534.823,-160.570
534.823,-158.570
535.823,-158.570
535.823,-157.570
536.823,-157.570
536.823,-155.570
537.823,-155.570
537.823,-154.570
538.823,-154.570
538.823,-152.570
539.823,-152.570
539.823,-150.570
540.823,-150.570
540.823,-149.570
541.823,-149.570
541.823,-147.570
542.823,-147.570
542.823,-145.570
543.823,-145.570
543.823,-143.570
544.823,-143.570
544.823,-141.570
545.823,-141.570
545.823,-140.570
546.823,-140.570
546.823,-138.570
547.823,-138.570
547.823,-136.570
548.823,-136.570
548.823,-134.570
549.823,-134.570
549.823,-132.570
550.823,-132.570
550.823,-129.570
