xpoints,ypoints
225.834,-389.457
233.834,-389.457
233.834,-388.457
239.834,-388.457
239.834,-387.457
246.834,-387.457
246.834,-386.457
253.834,-386.457
253.834,-385.457
259.834,-385.457
259.834,-384.457
265.834,-384.457
265.834,-383.457
271.834,-383.457
271.834,-382.457
277.834,-382.457
277.834,-381.457
282.834,-381.457
282.834,-380.457
288.834,-380.457
288.834,-379.457
293.834,-379.457
293.834,-378.457
298.834,-378.457
298.834,-377.457
303.834,-377.457
303.834,-376.457
308.834,-376.457
308.834,-375.457
313.834,-375.457
313.834,-374.457
318.834,-374.457
318.834,-373.457
322.834,-373.457
322.834,-372.457
327.834,-372.457
327.834,-371.457
331.834,-371.457
331.834,-370.457
335.834,-370.457
335.834,-369.457
339.834,-369.457
339.834,-368.457
344.834,-368.457
344.834,-367.457
348.834,-367.457
348.834,-366.457
352.834,-366.457
352.834,-365.457
356.834,-365.457
356.834,-364.457
359.834,-364.457
359.834,-363.457
363.834,-363.457
363.834,-362.457
367.834,-362.457
367.834,-361.457
370.834,-361.457
370.834,-360.457
374.834,-360.457
374.834,-359.457
377.834,-359.457
377.834,-358.457
381.834,-358.457
381.834,-357.457
384.834,-357.457
384.834,-356.457
387.834,-356.457
387.834,-355.457
391.834,-355.457
391.834,-354.457
394.834,-354.457
394.834,-353.457
397.834,-353.457
397.834,-352.457
400.834,-352.457
400.834,-351.457
403.834,-351.457
403.834,-350.457
406.834,-350.457
406.834,-349.457
409.834,-349.457
409.834,-348.457
412.834,-348.457
412.834,-347.457
415.834,-347.457
415.834,-346.457
417.834,-346.457
417.834,-345.457
420.834,-345.457
420.834,-344.457
423.834,-344.457
423.834,-343.457
426.834,-343.457
426.834,-342.457
428.834,-342.457
428.834,-341.457
431.834,-341.457
431.834,-340.457
433.834,-340.457
433.834,-339.457
436.834,-339.457
436.834,-338.457
438.834,-338.457
438.834,-337.457
441.834,-337.457
441.834,-336.457
443.834,-336.457
443.834,-335.457
446.834,-335.457
446.834,-334.457
448.834,-334.457
448.834,-333.457
450.834,-333.457
450.834,-332.457
452.834,-332.457
452.834,-331.457
455.834,-331.457
455.834,-330.457
457.834,-330.457
457.834,-329.457
459.834,-329.457
459.834,-328.457
461.834,-328.457
461.834,-327.457
463.834,-327.457
463.834,-326.457
466.834,-326.457
466.834,-325.457
468.834,-325.457
468.834,-324.457
470.834,-324.457
470.834,-323.457
472.834,-323.457
472.834,-322.457
474.834,-322.457
474.834,-321.457
476.834,-321.457
476.834,-320.457
478.834,-320.457
478.834,-319.457
479.834,-319.457
479.834,-318.457
481.834,-318.457
481.834,-317.457
483.834,-317.457
483.834,-316.457
485.834,-316.457
485.834,-315.457
487.834,-315.457
487.834,-314.457
489.834,-314.457
489.834,-313.457
490.834,-313.457
490.834,-312.457
492.834,-312.457
492.834,-311.457
494.834,-311.457
494.834,-310.457
496.834,-310.457
496.834,-309.457
497.834,-309.457
497.834,-308.457
499.834,-308.457
499.834,-307.457
501.834,-307.457
501.834,-306.457
502.834,-306.457
502.834,-305.457
504.834,-305.457
504.834,-304.457
505.834,-304.457
505.834,-303.457
507.834,-303.457
507.834,-302.457
509.834,-302.457
509.834,-301.457
510.834,-301.457
510.834,-300.457
512.834,-300.457
512.834,-299.457
513.834,-299.457
513.834,-298.457
515.834,-298.457
515.834,-297.457
516.834,-297.457
516.834,-296.457
517.834,-296.457
517.834,-295.457
519.834,-295.457
519.834,-294.457
520.834,-294.457
520.834,-293.457
522.834,-293.457
522.834,-292.457
523.834,-292.457
523.834,-291.457
524.834,-291.457
524.834,-290.457
526.834,-290.457
526.834,-289.457
527.834,-289.457
527.834,-288.457
528.834,-288.457
528.834,-287.457
530.834,-287.457
530.834,-286.457
531.834,-286.457
531.834,-285.457
532.834,-285.457
532.834,-284.457
533.834,-284.457
533.834,-283.457
534.834,-283.457
534.834,-282.457
536.834,-282.457
536.834,-281.457
537.834,-281.457
537.834,-280.457
538.834,-280.457
538.834,-279.457
539.834,-279.457
539.834,-278.457
540.834,-278.457
540.834,-277.457
541.834,-277.457
541.834,-276.457
543.834,-276.457
543.834,-275.457
544.834,-275.457
544.834,-274.457
545.834,-274.457
545.834,-273.457
546.834,-273.457
546.834,-272.457
547.834,-272.457
547.834,-271.457
548.834,-271.457
548.834,-270.457
549.834,-270.457
549.834,-269.457
550.834,-269.457
550.834,-268.457
551.834,-268.457
551.834,-267.457
552.834,-267.457
552.834,-266.457
553.834,-266.457
553.834,-265.457
554.834,-265.457
554.834,-264.457
555.834,-264.457
555.834,-263.457
556.834,-263.457
556.834,-262.457
557.834,-262.457
557.834,-261.457
558.834,-261.457
558.834,-260.457
559.834,-260.457
559.834,-259.457
560.834,-259.457
560.834,-257.457
561.834,-257.457
561.834,-256.457
562.834,-256.457
562.834,-255.457
563.834,-255.457
563.834,-254.457
564.834,-254.457
564.834,-253.457
565.834,-253.457
565.834,-252.457
566.834,-252.457
566.834,-250.457
567.834,-250.457
567.834,-249.457
568.834,-249.457
568.834,-248.457
569.834,-248.457
569.834,-247.457
570.834,-247.457
570.834,-245.457
571.834,-245.457
571.834,-244.457
572.834,-244.457
572.834,-243.457
573.834,-243.457
573.834,-241.457
574.834,-241.457
574.834,-240.457
575.834,-240.457
575.834,-238.457
576.834,-238.457
576.834,-237.457
577.834,-237.457
577.834,-235.457
578.834,-235.457
578.834,-234.457
579.834,-234.457
579.834,-232.457
580.834,-232.457
580.834,-231.457
581.834,-231.457
581.834,-229.457
582.834,-229.457
582.834,-227.457
583.834,-227.457
583.834,-226.457
584.834,-226.457
584.834,-224.457
585.834,-224.457
585.834,-222.457
586.834,-222.457
586.834,-220.457
587.834,-220.457
587.834,-218.457
588.834,-218.457
588.834,-216.457
589.834,-216.457
589.834,-214.457
590.834,-214.457
590.834,-212.457
591.834,-212.457
591.834,-210.457
592.834,-210.457
592.834,-208.457
593.834,-208.457
593.834,-205.457
594.834,-205.457
594.834,-203.457
595.834,-203.457
595.834,-200.457
596.834,-200.457
596.834,-197.457
597.834,-197.457
597.834,-194.457
598.834,-194.457
598.834,-191.457
599.834,-191.457
599.834,-188.457
600.834,-188.457
600.834,-184.457
601.834,-184.457
601.834,-181.457
602.834,-181.457
602.834,-176.457
603.834,-176.457
603.834,-172.457
604.834,-172.457
604.834,-166.457
605.834,-166.457
605.834,-158.457
606.834,-158.457
606.834,-147.457
607.834,-147.457
607.834,-122.457
606.834,-122.457
606.834,-109.457
605.834,-109.457
605.834,-101.457
604.834,-101.457
604.834,-94.457
603.834,-94.457
603.834,-88.457
602.834,-88.457
602.834,-83.457
601.834,-83.457
601.834,-78.457
600.834,-78.457
600.834,-74.457
599.834,-74.457
599.834,-69.457
598.834,-69.457
598.834,-65.457
597.834,-65.457
597.834,-61.457
596.834,-61.457
596.834,-58.457
595.834,-58.457
595.834,-54.457
594.834,-54.457
594.834,-51.457
593.834,-51.457
593.834,-48.457
592.834,-48.457
592.834,-47.457
591.834,-47.457
591.834,-45.457
590.834,-45.457
590.834,-44.457
589.834,-44.457
589.834,-43.457
588.834,-43.457
588.834,-42.457
587.834,-42.457
587.834,-41.457
