xpoints,ypoints
359.555,-267.788
361.555,-267.788
361.555,-266.788
363.555,-266.788
363.555,-265.788
365.555,-265.788
365.555,-264.788
367.555,-264.788
367.555,-263.788
369.555,-263.788
369.555,-262.788
371.555,-262.788
371.555,-261.788
373.555,-261.788
373.555,-260.788
375.555,-260.788
375.555,-259.788
376.555,-259.788
376.555,-258.788
378.555,-258.788
378.555,-257.788
380.555,-257.788
380.555,-256.788
382.555,-256.788
382.555,-255.788
384.555,-255.788
384.555,-254.788
385.555,-254.788
385.555,-253.788
387.555,-253.788
387.555,-252.788
389.555,-252.788
389.555,-251.788
390.555,-251.788
390.555,-250.788
392.555,-250.788
392.555,-249.788
394.555,-249.788
394.555,-248.788
395.555,-248.788
395.555,-247.788
397.555,-247.788
397.555,-246.788
399.555,-246.788
399.555,-245.788
400.555,-245.788
400.555,-244.788
402.555,-244.788
402.555,-243.788
403.555,-243.788
403.555,-242.788
405.555,-242.788
405.555,-241.788
407.555,-241.788
407.555,-240.788
408.555,-240.788
408.555,-239.788
410.555,-239.788
410.555,-238.788
411.555,-238.788
411.555,-237.788
413.555,-237.788
413.555,-236.788
414.555,-236.788
414.555,-235.788
416.555,-235.788
416.555,-234.788
417.555,-234.788
417.555,-233.788
419.555,-233.788
419.555,-232.788
420.555,-232.788
420.555,-231.788
422.555,-231.788
422.555,-230.788
423.555,-230.788
423.555,-229.788
424.555,-229.788
424.555,-228.788
426.555,-228.788
426.555,-227.788
427.555,-227.788
427.555,-226.788
429.555,-226.788
429.555,-225.788
430.555,-225.788
430.555,-224.788
431.555,-224.788
431.555,-223.788
433.555,-223.788
433.555,-222.788
434.555,-222.788
434.555,-221.788
435.555,-221.788
435.555,-220.788
437.555,-220.788
437.555,-219.788
438.555,-219.788
438.555,-218.788
439.555,-218.788
439.555,-217.788
441.555,-217.788
441.555,-216.788
442.555,-216.788
442.555,-215.788
443.555,-215.788
443.555,-214.788
444.555,-214.788
444.555,-213.788
446.555,-213.788
446.555,-212.788
447.555,-212.788
447.555,-211.788
448.555,-211.788
448.555,-210.788
449.555,-210.788
449.555,-209.788
451.555,-209.788
451.555,-208.788
452.555,-208.788
452.555,-207.788
453.555,-207.788
453.555,-206.788
454.555,-206.788
454.555,-205.788
456.555,-205.788
456.555,-204.788
457.555,-204.788
457.555,-203.788
458.555,-203.788
458.555,-202.788
459.555,-202.788
459.555,-201.788
460.555,-201.788
460.555,-200.788
461.555,-200.788
461.555,-199.788
463.555,-199.788
463.555,-198.788
464.555,-198.788
464.555,-197.788
465.555,-197.788
465.555,-196.788
466.555,-196.788
466.555,-195.788
467.555,-195.788
467.555,-194.788
468.555,-194.788
468.555,-193.788
469.555,-193.788
469.555,-192.788
470.555,-192.788
470.555,-191.788
472.555,-191.788
472.555,-190.788
473.555,-190.788
473.555,-189.788
474.555,-189.788
474.555,-188.788
475.555,-188.788
475.555,-187.788
476.555,-187.788
476.555,-186.788
477.555,-186.788
477.555,-185.788
478.555,-185.788
478.555,-184.788
479.555,-184.788
479.555,-183.788
480.555,-183.788
480.555,-182.788
481.555,-182.788
481.555,-181.788
482.555,-181.788
482.555,-180.788
483.555,-180.788
483.555,-179.788
484.555,-179.788
484.555,-178.788
485.555,-178.788
485.555,-177.788
486.555,-177.788
486.555,-176.788
487.555,-176.788
487.555,-175.788
488.555,-175.788
488.555,-174.788
489.555,-174.788
489.555,-173.788
490.555,-173.788
490.555,-172.788
491.555,-172.788
491.555,-171.788
492.555,-171.788
492.555,-170.788
493.555,-170.788
493.555,-169.788
494.555,-169.788
494.555,-168.788
495.555,-168.788
495.555,-167.788
496.555,-167.788
496.555,-165.788
497.555,-165.788
497.555,-164.788
498.555,-164.788
498.555,-163.788
499.555,-163.788
499.555,-162.788
500.555,-162.788
500.555,-161.788
501.555,-161.788
501.555,-160.788
502.555,-160.788
502.555,-159.788
503.555,-159.788
503.555,-158.788
504.555,-158.788
504.555,-156.788
505.555,-156.788
505.555,-155.788
506.555,-155.788
506.555,-154.788
507.555,-154.788
507.555,-153.788
508.555,-153.788
