xpoints,ypoints
264.357,58.589
263.357,58.589
263.357,60.589
262.357,60.589
262.357,61.589
261.357,61.589
261.357,63.589
260.357,63.589
260.357,65.589
259.357,65.589
259.357,66.589
258.357,66.589
258.357,68.589
257.357,68.589
257.357,69.589
256.357,69.589
256.357,70.589
255.357,70.589
255.357,72.589
254.357,72.589
254.357,73.589
253.357,73.589
253.357,74.589
252.357,74.589
252.357,75.589
251.357,75.589
251.357,76.589
250.357,76.589
250.357,78.589
249.357,78.589
249.357,79.589
248.357,79.589
248.357,80.589
247.357,80.589
247.357,81.589
246.357,81.589
246.357,82.589
245.357,82.589
245.357,83.589
244.357,83.589
244.357,84.589
243.357,84.589
243.357,85.589
241.357,85.589
241.357,86.589
240.357,86.589
240.357,87.589
239.357,87.589
239.357,88.589
238.357,88.589
238.357,89.589
237.357,89.589
237.357,90.589
235.357,90.589
235.357,91.589
234.357,91.589
234.357,92.589
232.357,92.589
232.357,93.589
226.357,93.589
226.357,94.589
213.357,94.589
213.357,95.589
206.357,95.589
206.357,96.589
200.357,96.589
200.357,97.589
195.357,97.589
195.357,98.589
191.357,98.589
191.357,99.589
187.357,99.589
187.357,100.589
183.357,100.589
183.357,101.589
180.357,101.589
180.357,102.589
176.357,102.589
176.357,103.589
173.357,103.589
173.357,104.589
170.357,104.589
170.357,105.589
168.357,105.589
168.357,106.589
165.357,106.589
165.357,107.589
162.357,107.589
162.357,108.589
160.357,108.589
160.357,109.589
158.357,109.589
158.357,110.589
155.357,110.589
155.357,111.589
153.357,111.589
153.357,112.589
151.357,112.589
151.357,113.589
149.357,113.589
149.357,114.589
147.357,114.589
147.357,115.589
145.357,115.589
145.357,116.589
143.357,116.589
143.357,117.589
141.357,117.589
141.357,118.589
139.357,118.589
139.357,119.589
137.357,119.589
137.357,120.589
135.357,120.589
135.357,121.589
134.357,121.589
134.357,122.589
132.357,122.589
132.357,123.589
130.357,123.589
130.357,124.589
129.357,124.589
129.357,125.589
127.357,125.589
127.357,126.589
126.357,126.589
126.357,127.589
124.357,127.589
124.357,128.589
123.357,128.589
123.357,129.589
121.357,129.589
121.357,130.589
120.357,130.589
120.357,131.589
119.357,131.589
119.357,132.589
117.357,132.589
117.357,133.589
116.357,133.589
116.357,134.589
114.357,134.589
114.357,135.589
113.357,135.589
113.357,136.589
112.357,136.589
112.357,137.589
111.357,137.589
111.357,138.589
109.357,138.589
109.357,139.589
108.357,139.589
108.357,140.589
107.357,140.589
107.357,141.589
106.357,141.589
106.357,142.589
105.357,142.589
105.357,143.589
104.357,143.589
104.357,144.589
103.357,144.589
103.357,145.589
101.357,145.589
101.357,146.589
100.357,146.589
100.357,147.589
99.357,147.589
99.357,148.589
98.357,148.589
98.357,149.589
97.357,149.589
97.357,150.589
96.357,150.589
96.357,151.589
95.357,151.589
95.357,152.589
94.357,152.589
94.357,153.589
93.357,153.589
93.357,155.589
92.357,155.589
92.357,156.589
91.357,156.589
91.357,157.589
90.357,157.589
90.357,158.589
89.357,158.589
89.357,159.589
88.357,159.589
88.357,160.589
87.357,160.589
87.357,162.589
86.357,162.589
86.357,163.589
85.357,163.589
85.357,164.589
84.357,164.589
84.357,165.589
83.357,165.589
83.357,167.589
82.357,167.589
82.357,168.589
81.357,168.589
81.357,169.589
80.357,169.589
80.357,171.589
79.357,171.589
79.357,172.589
78.357,172.589
78.357,174.589
77.357,174.589
77.357,175.589
76.357,175.589
76.357,177.589
75.357,177.589
75.357,178.589
74.357,178.589
74.357,180.589
73.357,180.589
73.357,182.589
72.357,182.589
72.357,184.589
71.357,184.589
71.357,186.589
70.357,186.589
70.357,188.589
69.357,188.589
69.357,190.589
68.357,190.589
68.357,192.589
67.357,192.589
67.357,194.589
66.357,194.589
66.357,196.589
65.357,196.589
65.357,199.589
64.357,199.589
64.357,202.589
63.357,202.589
63.357,205.589
62.357,205.589
62.357,208.589
61.357,208.589
61.357,211.589
60.357,211.589
60.357,215.589
59.357,215.589
59.357,220.589
58.357,220.589
58.357,226.589
57.357,226.589
57.357,236.589
56.357,236.589
56.357,250.589
57.357,250.589
57.357,260.589
58.357,260.589
58.357,266.589
59.357,266.589
59.357,271.589
60.357,271.589
60.357,275.589
61.357,275.589
61.357,279.589
62.357,279.589
62.357,282.589
63.357,282.589
63.357,286.589
64.357,286.589
64.357,290.589
65.357,290.589
65.357,294.589
66.357,294.589
66.357,297.589
67.357,297.589
67.357,301.589
68.357,301.589
68.357,305.589
69.357,305.589
69.357,309.589
70.357,309.589
70.357,313.589
71.357,313.589
71.357,316.589
72.357,316.589
72.357,320.589
73.357,320.589
73.357,324.589
74.357,324.589
74.357,328.589
75.357,328.589
75.357,331.589
76.357,331.589
76.357,335.589
77.357,335.589
77.357,339.589
78.357,339.589
78.357,343.589
79.357,343.589
79.357,347.589
80.357,347.589
80.357,351.589
81.357,351.589
81.357,355.589
82.357,355.589
82.357,359.589
83.357,359.589
83.357,363.589
84.357,363.589
84.357,367.589
85.357,367.589
85.357,371.589
86.357,371.589
86.357,375.589
87.357,375.589
87.357,380.589
88.357,380.589
88.357,384.589
89.357,384.589
89.357,389.589
90.357,389.589
90.357,394.589
91.357,394.589
91.357,399.589
92.357,399.589
92.357,404.589
93.357,404.589
93.357,409.589
94.357,409.589
94.357,415.589
95.357,415.589
95.357,421.589
96.357,421.589
96.357,428.589
97.357,428.589
97.357,438.589
98.357,438.589
98.357,459.589
97.357,459.589
97.357,465.589
96.357,465.589
96.357,469.589
95.357,469.589
95.357,471.589
94.357,471.589
94.357,473.589
93.357,473.589
93.357,474.589
92.357,474.589
92.357,476.589
90.357,476.589
90.357,477.589
89.357,477.589
89.357,478.589
87.357,478.589
87.357,479.589
72.357,479.589
72.357,480.589
52.357,480.589
52.357,481.589
38.357,481.589
38.357,482.589
26.357,482.589
26.357,483.589
14.357,483.589
14.357,484.589
3.357,484.589
3.357,485.589
-6.643,485.589
-6.643,486.589
-16.643,486.589
-16.643,487.589
-26.643,487.589
-26.643,488.589
-36.643,488.589
-36.643,489.589
-45.643,489.589
-45.643,490.589
-54.643,490.589
-54.643,491.589
-63.643,491.589
-63.643,492.589
-72.643,492.589
-72.643,493.589
-80.643,493.589
-80.643,494.589
-89.643,494.589
-89.643,495.589
-97.643,495.589
-97.643,496.589
-106.643,496.589
-106.643,497.589
-114.643,497.589
-114.643,498.589
