xpoints,ypoints
185.924,-472.404
185.924,-471.404
172.924,-471.404
172.924,-470.404
162.924,-470.404
162.924,-469.404
154.924,-469.404
154.924,-468.404
147.924,-468.404
147.924,-467.404
141.924,-467.404
141.924,-466.404
135.924,-466.404
135.924,-465.404
129.924,-465.404
129.924,-464.404
124.924,-464.404
124.924,-463.404
119.924,-463.404
119.924,-462.404
114.924,-462.404
114.924,-461.404
109.924,-461.404
109.924,-460.404
105.924,-460.404
105.924,-459.404
101.924,-459.404
101.924,-458.404
96.924,-458.404
96.924,-457.404
92.924,-457.404
92.924,-456.404
88.924,-456.404
88.924,-455.404
84.924,-455.404
84.924,-454.404
80.924,-454.404
80.924,-453.404
77.924,-453.404
77.924,-452.404
73.924,-452.404
73.924,-451.404
69.924,-451.404
69.924,-450.404
66.924,-450.404
66.924,-449.404
62.924,-449.404
62.924,-448.404
59.924,-448.404
59.924,-447.404
55.924,-447.404
55.924,-446.404
52.924,-446.404
52.924,-445.404
49.924,-445.404
49.924,-444.404
45.924,-444.404
45.924,-443.404
42.924,-443.404
42.924,-442.404
39.924,-442.404
39.924,-441.404
36.924,-441.404
36.924,-440.404
33.924,-440.404
33.924,-439.404
29.924,-439.404
29.924,-438.404
26.924,-438.404
26.924,-437.404
23.924,-437.404
23.924,-436.404
20.924,-436.404
20.924,-435.404
17.924,-435.404
17.924,-434.404
14.924,-434.404
14.924,-433.404
11.924,-433.404
11.924,-432.404
9.924,-432.404
9.924,-431.404
6.924,-431.404
6.924,-430.404
3.924,-430.404
3.924,-429.404
0.924,-429.404
0.924,-428.404
-2.076,-428.404
-2.076,-427.404
-4.076,-427.404
-4.076,-426.404
-7.076,-426.404
-7.076,-425.404
-10.076,-425.404
-10.076,-424.404
-13.076,-424.404
-13.076,-423.404
-15.076,-423.404
-15.076,-422.404
-18.076,-422.404
-18.076,-421.404
-21.076,-421.404
-21.076,-420.404
-23.076,-420.404
-23.076,-419.404
-26.076,-419.404
-26.076,-418.404
-28.076,-418.404
-28.076,-417.404
-31.076,-417.404
-31.076,-416.404
-33.076,-416.404
-33.076,-415.404
-36.076,-415.404
-36.076,-414.404
-38.076,-414.404
-38.076,-413.404
-41.076,-413.404
-41.076,-412.404
-43.076,-412.404
-43.076,-411.404
-46.076,-411.404
-46.076,-410.404
-48.076,-410.404
-48.076,-409.404
-51.076,-409.404
-51.076,-408.404
-53.076,-408.404
